0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
-0.055427,-0.063404,-0.070351,-0.070137,-0.070041,-0.05403,-0.053588,-0.037368,-0.036819,-0.027759,-0.027284,-0.027456,-0.020182,-0.013032,0.001506,-0.006101,-0.006197,-0.005815,0.001462,0.001392,0.001186,-0.006586,0.000867,-0.006588,-0.00658,-0.006788,0.000414,-0.007183,-0.006747,0.000656,0.000434,0.000712,0.000706,0.008598,0.008573,0.001035,0.008082,0.000212,0.007164,-0.000394,-0.007914,-0.00752,-7.1e-05,-7.5e-05,0.000152,0.000424,0.007808,0.007514,0.007418,0.014663,0.007189,0.007494,-7.4e-05,-0.000404,-0.007937,-0.008445,-0.001034,-0.001593,0.011913,0.02648,0.026638,0.049279,0.057096,0.065465,0.07301,0.073802,0.066884,0.052363,0.044964,0.037718,0.030425,0.023234
0.019356,0.025244,0.019237,0.009019,0.001246,-0.014778,-0.002767,0.017366,0.021829,0.023128,0.011187,-0.004575,-0.000717,0.008946,0.01037,0.003726,0.009675,-0.001102,-0.00335,-0.00344,-0.004854,0.000115,-0.000519,8e-06,-0.006458,-0.00136,-0.003607,0.008893,0.005303,0.00448,0.003002,-0.001581,0.004944,0.007834,0.007896,0.00745,0.004618,0.00159,-0.002073,-0.002942,0.003258,0.012771,0.012791,0.006097,0.001113,0.003143,0.002884,0.00753,0.006917,0.005759,-0.001697,0.000735,0.006431,0.010767,0.00884,0.011681,0.012651,0.021305,0.033278,0.039083,0.04165,0.034908,0.01873,-3e-05,-0.006983,-0.018982,-0.021543,-0.02469,-0.016815,-0.018242,-0.018578,-0.018146
-0.003764,-0.007133,-0.003305,-0.005506,-0.004416,0.007318,0.010664,0.012283,0.017785,0.029254,0.035924,0.038346,0.03176,0.0213,0.0116,0.014851,0.011121,0.019627,0.016457,0.016642,0.015068,0.010601,0.009569,0.010443,0.013611,0.008959,0.006229,-0.000288,0.005945,0.004718,0.003147,0.008317,0.005161,0.007795,0.007797,0.007662,0.004365,0.001612,-0.002496,-0.003017,-0.006155,-0.006257,-0.0066,-0.003607,0.001144,0.003218,0.002579,-0.002522,-0.003161,-0.004723,-0.002122,0.000356,-0.003269,-0.008666,-0.010441,-0.017329,-0.016529,-0.027432,-0.045358,-0.050033,-0.04739,-0.035842,-0.023856,-0.00459,-0.002785,0.003918,0.001345,-0.000921,-0.002104,-0.003304,-0.003073,-0.001771
6.03014,0.262697,4.981782,4.791728,4.365345,-0.144256,4.325143,4.400296,0.088657,0.068358,0.262854,-0.085321,0.35252,0.274109,1.027805,0.053546,0.151194,-0.064408,3.273284,-0.09659,0.439213,0.017281,0.3193,0.180422,0.151233,0.052677,0.443594,0.013986,-0.001792,-0.010504,-0.141293,-0.031227,0.004274,0.005992,-0.019409,0.005258,0.003219,0.000472,0.000603,-0.011834,0.034417,0.112445,0.065565,0.038644,0.011694,-0.095257,0.368506,0.214917,0.07213,0.062016,0.341456,0.09491,0.268826,0.295337,-2.965971,-3.016177,0.153098,-2.895235,0.453135,-3.166418,-1.327866,-3.096712,-0.846827,-3.647339,-2.998489,-3.054317,-0.359048,-0.007841,-0.013267,-2.732049,-2.826629,0.018763
2.381774,0.65975,3.503665,3.222363,3.296133,1.242231,2.605603,2.545057,-0.495311,-0.62364,-0.861406,-0.217372,-0.491411,-1.781493,1.113424,-0.356429,-1.321132,-0.137814,3.834772,0.101029,-0.618935,-0.106352,-0.446624,-0.267415,-0.260632,-0.124154,-0.577464,-0.010398,0.052551,0.083929,0.177439,-2.4e-05,-0.026793,-0.067087,-0.035793,-0.049393,-0.027156,0.000503,-0.00122,0.094343,0.002937,-0.085216,-0.027112,0.002711,-0.019988,-0.005364,-0.44687,-0.253789,-0.102896,-0.200895,-0.434993,-0.159379,-0.325321,-0.308534,-3.715702,-3.6424,-0.851951,-3.668786,-1.063921,-3.388688,-0.827937,-3.412215,-1.106558,-4.475103,-3.634518,-3.649511,-1.794624,-1.680364,-0.791855,-2.91421,-2.97499,-0.536434
5.172812,1.99627,3.411901,3.622065,3.173481,1.336746,2.816192,2.613353,0.817644,1.058089,0.639597,0.455389,0.10247,2.368231,0.715137,0.857043,2.446876,0.236239,2.166387,-0.157382,-0.358582,-0.065394,-0.257176,-0.191816,-0.215733,-0.110879,-0.361663,-0.022946,-0.206424,-0.14716,0.123345,0.00433,0.050454,0.090845,0.081278,0.03585,0.055605,0.000416,0.004167,-0.174583,-0.011829,-0.012932,0.055925,0.027453,0.021676,-0.248899,-0.185236,-0.083178,-0.001026,0.248231,-0.207977,-0.047627,-0.13592,-0.134546,-3.257489,-3.037641,-0.351108,-3.549145,-0.4171,-3.447415,-0.861224,-3.566373,-0.969119,-4.81389,-3.940426,-3.970848,-1.149301,0.302623,-0.185534,-3.925788,-4.457217,0.076381
0.015899,0.015945,0.016041,0.008037,0.007949,0.007846,-2.4e-05,4.6e-05,-0.007873,-0.007879,-0.007824,-5.9e-05,-6.4e-05,-1.5e-05,6e-06,3.7e-05,-0.007862,-1.4e-05,-4e-05,0.0,-3.1e-05,0.0,0.0,2e-06,0.0,2e-06,-3e-06,-7e-06,0.0,-0.0,-1e-06,-2.7e-05,-1.6e-05,-3.4e-05,-2e-05,-1.2e-05,2e-06,-1e-06,-9e-06,-2e-06,-7.1e-05,-7.7e-05,-4e-06,2e-06,-3.2e-05,-4.9e-05,-7e-06,-1e-06,-1.2e-05,-1e-05,-5.5e-05,-0.000113,-7.6e-05,-7.9e-05,-2.5e-05,1e-06,0.0,-0.000144,0.007605,-0.000321,-0.000381,0.00757,0.007619,0.015425,0.007529,0.015298,0.015217,0.01521,0.022992,0.022887,0.022903,0.022876
0.010139,0.010619,0.017161,0.017047,0.010893,0.010152,0.005268,0.000369,-0.00504,-0.005022,-0.004497,-0.000521,-0.00057,-0.000143,4.3e-05,0.000332,-0.004844,-0.000111,-0.000342,7e-06,-0.000271,-4e-06,-2e-06,8e-06,4e-06,1.9e-05,0.0,-5.7e-05,5e-06,0.0,-3e-06,-0.000247,-0.000146,-0.000306,-0.000174,-0.000102,1.8e-05,5e-06,-5.5e-05,5e-06,-0.000606,-0.000659,-3.8e-05,1.1e-05,-0.000269,-0.000413,-5.8e-05,-1.2e-05,-0.000108,-9.1e-05,-0.00048,-0.000971,-0.000669,-0.000678,-0.000222,2.6e-05,1.4e-05,-0.001234,0.002416,0.002622,0.007528,0.007462,0.018833,0.023339,0.018268,0.022778,0.02245,0.028345,0.028039,0.02184,0.022411,0.023086
-0.00942,-0.008823,-0.011716,-0.011887,-0.008533,-0.009479,-0.004489,0.000467,0.004793,0.004813,0.005477,-0.00066,-0.000724,-0.000184,5.2e-05,0.000421,0.005031,-0.000139,-0.000431,1.3e-05,-0.000341,-5e-06,-2e-06,1.1e-05,7e-06,2.6e-05,1e-06,-7.1e-05,4e-06,2e-06,-1e-06,-0.000312,-0.000185,-0.000386,-0.000222,-0.00013,2.3e-05,1e-05,-6.6e-05,9e-06,-0.000769,-0.000839,-4.9e-05,1.4e-05,-0.000338,-0.000521,-7e-05,-1.2e-05,-0.000135,-0.000112,-0.00061,-0.001237,-0.000855,-0.000866,-0.000284,3.5e-05,2e-05,-0.001577,-0.00812,-0.007884,-0.01284,-0.012925,-0.020835,-0.026334,-0.021617,-0.027139,-0.027625,-0.031322,-0.031833,-0.028651,-0.027945,-0.027144
0.073279,0.048187,-0.01142,-0.900702,-0.0819,0.035058,0.008268,0.869006,-0.039131,-0.038287,-0.036654,-0.000558,-0.000453,-0.000303,-0.00021,-0.000178,-0.03675,0.005479,-6.2e-05,-3.2e-05,-0.000621,-2.4e-05,-1.2e-05,-5e-06,-9e-06,7e-06,-1e-06,-0.003339,-0.000412,8.7e-05,6.6e-05,0.005602,3e-05,2.9e-05,1.4e-05,0.008973,-0.000541,9.5e-05,6.9e-05,5.7e-05,-0.00076,-0.000788,2.5e-05,1.2e-05,1.5e-05,9e-06,5e-06,1e-05,7e-06,2e-06,7e-06,-0.000797,4e-06,-0.000802,3e-06,3e-06,-1e-06,-0.000798,0.041357,0.034836,-0.060928,0.01519,0.021148,0.079805,-0.085906,-0.02434,-0.086347,-0.043488,-0.030016,-0.174128,-0.147925,-0.169008
