0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
-0.055692,-0.054654,-0.054372,-0.054568,-0.054432,-0.046365,-0.052698,-0.043376,-0.026871,-0.018968,-0.019503,-0.005085,-0.005631,0.009095,0.024273,0.024393,0.016979,0.017065,0.009008,0.009107,0.008392,0.000181,-5e-05,0.000566,0.001126,0.001655,0.001664,-0.006042,-0.006594,0.000617,0.000552,0.00024,-0.007086,0.000799,-0.006467,-0.006507,0.000868,0.000459,0.000159,-0.000745,-0.008729,-0.008516,0.000437,0.00038,0.000343,-1e-06,-0.001643,-0.002084,0.013256,0.013912,0.014666,0.014005,-0.001086,-0.002582,-0.002713,-0.009609,-0.00054,3.2e-05,0.001555,0.00271,0.003253,0.002997,0.009121,0.00786,0.007839,0.015005,0.007452,-0.007215,0.000121,-0.007984,-0.001262,-0.001325,0.006774,0.008188,0.008725,0.002124,0.001977,0.001476,0.001398,0.001148,-0.00636,-0.006309,-0.013979,-0.014421,-0.014398,-0.014365,-0.014674,-0.007253,-0.007298,-0.00703,0.000377,0.000655,0.000794,0.000994,0.007866,0.000337,-0.000533,-0.000658,-0.007907,5.9e-05,-0.000513,0.006094,0.005945,0.005453,0.02004,0.027655,0.027776,0.042456,0.049852,0.04262,0.042712,0.043287,0.036436,0.029182,0.036267,0.029056,0.021784,0.021477,0.014587
0.022434,0.000919,-0.011856,-0.011442,6.2e-05,0.003467,0.006166,0.002689,-0.004166,-0.003803,-0.001071,0.005107,0.007822,0.003349,-0.01042,-0.009345,-0.007552,0.000725,0.004704,-0.001642,-0.000249,-0.005722,-0.000331,0.004884,0.009675,0.00692,0.007038,-0.001538,-0.006492,-0.001876,0.004799,0.002102,0.003647,-0.000413,0.001569,0.00834,0.007389,0.003921,0.001392,-0.006201,-0.003252,0.005786,0.003476,0.003356,0.002846,4.7e-05,0.007919,0.018428,0.028047,0.006095,-0.002261,-0.007849,-0.01058,-0.007568,-0.002232,-0.002916,-0.004585,0.000227,0.0059,0.008722,0.006374,0.004297,-0.007287,-0.011166,-0.011471,0.000673,-0.000132,-0.005252,-0.006476,-0.004728,-0.004153,-0.00474,-0.006898,-0.001408,0.003785,-0.002792,-0.011776,-0.0088,-0.001795,0.011302,0.010603,0.003254,0.000825,0.004058,0.004071,0.004269,0.008639,0.001343,0.000952,-0.003951,0.003283,-0.001545,0.00687,0.008572,0.004385,0.002388,-0.004379,-0.005763,0.002629,0.00773,0.01002,0.010675,0.0166,0.027083,0.025987,0.037793,0.039962,0.027235,0.014494,0.007223,-0.001152,-0.005676,-0.010889,-0.009986,-0.006721,-0.007728,-0.007592,-0.000614,-0.006959
-0.011349,-0.005391,0.000449,0.000625,0.003754,0.007508,0.021785,0.038671,0.051013,0.050419,0.042687,0.027547,0.020006,0.013671,0.018441,0.019556,0.021911,0.020686,0.01506,0.018312,0.009537,0.003963,-0.000363,0.005338,0.010507,0.017574,0.017631,0.018938,0.013617,0.008048,0.005043,0.002205,0.004234,0.009544,0.011987,0.009028,0.007617,0.00403,0.001435,-0.006344,-0.012809,-0.013376,0.003607,0.003506,0.002947,5.9e-05,-0.021513,-0.030479,-0.031304,-0.014344,-0.003193,-0.009067,-0.011276,-0.028244,-0.032911,-0.023132,-0.005012,0.00027,0.016712,0.029763,0.036941,0.03455,0.021819,0.007845,0.007522,-0.000181,-0.000579,0.004927,0.003216,-0.004469,-0.014312,-0.014966,-0.007729,0.008107,0.013577,0.027006,0.027513,0.02063,0.017922,0.011517,0.011154,0.013492,0.01145,0.004922,0.004911,0.005101,-0.000286,0.001752,0.001361,0.006195,0.003242,0.008146,0.006734,0.008321,0.003835,0.002119,-0.004222,-0.005593,-0.006622,-0.00207,-0.009434,-0.018805,-0.022639,-0.031609,-0.033514,-0.031978,-0.029835,-0.024017,-0.017992,-0.01504,-0.013879,-0.008988,-0.004053,-0.002716,-0.009829,-0.010374,-0.009662,-0.012398,-0.008524
1.330528,5.93471,1.382387,1.100284,1.418523,0.643293,4.229949,4.116901,0.469028,3.603293,-0.122214,0.180817,0.290245,3.231954,0.190861,-0.122192,-0.114755,0.336416,1.344975,0.098101,-0.015141,0.278306,0.179265,0.098228,0.274789,-0.047441,-0.042946,-0.099825,0.057777,-0.030064,0.094888,-0.003452,-0.260909,0.008754,-0.025232,0.129464,-0.009263,-0.016911,0.058522,0.035419,0.542724,0.229319,0.231745,0.724805,0.570331,0.390571,0.044464,0.570639,-2.691917,-0.648455,-0.065684,0.250124,2.223296,0.246016,2.268703,-0.391685,-0.389885,0.040904,0.348834,0.473695,0.230744,-0.057836,-0.112563,0.179197,0.314548,0.225425,0.106018,0.319188,-0.036109,0.013325,0.033346,0.032575,0.001345,0.016275,0.175888,0.114611,0.249674,0.285669,-0.076398,-0.035913,-0.061903,-0.031451,-0.560667,0.001665,-0.073586,-0.026756,0.029201,-0.001142,-0.014098,-0.050615,0.029025,-0.10597,0.55483,-0.261552,0.041858,-2.471177,0.741097,0.416114,-0.058904,0.219211,0.038205,-0.104663,-0.711481,-0.048619,-2.518025,-0.638415,-1.431267,-3.526114,-0.888902,-2.678699,-2.508471,0.331609,0.333845,-2.360916,-0.720767,-0.616646,-1.186208,-0.131043,0.000704
1.419965,4.19164,2.16518,1.469902,0.575961,-1.552655,3.067653,2.566691,-0.401268,3.329207,-0.275754,-0.532392,-0.36741,3.813198,0.346299,0.068863,0.047667,-0.591683,0.688897,-0.23647,-0.067144,-0.406372,-0.229347,-0.174183,-0.344559,-0.05164,0.059018,-1.410766,-0.122987,-0.510032,-0.181245,-0.016293,-0.356022,-0.062836,-0.569106,-0.191756,-0.038963,0.082067,-0.078222,-0.659925,-0.559362,-0.644674,-1.139731,1.083514,-0.913554,-0.42366,-0.689429,-0.695825,-3.057714,-1.670637,-0.154471,2.103311,4.694754,1.690064,4.344522,1.00656,0.419133,-0.035932,-0.386671,-1.038143,-0.458354,-0.175146,0.000316,0.335496,-0.27508,-0.241997,-0.08143,-0.247469,0.008347,0.060716,0.014877,0.01143,0.017412,-0.082241,-0.234751,-0.222479,-0.438098,-0.361167,-0.016721,0.069959,-0.17526,0.011383,0.471815,0.01763,-0.063451,-0.01572,0.011933,0.017437,0.10625,0.106159,-0.050222,-0.363961,-0.290891,-1.40254,-0.086162,-3.056517,1.867695,-0.121349,-0.410756,-0.226775,0.007872,-0.306455,-0.869791,-0.340239,-2.74629,0.429808,0.160372,-1.523565,-0.991555,-3.059494,-3.217781,-0.847423,-0.830777,-3.128185,-1.001953,0.34962,-0.494502,0.001111,-0.004577
1.401785,3.306494,2.376203,1.637672,1.195292,2.924049,1.813563,2.568126,0.530592,2.224967,0.50349,0.265253,0.249445,2.337528,0.236352,-0.081824,-0.098716,-0.224659,0.432461,-0.088204,0.041266,-0.270754,-0.136146,-0.068668,-0.136409,0.126262,-0.096375,2.373938,-0.135063,0.769223,-0.07319,-0.00999,-0.2361,-0.027859,0.723928,-0.085128,0.04191,-0.149007,-0.045464,-0.482935,-0.389275,-3.31304,-0.283828,-2.036796,0.201533,-0.084233,-0.088727,-0.167175,-3.497817,2.179991,0.283458,-1.82421,3.268329,1.813618,4.13624,1.051055,0.231407,-0.022995,-0.165878,0.5465,0.050086,0.204458,0.031073,0.289693,-0.410848,-0.06509,-0.004497,-0.200835,-0.056283,-0.025603,-0.03382,-0.029492,-0.030397,0.007001,-0.0607,-0.111469,-0.062142,-0.217787,0.002242,-0.091829,0.209686,-0.00557,0.224532,-0.03562,-0.019596,-0.054112,-0.031799,-0.031028,-0.20589,-0.233205,0.00155,-0.604416,-0.4192,-1.371077,0.022754,-3.873269,-1.932093,-0.377634,-0.449653,-0.083211,0.027214,-0.310929,-1.453436,-0.28416,-4.214153,-0.211245,-1.463646,-3.709305,-1.137056,-4.141837,-3.902148,-0.603718,-0.619241,-4.435763,-1.046311,0.227678,-1.011725,0.010293,0.000345
0.007352,-0.000608,-0.000578,-0.000456,-0.000286,-0.000117,3.4e-05,5e-05,5.3e-05,5.4e-05,9.1e-05,-8e-06,-7.9e-05,2e-06,0.0,-0.0,-0.007908,-0.007978,-1e-06,-1e-06,-0.0,-0.000103,-0.000111,-6.1e-05,2e-06,-0.007879,-0.007862,-2e-06,-6e-06,-3e-06,-0.000113,-9.3e-05,1e-06,7.1e-05,-0.007922,-6.1e-05,-1.5e-05,-1.3e-05,-8.4e-05,-5.9e-05,-0.000114,-0.000104,3e-06,5e-06,-6.8e-05,-0.000148,-0.000297,-0.000381,0.00758,-0.000168,-6.1e-05,0.008049,0.000102,4e-06,-4e-06,0.007946,1e-06,-0.0,6e-06,-4.4e-05,1e-06,-0.0,-5e-05,-0.000116,-0.00011,-0.007963,1.3e-05,1e-06,-0.007953,-1e-06,-3e-06,0.007946,-2e-05,-2.3e-05,-2.4e-05,2.2e-05,-6.5e-05,-8.6e-05,-9.2e-05,-7.3e-05,-4.2e-05,3e-06,3.1e-05,-1e-06,-4.8e-05,-7e-05,1e-06,2e-06,3e-06,-3e-06,-3e-06,-6.5e-05,-1e-06,3e-06,-6.2e-05,-3.2e-05,-6.5e-05,-0.000121,-6.7e-05,-1.1e-05,3.7e-05,-0.007958,-2.1e-05,-9.3e-05,-0.000178,-0.000147,-3.6e-05,1.5e-05,3.2e-05,-1e-06,0.007956,0.00784,0.007835,0.007838,0.015784,0.015727,0.015698,0.015595,0.023518
0.01074,0.010916,0.016566,0.017581,0.01363,0.009688,0.010995,0.005764,-0.00499,-0.004956,0.000796,-3.4e-05,-0.00606,0.005428,-4e-06,2e-06,0.000419,-0.000174,-7e-06,3e-06,5e-06,-0.000844,-0.000922,-0.000506,2.6e-05,0.000678,-0.00456,-1e-05,-0.005425,-1.2e-05,-0.000921,-0.000766,-5e-06,0.000571,0.000376,-0.000511,-0.000106,-0.000108,-0.000692,-0.000493,-0.000938,-0.000857,2.7e-05,4.4e-05,-0.000548,-0.00121,-0.00245,-0.003152,0.002005,0.003975,0.004868,0.000509,0.000872,-0.005384,-0.005452,-0.000362,4e-06,3e-06,4.3e-05,-0.000377,5e-06,2e-06,-0.000421,-0.000996,-0.000943,0.000255,0.000118,9e-06,0.000342,-1.9e-05,-2.4e-05,-0.000416,-0.000164,-0.000192,-0.000199,0.000205,-0.00053,-0.00071,-0.000779,-0.00063,-0.00035,3.5e-05,0.000272,-5e-06,-0.000411,-0.000583,2e-05,1.3e-05,3.8e-05,1e-06,0.0,-0.000525,-6e-06,3.7e-05,-0.000523,-0.000262,-0.00054,-0.001016,-0.000567,-9.6e-05,0.000306,0.00038,-0.000176,-0.000795,0.003941,-0.001255,0.005123,0.005549,0.005718,0.010908,0.010678,0.00974,0.009729,0.01548,0.021174,0.026996,0.02711,0.026861,0.022052
-0.019996,-0.019835,-0.023845,-0.022541,-0.016339,-0.010102,-0.008384,-0.003842,0.004864,0.004904,0.001046,-4.2e-05,0.003452,-0.004283,-6e-06,6e-06,0.000523,-0.00026,-7e-06,8e-06,1e-05,-0.001109,-0.001212,-0.000667,3.7e-05,0.00086,0.005391,-1.4e-05,0.004284,-1.9e-05,-0.001213,-0.001011,-9e-06,0.00075,0.000462,-0.000673,-0.00014,-0.000145,-0.000917,-0.000653,-0.001236,-0.001132,3.4e-05,6.2e-05,-0.000725,-0.001601,-0.003249,-0.004189,-0.008813,-0.00623,-0.005038,0.000706,0.00116,0.00434,0.004247,-0.000457,1e-06,1e-06,5.5e-05,-0.000503,8e-06,6e-06,-0.000561,-0.001333,-0.001264,0.000316,0.000155,1.1e-05,0.000432,-2.4e-05,-3.1e-05,-0.00053,-0.000221,-0.000261,-0.000268,0.000271,-0.00071,-0.000955,-0.001046,-0.000847,-0.00047,4.5e-05,0.000365,-5e-06,-0.000552,-0.000783,2.6e-05,1.5e-05,5.2e-05,3e-06,2e-06,-0.000701,-7e-06,4.9e-05,-0.000701,-0.000351,-0.000726,-0.001367,-0.000761,-0.000129,0.000412,0.00048,-0.000231,-0.001068,-0.006284,-0.001694,-0.004698,-0.004121,-0.003896,-0.008503,-0.008794,-0.010068,-0.01009,-0.013952,-0.017915,-0.021701,-0.021563,-0.021935,-0.016914
-0.007391,0.412551,0.034321,0.014155,-0.053256,-0.000581,0.085001,0.050942,-0.037681,-0.037726,-0.005462,0.002725,-0.038494,0.027597,-8.9e-05,8.8e-05,-0.000911,-0.001702,3.2e-05,2.6e-05,2.9e-05,2.1e-05,-0.00075,9e-06,4e-06,-0.000983,-0.03657,6e-06,-0.035601,-7e-06,-0.00076,-0.000173,-0.000267,0.000555,-0.001126,-9.7e-05,-8.3e-05,-6e-05,-3.9e-05,-2e-05,-0.000788,-1.6e-05,-1.4e-05,5e-06,-5e-06,0.143039,0.005137,-0.001292,0.035615,0.035236,4.5e-05,0.005682,-0.01342,-0.035642,-0.036445,0.00024,-0.000467,-0.000789,-0.002594,-0.000554,-0.000183,-0.000149,-0.000104,-7.5e-05,-0.000837,-0.001027,-3.2e-05,-2e-05,-0.001001,-2.2e-05,-9e-06,0.000975,-1.2e-05,-1.3e-05,-1.7e-05,-8e-06,-1.4e-05,-1.4e-05,-1.2e-05,-6e-06,-9e-06,-1.4e-05,-6e-06,-1e-06,-5e-06,-1.1e-05,-7e-06,-4e-06,-2e-06,2e-06,-3e-06,-0.000769,-2e-06,-3e-06,2e-06,-1e-06,-1.2e-05,-0.000775,3e-06,-6e-06,2e-06,-0.000976,9e-06,1.1e-05,0.034842,-0.000767,0.03561,0.035619,0.023472,0.07958,0.078837,4e-06,0.082079,0.11526,-0.354526,0.128677,0.173609,0.116539,-0.044951
