0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0.000437,0.0004,0.000449,0.000507,0.00055,0.000602,0.000961,0.000943,0.000922,0.000909,0.000936,0.00824,0.000591,0.000599,0.000958,-0.00633,-0.006349,0.001284,0.000882,-0.006373,-0.00638,-0.006798,0.000395,-1.8e-05,-2.3e-05,2.8e-05,0.000421,-3e-06,-2.6e-05,-3.7e-05,-2.3e-05,-2.5e-05,-1.6e-05,-5.1e-05,-5.5e-05,-0.000415,-0.000824,0.005982,-0.002051
-0.003646,-0.004651,-0.00324,-0.001553,-0.00032,0.001348,-0.00451,-0.005043,-0.005576,-0.005882,-0.005043,-0.004276,0.001548,0.001931,-0.004255,-0.005179,-0.005751,-0.011408,-0.006541,-0.006549,-0.006821,-0.002651,-0.004712,-0.000434,-0.000598,0.000936,-0.004063,-2.3e-05,-0.000717,-0.001072,-0.000683,-0.000718,-0.000483,-0.001499,-0.001654,0.004217,0.008636,0.011452,0.021617
0.006037,0.00504,0.006444,0.008112,0.009328,0.010949,0.014777,0.014246,0.013708,0.013397,0.014194,0.014338,0.010983,0.011316,0.014875,0.014558,0.014004,0.017509,0.012671,0.013237,0.012973,0.007481,0.004985,-0.000402,-0.000554,0.000872,0.005591,-1.9e-05,-0.000666,-0.000994,-0.000632,-0.000662,-0.000446,-0.001397,-0.001544,-0.005452,-0.010715,-0.018043,-0.026739
0.157147,-0.038092,-0.040473,0.144855,-0.042573,-0.03303,-0.070614,-0.074139,-0.071628,-0.077733,-0.077244,-0.068084,-0.046921,-0.032841,-0.071082,-0.077486,0.134585,-0.103711,-0.049033,-0.083414,0.051845,-0.049456,-0.042404,-0.002781,0.032829,0.000474,-0.036591,-2.2e-05,0.237177,-0.003029,-0.011404,0.067066,-0.009089,-0.000572,-0.002134,0.036212,-0.234252,-0.168469,-0.19828
0.158596,0.00925,0.005606,-0.329788,0.010203,-0.018665,-0.006622,0.004677,0.006445,0.009017,0.00888,-0.021782,0.09021,-0.016978,0.006625,0.027965,-0.371146,-0.004789,-0.040004,0.040516,-0.15577,0.03735,0.014177,0.004752,-0.065701,-0.011477,0.009684,2.6e-05,-0.477971,0.002845,0.087026,-0.134439,0.016734,0.000412,0.012886,-0.009706,0.601521,0.585592,0.783841
-0.088533,-0.017491,0.010468,-0.182387,0.013887,0.029369,0.014666,-0.010031,-0.011205,-0.007232,-0.007429,0.043647,-0.168097,0.032274,-0.011607,-0.038412,-0.257216,-0.040031,-0.038141,-0.03182,-0.362804,-0.039365,-0.014439,0.002403,-0.036338,0.026277,-0.018671,-3e-05,-0.257395,0.002261,-0.17923,-0.072838,0.008599,-0.000111,-0.026139,0.018265,0.338755,0.171203,0.292063
3e-06,-9e-06,-1e-06,9e-05,-2e-06,0.0,0.000155,-1e-06,-2.4e-05,3e-06,-0.000258,-2e-06,9.1e-05,-0.006907,-2.4e-05,1e-06,-0.0,-0.0,-3e-06,-1e-06,-2e-06,-0.000154,-0.00013,-0.006915,0.0,-0.0,-4e-06,-0.000132,-0.000414,-0.000261,9e-05,-3e-06,5.7e-05,5.6e-05,0.000116,-0.0069,-0.006884,-0.006963,-4.4e-05
1.1e-05,-3e-05,4e-06,0.000397,-4e-06,2e-06,0.000678,4e-06,-9.9e-05,6e-06,-0.005163,-1e-06,0.000401,0.000998,-0.000105,3e-06,0.0,1e-06,-1.3e-05,3e-06,0.0,-0.000661,-0.000555,0.000973,8e-06,8e-06,-1e-06,-0.00056,-0.005821,-0.005152,0.000404,0.0,0.000245,0.000239,0.004529,0.005045,0.009109,0.012736,0.015818
9e-06,-2.5e-05,4e-06,0.000319,-3e-06,1e-06,0.000542,4e-06,-7.8e-05,6e-06,0.004594,-1e-06,0.000322,0.000727,-8.1e-05,4e-06,3e-06,2e-06,-9e-06,3e-06,5e-06,-0.000526,-0.00044,0.000708,9e-06,1e-05,1e-06,-0.000447,0.004065,0.004605,0.000326,2e-06,0.000196,0.000192,-0.0051,-0.004763,-0.01023,-0.016045,-0.02221
-5e-06,-1.1e-05,-4e-06,-3e-06,-1.4e-05,-5e-06,0.000871,-4e-06,-3e-06,-2e-06,-0.035234,-6e-06,-6e-06,-0.000991,2e-06,1e-06,9e-06,9e-06,8e-06,-0.0,6e-06,-1e-06,6e-06,-0.000983,8e-06,-6e-06,-9e-06,-5e-06,-0.035216,-0.035229,-5e-06,-1e-05,2e-06,8e-06,0.035224,0.033718,0.046933,-0.134399,-0.513834
-4e-06,-1.1e-05,-6e-06,-3e-06,2e-06,-6e-06,-0.012748,2e-06,-1.5e-05,5e-06,0.015304,-3e-06,-8e-06,0.014725,-3e-06,5e-06,1e-06,2e-06,4e-06,-4e-06,-1e-06,1e-06,-4e-06,0.014711,-5e-06,-5e-06,-7e-06,-4e-06,0.015333,0.015336,-4e-06,3e-06,8e-06,-5e-06,-0.015353,0.01206,-0.116799,-0.253804,-0.012432
1.4e-05,-1e-06,1.1e-05,1.5e-05,3e-06,1e-06,0.025831,1.1e-05,-3e-06,5e-06,-0.017212,-3e-06,-1e-05,-0.029556,3e-06,0.0,1e-05,9e-06,9e-06,-0.0,9e-06,-1e-06,6e-06,-0.029556,5e-06,-1e-05,-1e-05,-3e-06,-0.017194,-0.017203,-3e-06,2e-06,1.2e-05,1.2e-05,0.0172,-0.038292,-0.067166,-0.342499,-0.712514
