0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0.008321,0.008324,0.008331,1.1e-05,-0.008813,-0.008814,-0.008816,-0.00934,-0.018703,-0.010841,-0.01969,-0.01971,-0.027618,-0.028127,-0.028197,-0.027802,-0.036161,-0.035273,-0.034804,-0.034728,-0.034628,-0.034114,-0.033384,-0.033364,-0.033243,-0.024672,-0.016134,-0.016176,-0.00748,0.000888,0.009043,0.009305,0.009315,0.009416,0.018123,0.009365,0.009621,0.009864,0.010177,0.01032,0.002069,0.01018,0.00209,0.01011,0.00174,0.001734,0.001292,0.00149,0.001499,0.001366,0.0013,0.000926,0.001132,0.001108,0.00107,0.00931,0.00076,0.000812,0.001137,0.000845,-0.006993,-0.007406,0.000776,-0.007527,0.000229,0.000544,-0.007656,-0.007593,0.000619,0.000291,0.000183,2.7e-05,-1.3e-05,-3.3e-05,-5.4e-05,-0.000384,-6e-06,-6.7e-05,4e-06
3.4e-05,-0.000166,-0.000665,-0.002029,0.000812,0.000155,-0.000838,0.002906,0.013098,0.0194,0.023158,0.021618,0.014271,0.019646,0.019009,0.014122,0.014925,0.006319,0.002965,0.005173,0.006553,0.003011,-0.007379,-0.006836,-0.005204,-0.003566,-0.002463,-0.002765,-0.008326,-0.008678,-0.002863,-0.008649,-0.008569,-0.00776,-0.013441,7.2e-05,0.003664,-0.003445,-0.008851,-0.007301,-0.005854,0.000409,-0.005334,0.000467,0.000216,0.000368,0.004873,-0.00186,-0.001699,-0.00306,-0.003719,0.001312,-0.005507,-0.005752,-0.006156,-0.00606,-0.000382,0.000248,-0.005281,0.000657,-0.004341,5.8e-05,-0.000201,-0.001506,0.002657,-0.002894,-0.003078,-0.002431,-0.002093,0.003222,0.002046,0.00034,-0.000108,-0.000343,-0.000588,0.004691,-7.3e-05,-0.000724,2.2e-05
-0.001092,-0.001426,-0.002232,-0.003257,-0.010466,-0.011565,-0.0132,-0.020247,-0.02876,-0.032861,-0.03884,-0.041717,-0.039978,-0.044599,-0.046222,-0.041528,-0.039335,-0.027127,-0.019399,-0.015618,-0.013195,-0.005543,0.003853,0.004762,0.00761,0.009818,0.011116,0.010512,0.013955,0.012694,0.008467,0.012108,0.012203,0.013613,0.016807,0.013536,0.019678,0.021058,0.025258,0.027778,0.030704,0.027049,0.031184,0.026602,0.026731,0.02673,0.020748,0.022748,0.022923,0.020665,0.019533,0.014635,0.016674,0.016253,0.015591,0.015057,0.011822,0.012717,0.016775,0.01325,0.018703,0.012896,0.011862,0.01056,0.003851,0.007894,0.008234,0.009154,0.009019,0.004616,0.002923,0.000489,-0.000149,-0.000487,-0.000837,-0.005277,-0.000105,-0.001035,3e-05
0.00046,0.002184,0.002126,-0.097776,-0.313353,-0.245948,-0.130623,-0.216139,-0.271353,-0.446413,-0.37389,-0.390353,-1.776954,-0.574083,-0.349669,-1.380442,-1.309447,-1.452822,0.097133,-0.895939,0.12426,0.036756,-0.350525,-0.046963,-0.254,0.384072,0.472559,0.542816,0.583222,0.420116,0.741916,0.445346,0.6155,0.610731,0.775799,-0.043226,-2.566954,-0.840181,-1.166963,0.125454,0.59394,0.44795,-0.200979,-0.931648,0.565104,0.425435,0.587124,0.533313,0.488243,-0.011246,0.52456,0.175952,0.092041,0.142607,0.340677,-0.099335,0.13599,-0.002701,-0.025935,0.030713,-0.079841,0.347204,-0.050219,0.013316,0.000908,0.154794,-1.46478,-0.035638,-0.034354,0.00187,2.1e-05,1e-06,-1.1e-05,-0.01238,-0.0124,-1.415542,0.011068,0.003506,-0.413572
-0.001654,-0.015119,-0.015145,0.141938,0.464241,0.376532,0.268092,0.325032,0.485204,0.715678,0.689833,0.675396,0.128311,0.795951,0.644217,-0.559018,-0.583263,-2.50237,-0.133305,-1.046723,-0.00281,0.040848,-1.644158,0.081501,-0.503068,-0.478644,-0.584177,-0.753013,-0.738852,-0.543285,-0.75406,-0.766083,-0.885482,-0.891646,-0.852483,-0.164121,-2.434736,-0.751299,-2.335909,-0.238494,-0.675645,-0.509651,-0.345402,-2.293546,-0.576619,-0.464932,-0.620705,-0.549131,-0.499618,-0.086157,-0.516274,-0.20992,-0.159287,-0.201363,-0.34559,0.087359,-0.176259,-0.053856,-0.042979,-0.085106,0.009002,-0.346819,-0.003569,-0.039112,-0.010978,-0.172447,-2.079299,0.014253,-0.00213,-0.012627,0.000179,0.000117,9.7e-05,0.0888,0.088816,-2.089733,-0.006735,0.019483,0.373338
0.004007,0.029397,0.029355,0.047782,0.170629,0.159928,0.081668,0.359292,0.461938,0.660194,0.606236,0.86574,-0.094206,0.85647,0.536258,-0.14456,-0.125755,1.656335,0.170974,-0.889677,-0.189622,-0.150234,1.995549,-0.143146,-0.30858,-0.193955,-0.470307,-0.340416,-0.556601,-0.376727,-0.531772,-0.003768,-0.092855,0.08028,-0.082089,0.201669,-4.189004,-1.22259,1.247536,-0.095215,-0.367595,-0.192583,-0.462089,1.472673,-0.295099,-0.226459,-0.321806,-0.262833,-0.229061,-0.025345,-0.226213,-0.087258,-0.082608,-0.101645,-0.188622,-0.171262,-0.064396,-0.00458,-0.057959,-0.023816,-0.034373,-0.244141,0.032099,-0.058147,0.027746,-0.07687,1.029573,-0.021568,0.008095,0.026295,0.000395,0.000262,0.000216,-0.177395,-0.177428,1.116463,0.000923,-0.007842,0.164326
-0.000209,-0.000229,-0.000575,0.007607,0.00733,0.007089,0.006962,-0.00117,-0.000837,-0.000482,0.008001,-9.6e-05,-1.2e-05,0.00819,0.00816,0.000123,0.000164,-0.008102,3.1e-05,2.3e-05,-2.8e-05,-0.008335,-0.000144,-0.008355,-0.000299,-0.008286,-0.007758,-0.007495,-0.02336,-0.023278,-0.015272,-0.00773,-0.008224,-0.000177,-0.000202,0.007974,0.008123,0.008177,0.008195,-1e-06,-0.008192,-2e-06,-0.008166,-2e-06,-0.008173,1e-06,5.2e-05,3.5e-05,-1.7e-05,-2.9e-05,-2.6e-05,-1.3e-05,1e-06,-2e-06,4.3e-05,-2e-06,1e-06,1e-06,-1e-06,-2.2e-05,-2.7e-05,-4e-06,-4.7e-05,-2.9e-05,-4.8e-05,-8.2e-05,-1.4e-05,4e-06,-8e-06,1.1e-05,1.3e-05,-5.3e-05,-1.3e-05,-1e-06,-0.0,-2e-06,-2e-06,3.3e-05,-2e-06
-0.001074,-0.001432,-0.008954,-0.005026,-0.006991,0.001351,0.000926,0.007543,0.020196,0.027813,0.033784,0.035736,0.041743,0.035712,0.030662,0.027273,0.022184,0.016854,0.005164,0.000136,-0.005476,-0.005795,-0.006242,-0.005796,-0.007167,-0.005282,0.003502,0.010393,0.009352,0.009452,0.002597,-0.001872,-0.004922,-0.001044,-0.001216,-0.001692,-0.000808,-0.000459,-0.000355,-7e-06,0.000365,-8e-06,0.000541,-2e-06,0.000493,-1e-06,0.000333,2.2e-05,-0.000102,-0.000175,-0.000163,-0.000103,7e-06,5e-06,0.000279,-4e-06,-2e-06,-1e-06,-2.4e-05,-0.000135,-0.000163,-2.4e-05,-0.00028,-0.000177,-0.0003,-0.000504,-8.9e-05,1.7e-05,-4.7e-05,7.7e-05,8.4e-05,-0.000333,-8.7e-05,4e-06,4e-06,2e-06,-0.0,-3e-06,-0.0
-0.001608,-0.002149,-0.001081,-0.007384,-0.010416,-0.022798,-0.023489,-0.026264,-0.03204,-0.032962,-0.036208,-0.033461,-0.036924,-0.033491,-0.028668,-0.021344,-0.016515,-0.012227,-0.004701,0.000219,0.00425,0.003542,0.003016,0.003536,0.001538,0.004348,0.005445,0.003397,0.014174,0.014155,0.016393,0.009599,0.004837,-0.001622,-0.001889,-0.002378,-0.001016,-0.000471,-0.000312,-1.3e-05,0.000323,-1.2e-05,0.0006,-0.0,0.000518,1e-06,0.000522,2.8e-05,-0.000162,-0.000276,-0.000256,-0.000162,1e-05,9e-06,0.000437,-2e-06,-6e-06,-3e-06,-3.6e-05,-0.00021,-0.000252,-3.7e-05,-0.000436,-0.000276,-0.000467,-0.000788,-0.000138,2.8e-05,-7.3e-05,0.000122,0.000131,-0.000524,-0.000134,7e-06,9e-06,7e-06,2e-06,1.1e-05,-0.0
0.427255,-0.001244,-0.035441,0.006076,-0.000911,-0.035519,-4.626522,0.106865,0.148371,0.221135,0.22618,-1.051715,0.094621,-1.285598,-0.443641,-1.626832,-1.134506,-0.68513,-3.753543,-0.356692,0.274823,0.112285,0.136796,0.047966,1.273264,1.435186,3.948809,-0.987123,-1.389672,-0.026736,-0.066793,1.281444,0.089061,-0.004081,-0.005018,0.0059,0.00102,0.005849,0.000897,-0.00017,-0.001106,0.340665,-0.001274,0.004506,-0.001247,-0.000281,-0.000303,3.770463,-0.000388,-0.00037,-0.000261,1.145153,-0.000245,-0.000267,-0.00029,-0.000252,-0.286204,0.001235,-3.3e-05,-0.000159,-0.0001,-0.000191,-0.000154,-0.000103,-0.000176,-0.000274,-0.000285,-0.000205,0.00454,0.104056,-0.000231,0.002583,-0.000249,-0.000283,-0.000193,0.031133,-0.016597,3.837246,-0.005757
