0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0.012083,0.017866,0.017795,0.018082,0.024497,0.018364,0.018358,0.019183,0.018846,0.019036,0.019395,0.018565,0.018587,0.018762,0.018367,0.018462,0.019629,0.019353,0.018969,0.012784,0.012734,0.01351,0.008378,0.007226,0.007157,0.006943,0.006813,0.00645,0.0052,0.006355,0.006497,0.006849,0.001125,0.006201,0.006571,0.012363,0.012053,0.012074,0.011437,0.010835,0.005896,0.011436,0.005363,0.012554,0.005464,0.005372,-0.000142,-0.001382,-0.000579,-0.000603,-0.00113,-0.006512,-0.006106,-0.004629,-0.004292,0.001143,0.011406,0.005391,0.005393,-0.000239,0.00073,0.000528,-0.001067,-0.000137,-0.000192,0.000466,-0.000588,-0.000608,-0.000574,-0.000462,-0.000519,0.005066,0.004881,0.004648,0.004051,0.004033,0.004097,-0.001675,-0.000451,-0.001271,0.000183,-0.006078,-0.001239,-0.006243,-0.005406,-0.005056,-0.005242,-0.005458,-0.00556,-0.005709,0.000138,-0.000771
0.001589,0.004291,0.004757,0.002179,0.00029,-6.3e-05,-0.000117,-0.005846,-0.003291,-0.004381,-0.006389,-0.0008,-0.000881,-0.001825,0.001206,0.000797,-0.006056,-0.004406,-0.002417,-0.002487,-0.002221,-0.006917,-0.013209,-0.006691,-0.006333,-0.005321,-0.004705,-0.003031,0.003756,-0.002663,-0.003325,-0.004932,-0.007356,-0.000896,-0.002535,-0.000431,0.000894,0.000786,0.004683,0.007198,0.000306,0.003269,0.002386,-0.002754,0.001891,0.00223,-0.002096,0.004224,-0.000323,-0.000206,0.003245,-0.00013,-0.00046,-0.006545,-0.007959,-0.004718,0.004313,0.003402,0.003381,0.000959,-0.004265,-0.003446,0.00431,-0.000767,-0.000547,-0.004523,0.001054,0.001145,0.001007,0.000563,0.000789,0.003174,0.003893,0.004775,0.007082,0.00711,0.006767,0.00528,-0.00091,0.003656,-0.003426,-0.001449,0.004871,0.000581,-0.002737,-0.004221,-0.00342,-0.002636,-0.002151,-0.001554,-0.000533,0.004426
-3.8e-05,0.00125,0.001564,0.007392,0.013081,0.013371,0.013323,0.016998,0.011173,0.010449,0.009106,0.005294,0.00524,0.00457,-0.000931,-0.001217,0.00175,0.002846,0.004157,0.004714,0.004882,0.009336,0.013321,0.010106,0.010364,0.011049,0.011458,0.012566,0.009447,0.012784,0.012346,0.011296,0.010298,0.006371,0.005313,0.006094,0.00694,0.006869,0.001851,0.003448,0.007116,0.008422,0.008413,0.012065,0.00808,0.008283,0.013562,0.010043,0.014616,0.014651,0.009334,0.007807,0.000247,-0.00342,-0.004283,-0.002862,0.001562,0.001528,0.001518,0.000578,0.004794,0.005289,0.002601,0.006898,0.007028,0.01199,0.007963,0.007999,0.007911,0.007635,0.007753,0.008634,0.009039,0.009523,0.010805,0.010795,0.010556,0.010138,0.01384,0.009178,0.012404,0.006779,0.00266,0.000754,-0.001051,-0.001885,-0.001422,-0.001025,-0.000731,-0.000411,-0.000362,-0.004705
0.17207,0.247972,0.270026,-4.380762,0.216273,0.40052,0.312097,-1.157381,0.330137,0.161976,-1.030097,0.284757,0.120104,-3.640362,0.109271,0.338928,0.307457,-0.028598,-1.060714,0.107211,-0.867589,0.043583,0.229895,0.069737,0.14101,0.006216,0.150088,-0.080834,-0.013801,-0.075736,0.133051,0.019148,-0.164845,-0.032971,-0.029626,-0.044858,-0.02882,-0.034818,0.023222,-0.823351,-0.029898,-0.440538,-0.036945,0.258417,0.265163,0.014689,-0.091808,0.050326,-0.065539,-0.086017,0.291021,-0.054582,-0.001921,-0.003842,-0.003898,-0.001956,0.004291,-0.019027,0.011757,0.000123,0.096346,-0.047024,-0.009575,-0.033683,-0.048236,0.298193,0.028426,-0.046088,-0.035346,-0.033495,-0.031391,-0.016462,-0.036798,-0.031701,-0.049479,0.313589,-0.032563,-0.052988,-0.072983,-0.033661,-0.073011,0.154532,-0.013026,0.001097,-0.015855,1.399051,0.032647,1.39673,0.000938,0.455522,2.14859,0.183954
-0.710505,-0.867527,-0.963593,-2.219242,-0.789417,-1.047088,-0.936034,-1.051435,-0.830529,-0.606071,-0.930411,-0.631534,-0.371211,-1.765961,-0.345859,-0.559227,-0.538879,-0.030932,-2.038058,-0.315489,-0.821774,-0.58586,-0.723616,-0.377648,-0.450773,-0.114348,-0.269672,-0.01286,-0.06922,-0.00855,-0.238368,-0.123715,-0.028581,-0.021562,-0.00345,-0.013501,-0.038699,-0.050218,-0.134229,-0.515182,-0.023012,-0.725083,-0.035725,-0.417711,-0.331409,-0.086866,0.083704,-0.12826,-0.038171,-0.008328,-0.394807,0.018762,0.016202,0.030662,0.030584,0.015303,-0.030283,0.105624,-0.035942,-0.00016,-0.139762,0.013264,-0.005946,-0.009925,-0.001036,-0.396162,-0.092917,-0.000307,-0.008352,-0.010071,-0.025026,-0.064522,-0.034554,-0.02538,0.052382,-0.439573,-0.037615,0.074143,-0.016438,-0.01028,-0.016463,-0.20551,-0.002662,0.020227,0.023574,2.036088,0.065496,2.03152,0.019755,0.676876,2.409412,-0.010225
0.280518,0.236667,0.11644,-2.671768,0.070221,-0.160766,-0.089206,-0.857673,-0.0436,0.143413,-1.123532,-0.105896,0.055991,-3.789567,0.301914,-0.041837,-0.085353,0.068895,1.661917,0.077338,-1.23232,0.163549,-0.169256,0.22071,0.182467,-0.06417,-0.166334,0.002088,0.027647,0.016974,-0.138518,-0.067847,-0.134065,0.035148,0.006251,0.039055,0.062482,0.070137,0.223713,-1.293601,0.03188,0.550785,0.00134,-0.248731,-0.168138,-0.020116,-0.175067,-0.053421,-0.02024,0.007007,-0.274191,-0.023648,-0.027451,-0.052543,-0.05275,-0.023827,0.058912,-0.118578,0.052655,-9e-05,-0.118203,-0.020238,0.025674,0.003719,0.002369,-0.245795,-0.062506,0.005798,0.004808,0.004103,0.028413,0.03207,0.058494,0.032911,-0.087177,-0.210845,0.058175,-0.153524,0.007575,0.003613,0.007492,-0.153017,0.026549,-0.030895,-0.032149,-1.287448,-0.059891,-1.284944,-0.032011,-0.436483,0.198239,0.231368
0.007086,0.00067,0.007042,0.000907,0.013647,0.013226,0.019264,0.012867,0.013074,0.012753,0.012766,0.018918,0.012858,0.018909,0.018909,0.012428,0.012363,0.012369,0.006347,0.006356,0.012538,0.006204,0.006144,0.006263,0.006173,0.006277,0.006191,0.006296,0.006303,0.00648,0.006514,0.000339,0.006722,0.006838,0.00692,0.000496,0.000185,0.006172,-0.000123,0.006228,6e-06,-1.4e-05,5.8e-05,0.00638,0.000144,8.8e-05,0.006429,0.00641,4.2e-05,2e-06,-9.7e-05,0.006142,-0.000238,-0.000225,-0.000247,1.2e-05,0.000225,-0.005812,-0.005911,0.000195,3e-05,-1.1e-05,-6.9e-05,-2e-06,1e-05,8e-05,0.000204,0.000333,0.000232,0.000247,0.000125,0.000154,0.00013,0.000128,0.00626,-5e-06,-1e-06,2.3e-05,0.000101,9e-05,0.006383,7.6e-05,4.5e-05,5e-06,-3e-05,-2.6e-05,0.006266,0.006287,0.006332,0.006259,0.006228,0.006354
-0.004424,-0.008346,-0.008583,-0.00711,-0.003456,-0.005612,-0.007491,-0.003463,0.001788,-0.004168,0.000126,-0.005268,-0.003395,-0.005314,-0.005353,-0.006127,-0.006604,-0.006657,-0.000127,-6.5e-05,-0.005643,-0.005442,-0.005863,-0.005078,-0.005758,-0.000656,-0.005724,-0.000567,-0.000539,0.000793,0.001071,0.002579,-0.001745,-0.000801,0.00443,0.003905,0.001484,-0.005862,-0.000949,-0.000935,3.5e-05,-0.004647,0.000468,-0.004263,-0.003387,0.000732,0.000716,0.000564,0.000343,2.4e-05,-0.000817,-0.001659,-0.001988,0.002736,0.002545,8.5e-05,-0.002751,-0.000164,0.003629,0.001654,0.000266,-7.7e-05,-0.005204,-1e-05,8.9e-05,0.000688,0.001733,0.002797,-0.002671,0.002097,0.001068,0.001292,0.0011,0.001082,-0.000512,-4.5e-05,-1.4e-05,0.000191,0.000849,0.000759,0.000546,0.000658,0.000397,4.3e-05,-0.000255,-0.000221,-0.000441,-0.000255,0.004804,-0.00048,-0.000756,0.000301
0.012458,0.017846,0.017588,0.018585,0.012874,0.011585,0.01034,0.00525,0.000735,0.004851,-0.000241,0.004039,0.005274,0.004008,0.003985,0.003695,0.003419,0.003391,-0.000245,-0.000211,0.003975,0.004257,0.004012,0.004473,0.004083,-0.000546,0.004111,-0.000499,-0.000484,0.000285,0.000445,0.001479,0.006397,0.006935,0.002359,0.002222,0.000843,0.004038,-0.00054,-0.000703,2e-05,0.0049,0.000262,0.004948,0.005618,0.000412,0.00023,0.000141,0.000189,9e-06,-0.000469,-0.001121,-0.001132,-0.005998,-0.006108,4.7e-05,0.005988,0.007631,0.002237,0.000936,0.00015,-4.3e-05,0.004592,-7e-06,5.2e-05,0.000391,0.000979,0.001576,0.006024,0.001178,0.0006,0.000725,0.000616,0.000605,-0.000466,-2.7e-05,-1.1e-05,0.000105,0.000474,0.000423,0.000126,0.000367,0.000223,2.3e-05,-0.000142,-0.000126,-0.000426,-0.000324,-0.005005,-0.00045,-0.000605,-1.7e-05
0.424911,0.036781,0.762171,0.045169,-0.074196,-0.408466,-0.052433,-0.033858,0.000893,3.073149,0.026669,0.916826,0.05233,-0.027344,-0.033054,-0.035737,0.256891,-0.042151,0.256099,-0.000592,-0.03416,-0.035134,3.227351,-0.037132,-0.035751,-0.002375,-0.037481,0.000572,0.000745,0.002225,0.00415,0.000874,-0.033731,-0.03113,-0.007225,0.303114,0.000825,-0.03465,-2e-05,0.000649,-5.2e-05,-0.035662,-7.2e-05,0.013975,-0.04278,-0.000205,0.001402,0.000819,-7.7e-05,-5.3e-05,-0.000923,0.006312,-0.001867,0.035566,0.034689,1e-06,-0.035598,-0.035682,-0.000987,2e-06,5e-06,-1e-06,-0.035836,-0.003605,-0.000453,-7e-05,-4.6e-05,0.000882,0.994123,-9.8e-05,-7.4e-05,-3.3e-05,-3.5e-05,-2.9e-05,0.000977,-1.4e-05,-5e-06,-8e-06,0.000907,-9.1e-05,0.00091,-3.7e-05,-4.4e-05,-2.3e-05,-1.5e-05,-1.1e-05,0.000983,0.000986,0.036603,0.000992,0.000989,-0.536492
