0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
-0.000584,-0.000828,-0.005167,-0.005066,-0.005708,-9.6e-05,-1e-05,0.005408,0.004971,0.004622,0.005073,0.005517,0.005602,0.005553,0.00538,0.005496,0.005205,-0.000408,0.005088,0.004881,0.00466,-0.000935,-0.000759,-0.000666,-0.006527,0.004448,-0.001429,-0.001455,-0.001777,-0.00218,-0.002375,-0.001311,0.003456,-0.002862,-0.001792,-0.000583,0.00591,0.000213,0.000223,0.005578,0.005754,-0.001002,0.004494,5.6e-05,-0.000926,-0.001753,-0.001517,0.003099,0.002964,0.003101,0.004242,0.009509,0.009338,0.00915,0.009291,0.005454,0.011096,0.00472,-0.000364,0.000364,-0.003602,-0.00322,-0.003934,-0.008583,-0.00812,-0.003957,-0.008979,-0.008808,-0.003697,-0.005776,-0.005116,-0.006685,3.1e-05,-0.010271,-0.004605,-0.004422,-0.00434,-0.003157,0.001808,0.00275,0.000794,-0.000423,-0.000807,4.3e-05,-0.005403,-0.001139,0.000775,0.000658,0.000736,0.001137,0.001091,0.001601,0.000539,-0.005497,-0.004374,0.000843,-0.001043,-0.000518,-0.001255,-0.001058,-0.007854,-0.002228,-0.001784,-0.001821,-0.007436,-0.000624,-0.006644
0.003362,0.004199,-0.00279,-0.00308,-0.001138,0.000273,7e-06,0.002108,0.003327,0.004326,0.00304,0.001774,0.001541,0.001679,0.002157,0.001751,0.002653,0.001132,0.002951,0.003499,0.004103,0.002552,0.00207,0.001723,0.001042,0.004623,0.00385,0.00397,0.004854,0.005956,0.00648,0.001814,0.005436,0.00604,0.001346,-0.003727,-0.006697,-0.007685,-0.007735,-0.005883,-0.006387,-0.00266,-0.001216,-0.005526,-0.001069,0.002974,0.002344,0.007851,0.008208,0.007793,0.002881,0.004741,0.005122,0.005543,0.005133,-0.002297,-0.001503,0.001384,-0.000886,-0.002779,-0.007953,-0.008948,-0.005294,-0.008767,-0.010068,-0.003531,-0.006132,-0.006677,-0.004354,0.002997,-0.000583,0.005434,0.001709,-0.002881,-0.00201,-0.002525,-0.00279,-0.007855,-0.004975,-0.009364,-0.002195,0.001166,0.002221,-0.001887,-0.003496,0.003139,-0.003922,-0.003596,-0.003816,-0.004927,-0.004797,-0.006192,-0.00149,0.000265,-0.004612,-0.002348,0.004656,0.001446,0.005257,0.004701,0.008599,0.009731,0.008492,0.008594,0.007494,0.003511,0.003549
-0.005181,-0.004724,-0.0011,-0.001259,-0.0002,0.000157,6e-06,0.000722,0.001394,0.001944,0.00123,0.000527,0.000398,0.00047,0.000736,0.000506,0.00102,0.000623,0.001183,0.001484,0.00182,0.001403,0.001139,0.000877,0.001005,0.002097,0.002017,0.002163,0.002636,0.003218,0.00348,0.007915,0.009413,0.010084,0.014493,0.018693,0.023626,0.023477,0.023435,0.024016,0.023768,0.019108,0.019472,0.017694,0.013037,0.00817,0.00785,0.003383,0.003541,0.003334,0.007752,0.008332,0.008488,0.008666,0.008473,0.012028,0.012139,0.007022,0.006245,0.005409,0.003356,0.002918,-0.002117,-0.003427,-0.004019,-0.008022,-0.008959,-0.009228,-0.008439,-0.011802,-0.006724,-0.010674,-0.005938,-0.007514,-0.007393,-0.007638,-0.007776,-0.003421,-0.002377,0.002323,-0.001053,0.000554,0.001059,0.0059,0.005435,0.001494,0.00493,0.005089,0.004988,0.004465,0.00453,0.00387,-0.000705,-0.006376,-0.001881,-0.00111,-0.004591,0.000694,-0.004303,-0.004566,-0.0092,-0.008956,-0.009529,-0.00948,-0.009678,-0.005096,-0.004773
0.642549,-4.382464,0.349414,0.131007,-4.40506,0.140738,-0.637101,-0.405155,-0.863771,-0.924306,0.321508,0.559254,0.192187,0.77646,0.713683,-2.725112,0.220376,0.311983,0.286206,0.541091,-0.395694,-0.232892,0.005322,-1.841691,0.01704,0.288282,-1.807352,0.399439,0.453457,0.361151,-0.723364,0.395261,0.260771,0.638387,0.312339,0.080305,0.343309,0.03343,0.268716,-0.115176,-0.141683,-0.103615,-0.101263,-0.105817,-0.069958,-0.033128,-0.030621,-0.010338,-0.010339,0.004203,-0.030721,-0.028657,-0.026096,-0.469487,-0.035769,-0.070096,-0.007831,0.020839,0.385429,-0.048843,-0.048274,-0.040132,-0.001968,-0.006031,-0.021124,0.600272,0.17528,0.666996,0.471832,0.297816,0.289701,0.571247,0.248496,0.001399,0.015516,0.027744,0.02751,1.066765,0.405441,0.279031,0.268416,0.513651,0.50066,0.283295,0.180135,0.065021,-0.055423,-0.040825,-0.031686,-0.033293,-0.031392,-1.667625,0.00129,-0.007194,0.027539,0.626291,0.655925,0.293719,0.420682,0.374662,0.045199,0.24681,0.099135,0.190354,-0.557524,0.563981,1.533077
-1.664959,-2.278826,-0.972797,-0.538798,-1.806562,-0.469263,-2.200777,-0.637873,-1.545895,-1.303074,-0.78835,-0.90386,-1.038899,-1.277972,-1.077549,-2.168873,-0.518008,-0.476957,-0.366836,-0.579619,-0.750608,-0.283001,-0.256668,-2.097288,-0.097343,-0.247617,-1.832058,-0.407472,-0.450201,-0.396725,-2.726359,-0.515706,-0.35731,-0.595982,-0.313033,-0.162673,-0.409136,-0.163858,-0.325568,-0.070196,-0.049527,-0.045792,-0.063853,-0.035088,-0.034359,-0.014084,-0.027469,0.068244,0.068239,-0.029305,-0.02866,-0.043907,-0.057349,-0.821308,-0.056589,-0.025454,-0.087181,-0.069505,-0.324988,-0.001757,0.038126,0.03058,0.015324,0.044323,0.053101,-0.382226,-0.055184,-0.50462,-0.306035,-0.159604,-0.257264,-0.447807,-0.155677,0.056941,0.125363,0.02355,0.023343,0.36621,0.008266,-0.2217,-0.191053,-0.471877,-0.473837,-0.335144,-0.243345,-0.060675,0.015785,0.005105,-0.011743,0.002598,0.005178,-2.222191,0.001666,0.042197,-0.007005,-0.460228,-0.466501,-0.217455,-0.289672,-0.169661,0.023398,0.988138,0.200985,0.950348,0.3873,0.741379,2.310572
-0.620421,-2.643461,0.020589,0.516868,-2.50294,0.397124,2.398253,0.426732,-0.637894,-0.519876,0.452431,0.057232,-0.217158,0.088877,-0.021269,-4.046618,0.425277,0.14025,0.018074,-0.131479,0.435743,-0.243115,0.35504,-4.706837,0.164855,-0.104652,-4.973114,-0.027764,-0.059903,0.0081,0.973982,0.10393,0.048994,-0.12293,-0.169592,-0.135716,-0.274808,-0.118495,-0.276181,-0.010458,0.015418,0.00983,0.038498,-0.015969,0.0067,0.002646,0.02716,-0.11806,-0.11814,0.054472,0.030918,0.060123,0.084868,0.332751,0.064171,0.007743,0.001162,-0.003496,-0.215708,0.003391,-0.076924,-0.077185,-0.028564,-0.083247,-0.084871,-0.245049,-0.158856,-0.181398,-0.241082,-0.142378,0.01655,-0.102588,-0.113405,-0.055613,-0.20141,-0.028505,-0.029276,-0.416835,1.568208,-0.198476,-0.171922,-0.079906,-0.050387,0.010793,0.033191,-0.021954,-0.016392,-0.019589,0.003483,-0.022018,-0.022593,0.046983,0.000486,-0.542371,-0.056093,-0.310274,-0.414381,-0.151481,-0.15734,-0.309261,0.021663,0.267416,0.313873,0.436203,0.495282,0.011956,0.235262
-0.000189,-0.000482,2e-06,-0.000493,-9e-06,-7.9e-05,-0.000173,-0.000244,-0.000184,-0.000138,-0.00015,-0.000248,-0.000159,-0.000205,1e-05,0.000248,1e-06,-0.0,1e-06,-2e-06,-2e-06,-0.000247,-6.3e-05,2e-06,1e-06,0.0,-1e-06,-1e-06,-2.2e-05,1e-06,0.0,-0.000105,-0.000252,-0.000205,-8.5e-05,-0.000204,1e-06,-5.1e-05,5e-06,-2e-06,7.6e-05,-2e-06,-1e-06,1e-06,8e-06,-1e-06,1e-06,1e-06,2e-06,4e-06,4e-06,-2.8e-05,2e-06,-0.000246,-0.0,1e-06,-0.0,3e-06,5e-06,1e-06,-3.1e-05,3e-06,1.3e-05,-3e-06,1e-06,2e-06,0.000255,1.2e-05,0.000182,0.000196,8.6e-05,-7.9e-05,-0.000187,2e-06,0.0,-1e-06,1e-06,-2e-06,-0.005992,-1e-06,-3.1e-05,1e-06,0.000251,-3e-06,1e-06,-2e-06,5e-06,0.0,1e-06,2e-06,-0.0,0.0,1e-06,-1e-06,-0.0,3e-06,-2e-06,1e-06,0.0,2e-06,-6e-06,0.0,2e-06,2e-06,1e-06,1e-06,-0.000124
-0.000549,-0.004942,1.6e-05,-0.004961,-1.9e-05,-0.000228,-0.000511,-0.000724,-0.000545,-0.000407,-0.000446,-0.00074,-0.000471,-0.000612,3.2e-05,0.000738,5e-06,1e-06,2e-06,1e-06,1e-06,-0.000727,-0.000184,7e-06,1e-05,6e-06,-1e-06,-1e-06,-6.4e-05,5e-06,3e-06,-0.000312,-0.000744,-0.000607,-0.000254,-0.000603,3e-06,-0.000147,2.1e-05,-1e-06,0.000225,-4e-06,-2e-06,0.0,2.2e-05,-4e-06,-4e-06,-3e-06,-3e-06,-4e-06,-3e-06,-9.5e-05,3e-06,-0.000728,-2e-06,4e-06,1e-06,1e-06,1e-05,-4e-06,-9.4e-05,5e-06,4e-05,-7e-06,-8e-06,-6e-06,0.000742,2.9e-05,0.000536,0.000585,0.000257,-0.000243,-0.000557,8e-06,3e-06,3e-06,4e-06,5e-06,0.001504,-3e-06,-9.5e-05,4e-06,0.000748,-5e-06,-2e-06,-9e-06,1.7e-05,-2e-06,-1e-06,-1e-06,-0.0,1e-06,5e-06,2e-06,1e-06,1.1e-05,-5e-06,-2e-06,-6e-06,-4e-06,-2.5e-05,-3e-06,-2e-06,-2e-06,-1e-06,-1e-06,-0.000375
-0.000288,0.004796,1e-05,0.004787,-9e-06,-0.000121,-0.00027,-0.000383,-0.000288,-0.000215,-0.000234,-0.000392,-0.000247,-0.000323,1.7e-05,0.000393,3e-06,1e-06,1e-06,0.0,0.0,-0.000386,-9.7e-05,3e-06,5e-06,3e-06,-0.0,0.0,-3.5e-05,1e-06,0.0,-0.000166,-0.000393,-0.000322,-0.000134,-0.000319,2e-06,-7.7e-05,1.3e-05,0.0,0.00012,-1e-06,-1e-06,-1e-06,1.2e-05,-2e-06,0.0,0.0,1e-06,1e-06,1e-06,-5e-05,2e-06,-0.000383,-0.0,1e-06,-0.0,-2e-06,4e-06,-5e-06,-5.2e-05,1e-06,2.1e-05,-3e-06,-4e-06,-3e-06,0.000393,1.5e-05,0.000284,0.000311,0.000136,-0.000131,-0.000296,3e-06,-1e-06,-0.0,1e-06,2e-06,0.000947,-3e-06,-5e-05,2e-06,0.000395,-2e-06,-1e-06,-5e-06,9e-06,-1e-06,-1e-06,0.0,1e-06,-0.0,1e-06,-0.0,-2e-06,5e-06,-6e-06,-4e-06,-6e-06,-4e-06,-1.4e-05,-2e-06,-3e-06,-2e-06,0.0,-2e-06,-0.000199
-0.002441,-0.034655,-0.00792,-0.029556,-0.000281,-0.000132,-0.0001,-6.9e-05,-3.8e-05,-4.4e-05,-0.00035,-0.000602,-8.8e-05,-6.7e-05,-4.6e-05,-3.6e-05,-3.7e-05,-2.9e-05,-2.5e-05,-2.5e-05,-2.5e-05,-3e-05,-3.6e-05,-2.3e-05,-3.1e-05,-2.6e-05,-2.1e-05,-2.2e-05,-1.9e-05,-2.3e-05,-1.9e-05,-1.5e-05,-0.001158,-1.2e-05,-2.2e-05,-0.000436,-1.2e-05,-5e-06,-5e-06,-9e-06,-8e-06,-4e-06,-5e-06,-4e-06,0.0,-2e-06,-0.000134,-7.7e-05,-5.4e-05,-3.6e-05,-3.3e-05,-3.8e-05,-3.8e-05,-2.9e-05,-3.2e-05,-3.8e-05,-2.7e-05,-1.7e-05,-2.2e-05,-1.3e-05,-2.1e-05,-1.7e-05,-1.5e-05,-1e-05,3e-06,1e-05,0.001136,3e-06,-9e-06,6e-06,-0.0,1.8e-05,4e-06,-3e-06,-2e-06,-4e-06,1e-06,-1e-05,-0.000984,0.0,7e-06,-6e-06,0.001133,-9e-06,0.0,-0.0,-3e-06,4e-06,-6e-06,-0.007825,5e-06,-1e-06,-8e-06,-4e-06,-7e-06,-1e-05,-1e-05,-3e-06,-1e-06,3e-06,-1e-06,-3e-06,-0.0,-7e-06,-1e-06,1e-06,-1e-05
0.002221,0.018263,0.082726,-0.062105,0.000117,-2.5e-05,4e-06,-3e-06,0.0,-2e-06,0.000328,0.000406,8e-06,1.1e-05,-8e-06,-4e-06,-0.0,2e-06,6e-06,-1.1e-05,-1.2e-05,-3e-05,-1.3e-05,-2e-06,-0.0,-7e-06,9e-06,9e-06,1e-06,7e-06,-5e-06,4e-06,0.011992,-5e-06,-6e-06,0.000373,1.2e-05,-3e-06,7e-06,1e-05,2e-06,-2e-06,3e-06,-9e-06,-3e-06,-2e-06,4.7e-05,9e-06,2.8e-05,4.3e-05,4.6e-05,2e-05,1.8e-05,1e-06,1.2e-05,-1e-06,-8e-06,1e-06,-2e-06,2e-06,-6e-06,4e-06,-9e-06,-6e-06,1.8e-05,2e-05,-0.011953,-2e-06,4e-06,-4e-06,-7e-06,6e-06,1e-05,-1e-05,-1e-06,-1.5e-05,-3e-06,-1.5e-05,0.014708,-2e-06,1.2e-05,8e-06,-0.012006,2e-06,2e-05,6e-06,1e-06,6e-06,1.6e-05,0.082748,-4e-06,3e-06,-7e-06,-2.1e-05,-1.7e-05,-2e-06,7e-06,5e-06,8e-06,6e-06,-1e-06,-0.0,1.2e-05,2.1e-05,1.5e-05,1.2e-05,1.1e-05
