0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
-0.023895,-0.023261,-0.022982,-0.023299,-0.009473,0.004908,0.004928,0.016407,0.016998,0.017727,0.024416,0.018967,0.024929,0.024979,0.024565,0.018802,0.017526,0.01191,0.011522,0.012318,0.011373,0.005316,0.005201,0.005307,0.005141,-0.001351,-0.000124,-0.000741,0.005194,0.005284,0.011395,0.005754,0.016739,0.017609,0.017789,0.018088,0.012318,0.01792,0.017882,0.016892,0.011645,0.011606,0.006017,0.005812,0.00455,0.004312,0.004217,0.000333,-0.00043,0.000573,0.000729,0.000718,0.000471,-0.000322,-0.000971,0.000112,-0.000188,0.001115,0.000916,0.005504,-9.3e-05,-0.000102,0.005183,0.004788,0.004856,-0.000586,0.000142,0.000693,0.000302,0.000655,-0.000171,0.005796,0.006206,0.011855,0.017931,0.022328,0.028192,0.028251,0.023033
0.036965,0.032719,0.032046,0.0359,0.027889,0.013714,0.01576,0.024715,0.019031,0.010666,0.005885,-0.001505,-0.001725,-0.002934,-0.001134,-0.004422,0.004146,0.000728,0.003163,-0.002826,0.00366,0.003682,0.004217,0.003317,0.004295,0.008083,-0.000264,0.00407,0.003787,0.003078,0.001415,-0.000143,0.004817,-0.001119,-0.002235,-0.004009,-0.004547,-0.00301,-0.002815,0.003173,-0.000226,-2.9e-05,-0.001561,-0.000515,0.006714,0.007896,0.008311,-0.003479,0.001246,-0.004704,-0.005495,-0.005447,-0.004202,0.000693,0.004865,-0.001485,0.00092,-0.00653,-0.005517,0.001699,0.000463,0.000512,0.003294,0.005229,0.004844,0.002907,-0.000709,-0.003438,-0.000576,-0.002313,0.003879,0.004131,0.002164,0.004587,0.004209,0.012891,0.01348,0.013901,0.010002
-0.05061,-0.045604,-0.037936,-0.034927,-0.018082,0.001873,0.019161,0.024508,0.035472,0.044279,0.047779,0.050327,0.049228,0.048237,0.041671,0.03988,0.030321,0.028641,0.022718,0.026307,0.02286,0.023225,0.023408,0.022771,0.023252,0.018576,0.020948,0.016233,0.015596,0.015158,0.013829,0.013403,0.008221,0.01207,0.011494,0.010583,0.010714,0.011111,0.011213,0.007342,0.006008,0.006113,0.005727,0.006258,0.002981,0.003566,0.003756,0.012013,0.007477,0.011407,0.011021,0.011049,0.011654,0.007171,0.002333,0.006116,0.00044,0.003707,0.004192,0.00046,0.000219,0.000243,0.001219,0.002136,0.001947,0.001372,-0.000337,-0.001628,-0.007088,-0.007919,-0.018694,-0.0258,-0.026791,-0.032936,-0.033629,-0.036605,-0.036775,-0.03667,-0.031423
-0.920318,-0.297067,-0.075177,-0.364634,-0.667631,-0.779742,-0.626017,-2.797444,-0.653795,-2.413372,0.375902,0.48828,0.447593,0.53647,0.384258,0.089074,0.1784,0.533519,0.032463,-0.012427,0.415118,0.355829,0.412468,-0.012931,0.294231,-0.092008,-0.107661,0.092859,-0.077783,0.324865,0.285521,-0.086014,-0.060361,-0.011255,-0.067919,1.168152,-0.08307,-0.062743,0.089278,-0.041282,-0.043549,-0.003203,-0.033328,-0.044316,-0.001053,-0.008508,0.00412,-0.06814,-0.034071,-0.071243,0.008042,0.105142,0.33289,0.030478,-0.013223,-0.03616,8.7e-05,-0.035987,-0.035994,-0.002128,-0.00947,-0.00076,0.003936,-0.00284,-0.000326,0.001357,2.5e-05,-0.017733,0.483604,0.016399,2.375988,1.996942,2.215148,2.440477,0.930018,-0.170113,2.589573,2.912966,0.031312
-0.20466400, 0.21994500, 0.36945600, 0.60101700, 0.33988500, 0.15204900, 0.00721000,-2.79413200,-1.08038200,-2.91156000,-0.64429200,-0.47060900,-0.86019800,-0.91556800,-0.70273400,-0.14966500,-0.44584900, 0.38272300,-0.17710300,-0.04928500,-0.47548500,-0.71456700,-0.45790900,-0.12464200,-0.26816300,-0.01298000,-0.02022000,-0.15618700,-0.03649500,-0.26597100,-0.32190800,-0.01707700, 0.06254700,-0.11008400,-0.02717300, 2.17022100,-0.02263300,-0.05104800,-0.14877900,-0.04620500,-0.01864000, 0.02435900,-0.02329400,-0.01543100,-0.02587000, 0.05627700,-0.02962600,-0.01830500,-0.00915400,-0.00449200,-0.06598700,-0.14063600,-0.31948300,-0.06020500, 0.08473700, 0.00522900, 0.00001500, 0.00498700, 0.00497200,-0.01202600, 0.00651300, 0.00060400,-0.02916300,-0.02408500,-0.02279600,-0.01315300, 0.00002300, 0.01825400, 0.67040100, 0.00726700, 1.19469500, 1.48903300, 1.76633700, 1.48819300, 0.93023600, 1.23694800, 1.99832700, 1.77645800, 0.61049900
-1.005748,-0.109937,0.27709,0.501737,0.165419,0.343552,0.038793,-4.128618,-1.480087,-4.475526,-0.241625,-0.473366,-0.191545,-0.262281,-0.074416,0.022091,0.110906,-0.544482,0.01625,-0.202691,-0.207646,-0.166954,-0.250382,0.007394,-0.350678,0.043302,0.01694,-0.054583,0.068614,-0.342632,-0.121153,0.04595,-0.070179,0.064482,0.068954,-1.025803,0.048141,0.06599,-0.01592,0.092829,0.042653,-0.133109,0.03413,0.037904,0.0564,-0.091921,0.054285,0.007888,0.003981,-0.021488,-0.062666,-0.109981,-0.233959,-0.032661,-0.146576,-0.020591,0.000295,-0.020959,-0.021004,0.030992,0.001195,0.000474,0.054503,0.057009,0.056106,0.025508,0.000129,-0.020892,-0.078498,0.015302,5.482759,5.341094,5.283356,4.528741,0.639228,-0.042341,4.121068,4.271837,-0.300123
0.027369,0.027453,0.027449,0.021231,0.014728,-0.004648,-0.023741,-0.035858,-0.054431,-0.059356,-0.064386,-0.063553,-0.073696,-0.079911,-0.094613,-0.092171,-0.081953,-0.077202,-0.065846,-0.048902,-0.036405,-0.021133,-0.012036,0.001921,0.00264,0.009799,0.015052,0.008157,0.008079,0.006944,0.000525,0.000254,-0.000139,-0.006244,-0.006548,1.2e-05,9.1e-05,-0.0,1e-06,-2e-06,-0.000159,-0.000751,8.5e-05,-4.5e-05,-0.000136,-0.000162,-4.8e-05,-0.000284,-0.000345,-0.001516,-0.000886,-0.000886,-0.001022,-0.000882,-0.001165,-0.001162,-0.001032,-0.001103,-0.000948,-0.001074,-0.001087,-0.000841,-0.000606,-0.000398,-0.000693,-0.000906,-0.000828,-0.00184,0.004697,0.004584,0.003808,0.009476,0.003067,0.009461,0.00992,0.004951,0.004979,0.005273,-0.00096
0.067021,0.064729,0.05847,0.056315,0.045237,0.029025,0.013854,0.013368,0.012106,0.021408,0.030133,0.027554,0.035063,0.030796,0.012146,-0.013591,-0.026577,-0.037346,-0.04358,-0.049709,-0.051457,-0.039639,-0.026964,-0.019117,-0.013933,-0.002607,-0.002781,-0.003179,8.7e-05,-0.002783,0.001357,0.000658,-0.00035,0.001154,0.000383,3e-05,0.000226,2e-06,4e-06,-2e-06,-0.000402,-0.005338,0.000225,-0.000105,-0.000345,-0.000406,-0.000116,-0.000719,-0.000878,-0.007287,-0.002254,-0.002253,-0.002593,-0.002242,-0.002951,-0.002942,-0.00261,-0.002789,-0.002394,-0.002712,-0.002746,-0.002122,-0.001526,-0.001009,-0.001751,-0.002281,-0.002086,-0.008088,-0.005257,-0.005556,-0.007459,-0.010479,-0.009528,-0.010569,-0.009576,-0.004841,-0.004702,-0.004046,-0.005998
-0.080695,-0.07356,-0.061387,-0.054601,-0.038257,-0.018093,0.002645,0.010332,0.017259,0.016067,0.014484,0.020195,0.025236,0.029648,0.038894,0.051338,0.057855,0.066055,0.070087,0.066694,0.065999,0.059044,0.052236,0.042043,0.037633,0.02166,0.013772,0.013454,0.007785,0.005957,0.000849,0.000414,-0.000218,0.000707,0.00022,2.1e-05,0.000142,1e-06,3e-06,-2e-06,-0.000255,0.004335,0.000142,-6.7e-05,-0.000217,-0.000257,-7.3e-05,-0.000454,-0.000553,0.003108,-0.001426,-0.001427,-0.001642,-0.001426,-0.001878,-0.001874,-0.001668,-0.001786,-0.001535,-0.001743,-0.001767,-0.001368,-0.000984,-0.000653,-0.001133,-0.001477,-0.001353,0.002551,-0.003367,-0.003565,-0.004855,-0.006766,-0.006228,-0.006907,-0.006238,-0.003169,-0.003108,-0.002639,0.003891
-0.009327,0.055841,-4.571051,-1.158946,-4.365458,-0.236804,0.053244,0.381048,-1.030422,0.017931,0.021678,-0.005503,-4.138366,-4.122082,1.178524,0.400436,0.314262,0.196272,0.056777,0.157458,0.013947,-0.085527,-0.006764,-0.239248,-0.155554,-0.112267,0.078558,-0.046148,-0.040701,-0.032052,0.000568,-0.002258,0.000124,0.003632,-0.079683,0.001099,1.7e-05,2e-06,5e-06,0.0,-0.000208,-0.033662,0.027131,-0.000147,-9.5e-05,-7.5e-05,-4.5e-05,-2.6e-05,-2.2e-05,-0.033799,-0.000461,-7.8e-05,-0.000534,-0.000302,-0.000783,-0.000611,-0.000154,0.047902,-0.006429,-0.000615,-0.000547,0.007179,-0.000348,-0.000498,-0.000221,-0.000539,-0.000241,-0.034358,0.304736,0.093176,3.36449,0.083401,-0.03652,3.499239,0.106592,1.117194,3.654824,0.11068,-0.033536
