0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0.005461,0.004496,0.003908,-0.003897,-0.00503,-0.00542,-0.005065,-0.012085,-0.011856,-0.004333,-0.004272,-0.004598,0.008935,0.001691,-0.004999,0.008875,0.015673,0.015201,0.008275,0.008308,0.001464,0.00799,0.007553,0.007436,0.013847,0.013705,0.006567,-0.000108,-0.006878,-0.006752,-2e-06,-0.006821,-0.001183,-0.001881,-0.001815,0.01167
0.024357,0.024978,0.013082,0.013293,0.002763,-0.000217,0.009258,0.015368,0.009865,0.007704,0.001457,0.005259,0.010361,0.013897,0.015087,0.017129,0.011125,0.014309,0.006536,0.007279,0.0134,0.011933,0.008287,0.000216,-0.002012,-0.011091,-0.00101,-0.001135,-0.001963,-0.000804,0.007511,0.005934,0.010317,0.017903,0.018526,0.026911
0.049511,0.040237,0.038158,0.029565,0.020188,0.017921,0.01684,0.013411,0.017533,0.023928,0.027501,0.021479,0.016232,0.010447,0.011951,0.012559,0.015898,0.009811,0.01273,0.013191,0.009661,0.008153,0.005483,0.007931,0.005941,0.007694,-0.001147,-0.000814,-0.00096,-0.00015,-0.002864,-0.003579,-0.017286,-0.02832,-0.027843,-0.030944
2.767563,-0.109309,-0.673938,-0.357485,2.246934,-0.295558,-0.05412,0.276302,-0.03731,-0.065501,0.430153,2.170468,0.5649,2.228459,-0.013641,0.007328,-0.044853,-0.008742,-0.042701,0.321809,0.258149,0.127074,-0.00786,-0.034261,0.376735,-0.080691,-0.011476,0.004591,0.673262,-0.706506,0.660753,-0.465104,0.178235,-0.618771,0.111474,-2.064816
3.478309,-1.431788,0.514589,0.31465,3.985508,-1.597325,-0.007581,-0.247112,-0.00249,-0.011387,-0.334511,3.903041,-0.03588,3.813233,-0.02914,-0.05467,0.015495,0.025064,0.06369,-0.330861,-0.185083,-0.169674,-0.046916,-0.019488,1.673083,-0.006142,-0.020042,-0.035023,1.459701,-1.184442,-0.706582,-1.264159,0.507885,-1.025367,-0.125385,-3.60556
3.510262,2.633048,0.196667,0.031274,3.244109,2.207396,0.021294,-0.127477,0.011021,0.031039,-0.404511,3.199046,0.1709,3.165132,0.077247,0.10614,-0.038164,-0.039249,-0.113918,-0.076128,-0.238658,0.000859,0.078053,0.04459,-2.066081,0.033075,0.030981,-0.011343,-2.050889,-0.975079,-0.17867,-1.242526,-0.718014,-1.032151,-0.041151,-4.056796
0.050928,0.043659,0.043477,0.036956,0.03649,0.029666,0.022884,0.022254,0.014994,0.008047,0.007715,0.000153,-0.000164,-0.000341,-0.000282,-3.7e-05,7e-06,-0.000225,4.2e-05,-2e-06,-0.000161,-0.006861,-0.000157,-5.7e-05,-0.000167,-0.00022,0.006497,-8.4e-05,-5.9e-05,8.2e-05,-5e-05,-0.000103,-0.000169,0.006577,0.012962,0.013079
0.013357,0.01371,0.014355,0.017183,0.007785,0.013665,0.015245,0.007532,0.005343,0.004241,0.00214,-0.003364,-0.00107,-0.002296,-0.00191,-0.000253,4.6e-05,-0.005998,0.000315,-9e-06,-0.001091,-0.000876,-0.001073,-0.000392,-0.001142,-0.001503,-0.001653,-0.000565,-0.000396,0.000553,-0.00034,-0.000703,-0.001156,-0.001174,-0.008207,-0.002957
0.004651,0.004549,0.004917,0.007428,0.016529,0.012712,0.013792,0.015752,0.013646,0.012488,0.010615,0.005806,-0.000941,-0.002009,-0.001674,-0.000224,3.9e-05,0.003521,0.000281,-8e-06,-0.000956,-0.000751,-0.000939,-0.000344,-0.001001,-0.001319,-0.001467,-0.000496,-0.000347,0.000486,-0.000301,-0.00062,-0.001019,-0.001059,0.001525,-0.002668
0.395721,-1.106459,-0.170341,4.563756,1.181869,4.762206,1.328111,4.85768,5.036901,-0.12597,-0.140172,-0.037138,-0.004324,-0.01055,-0.005599,0.010409,0.00465,-0.035251,1.583678,-0.000785,-0.00105,-0.001629,-0.000971,-0.000384,-0.001021,-0.000337,0.000419,-0.000161,0.002176,-8.2e-05,0.144418,-4.3e-05,-0.000913,-0.022434,-0.066647,-0.013489
1.312596,1.070108,-0.716209,-1.463847,-1.171853,-1.813368,-1.112439,-1.971382,-1.41909,-0.379737,-0.46956,0.003081,0.001113,0.016461,-0.005314,-0.002354,0.011073,0.018878,-0.323366,0.000192,0.000105,0.014855,0.017121,9.8e-05,0.017095,9e-05,0.002325,2.4e-05,-0.11719,2.8e-05,-0.024202,0.000816,0.017086,-0.113734,-0.140126,-0.103727
-2.788417,-1.996721,-0.387462,-3.655999,-1.361305,-2.830899,-0.936505,-2.404647,-1.875103,-0.19617,-0.263383,0.017797,0.001866,-0.021814,-0.002998,-0.004235,0.007681,-0.014394,-0.447937,0.000296,-0.000574,-0.029432,-0.023218,0.000156,-0.023533,0.000125,0.006363,5.6e-05,0.160744,2.9e-05,-0.037692,0.000442,-0.023531,-0.042944,-0.049848,0.004192
