0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
-0.005402,-0.005406,-0.005106,0.002114,0.002038,0.002363,0.002005,0.001693,0.001673,0.001672,0.001673,0.000917,0.001236,0.000891,0.000879,0.000915,-0.00579,-0.005842,0.001014,0.00121,0.000824,-0.006237,-0.006055,-0.006141,-0.006858,-0.006673,-0.007035,-0.006987,-0.006847,-0.00696,-0.006975,-0.007412,-0.00758,-0.000979,-0.001415,0.005368,0.005202,0.004911,0.011541,0.025177,0.025025,0.032103,0.03226,0.038877,0.038871,0.038842,0.038758,0.038718,0.039015,0.038825,0.039009,0.03931,0.038782,0.038645,0.038318,0.032007,0.031992,0.025653,0.025138,0.025348,0.018576,0.01271,0.012162
0.011731,0.011392,0.0052,0.003928,0.002641,-0.002833,0.002217,0.008045,0.007853,0.007935,0.008128,0.017247,0.011685,0.016847,0.016639,0.017398,0.011538,0.010191,0.007983,0.000228,0.004419,0.001857,-0.006201,-0.007819,0.001327,-0.006243,-0.001756,-0.00092,0.001306,-0.000469,-0.000662,0.002536,4.9e-05,0.005005,0.008024,0.005567,0.002942,0.008163,0.013494,0.018157,0.017121,0.01637,0.019096,0.025012,0.025681,0.028225,0.029821,0.030498,0.026967,0.03062,0.029577,0.026866,0.032594,0.032832,0.034666,0.027156,0.024787,0.019323,0.021627,0.017686,0.015962,0.008408,0.01158
0.03332,0.032494,0.035712,0.033485,0.031862,0.035906,0.031023,0.026914,0.026463,0.026416,0.026338,0.015981,0.020006,0.015313,0.014933,0.015414,0.019694,0.018341,0.015793,0.017968,0.012624,0.010908,0.012941,0.011586,0.001605,0.004086,-0.000977,-0.000277,0.001581,9.3e-05,-7.2e-05,-0.006217,-0.008314,-0.013516,-0.019785,-0.022378,-0.024721,-0.029183,-0.034193,-0.040033,-0.041117,-0.042383,-0.040087,-0.044508,-0.043977,-0.041702,-0.040305,-0.039694,-0.033867,-0.030391,-0.022071,-0.015384,-0.009822,-0.000377,0.001323,0.013041,0.019597,0.024103,0.025831,0.030704,0.029449,0.03208,0.025835
-0.07478,-0.012168,-0.122301,-0.126935,-0.125359,-0.153361,-0.11338,0.153516,0.265977,-0.062369,-0.058286,0.019748,-0.047189,0.015285,-0.005802,0.007391,-0.043182,-0.031246,-0.035791,-0.050243,-0.05308,-0.053411,0.293659,0.025241,-0.01668,0.166052,-0.0166,0.204853,0.033974,0.005183,0.125693,0.158512,1.626804,1.878165,1.508731,-0.077073,0.399287,0.532852,2.416937,0.069905,3.018378,0.672861,0.464813,0.994053,-0.160276,3.104452,0.673418,3.330067,0.590087,-0.350257,-0.342956,-0.239687,-0.360006,0.005669,-0.186801,0.023474,-0.002323,-0.032791,-0.032013,-0.050035,-0.063553,-0.104701,-0.06005
0.052813,-0.109172,0.067936,0.061371,0.077546,0.077556,-0.033821,-0.239871,-0.325773,-0.063039,-0.08723,-0.091765,-0.046341,-0.112888,0.04416,-0.056194,0.069323,-0.030058,-0.028731,0.035723,0.072063,0.00368,-0.347999,-0.080217,-0.000748,-0.1658,0.007841,-0.188314,-0.050154,-0.018602,-0.123089,-0.124618,1.445356,2.602595,2.024585,0.338755,0.893447,0.912832,2.942889,1.454305,4.995742,2.098022,1.549248,1.359057,1.220976,3.278297,1.701599,3.321835,1.734169,0.8814,0.142808,0.491318,0.528396,0.180792,0.276178,-0.010267,0.067729,-0.018269,-0.037863,-0.15938,0.003538,0.026783,0.010753
-0.086856,0.037631,-0.104625,-0.111522,-0.133347,-0.116751,0.069378,-0.025272,-0.107162,0.030288,0.049487,0.061052,0.069141,0.03492,-0.069513,0.101634,-0.117743,0.053765,0.057764,-0.170129,-0.115113,-0.002272,-0.283788,-0.110733,-0.018431,-0.160276,-0.050202,-0.154956,-0.093816,-0.072462,-0.124626,-0.135117,-1.71764,-0.050721,-0.755034,1.064917,1.810201,1.625644,5.468995,2.35565,3.318439,1.215047,1.295656,0.655729,0.155818,3.616473,1.089283,3.377541,1.274991,0.026419,0.633728,0.100428,0.550977,0.076878,0.412517,0.120771,-0.063169,0.052478,0.079775,0.240461,0.005508,-0.044077,-0.030233
-0.013235,-0.005507,-0.005532,0.001872,-0.005681,-0.005871,-0.006079,-0.006533,0.000545,0.000322,-0.00729,-0.000236,-0.000302,-0.000349,-0.000323,-0.000303,-0.000292,-0.000168,-0.000231,-0.000204,0.007167,-0.000164,-0.000121,-8e-05,-6e-06,1.7e-05,1.9e-05,-3.1e-05,-2e-05,7.6e-05,-1.9e-05,-7e-05,-0.000135,-0.000145,-0.00014,-0.000396,-0.007935,-0.008052,-0.008175,-0.008348,-0.008334,-0.008212,-0.000507,-0.007889,-0.007765,-1.4e-05,0.000103,8.2e-05,5.9e-05,2.2e-05,-5.3e-05,-1.6e-05,0.0,2.2e-05,-0.007552,-0.007483,-0.007529,5.3e-05,-0.007477,-0.00741,-0.007329,-0.007303,-0.007187
0.022832,0.023524,0.022447,0.020219,0.017563,0.021334,0.009154,0.015269,0.003011,0.006289,0.000229,-0.004242,-0.005467,-0.006372,-0.005935,-0.005571,-0.005402,-0.010577,-0.004216,-0.003731,-0.003729,-0.003008,-0.002242,-0.001479,-0.000151,0.000319,0.00034,-0.000556,-0.000363,-0.006143,-0.000339,-0.001295,-0.002456,-0.002641,-0.010028,-0.007021,-0.015989,-0.017595,-0.018668,-0.013302,-0.012604,-0.009985,-0.007399,-0.004557,-0.002705,-0.000236,0.001389,0.001126,0.000815,0.000308,-0.000716,-0.000223,6e-06,0.000266,0.000259,0.000799,0.000518,0.000675,0.001213,0.002022,0.003001,0.003272,0.004255
0.055167,0.054225,0.052045,0.047643,0.043467,0.036828,0.032288,0.018036,0.013907,0.007245,0.00046,-0.004881,-0.006308,-0.007391,-0.006922,-0.006531,-0.006351,-0.00191,-0.004996,-0.004434,-0.004637,-0.003591,-0.002683,-0.001772,-0.000181,0.000379,0.000405,-0.000665,-0.000434,0.003319,-0.000406,-0.001555,-0.002953,-0.003178,-0.001368,-0.008515,-0.00852,-0.010552,-0.012047,-0.016537,-0.015752,-0.012585,-0.009519,-0.005744,-0.003353,-0.000303,0.001807,0.001463,0.001057,0.000398,-0.000928,-0.000288,1e-05,0.000348,0.000484,0.001193,0.000814,0.00088,0.001705,0.002745,0.003997,0.004339,0.005598
-0.004876,0.131969,0.064629,0.107788,0.034653,-0.02677,-0.05398,0.003374,-0.032617,0.002831,0.002127,0.004858,-0.000277,-0.001146,-0.000519,-0.00131,-0.00134,-0.03628,-0.000677,-0.000687,0.005314,-0.000709,0.006113,0.001057,-7.4e-05,-6.8e-05,-5.1e-05,-3.5e-05,-3e-05,-0.035653,-7e-06,-0.000735,-0.000733,-0.000219,-0.033487,-0.001841,-0.034269,-0.033802,-0.033752,-0.003786,-0.003789,0.001772,-0.001395,-0.002372,0.003118,-4e-06,3e-06,1e-06,2e-06,2e-06,-9e-06,-5e-06,-0.000154,-0.000866,-0.002065,-0.086886,-0.131253,-0.032971,0.00453,-0.005617,-0.005467,0.14274,-0.080964
