0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
-0.00538,0.000226,-0.004879,0.000612,-0.0054,-0.005139,0.001211,-0.00519,2.7e-05,0.000771,1.9e-05,-6.4e-05,-0.000422,2e-06,0.000271,0.000207,6.4e-05,0.000685,-0.000826,0.000659,0.000156,0.000114,0.001085,-0.000889,-0.001805,0.003965,-0.001846,-0.000477,-0.000427,-0.000416,-0.0005,0.000329,0.000327,0.001308,-0.005739,0.001214,-2.9e-05,-0.005463,-0.00114,-0.001108,-0.001007,-0.000494,5e-06,-1e-06,0.000516,0.001168,0.001049,-0.000808,-0.001165,-0.000317,-0.001719,-0.000601,-0.005376,-0.006005,-0.006073,-0.004054,0.000342,-0.000959,-0.001933,-0.001502,-0.001204,-0.000964,0.000425,-0.00059,-0.000776,0.000625,0.001945,0.00201,0.003437,0.001216,0.001758,0.004963,0.004827,0.003405,0.003018,0.010351,0.008033,0.001746,0.007055,0.006778,0.01118,0.006042,0.005684,0.005535,1.2e-05,-0.000418,0.000268,0.005826,6.6e-05,0.000386,-0.000244,-0.000443,0.006521,0.00614,-0.000385,0.000727,0.000291,0.000299,-0.005245,-0.00587,-0.00037,-0.001632,-0.001791,-0.001369,-0.000793,-0.000542,0.000395,-0.004243,-0.005231,-0.005152,-0.005227,-0.006334,-0.007284,-0.006983,-0.009411,-0.014516,-0.008962
-0.002261,-0.000655,-0.00371,-0.001765,-0.002221,-0.004708,-0.005258,-0.00285,-8.1e-05,-0.003979,-6.2e-05,0.000187,0.00123,-7e-06,-0.000795,-0.000612,-0.00019,-0.003724,0.002413,-0.003654,-0.002183,-0.002061,-0.006627,0.000864,0.005272,0.00639,0.005406,-0.000318,-0.000461,-0.000499,-0.00025,-0.004401,-0.004404,-0.009008,-0.00455,-0.008736,-0.003355,-0.005321,0.001669,0.001574,0.001285,-0.000237,-0.001729,-0.001704,-0.003249,-0.005192,-0.004832,0.002392,0.003461,-0.000759,0.005112,9.1e-05,-0.003728,-0.000155,0.001743,-0.006008,0.000663,0.006264,0.010874,0.009582,0.008695,0.007971,0.002133,0.006856,0.007408,0.00154,-0.004093,-0.004295,-0.010105,-0.001933,-0.005231,0.005149,0.00385,0.008003,0.00911,0.003863,-0.00904,-0.006817,-0.004437,-0.003604,0.003118,0.000271,0.001313,0.00175,-5.3e-05,0.001158,-0.002522,-0.000849,-0.001975,-0.002876,0.000673,0.001233,-0.002823,-0.00173,-0.000707,-0.0056,-0.004378,-0.004412,-0.006142,-0.004363,-0.002512,0.002824,0.003293,0.002114,0.000474,-0.000241,-0.002903,-0.007126,-0.002551,-0.002777,-0.002563,0.002372,0.00687,0.006056,0.01661,0.013771,0.017085
-0.000798,-0.000358,-0.001609,-0.00098,-0.000787,0.004904,0.004151,-0.001131,-4.1e-05,0.004867,-3.1e-05,0.000106,0.000683,-3e-06,-0.000442,-0.00034,-0.000106,0.005006,0.001344,0.005049,0.005862,0.005932,0.01048,0.007539,0.002889,0.003055,0.002943,0.006859,0.006774,0.006748,0.006877,0.011659,0.011656,0.016216,0.011982,0.016377,0.012207,0.011568,0.00782,0.007763,0.007599,0.006814,0.006052,0.006062,0.005285,0.004311,0.004494,0.001196,0.001735,0.006538,0.002546,0.00695,0.0054,0.000268,-0.005687,-0.002627,-0.006571,-0.010698,-0.015294,-0.015918,-0.016354,-0.016698,-0.012751,-0.017252,-0.016967,-0.013078,-0.0091,-0.009224,-0.005442,-0.00804,-0.002809,-0.004669,0.001649,0.003867,0.004454,0.008128,0.008764,0.003368,0.00423,0.004674,0.000834,-0.000271,0.000286,0.000509,-2.8e-05,0.000619,0.005669,0.00617,0.005981,0.005499,0.000358,0.000651,0.005107,0.005707,0.006643,0.011087,0.011726,0.011714,0.011207,0.012124,0.012692,0.008422,0.008637,0.008021,0.007189,0.006806,0.005501,0.003758,-0.000917,-0.001028,-0.000918,-0.005405,-0.010103,-0.0105,-0.019039,-0.020069,-0.025636
0.37858,0.060888,0.108238,0.313972,-1.099585,-1.137069,0.352114,0.06711,0.188504,-0.044225,0.007185,0.005143,-0.525452,-0.13084,0.022851,-0.288758,0.002487,-0.035451,0.002394,-0.03548,-0.033069,-0.047232,-0.073238,-0.033095,-0.00191,-1.425184,0.002493,-0.049149,0.006479,-0.04005,0.142227,0.024128,-0.002774,-0.06466,-0.049769,-0.092061,-0.07544,-0.091028,-0.054228,-0.049813,-0.034142,-0.033817,-0.035116,-0.033016,-0.033049,-0.035168,-0.024591,0.509151,-0.013405,0.317125,-0.000871,-0.031001,-0.034845,-0.001934,0.033201,-0.009423,0.03246,0.057365,0.261857,0.080675,0.087882,0.075118,1.28292,-0.006982,-0.256186,0.180515,0.473141,0.471919,2.432627,0.002177,-0.042823,-0.455002,-0.013706,-1.138058,-0.718611,-1.848775,-0.007189,-0.015606,-0.190286,-0.091482,0.003874,-0.151845,0.004969,-0.634279,0.141625,0.379829,-0.001162,-0.310213,0.146247,-0.036283,0.00055,0.002589,-1.371967,-0.156158,-0.030866,-0.035042,-0.022199,0.291022,0.000375,0.39379,-0.081391,0.220701,-0.498606,-0.031099,-0.029309,-1.437672,-0.032892,-0.050333,0.075767,0.082442,0.106185,0.315327,0.051812,0.348339,0.830065,0.64112,1.467666
-0.66063,-0.324864,-0.517531,-0.498396,-2.58857,-2.639053,-0.541445,-0.222573,-0.34624,0.013294,0.010586,0.00692,0.447542,-0.213022,-0.095359,0.249661,-0.00193,0.002281,-0.015087,0.002275,-0.012762,0.010191,-0.006787,-0.012696,-0.009709,-2.233006,-0.01472,0.089894,-0.050386,-0.004624,-0.162328,-0.097849,-0.074404,-0.059507,-0.016714,-0.034865,-0.020551,0.020939,0.004535,0.000423,-0.013787,-0.011792,0.001709,-0.012556,-0.012533,0.00161,-0.010459,-0.468391,0.011263,-0.413231,-0.011418,-0.026553,0.003027,0.015256,0.013694,0.033795,0.013138,0.001378,0.105344,-0.049471,0.034167,0.276698,2.35791,0.012591,0.359016,0.048655,0.671446,0.762265,0.562695,0.214175,0.226903,-0.635798,0.086519,-1.196591,-0.771719,-1.204242,-0.322231,-0.099696,-0.091068,0.031557,-0.027968,-0.075232,-0.007826,-0.507587,-0.203319,-0.269004,-0.784158,-1.032237,-0.283752,0.007544,0.000335,-0.014384,-2.324485,-0.223796,-0.008829,-0.033373,-0.059098,-0.285025,-0.050922,-0.374797,0.009281,-0.181364,-0.784963,-0.00979,-0.004221,-2.3078,-0.012641,0.025411,-0.043989,-0.046762,-0.064326,-0.202879,0.034637,0.452988,0.845723,0.575907,2.236868
0.21325,0.494109,0.08232,0.128847,1.158783,1.091002,0.028725,0.269578,0.235937,-0.01627,-0.000409,-7.3e-05,0.285965,0.079082,0.166427,0.16179,-0.000718,-0.022541,0.024429,-0.022543,0.001902,-0.023834,-0.019157,0.002065,0.02587,0.914282,0.024672,-0.16756,-0.030286,0.003687,-0.108739,-0.095805,-0.080177,-0.053043,-0.072498,-0.035859,-0.004859,-0.046313,0.006172,0.003103,-0.006381,0.003189,-0.022284,0.002558,0.002375,-0.022731,-0.038852,-0.224409,0.003315,0.000733,0.026607,0.027727,-0.026873,-0.028937,-0.00602,-0.052869,-0.001595,0.048792,0.157869,0.243419,0.061585,0.253041,-0.401426,0.455645,0.775254,0.286824,-0.117638,-0.29485,4.540188,-0.341332,-0.356686,0.1646,-0.138961,-0.883145,-1.06583,-4.551962,0.492894,0.147498,-0.462809,-0.137957,0.060198,-0.46742,0.029417,-1.469036,-0.121008,-0.204019,-1.630215,0.191493,-0.059907,-0.019082,0.002438,0.026842,0.659362,0.07131,0.002551,-0.045987,-0.026091,-0.151488,-0.10512,-0.2773,-0.031254,-0.101257,0.222795,0.003161,0.0023,0.626558,0.002555,-0.053059,-0.07249,-0.084892,-0.092054,-0.12983,0.02152,1.76069,0.682831,0.197721,-0.036735
-0.007302,-0.001979,-0.001612,0.003898,-0.001295,-0.001445,0.004722,0.000106,0.00075,-0.005044,0.000582,0.00066,0.000572,0.00013,0.000166,-0.000213,-0.0011,-0.001037,-0.001659,-0.002255,-0.002123,0.002301,-0.003301,-0.003795,-0.003221,-0.008616,-0.002375,-0.002311,-0.0005,-3.9e-05,-0.000524,0.000416,-0.000357,-8e-06,-0.000762,-7.7e-05,-0.000637,0.005856,0.005835,0.005223,0.006158,0.006171,-7e-06,-0.000279,-1.8e-05,7.5e-05,0.000167,-2e-05,2e-06,-0.0,-1e-06,-6.1e-05,-3.8e-05,6e-06,5.2e-05,0.006018,0.005967,0.006294,0.00113,0.006201,0.000366,0.006283,0.006709,0.006901,0.006136,0.006569,0.006481,0.000838,0.000884,0.00063,0.007121,0.006303,0.000359,1.6e-05,-0.005872,-9e-06,-0.005913,-0.005812,-0.005505,-8.1e-05,-0.006191,-0.006062,-0.000994,-0.001179,-0.001269,3e-05,-0.000434,2.8e-05,4.7e-05,-0.000288,0.005445,-1e-06,7e-06,-1.4e-05,-5e-06,-0.000618,-0.000762,-0.000914,-0.000875,-0.000856,-0.000472,-0.000467,-0.000245,3e-06,-0.000126,-5.3e-05,7e-06,9e-06,7e-06,-1e-06,0.006152,-0.00019,0.005768,0.000798,0.006229,1.6e-05,0.005812
-0.002505,-0.008696,-0.004312,-0.006644,-6.9e-05,-0.000466,-0.001078,0.007053,0.012161,0.010344,0.008291,0.008493,0.008261,0.003702,0.003802,0.002802,-0.002923,-0.002743,-0.007766,-0.009333,-0.005594,-0.010865,-0.005308,-0.010006,-0.008477,-0.005661,-0.006228,-0.009456,-0.001309,-9.9e-05,-0.004777,0.001093,-0.004339,-1.5e-05,-0.005409,-0.000197,-0.005085,-0.001674,-0.001714,-0.006765,-0.000884,-0.000847,-1.9e-05,-0.000739,-4.8e-05,0.000197,0.000441,-5.7e-05,5e-06,4e-06,-2e-06,-0.000159,-0.000101,1.6e-05,0.000135,-0.001247,-0.001381,-0.000498,0.006456,-0.000734,0.000985,-0.000497,0.004098,0.004629,-0.000878,0.00032,9.9e-05,0.002306,0.002442,0.001743,0.005353,-0.000342,0.000993,4.2e-05,0.001523,-2.1e-05,0.001422,0.001702,0.002547,-0.000216,0.000672,0.001029,-0.006135,-0.006635,-0.006884,8.6e-05,-0.004611,8.3e-05,0.000133,-0.000785,-0.002758,-4e-06,2.2e-05,-2.7e-05,-7e-06,-0.005121,-0.005515,-0.005926,-0.00582,-0.005769,-0.004724,-0.004714,-0.000665,7e-06,-0.00034,-0.000146,2.3e-05,2e-05,1.8e-05,-6e-06,-0.000884,-0.000527,-0.001934,0.005638,-0.00066,4.1e-05,-0.001803
-0.001002,0.002939,-0.0021,-0.003457,-0.007218,-0.007422,-0.007926,-0.010894,-0.015544,-0.009044,-0.010239,-0.010134,-0.01024,-0.005331,-0.005275,-0.005779,-0.001474,-0.001383,0.003278,0.002481,-0.002842,-0.005731,-0.009972,-0.005189,-0.004426,-0.002821,-0.00328,0.002318,-0.000692,-5e-05,0.004793,0.000581,0.005028,-1e-05,0.004462,-0.000106,0.004633,-0.001031,-0.001058,0.003601,-0.000614,-0.000595,-1.1e-05,-0.000394,-2.7e-05,0.000104,0.000233,-3e-05,3e-06,2e-06,-1e-06,-8.8e-05,-5.7e-05,5e-06,6.7e-05,-0.000808,-0.000877,-0.000407,-0.003913,-0.000537,0.000516,-0.000413,-0.005305,-0.005025,-0.000617,1.3e-05,-0.000101,0.001206,0.001275,0.000908,-0.004649,-0.00034,0.000515,2.2e-05,0.000951,-8e-06,0.000903,0.001051,0.001492,-0.000108,0.000514,0.0007,0.004092,0.003829,0.003698,4.2e-05,0.004889,4.1e-05,6.8e-05,-0.00041,-0.0016,-2e-06,1.2e-05,-1.3e-05,-3e-06,0.004626,0.004422,0.004211,0.004267,0.0043,0.00485,0.004855,-0.000349,3e-06,-0.000178,-7.8e-05,1.3e-05,1e-05,9e-06,-3e-06,-0.000617,-0.000278,-0.001169,-0.004374,-0.000503,1.7e-05,-0.001104
0.050178,0.141178,-0.00093,0.08693,0.340292,0.350351,0.070038,0.215424,0.113042,0.076,0.065123,0.071026,0.072401,-0.220936,0.037756,0.038045,0.29925,-0.002328,-0.041688,-0.041564,0.18175,-0.005361,0.11547,-0.013468,0.093914,2.053141,-0.019129,-0.025441,-0.012762,-0.0025,0.46069,-0.002497,-0.040005,0.003266,-0.03908,-0.005542,-0.031573,-0.002211,0.929209,-0.038919,0.164069,0.000397,-0.002696,-0.000539,-0.00013,-7.6e-05,-6.3e-05,-3.9e-05,-1.6e-05,-3.8e-05,-2.4e-05,0.132306,-0.001201,-0.000162,1.1e-05,0.000998,0.001003,0.001002,0.033791,0.000932,-5.2e-05,0.001707,0.034762,0.035741,0.000967,0.001723,0.000821,0.00073,0.002919,-0.004411,0.036017,0.001395,0.001111,-1.4e-05,-0.001014,0.004267,-0.000923,0.005938,-0.0009,-0.236131,0.005801,-0.001286,-0.00997,-0.036963,0.072943,0.278405,-0.042901,0.18639,-0.00139,-0.00031,-1.3e-05,-8e-05,-6.4e-05,-3.5e-05,-2.6e-05,-0.035381,-0.03725,0.171526,-0.035373,-0.045282,-0.038059,-0.036751,-0.006767,-9.9e-05,-6.5e-05,-4.9e-05,-0.003172,-0.006677,-3e-05,-3.1e-05,0.001925,-6e-06,0.000985,0.034152,0.001944,6e-06,0.000986
