0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
-0.023785,-0.023567,-0.022942,-0.015465,-0.014843,-0.006864,-0.006676,0.001718,0.002329,0.002645,0.003032,0.003304,0.003201,-0.004052,0.003287,-0.003805,-0.004147,0.003144,-0.004167,-0.004121,-0.004471,-0.011361,-0.011582,-0.011875,-0.011898,-0.012217,-0.012415,-0.012395,-0.012483,-0.005597,-0.005798,-0.005879,0.000686,0.000156,-0.00015,-0.000239,-0.000138,0.0002,-0.006438,0.000789,0.000927,0.000934,-0.005822,0.000937,-0.005819,-0.005762,-0.005846,-0.005718,-0.005741,-0.005702,-0.006113,0.000492,0.000218,-0.006652,-0.000534,-0.000659,-0.000892,-0.00112,-0.007762,-0.000587,-0.000869,0.012066,0.005095,0.024878,0.031514,0.044594,0.051751,0.066016,0.073986,0.074409,0.074933,0.069063,0.075841,0.063392,0.057649,0.058173,0.045405,0.039877,0.033986,0.020602
0.016409,0.026274,0.023025,0.029477,0.026271,0.029463,0.030947,0.023354,0.021373,0.024716,0.020836,0.016275,0.023681,0.024022,0.017475,0.01085,0.015202,0.008647,0.00677,0.006393,0.010984,0.004129,0.001307,0.005324,0.004791,0.008507,0.013322,0.01319,0.011809,0.011358,0.009348,0.008532,0.005953,0.001374,-0.001267,-0.002058,0.005693,0.001694,0.003351,0.006736,0.00792,0.007973,0.008283,0.007923,0.008085,0.008399,0.007545,0.008443,0.008165,0.001728,0.004887,0.003979,0.001751,0.000406,0.002256,0.007765,0.005876,0.00408,0.004612,0.001784,-0.000407,0.002189,0.006618,0.016816,0.016462,0.020742,0.01097,0.004923,-0.004449,-0.007563,-0.008819,-0.017512,-0.016144,-0.024344,-0.033349,-0.036556,-0.04065,-0.051144,-0.059196,-0.061828
-0.010952,-0.009523,-0.002553,-0.006008,0.00097,0.004395,0.006141,0.01791,0.025896,0.029336,0.03502,0.039451,0.03674,0.037139,0.038856,0.041494,0.035589,0.037654,0.035936,0.034939,0.029955,0.032825,0.029877,0.024171,0.023584,0.017686,0.012828,0.012646,0.011301,0.010414,0.008574,0.007834,0.005168,0.001192,-0.001093,-0.001781,-0.003924,0.001466,0.003284,0.005804,0.006788,0.006815,0.007421,0.006691,0.007187,0.007406,0.006652,0.007358,0.007109,0.010389,0.004364,0.003245,0.001427,0.000705,-0.006715,-0.010788,-0.012329,-0.013814,-0.013017,-0.007129,-0.008954,-0.016179,-0.020778,-0.030696,-0.031428,-0.037308,-0.028823,-0.017638,-0.000228,0.005662,0.012992,0.023186,0.023678,0.034995,0.045209,0.051164,0.057661,0.067066,0.070047,0.069374
0.130212,0.180645,0.1323,0.157778,-0.141152,0.114742,-0.577088,0.014944,0.000738,-0.046093,-0.080503,-0.093027,-0.195886,-0.58279,-0.617625,-0.110173,-0.085963,-1.899602,-0.124481,-1.862737,0.281063,-0.271078,-0.105017,-0.068533,-0.069671,-0.035365,0.000793,-0.009048,-0.010227,0.004495,-0.00227,0.001433,-0.007581,-0.216299,0.012506,0.01552,0.042979,-0.00017,-0.000705,0.003385,0.003706,-0.007112,-0.011271,-0.007684,-0.00054,-0.009679,-0.000538,0.001028,0.00103,-0.050546,-0.000839,0.257009,0.058665,0.577449,0.270168,0.971009,0.170081,0.140884,0.185459,-0.314864,-0.664008,-0.554545,-0.392845,-1.104941,-0.811943,0.149294,0.533407,0.389826,0.692798,0.502619,0.439366,0.546898,0.230121,0.353424,1.741426,1.858593,0.440899,0.272417,0.102799,-0.099786
-0.363733,-0.344211,-0.242102,-0.144759,-0.81312,-0.069799,-0.913668,-0.184706,0.015729,-0.069795,-0.07229,0.11516,-0.296739,-0.950839,-0.932155,0.048931,0.032695,-3.27765,0.062492,-3.196475,-0.302108,-0.19037,0.010888,-0.000339,-0.00366,-0.002253,-0.016105,0.095099,0.111835,-0.026233,-0.026655,-0.015046,0.077079,0.172501,0.012792,0.018441,-0.017178,-0.000914,-0.001222,-0.030556,-0.029578,0.078535,0.107551,0.076683,-0.000557,0.091898,-0.00049,-0.016131,-0.016109,0.015883,-2.3e-05,-0.245131,-0.089897,-0.298992,-0.143809,1.597775,-0.07333,0.196575,0.051363,0.417041,0.601737,0.319484,0.596739,0.006264,-0.117561,0.420804,0.836051,0.600054,0.114024,0.158584,-0.282224,-0.223067,-0.188174,-0.476525,1.061233,0.825355,-1.109263,-1.052334,-0.993459,-0.523068
0.493235,0.486593,0.331317,0.189699,0.534214,0.08576,-1.063477,0.020065,-0.021326,-0.13546,-0.127996,-0.227449,-0.378917,-1.291565,-1.291945,-0.083224,-0.1144,-4.002228,-0.155231,-4.19014,-0.122526,-0.528995,-0.011416,0.002226,0.005348,-0.00195,0.014407,-0.155852,-0.181357,0.038051,0.029141,0.018274,-0.118583,0.149313,-0.023057,-0.016811,0.015052,-0.000928,-0.005882,0.046388,0.045741,-0.120519,-0.171878,-0.118422,-0.00521,-0.147635,-0.005152,0.019014,0.019012,-0.023117,-0.004764,-0.128487,-0.094026,-0.539367,-0.170177,-1.541037,0.120091,-0.168404,-0.065861,0.223168,0.37737,0.502747,0.406841,-0.884217,-1.245011,-0.875413,-1.40871,-1.615383,-1.969687,-1.701762,-1.020604,-1.363266,-0.983312,-1.278621,-3.186927,-3.26999,-1.851565,-1.843036,-1.843298,-1.637098
0.054494,0.054618,0.046763,0.046689,0.038895,0.022149,0.013955,-0.009785,-0.033693,-0.048935,-0.056618,-0.070914,-0.07808,-0.085463,-0.084341,-0.075766,-0.075155,-0.067315,-0.059325,-0.051575,-0.051372,-0.043823,-0.036438,-0.029161,-0.02181,-0.014593,-0.007362,-0.007428,-0.007536,-8e-06,-3e-06,-1e-06,6.4e-05,6.7e-05,-0.007498,4e-05,8.6e-05,0.000126,6.7e-05,3.7e-05,-6e-06,-3.9e-05,-7.2e-05,3e-06,9e-06,1.1e-05,0.0,4e-06,5e-06,-5.1e-05,2e-06,0.0,-1e-06,1e-06,2e-06,2.1e-05,0.007476,-1e-06,1e-06,0.007471,-3e-06,-3e-05,-6e-06,-1e-06,-3.7e-05,1e-06,-1.1e-05,-9e-06,-3.2e-05,-9.2e-05,-6.9e-05,-0.000104,-0.000122,-0.000163,-0.000126,-0.00015,-0.0002,-0.000364,-0.000464,-0.000451
0.005719,0.008345,0.01085,0.012666,0.011399,0.02092,0.023004,0.021083,0.024196,0.02148,0.022491,0.013132,0.015287,0.015684,0.011425,0.006077,0.00699,0.006999,0.006622,0.011733,0.005159,0.0025,-0.000395,-0.003356,-0.004838,-0.007526,-0.004273,-0.004866,-0.005846,-3.4e-05,-5e-06,-3e-06,0.000612,0.000637,-0.00556,-0.005223,-0.004774,0.001209,-0.004947,0.000379,-4.4e-05,-0.00036,-0.000677,2e-05,8.3e-05,9.3e-05,-5e-06,-1e-06,-0.0,-0.000532,3e-06,6e-06,-2e-06,-1e-06,-0.0,0.000194,-0.000282,-1.9e-05,6e-06,-0.000275,1e-06,-0.000277,-5e-05,-7e-06,-0.000371,5e-06,-0.000109,-9.2e-05,-0.000293,-0.000871,-0.000665,-0.000997,-0.00116,-0.001567,-0.001201,-0.00143,0.003698,-0.003473,-0.004402,0.00132
-0.046719,-0.043854,-0.040045,-0.037565,-0.026142,-0.021952,-0.017471,-0.004068,0.004086,0.01436,0.01651,0.028079,0.030664,0.031246,0.035321,0.037623,0.037468,0.036497,0.034575,0.028805,0.03111,0.026827,0.022534,0.018376,0.016335,0.01276,0.005721,0.004958,0.003701,-4.3e-05,-9e-06,-8e-06,0.000775,0.000808,0.004064,0.004468,0.005038,0.001535,0.004815,0.000481,-5.6e-05,-0.000456,-0.000861,2.2e-05,0.000104,0.000116,-1e-05,-9e-06,-9e-06,-0.000681,2e-06,8e-06,-2e-06,-1e-06,-1e-06,0.000244,-0.000396,-2.4e-05,8e-06,-0.000383,4e-06,-0.000351,-6.1e-05,-8e-06,-0.00047,1.1e-05,-0.000134,-0.000116,-0.000372,-0.00111,-0.000845,-0.00127,-0.001476,-0.001998,-0.001534,-0.001827,-0.006427,-0.004459,-0.005674,-0.009517
0.139466,0.125926,0.124067,0.114853,-0.068435,0.123687,0.122673,0.076501,0.085982,-1.359027,-0.033366,-0.063287,0.010542,-4.383122,0.364559,0.006559,0.561152,-0.076227,-0.059246,-0.028492,-0.014525,-0.065948,-0.065222,-0.069565,-0.068494,-0.064263,-0.038414,-0.033219,-0.032361,-0.00733,0.048047,-0.012111,0.023731,0.149993,-0.006124,0.000557,-0.047245,0.000905,-0.034619,0.000639,0.000428,0.000349,-0.00032,0.000158,0.000136,9.7e-05,5.7e-05,4.3e-05,4.3e-05,4e-05,3.7e-05,3.5e-05,3.2e-05,2.5e-05,2.6e-05,3e-05,0.001006,2.4e-05,2.1e-05,0.000999,2e-05,1.3e-05,1.2e-05,5e-06,0.0,4e-06,-2e-06,-6e-06,-7e-06,-1e-06,-2e-06,-1e-06,2e-06,0.006811,0.000345,-5.7e-05,0.044916,-0.000449,-0.001262,0.034211
