0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172
0.006371,0.007121,0.007988,0.007841,0.007959,0.00732,0.007349,0.008158,0.00806,0.007389,0.013814,0.008015,0.013643,0.013709,0.014703,0.014802,0.014826,0.008091,0.007985,0.001248,-0.005133,-0.005026,-0.005038,-0.004901,0.001018,0.001031,0.001082,0.001174,-0.006067,0.000682,0.000594,0.000443,0.000333,0.006774,0.00739,-6e-06,0.006776,0.00037,0.001219,0.000427,-0.006277,5.4e-05,1.3e-05,-0.006642,-0.005849,-0.006743,-0.006695,0.000725,0.000799,0.001611,0.001683,0.001426,0.001436,-0.004507,0.001935,0.008916,0.00156,0.000763,0.006487,0.006189,0.006041,0.006788,0.00749,0.0068,0.008429,0.000855,0.000503,-0.00633,0.000362,-0.006818,-0.007508,-0.000806,0.000214,-0.000486,-0.000586,-0.000659,-0.00062,-0.000536,-0.000507,-0.00042,0.000512,-0.000322,0.000412,0.006937,0.000342,0.000233,5.2e-05,0.000134,6.8e-05,0.000167,-0.000338,0.006291,0.007077,0.00714,0.007063,0.006151,-0.000571,-0.000494,-0.000392,0.000577,0.000606,-0.000179,-9.9e-05,-1.4e-05,-0.006596,-5e-06,-4.6e-05,-8.7e-05,-0.000244,-0.000128,-0.006594,-0.007386,-0.006604,-0.006619,-0.007511,-0.007742,-0.01409,-0.013653,-0.007889,-0.013643,-0.014404,-0.007866,-0.008696,-0.000638,-0.00068,-0.00082,9.4e-05,0.006468,0.006622,0.006813,0.006945,0.006687,0.00675,0.00019,0.006706,0.006768,0.000868,0.007173,0.007688,0.007735,0.009082,0.008411,0.008189,0.000806,0.000192,-0.000502,0.006139,0.006223,0.006891,0.006872,0.000116,-0.000194,-0.000196,-8.8e-05,-0.00651,-0.000606,-0.000388,0.006408,0.006557,7e-06,3e-06,-6.3e-05,0.000103,0.000262,-0.006177,0.000263,0.000334,0.000361,0.000351,-0.006833,-0.007379,-0.007505,-0.014577
0.001459,-0.004276,-0.010879,-0.009584,-0.01047,-0.005598,-0.00567,-0.011433,-0.010758,-0.0057,-0.004034,-0.010069,-0.002642,-0.003009,-0.009919,-0.010466,-0.010402,-0.009888,-0.009172,-0.008891,-0.011006,-0.011777,-0.011729,-0.012704,-0.007109,-0.007168,-0.007394,-0.008118,-0.004579,-0.004598,-0.004008,-0.002992,-0.002249,-3.3e-05,-0.004395,3.4e-05,-1.1e-05,-0.002457,-0.008369,-0.002838,-0.003425,-0.000381,-8.8e-05,-0.001019,-0.006617,-0.000351,-0.000677,-0.005195,-0.005704,-0.01147,-0.011972,-0.010249,-0.010348,-0.016662,-0.014027,-0.014989,-0.011244,-0.005511,0.002479,0.004475,0.005422,8.6e-05,-0.004914,-0.000103,-0.011373,-0.006354,-0.004138,-0.004271,-0.003232,-0.000619,0.004304,0.005162,-0.00178,0.00311,0.00375,0.004163,0.003952,0.003406,0.003209,0.002636,-0.003692,0.00201,-0.003067,-0.001399,-0.002639,-0.001952,-0.000809,-0.00133,-0.00091,-0.001533,0.00207,0.002991,-0.002351,-0.00274,-0.002263,0.003801,0.003433,0.002968,0.002357,-0.004053,-0.004227,0.001065,0.00059,7.6e-05,-0.001074,3e-05,0.000281,0.000523,0.001499,0.00079,-0.001056,0.004347,-0.001015,-0.000899,0.005387,0.006751,0.004229,0.001488,0.00823,0.001611,0.006973,0.008457,0.014437,0.004542,0.005006,0.005985,-0.000641,0.001622,0.000525,-0.0008,-0.00167,0.000144,-0.000279,-0.001264,5.1e-05,-0.000343,-0.006067,-0.003299,-0.006996,-0.007301,-0.016706,-0.011922,-0.010475,-0.006015,-0.001726,0.003103,0.003797,0.00325,-0.001403,-0.00131,-0.001268,0.000586,0.00058,-6.3e-05,-0.001943,0.003642,0.002347,0.001897,0.000997,-4.9e-05,-2.7e-05,0.000364,-0.000616,-0.00157,-0.003329,-0.001575,-0.002012,-0.002171,-0.002152,0.001139,0.004992,0.006246,0.008744
0.000494,0.004174,0.007141,0.00823,0.007498,0.003084,0.003031,0.00675,0.007288,0.003006,0.003661,0.007876,0.004814,0.004502,0.007255,0.006804,0.006857,0.00806,0.008667,0.009682,0.008703,0.008081,0.008127,0.007328,0.002659,0.002612,0.002469,0.001823,-0.003057,-0.003839,-0.00336,-0.002515,-0.001894,-0.000804,0.004162,2.5e-05,-0.000792,-0.002078,0.001581,-0.002406,-0.002124,-0.000332,-7.2e-05,-8.1e-05,0.003854,0.000488,0.00021,0.004281,0.003846,0.007644,0.007231,0.008709,0.008638,0.012785,0.014265,0.012693,0.007926,0.004056,0.001305,0.002983,0.003778,0.007979,0.012462,0.007798,0.015736,0.012034,0.013872,0.014536,0.014596,0.008864,0.004263,0.004192,0.007125,0.002509,0.003018,0.003301,0.003162,0.002719,0.002559,0.002095,0.005557,0.001596,0.006054,0.006634,0.00639,0.006931,0.007826,0.007412,0.007734,0.007238,0.001607,0.001598,0.005866,0.005559,0.005934,0.002214,0.00265,0.002289,0.001815,0.005274,0.00514,0.000816,0.000452,6e-05,-0.000106,2.5e-05,0.000217,0.000404,0.00115,0.000609,-9.3e-05,-0.004327,-0.00011,3.1e-05,-0.003624,-0.002498,-0.003763,-0.005805,-0.009707,-0.005699,-0.010055,-0.009518,-0.013278,-0.004765,-0.004492,-0.003741,-0.000489,0.000556,-0.000292,-0.001312,-0.001986,-0.000587,-0.000916,-0.000991,-0.000669,-0.000973,0.003675,0.005113,0.010631,0.010401,0.019918,0.015246,0.016372,0.012122,0.007035,0.002354,0.002178,0.001757,0.006563,0.006629,0.007358,0.00875,0.00873,0.008246,0.00753,0.002705,0.001738,0.000719,4.9e-05,-4.1e-05,-2.3e-05,0.000266,-0.000456,-0.001162,-0.001775,-0.001168,-0.001492,-0.001609,-0.001656,-0.006751,-0.012169,-0.019538,-0.0253
0.286082,0.05272,0.028271,0.024956,-0.434591,1.392022,0.003499,-4.028251,0.088914,0.263964,-0.009398,0.229585,-0.343161,-1.085699,0.279508,-0.030211,-0.012432,-0.023291,-0.073206,0.217192,0.11229,-0.00368,-0.016818,-0.084156,-0.035905,-0.214936,-3.446837,-0.051209,-0.012541,-0.07962,0.003436,-0.000113,0.000618,0.007171,-0.03983,0.061881,0.273959,0.065035,-0.197746,0.099883,-0.009359,-0.283963,0.046383,0.267002,-0.056965,0.210548,0.006505,0.078766,-0.035926,0.174369,-0.070504,0.028387,0.236111,-0.110604,-0.105418,-0.031158,-0.088739,-0.040071,0.006884,0.007585,0.007015,-0.031776,-0.064439,-0.022215,-0.022159,-0.244178,-0.078329,-0.053595,-0.048582,-0.04139,0.00384,0.007628,-0.031068,0.004066,0.002685,-2.085061,0.002274,0.002046,0.002051,0.002168,-0.036229,-0.007165,-0.035956,-0.034726,-0.044979,-0.03792,0.039788,-0.041215,-0.042738,-0.034638,-0.000317,-0.00483,-0.032526,-0.029221,-0.03838,0.003434,-0.004572,0.002093,0.095141,0.180546,-0.048261,-0.000504,0.000161,0.000134,-0.001946,7.4e-05,4.8e-05,1.3e-05,0.001951,-8e-06,0.004492,-0.056728,1.994247,-0.009015,2.562102,0.293476,1.945946,-0.271029,0.471138,2.811787,2.705666,0.893472,0.127131,3.760297,-0.025396,-0.141243,-0.09204,0.102426,0.000932,0.023061,-0.175736,-1.055465,-1.076448,-0.808071,0.017906,-0.312695,0.001671,0.007013,-0.034768,-0.041041,0.101422,0.179049,0.232332,-0.541086,0.213797,0.022185,0.005239,0.276809,0.152344,0.196144,-0.729107,-0.06333,0.353668,0.221875,0.146153,0.002918,0.002637,0.002449,-0.150315,0.247038,-0.008305,-0.023468,0.000107,0.000243,-0.007296,-0.008644,0.052814,-0.010168,1.969991,0.441692,0.612225,-0.114672,0.327592
-0.769411,-0.557443,-0.311598,-0.293694,-0.145761,1.574069,0.024305,-0.204695,-0.335611,-0.635512,-0.375793,-0.600026,-0.085035,-0.164386,-0.771338,-0.155346,-0.141122,-0.107213,-0.016005,-0.554833,-0.334667,-0.111299,-0.085631,0.047202,0.008256,-0.152069,0.461361,0.045478,0.051894,-0.021283,0.020011,0.016931,0.000238,-0.011453,0.008604,-0.19087,-0.545008,-0.235325,-0.265125,-0.252087,0.053763,-1.241718,-0.162841,-0.569885,0.048113,-0.34699,-0.073111,-0.193456,-0.003711,-0.449277,0.00138,-0.184362,-0.537338,-0.066272,-0.081089,-0.13869,0.037471,0.014668,-0.011264,-0.011496,-0.028489,-0.023059,-0.029828,-0.032945,-0.163104,-0.218874,0.006174,-0.041864,-0.052973,0.016504,-0.013016,-0.027059,-0.005978,0.002881,-0.014356,-1.642696,-0.014576,-0.014704,-0.014703,-0.014683,0.006639,-0.001253,-0.0003,-0.026941,0.003985,-0.001987,-0.14459,0.002736,0.000858,-0.007141,-0.000369,-0.018576,-0.022613,0.009688,-0.004315,-0.024073,-0.003915,-0.014059,-0.172325,-0.378411,0.024001,-0.00998,5.4e-05,-1.5e-05,0.015191,-1.1e-05,-1.8e-05,-1.2e-05,-0.014194,8e-06,-0.000806,0.106672,1.755439,-0.040037,1.810179,0.9933,1.871947,0.927273,1.365806,-0.019884,2.467124,0.524498,0.969785,-1.253988,0.052397,-0.140705,-0.374701,-0.295582,-0.042925,-0.117681,-0.244154,0.185832,0.052767,-0.471423,-0.387372,-0.248817,-0.278332,-0.284494,-0.232099,-0.210014,-0.612323,-0.631673,-0.700974,-0.473906,-0.538244,-0.19015,-0.012067,-0.474689,-0.40856,-0.388805,-0.537044,-0.116502,-0.662616,-0.463485,-0.295997,-0.009117,-0.013636,-0.015217,-0.269143,-0.432788,0.0068,0.111848,0.000264,-2.3e-05,0.011208,-0.005997,0.039921,0.007643,1.902042,0.956734,0.635956,0.821368,1.605146
-0.312718,-0.252741,-0.006946,0.010032,-0.197733,-1.497634,-0.045348,-3.93355,-0.258519,-0.4708,-0.094367,-0.450357,-0.389218,-1.300092,-0.278478,-0.124393,-0.074279,-0.090493,0.007274,-0.402952,-0.326108,-0.17115,-0.151981,-0.058432,-0.018337,0.1018,-4.367038,-0.032274,-0.043837,-0.024088,-0.026069,-0.02407,-0.000567,0.027459,0.000442,0.096173,-0.398315,0.086751,0.217492,0.032386,-0.054426,0.158009,0.114129,-0.210933,-0.040888,-0.26377,0.142343,-0.152462,-0.040463,-0.373865,-0.060948,-0.140843,-0.381852,0.099851,0.136757,-0.130747,-0.036437,-0.015542,0.027702,0.028326,0.053545,0.034232,0.037959,0.0141,-0.108932,0.015269,-0.021867,-0.060809,-0.065392,-0.020271,0.02103,0.049407,0.004389,-0.000704,0.025001,0.817292,0.024842,0.024835,0.02481,0.024889,-0.020091,0.027317,-0.034714,0.017761,-0.001063,0.006996,-0.077868,0.007456,-0.001847,0.005494,0.0007,0.051848,0.034388,0.000261,0.010798,0.012495,0.028093,0.025776,-0.09795,-0.222516,-0.018088,0.026982,0.000692,0.00046,-0.028941,0.000254,0.000175,0.000114,0.0251,6.6e-05,-0.030886,0.280152,-0.437531,0.190181,1.581604,0.719214,-0.410266,-0.438949,-0.947953,3.649872,-0.471193,0.854832,0.134742,3.233887,-0.120755,0.142372,-0.072705,-0.357113,0.245009,0.170058,0.300261,-1.049517,-0.89229,-1.299639,0.121389,0.177534,0.484163,0.526204,0.342281,0.321939,0.069742,-0.210569,-0.174322,-1.62005,-0.091196,-0.029802,0.057509,-0.225977,0.00747,-0.199306,0.270665,0.010803,-0.351039,-0.284489,-0.188955,0.02728,0.02641,0.030312,0.034806,-0.267685,-0.012142,-0.168389,0.001188,0.000915,-0.027323,0.002652,-0.015964,-0.022777,-0.511186,0.229789,0.267416,0.293723,-0.40612
0.020253,0.013515,0.013387,0.020237,0.013315,0.013218,0.00651,3e-06,0.00678,-0.000157,-0.0007,0.006073,0.006041,0.006525,0.00664,0.006595,0.013392,0.013427,0.013688,0.013428,0.006557,0.006404,0.00648,-0.000489,-0.000644,-0.000753,-0.000656,-0.00764,-0.007388,-0.000185,1.2e-05,0.000292,-0.006732,-1e-05,-8.1e-05,-2.3e-05,-4.7e-05,0.000105,-4.1e-05,-5.7e-05,-0.0,-0.000237,-0.000411,-0.00061,-0.00081,-0.007505,-0.007252,-0.006844,-1.4e-05,-0.007081,-0.000161,-0.000155,-1.2e-05,2e-06,-2e-06,-6.9e-05,1e-06,-0.000114,-1e-06,-2e-06,-3e-06,-0.000118,0.000114,-2e-06,-0.000139,-4e-06,0.00684,3e-06,-0.000132,-6e-06,1.7e-05,3.6e-05,0.000132,0.000312,0.000358,0.000262,0.000245,0.000352,0.000307,0.007499,0.007579,0.00118,0.001064,0.000927,0.000933,0.007499,0.000401,0.000327,0.000166,0.000305,0.000246,0.000228,0.00028,0.000263,0.000308,0.000248,9.3e-05,0.00699,9.1e-05,-8e-06,-3e-06,2e-06,2e-06,3e-06,2e-06,-1.7e-05,2e-06,-1e-06,4e-06,4.6e-05,1.7e-05,1e-05,3.1e-05,0.00011,0.000286,0.000299,0.000254,0.007005,0.000184,0.000273,0.000328,0.00052,0.000433,0.000381,5e-05,-1.1e-05,0.006272,0.005993,0.006342,-0.000157,0.000163,-0.0001,-0.000121,-2.5e-05,-0.000102,1.4e-05,-4.2e-05,0.000134,3e-06,0.000102,-0.00011,-0.000132,-0.000104,-6.4e-05,1.2e-05,5.4e-05,0.00011,1.8e-05,-4e-06,-2e-06,-0.000104,-6e-06,-2e-06,-4e-06,0.006864,7.8e-05,-0.006829,1.3e-05,-2.2e-05,1e-06,-0.0,1e-06,0.006899,2e-06,-0.006896,-1e-06,1e-06,2e-06,0.000194,0.000278,0.007317,0.000748,0.000908
-0.002552,-0.001635,-0.002307,-0.00268,-0.006925,-0.011746,-0.014883,-0.012846,-0.009219,-0.009303,-0.016562,-0.017584,-0.017863,-0.01096,-0.010392,-0.010924,-0.011903,-0.011849,-0.006035,-0.007698,-0.002662,-0.003675,-0.003231,-0.003049,-0.003997,-0.004653,-0.004054,-0.003766,-0.002172,-0.001129,-0.004334,0.001778,0.001845,-6.2e-05,-0.000493,-0.000144,-0.000296,0.000632,-0.000243,-0.000344,5e-06,-0.00143,-0.00248,-0.003689,-0.009275,-0.007086,-0.005547,0.001123,-0.004451,-0.004462,-0.005293,-0.005261,-5.2e-05,2.1e-05,2e-06,-0.000405,2e-06,-0.000665,5e-06,2e-06,1e-06,-0.00068,0.00069,8e-06,-0.005178,-4e-06,-0.005766,2.3e-05,-0.005158,-2.8e-05,0.000114,0.000228,0.000788,0.001868,0.002119,-0.002807,-0.002895,-0.002262,-0.002519,0.002626,-0.001274,0.007099,0.006437,0.001244,0.005683,0.002925,0.002475,0.002037,-0.003355,0.001898,0.00154,0.001439,0.001753,0.001648,0.00193,0.001563,-0.003825,-7.1e-05,0.000569,-5.3e-05,-1.7e-05,-1.1e-05,-2e-06,0.0,-0.0,-0.000124,6e-06,-1e-06,2.3e-05,0.000288,9.8e-05,6.2e-05,0.000197,0.000684,0.0062,0.006267,0.005997,9.8e-05,0.001139,0.006119,0.002038,0.003267,0.002728,0.006659,0.000304,-8.4e-05,-0.004416,-0.006281,-0.00858,-0.001017,0.00106,-0.005085,-0.005229,-0.004611,-0.005104,0.000103,-0.004727,0.00089,4.5e-05,0.000675,-0.005161,-0.005294,-0.005139,-0.000399,-0.004389,0.000355,0.00071,0.000125,-1e-05,-1.2e-05,-0.005143,-2.4e-05,7e-06,5e-06,-0.000852,0.000506,0.001089,8.6e-05,-0.000141,3e-06,3e-06,5e-06,-0.000638,1.2e-05,0.000643,-4e-06,-8e-06,-5e-06,0.005705,0.006238,0.011037,0.013732,0.014788
-0.001975,-0.001275,-0.00181,-0.002113,0.003118,0.007901,0.014026,0.015681,0.009907,0.009871,0.012815,0.012014,0.011816,0.008611,0.009057,0.008622,0.007874,0.007918,0.003834,0.002543,-0.002113,-0.002909,-0.00256,-0.002382,-0.003121,-0.003643,-0.003177,-0.002929,-0.001681,-0.000888,0.00525,0.001407,0.001489,-4.5e-05,-0.00039,-0.000115,-0.000235,0.0005,-0.00019,-0.000269,7e-06,-0.001127,-0.001959,-0.002922,0.001325,0.003085,0.004313,0.000876,0.005164,0.005176,0.004494,0.004518,-4.3e-05,1.5e-05,1e-06,-0.000321,1e-06,-0.000527,5e-06,2e-06,2e-06,-0.000539,0.000551,6e-06,0.004588,-3e-06,0.004098,1.5e-05,0.004603,-2.3e-05,9e-05,0.000183,0.000629,0.001486,0.001681,0.006475,0.006405,0.006901,0.006699,0.00204,0.007641,0.005559,0.005019,0.00958,0.004395,0.002207,0.001897,0.001561,0.006006,0.001453,0.001177,0.001103,0.001338,0.001255,0.001471,0.001187,0.005645,-0.000108,0.000431,-4.2e-05,-1.4e-05,-1e-05,-2e-06,0.0,0.0,-9.5e-05,5e-06,-1e-06,1.8e-05,0.00022,7.4e-05,4.8e-05,0.00015,0.00052,-0.003838,-0.003785,-0.003989,1.8e-05,0.000861,-0.003897,0.00154,0.002464,0.002057,-0.003536,0.000227,-6.6e-05,-0.003393,-0.004815,0.001958,-0.000776,0.000801,0.004679,0.00457,0.00504,0.004669,8e-05,0.004953,0.000675,3.5e-05,0.000511,0.004626,0.004528,0.004638,-0.000304,0.005214,0.000268,0.00054,9.5e-05,-8e-06,-1e-05,0.004645,-1.9e-05,8e-06,6e-06,-0.000709,0.000384,0.000887,6.6e-05,-0.000105,3e-06,3e-06,2e-06,-0.000546,8e-06,0.000548,-2e-06,-5e-06,-4e-06,-0.004219,-0.003816,-0.008778,-0.006674,-0.005877
0.001272,0.026925,0.001769,0.008765,-0.035399,0.460775,0.413364,3.240122,-0.075941,0.464619,-0.107219,0.094812,-0.006457,1.029583,0.993142,1.672482,0.277327,0.03664,0.068502,-0.028597,0.00853,-0.008687,0.010599,-0.171126,0.207636,-0.005894,0.051211,0.118176,0.176743,0.005597,0.010422,8e-06,-0.003456,0.060594,0.264203,0.001646,0.044868,0.040585,-0.006997,-0.003163,-0.002234,1.058629,-0.001139,0.004644,-0.040348,-0.038882,-0.036918,1.867079,-0.035778,-0.030552,0.103,-0.032122,-0.003962,0.245413,-0.001435,-0.000106,-6.6e-05,-0.000307,-4e-05,-2.1e-05,-2.3e-05,-1.4e-05,-0.002552,-0.000669,-0.035974,-0.006046,0.033583,0.089811,-0.030378,-0.002322,-0.004317,-0.000635,-0.00227,0.001818,-0.638723,-0.001958,-0.010081,0.034639,0.059962,0.001051,-0.088019,0.002891,-0.107758,0.007008,-0.003209,-0.004559,0.079839,-0.005179,-0.037324,0.000897,-0.000125,-9.9e-05,-0.004767,-0.000243,0.032023,-0.001028,-0.03562,0.000949,-2.4e-05,-8e-06,-1.9e-05,-4e-06,-4e-06,-4e-06,-1.1e-05,-1.5e-05,-1.2e-05,-1.3e-05,-4e-06,-1.5e-05,-3e-06,-5e-06,-2e-06,3e-06,0.036501,0.023179,0.038426,0.004843,-0.052394,0.035707,0.000163,0.001348,0.003062,-1.992186,0.000171,2.4e-05,6.1e-05,5.9e-05,-0.035502,-9e-06,-0.004868,-0.036292,-0.0276,-0.024586,-0.031327,-4.3e-05,-0.035564,0.021478,-0.004558,0.000327,-0.02632,-0.036445,0.660762,-0.004213,-0.039859,-0.000308,-8.9e-05,-5.5e-05,-4e-05,0.005843,-0.038223,-0.0003,-0.000188,-5.1e-05,0.000205,-1.7e-05,-0.000991,-1.5e-05,-1.6e-05,-7e-06,-1.1e-05,2e-06,0.000986,-1e-06,-0.000983,-7e-06,9e-06,3e-06,0.035568,0.040365,-0.000805,-0.149721,0.035901
