0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
0.010211,0.005538,0.005796,0.012728,0.011011,0.016332,0.022138,0.021946,0.028445,0.028728,0.023129,0.021438,0.021242,0.017069,0.015717,0.005613,0.005525,-1e-06,-0.005375,-0.010648,-0.00541,-0.005618,-0.004838,-0.011613,-0.010428,-0.005775,-0.005866,-0.00492,0.000958,0.000533,0.000694,0.000483,-0.001291,-0.001333,-0.001988,-0.00024,-0.006279,-0.007027,-0.006266,-0.000656,-0.000795,-0.000879,-0.000687,0.004319,-0.001105,0.003818,0.003424,0.003485,0.003534,0.003851,0.003654,0.003981,0.004169,0.004333,0.004631,0.004257,0.005502,0.004009,0.004597,0.003999,0.009803,0.004145,0.002879,-0.000802,0.004376,-0.003544,-0.003325,-0.002923,-0.002425,-0.001855,0.003749,-0.001314,0.003168,0.002353,0.003523,0.003557,0.008925,0.006444,0.004939,0.010813,0.01127,0.012663,0.011333,0.004401,-0.002224,-0.002139,-0.007091,-0.011015,-0.010495,-0.009231,-0.013886,-0.008971,-0.008733
0.004646,0.000825,5.5e-05,-0.005066,0.002065,0.003714,0.003899,0.004421,0.001166,0.000407,-0.000287,0.006333,0.006932,0.000319,0.005802,0.000918,0.001148,2e-06,-0.001569,-0.003414,-0.001537,-0.000896,-0.004789,-0.000709,-0.005725,-0.002137,-0.001877,-0.006257,-0.007874,-0.006681,-0.00714,-0.006547,0.000212,0.00034,0.003926,-0.002749,-0.000566,0.003318,0.001166,0.001884,0.002288,0.002523,0.001972,0.004371,0.003152,0.005756,0.006835,0.006643,0.006465,0.005541,0.00608,0.005135,0.004581,0.004105,0.003271,0.004291,-0.000884,0.004944,0.001574,0.003177,0.001386,0.000972,0.006087,-0.001365,0.000394,0.009522,0.008951,0.00789,0.006548,0.005007,0.005328,0.003549,0.006867,0.009033,0.004102,0.003986,0.004795,-0.007279,-0.00155,-0.003827,-0.005029,-0.010434,-0.005191,-0.000267,0.003857,0.003647,0.003586,-0.000891,-0.002221,-0.005526,-0.008239,-0.006286,-0.006943
0.00157,7.6e-05,-0.00031,0.003576,0.000335,0.000815,0.000579,0.000856,0.005628,0.005259,0.00525,0.001767,0.002066,0.005882,0.00182,0.000122,0.000226,-2e-06,-0.000444,-0.001024,-0.000538,-0.000107,0.004704,0.00029,0.004558,0.005973,0.006096,0.010683,0.0163,0.01687,0.016659,0.016941,0.013395,0.013442,0.008411,0.012007,0.006617,0.001734,0.000768,0.000839,0.001018,0.001115,0.00087,0.001684,0.001381,0.002284,0.002746,0.002659,0.002572,0.002168,0.002394,0.001984,0.001744,0.001539,0.001182,0.001615,0.005913,0.001889,0.006954,0.007623,0.013154,0.013158,0.008786,0.012336,0.012756,0.003837,0.003576,0.003127,0.002585,0.001963,0.001944,0.001383,0.00253,0.003353,0.007776,0.007723,0.007898,0.016091,0.011925,0.017304,0.016895,0.021241,0.016891,0.012458,0.007694,0.007609,0.001338,-0.000186,-0.00065,-0.001808,-0.002701,-0.002073,-0.002306
0.726099,-0.454109,0.681059,0.565459,0.328647,-0.648062,0.7433,-3.090565,-0.833044,0.570802,0.591027,-0.511158,0.357352,0.417182,-2.918536,0.011528,-0.462475,0.441866,0.040958,0.014771,-3.149627,0.059512,0.534679,0.439419,0.436974,0.134264,0.02981,-0.056668,-0.070228,0.038057,-0.128037,0.080045,0.054297,0.013852,-0.041311,-0.088321,0.247363,-0.014812,-0.014129,0.000737,0.004881,0.003283,0.001204,0.005802,0.014482,0.018338,0.004545,0.006581,0.006892,0.011873,-0.297729,-0.180355,-0.029448,-0.097795,-0.023565,-0.008474,-0.028551,0.004281,-0.030773,-0.390988,-0.198625,0.30106,0.380616,-0.012623,-1.28006,0.008512,0.00764,0.005781,-0.011569,-0.009104,0.020433,0.000679,0.018314,-0.017286,-0.014527,-0.190704,-0.014713,-0.102456,1.12445,1.087785,-0.072783,-0.129549,-0.099759,0.398491,-0.060211,0.423588,-0.02917,-0.001051,0.001545,-0.164588,0.184907,0.030074,0.045843
-1.224277,-2.054017,-1.124971,-1.239801,-1.234026,-1.614907,-1.055953,-2.990033,-1.177969,-0.862329,-0.917631,-1.278824,-0.739189,-0.791881,-1.829648,-0.126195,-1.001509,-0.551571,-0.193279,-0.0727,-4.140091,-0.115762,-0.518673,-0.317505,-0.427789,-0.141948,-0.060828,-0.013312,-0.056283,-0.139536,0.004212,-0.172721,-0.042196,-0.096216,-0.026279,-0.010238,-0.22774,0.010622,0.10136,0.001008,-0.009936,-0.01247,0.001897,-0.026844,0.001683,-0.021571,-0.029731,-0.02549,-0.024796,-0.021357,0.208716,0.13392,0.020334,0.058901,0.013005,0.068444,-0.024503,-0.029059,-0.0282,-0.719,-0.2501,-0.323127,-0.422178,-1.098338,-2.105943,-0.016961,-0.02111,-0.024657,0.082591,0.001749,-0.036964,0.091414,-0.032553,-0.011522,-0.050476,0.094671,-0.055836,-0.052517,2.065961,2.054653,0.002142,-0.040779,-0.149169,-0.393323,-0.012783,-0.351036,-0.042539,0.03612,0.024059,-0.21514,-0.40631,-0.002864,-0.00247
-0.577295,-1.367647,-0.499678,-0.390396,-0.670973,-1.028532,-0.362671,-3.673046,-0.899782,-0.189065,-0.021393,-1.161083,0.039663,-0.062259,-4.009038,0.193951,-1.406834,0.083927,0.29522,0.100661,-3.400313,0.101489,-0.173949,-0.29749,-0.162922,-0.14106,-0.085671,-0.079809,-0.056477,-0.098871,-0.043306,-0.116276,-0.249877,-0.048786,0.014614,0.00606,-0.168639,-0.005562,-0.175408,0.000592,0.023993,0.024761,-0.000434,0.053393,0.003265,0.027219,0.053841,0.052268,0.052016,0.028078,0.191393,0.124553,0.067168,0.119128,0.058318,-0.12047,0.027729,0.053115,0.030137,0.186715,0.141753,-0.132009,-0.267781,0.178336,-4.969407,0.04388,0.049162,0.050162,-0.147875,0.045972,0.05756,-0.165217,0.05297,0.104873,0.055852,0.104263,0.066276,0.011493,-0.943371,-0.941857,-0.014113,-0.016094,0.215091,-0.224324,0.022985,-0.140253,0.02215,-0.060027,-0.075287,-0.116262,-0.12768,-0.099516,-0.128802
-2e-06,-0.005812,-0.000309,-0.005809,-0.005807,-0.000216,-4e-06,3e-06,-7.4e-05,-3.1e-05,0.005704,-0.000132,-0.00013,-0.000375,-0.000285,-0.000447,-0.000611,-0.000499,-0.000306,-0.000257,-0.00024,-2e-05,-0.000149,5e-06,-4.9e-05,-6e-05,-7.6e-05,-0.000258,0.000301,-0.000105,-0.000229,-0.000305,1e-05,-0.000307,-3.2e-05,-0.00026,-0.000178,-5.6e-05,1e-05,0.005826,1.3e-05,-3e-06,-0.0,-2.4e-05,-0.000242,-0.000384,-0.000241,-0.000319,-0.000565,-0.000639,-0.000459,-0.000514,-0.00084,-0.000702,0.005101,-0.000698,-0.000259,0.0057,-0.0002,-0.000142,-0.000483,-0.000257,0.006263,-0.000185,0.005528,0.000274,0.000235,0.000538,0.00068,1.2e-05,3e-06,0.000674,-3e-06,-1.9e-05,3e-06,-0.000296,-8e-06,7e-06,1e-06,1e-06,1e-06,1e-06,1e-06,-0.0,-0.000296,-0.000636,0.005388,0.000432,0.000639,0.006882,5e-05,-1e-06,0.000668
-8e-06,0.001864,-0.000732,0.001879,0.001883,-0.000508,-7e-06,3e-06,-0.000174,-7.6e-05,-0.002128,-0.000312,-0.000307,-0.000886,-0.000675,-0.001056,-0.001442,-0.001175,-0.000723,-0.000607,-0.000565,-4.6e-05,-0.000346,1.4e-05,-0.000119,-0.000141,-0.00018,-0.000609,0.004095,-0.000252,-0.000541,-0.000722,2.1e-05,-0.000726,-7.7e-05,-0.000613,-0.000426,-0.000135,2.7e-05,-0.00187,3.3e-05,1e-06,4e-06,-5.8e-05,-0.000574,-0.00091,-0.000575,-0.000754,-0.001333,-0.001503,-0.001082,-0.001212,-0.001981,-0.001651,-0.00362,-0.001647,-0.000613,-0.002221,-0.000469,-0.000336,-0.001142,-0.00061,0.002485,-0.000445,-0.002646,0.004035,0.003945,0.004666,0.005003,2.4e-05,8e-06,0.004992,-3e-06,-4.4e-05,4e-06,-0.000705,-2.2e-05,1.3e-05,-0.0,7e-06,2e-06,1e-06,-0.0,-5e-06,-0.00071,-0.001522,-0.002987,0.004415,0.004912,0.003984,0.000108,-7e-06,0.004982
-2e-06,0.001126,-0.000375,0.001132,0.001137,-0.000258,-1e-06,4e-06,-9.1e-05,-4e-05,-0.001259,-0.000161,-0.00016,-0.000459,-0.000352,-0.000551,-0.000755,-0.000613,-0.000376,-0.000316,-0.000294,-2.3e-05,-0.00018,9e-06,-6.3e-05,-7.4e-05,-9.5e-05,-0.000319,-0.005224,-0.000132,-0.000283,-0.000379,1.2e-05,-0.000381,-4e-05,-0.000323,-0.000225,-7.2e-05,1.5e-05,-0.001125,1.7e-05,2e-06,2e-06,-3e-05,-0.000302,-0.000481,-0.000303,-0.000397,-0.000701,-0.000792,-0.00057,-0.00064,-0.00105,-0.000875,-0.002053,-0.000876,-0.000328,-0.001312,-0.000251,-0.00018,-0.000611,-0.000328,-0.006214,-0.00024,-0.001544,-0.005257,-0.005304,-0.004918,-0.004737,1.4e-05,6e-06,-0.004739,-3e-06,-2.4e-05,2e-06,-0.000378,-1.3e-05,6e-06,-1e-06,4e-06,1e-06,0.0,1e-06,-4e-06,-0.000382,-0.00082,-0.00173,-0.005045,-0.004778,-0.005395,5.9e-05,-2e-06,-0.00473
-7.7e-05,-0.001051,-0.002012,-0.001114,-0.00105,-6.8e-05,-4e-05,-3.7e-05,-0.000339,-0.000109,0.000917,-4.9e-05,-4.3e-05,-0.000683,-8.7e-05,-5.3e-05,-5.5e-05,-4.6e-05,-2e-05,-2e-05,-1.4e-05,-1e-06,2e-06,5e-06,-7e-06,-1.8e-05,-6e-06,-8e-06,0.033162,-6.2e-05,-6.1e-05,-0.001153,-3.4e-05,-0.00114,-2.1e-05,7e-06,-6e-06,-2e-06,-3.1e-05,0.000972,-1.5e-05,-1.2e-05,0.006962,0.001171,-1e-06,-2.2e-05,3e-06,-5e-06,-0.001102,-0.001114,-1.7e-05,-0.0,-4e-06,-1e-06,0.000981,-3e-06,8e-06,0.000989,9e-06,-0.000991,-0.001178,-5.8e-05,0.034703,-1.8e-05,0.000975,0.03373,0.032669,0.033734,-0.557681,0.00013,6.5e-05,0.038468,4.2e-05,-2.2e-05,-1.9e-05,-2.8e-05,-5e-06,-5e-06,-4e-06,-2.9e-05,0.010618,0.002482,0.00028,-7e-06,-3e-06,-0.001056,0.000991,0.037701,0.034256,0.035158,0.000615,0.007747,0.034691
