0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0.002168,0.002076,0.009321,0.007924,0.0025,0.008193,0.008014,0.001388,0.001323,0.007466,9.2e-05,0.006418,0.001615,0.001657,0.002043,0.001613,0.001516,0.001245,0.008405,0.00855,0.007377,0.0087,0.007503,0.006093,0.00611,0.005199,0.005112,0.005288,0.005588,0.005989,0.005895,1.8e-05,-9.4e-05,-9.6e-05,-7e-05,-6e-06,0.000378,-0.00562,-0.005573,0.000517,0.000562,0.000837,-0.005835,-0.004478,-0.005241
-0.008286,-0.008008,-0.011456,-0.005467,-0.010993,-0.007999,-0.007436,-0.007723,-0.007541,-0.00581,-0.002136,-0.000933,-0.008364,-0.008482,-0.009604,-0.008364,-0.008096,-0.007309,-0.010275,-0.010667,-0.005453,-0.011059,-0.005773,8e-05,3e-05,0.004446,0.004684,0.004176,0.003337,0.002234,0.002484,-5.2e-05,0.000252,0.000252,0.000187,1.1e-05,-0.00104,-0.003263,-0.003402,-0.001421,-0.00155,-0.002312,-0.000836,-0.006521,-0.00252
0.001969,0.002167,0.006864,0.003224,0.008074,0.009402,0.009823,0.010412,0.01055,0.011018,0.006446,0.006539,0.009986,0.009905,0.009112,0.010019,0.010211,0.010784,0.015922,0.015664,0.011362,0.015412,0.011151,0.007275,0.007237,0.00234,0.002507,0.002146,0.001559,0.000794,0.000967,-3.9e-05,0.000175,0.000172,0.00013,8e-06,-0.000725,-0.001516,-0.00161,-0.000987,-0.001077,-0.001611,-0.00782,-0.003813,-0.009017
0.085637,0.106515,0.093285,0.087248,-4.845057,0.116492,-1.300565,-0.855225,0.124112,-0.251532,0.18946,0.141258,0.154072,0.110415,0.152465,0.037971,0.175342,0.329195,-0.02571,-0.026393,-0.008611,-0.073665,-0.072926,-0.032216,-0.032183,0.002014,0.00414,-0.000432,0.155745,0.006943,0.028462,0.084858,0.03659,0.168821,-0.000397,-0.005521,0.012535,0.007628,-0.002222,0.00435,-0.003508,-0.024937,-0.205557,-0.260842,-0.244701
-1.552792,-1.755056,-2.024406,-1.830965,-0.776482,-1.791346,-1.241033,-1.53388,-1.313497,-1.174081,-1.338372,-0.941111,-1.061014,-0.838287,-0.868957,-0.429008,-0.914064,-0.571016,-0.330989,-0.224501,-0.227191,-0.115708,0.004283,-0.024474,-0.028356,-0.015163,-0.029129,-0.013499,-0.515252,-0.025069,-0.079951,-0.302208,-0.162035,-0.58414,0.005628,0.02052,-0.091418,-0.057834,0.015998,-0.013802,-0.008845,0.075395,0.69919,0.742711,0.808736
-1.011574,-1.139457,-1.294383,-0.96133,-3.189636,-0.665429,-1.374947,0.029101,-0.136553,-0.385719,-0.133219,0.170186,0.031196,0.168754,-0.355076,-0.043927,-0.350423,-0.320539,0.034421,-0.144127,-0.107899,-0.066016,-0.006018,0.033168,0.031674,0.029327,0.054559,0.026843,-0.272848,0.027612,-0.008516,0.051594,0.138183,-0.118424,0.00672,0.013971,0.176924,0.126788,-0.028639,-0.009235,-0.020113,0.007052,0.590297,0.359513,0.422926
-0.000919,-0.000471,0.005622,0.005202,-0.001015,-0.000738,-0.000821,-0.000764,-0.000357,-0.00669,2.7e-05,-6e-06,-0.000423,-2e-06,-5.9e-05,-1e-06,-2e-06,-2e-06,-0.00022,0.000157,3.3e-05,-2e-06,-1.2e-05,1.6e-05,0.000222,-2e-06,-0.000184,-1.7e-05,8.2e-05,-2e-06,-0.0,-1e-06,1e-06,3e-06,0.000425,3e-06,1e-06,1.2e-05,0.0,2e-06,4.1e-05,0.000321,0.007443,0.001212,0.001814
-0.010223,-0.005133,-0.011993,-0.017202,-0.010523,-0.009688,-0.009944,-0.009779,-0.004801,0.001605,9.2e-05,-1.5e-05,-0.005023,3e-06,-0.000169,5e-06,2e-06,1e-06,-0.000663,0.00048,9.9e-05,-1.3e-05,-2.6e-05,4.3e-05,0.00067,-8e-06,-0.000566,-5.1e-05,0.000249,-2e-06,-1e-06,-5e-06,-2e-06,-1e-06,0.005017,-1e-06,0.0,3.6e-05,-4e-06,-1e-06,0.00012,0.000976,0.000697,0.003699,0.005553
0.009275,0.004623,0.008057,0.012679,0.009074,0.009719,0.009528,0.00966,0.0049,0.001058,7.1e-05,-9e-06,0.004732,5e-06,-0.000127,6e-06,5e-06,8e-06,-0.000498,0.000367,7.7e-05,-9e-06,-2.5e-05,3.3e-05,0.00051,-6e-06,-0.000431,-3.9e-05,0.000188,-2e-06,-2e-06,-5e-06,-0.0,-0.0,-0.004738,-2e-06,0.0,2.8e-05,-5e-06,-1e-06,9e-05,0.000741,0.000692,0.002801,0.004198
-0.066857,-0.027498,4.34149,-0.104806,-0.043528,-0.048582,-0.032942,-0.006148,-0.035811,-0.002162,-0.001164,-0.001085,-0.03525,-0.00039,-0.000573,-0.000282,-0.000233,-0.000382,-0.000192,-0.000139,-0.000106,-6.2e-05,1.297352,-0.0003,0.000938,-7.6e-05,-6.9e-05,-4.2e-05,-0.007353,-3.2e-05,0.0073,-2.8e-05,-0.000472,-0.000182,0.034685,-5e-05,-4.4e-05,-3.5e-05,-3e-05,-0.000315,-0.000156,-9.1e-05,0.001991,0.003467,0.000841
0.032851,-0.085955,1.547156,0.025192,0.132263,0.206511,0.23409,0.456524,0.011926,0.013972,0.00011,0.000198,0.017108,-0.000144,5.3e-05,-9.2e-05,-9.3e-05,4e-06,-7.6e-05,-5.2e-05,-3.5e-05,-2.7e-05,0.457874,6.6e-05,-0.012181,-3.1e-05,-1.7e-05,-2.6e-05,0.083734,-1.7e-05,-0.083738,6e-06,0.000298,1.6e-05,-0.017317,-1.6e-05,-1e-05,4e-06,2e-06,0.000122,-3e-05,-4.6e-05,-0.026867,-0.010421,-0.012081
-0.02724,0.155628,-2.965194,-0.025401,0.232833,0.045854,0.281472,0.380893,-0.018274,-0.029355,0.000342,0.000224,-0.015888,0.000287,0.000205,0.000219,0.000171,0.000174,0.000155,0.0001,0.0001,6.4e-05,-0.958732,6.2e-05,0.026215,6.3e-05,4.1e-05,2.9e-05,-0.180225,2.6e-05,0.180282,2.8e-05,-4.6e-05,0.000111,0.01632,7e-05,3.7e-05,4e-05,3.5e-05,5.2e-05,0.000111,7.7e-05,0.055726,0.023595,0.026217
