0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
-0.022447,-0.021937,-0.021039,-0.021506,-0.027697,-0.033656,-0.040245,-0.040114,-0.04028,-0.047338,-0.047482,-0.040697,-0.03402,-0.041022,-0.034043,-0.020479,-0.013502,-0.006573,0.000442,0.007127,0.007167,0.013819,0.013567,0.013389,0.020622,0.020686,0.020853,0.014442,0.014669,0.015215,0.015421,0.015454,0.008388,0.008147,0.007839,0.007475,0.007784,0.000578,0.000572,0.007957,0.000881,0.000521,0.000503,0.000446,0.000357,0.007077,-8.1e-05,0.006954,-0.000149,-0.000138,-0.000478,-0.000411,-5e-05,6e-06,3.1e-05,0.007118,3e-06,-1e-05,-0.000337,-0.000337,-0.00801,-0.008516,-0.001958,-0.002383,-0.008927,0.004746,0.004631,0.005032,0.005629,0.005682,0.006375,0.013463,0.013841,0.013788,0.006938,0.013489,0.01342,0.013331,0.019571,0.019562,0.012916,0.012906,-0.000407,-0.000411,9e-06,-0.000418,2e-06,-0.000419,2e-06,2e-06,-0.000422,-0.000421,-0.00042,-0.000845,0.006192,-0.000419,-0.000419,-0.000419,0.006622,0.006625,8e-06,0.006622,3e-06,0.006615,0.006613,0.006603,0.006606,0.006617,0.006164,1e-05,-8e-06,-7e-06,3e-06,-7e-06,0.006586,-6e-06,-2e-06,-1e-06,-0.0,-1e-06,-8e-06,0.006588,-2e-06,2e-06,0.0,-5e-06,3e-06,-1e-06,-0.0,6e-06,0.006619,2.2e-05,-4e-06,-1.1e-05,1.3e-05,0.006602,-8e-06,6e-06,1e-05,-6e-06,-7e-06,-2e-05,-8e-06,-6e-06,-1.1e-05,-5e-06,-0.000476,-1.3e-05,-0.000487,-2.9e-05,-2.6e-05,-0.000509,-0.007065,-0.014034,-0.014442,-0.021401,-0.03448,-0.047524,-0.048191,-0.054385,-0.047295,-0.040366,-0.0332,-0.026077,-0.012429,0.007553,0.01416,0.0329,0.045233,0.044948,0.044526,0.044573,0.043876,0.043595,0.037676,0.031396,0.031385,0.025823,0.025833,0.025981,0.026045,0.025459,0.019546,0.024857,0.018154,0.011455,0.016632,0.017119,0.01068,0.010732,0.004712,0.004925,0.011591,0.013248,0.013208
0.024546,0.017245,0.003999,0.007829,-0.000196,-0.014044,-0.02103,-0.026004,-0.030251,-0.026303,-0.023891,-0.025396,-0.030075,-0.028239,-0.033298,-0.0379,-0.035886,-0.033674,-0.032742,-0.02812,-0.029348,-0.024542,-0.020129,-0.015512,-0.014586,-0.014372,-0.013653,-0.015002,-0.012367,-0.014787,-0.012143,-0.011182,-0.010896,-0.004142,0.001851,0.00683,0.001381,-0.000577,-0.000662,-0.006767,-0.006531,-0.001522,-0.001883,-0.003098,-0.005032,7.1e-05,-0.001741,-0.00281,-0.003349,-0.003155,0.002496,0.003998,-0.001186,9.9e-05,0.000694,0.000439,3.7e-05,-0.000255,0.005671,0.005646,0.018851,0.034211,0.047915,0.064581,0.057939,0.055209,0.052907,0.037455,0.026007,0.02799,0.018735,0.01544,0.013428,0.013292,0.010433,0.007016,0.004669,0.000774,0.004828,0.004111,0.006351,0.008356,0.007341,0.007288,0.001443,0.006795,0.000642,0.006972,0.000334,-0.000725,0.005541,0.004407,0.00334,0.009411,0.003267,0.002197,0.002381,0.003417,-0.00231,-0.001896,-0.001306,0.00013,-0.000522,0.001343,0.0012,0.00206,0.000841,-0.000286,0.005787,-0.000765,0.001236,0.001022,-2.2e-05,0.000764,0.001683,0.000436,0.000143,-2.4e-05,-2.4e-05,-3e-06,0.000634,0.000871,0.000106,-2e-05,-4e-06,0.000377,-0.000158,7e-06,-6e-06,-0.000415,-0.001297,-0.001445,0.000288,0.000751,-0.000851,-2.4e-05,0.00047,-0.000391,-0.000525,0.000318,0.000379,0.00116,0.000484,0.000357,0.000578,0.000238,0.006122,0.000857,0.006944,0.001813,0.00161,0.00779,0.00677,0.008903,0.012203,0.015655,0.013191,0.012907,0.025405,0.03009,0.026813,0.030591,0.037021,0.034113,0.034688,0.028551,0.024476,0.026927,0.022878,0.023278,0.027414,0.016851,0.016525,0.016565,0.006815,0.001731,-0.000404,-0.008339,-0.009899,-0.013333,-0.014392,-0.008051,-0.00993,-0.002368,0.003553,0.009638,0.016788,0.011315,0.013817,0.012513,0.012929,0.010296,0.003512,-0.011082,-0.010578
-0.037029,-0.034579,-0.028723,-0.034072,-0.031995,-0.026478,-0.023799,-0.019701,-0.015143,-0.011475,-0.00944,-0.002586,0.001462,0.003481,0.007325,0.011285,0.012736,0.014567,0.015083,0.009834,0.008565,0.003497,-0.001691,-0.006706,-0.006328,-0.006166,-0.005538,0.003139,0.00579,0.01298,0.015638,0.016583,0.01738,0.014502,0.010837,0.00619,0.010313,0.008907,0.008817,0.011795,0.012551,0.007952,0.007601,0.006424,0.004569,-0.000474,-0.001675,-0.003251,-0.003231,-0.003051,-0.007031,-0.005578,-0.001151,9.6e-05,0.000673,-0.000122,3.6e-05,-0.000248,-0.003953,-0.003974,-0.009509,-0.013487,-0.019572,-0.022216,-0.018606,-0.022086,-0.02416,-0.020196,-0.012601,-0.010732,-0.001221,0.004181,0.011212,0.01103,0.00887,0.005206,0.003087,-0.000413,-0.006184,-0.006839,-0.004282,-0.002483,-0.002253,-0.002294,0.001289,-0.002725,0.000573,-0.002564,0.000298,-0.000647,-0.003837,-0.004849,-0.005803,-0.009153,-0.006441,-0.006834,-0.006674,-0.005739,-0.002673,-0.002304,-0.001192,-0.000467,-0.00048,0.000635,0.000505,0.001281,0.000172,-0.000853,-0.004179,-0.000698,0.001121,0.000927,-2.1e-05,0.000692,0.000933,0.000394,0.000129,-2.2e-05,-2.4e-05,-5e-06,0.000572,0.000195,9.3e-05,-2e-05,-5e-06,0.000338,-0.000145,5e-06,-6e-06,-0.000377,-0.001774,-0.001313,0.000258,0.000679,-0.000771,-0.000623,0.000423,-0.000356,-0.000477,0.000286,0.000343,0.001051,0.000437,0.000323,0.000525,0.000218,-0.003274,0.000775,-0.002529,0.001637,0.001454,-0.001757,-0.002073,-0.008324,-0.014122,-0.019193,-0.020283,-0.019478,-0.025748,-0.020968,-0.015716,-0.012752,-0.007318,-0.001867,0.006508,0.016632,0.020907,0.021254,0.024638,0.024677,0.027517,0.034392,0.033407,0.033103,0.033485,0.029707,0.028,0.030177,0.02894,0.026425,0.025668,0.022559,0.021732,0.018921,0.015931,0.013105,0.009857,0.013496,0.008177,0.007251,0.007989,0.006214,0.008571,0.01368,0.014015
0.145664,0.143133,0.182735,0.18839,0.101143,0.331479,0.256761,0.029331,0.278214,-0.025753,-0.051786,-0.08496,0.324094,1.503928,4.688996,0.067701,4.833086,-0.058442,0.285327,0.047556,4.600429,-0.073864,1.077895,-0.059558,0.051457,0.44293,-0.055715,-0.086397,-0.083004,-0.001113,-0.107566,1.011465,-0.108658,-0.068638,-0.032673,0.002833,-0.033161,-0.034877,-0.033116,-0.071516,-0.071184,-0.035229,-0.034894,-0.034763,-0.037122,0.001889,-0.002588,-0.00189,-0.003266,-0.001485,0.035003,0.036319,-0.0018,0.0418,-0.00028,0.001916,-8.2e-05,0.004664,0.036208,-0.003973,0.049904,-1.018098,0.008456,-0.785214,0.071722,-0.416657,0.169221,0.19753,0.106592,0.120439,0.064569,0.043399,0.007728,0.008278,0.107739,-0.001438,-0.00166,-0.009537,0.049424,0.039781,0.038971,0.040517,0.037862,0.036182,0.000708,0.03647,-0.009975,0.035972,0.00011,-0.000163,0.028552,0.012073,0.036605,0.073143,0.036944,0.030665,0.007451,0.033748,-0.000109,0.001795,0.000137,-0.00029,0.000906,0.003726,0.002083,0.002052,-0.032852,0.00168,0.032175,-0.009476,0.00019,0.002121,0.000793,-0.000198,0.00222,0.015134,0.000106,-3.1e-05,-0.000274,-3.8e-05,-2.1e-05,0.00203,-8e-06,-4.6e-05,-2.3e-05,-1.2e-05,-6.9e-05,-0.000563,5.1e-05,-0.00032,0.001835,-1.4e-05,1.3e-05,1.2e-05,-0.001898,0.001863,-1.4e-05,-6e-06,-2e-06,-0.005055,9.2e-05,0.015241,9.3e-05,6.5e-05,4.4e-05,0.013246,0.036557,2.2e-05,0.036547,0.001927,0.002491,-0.001517,-0.024457,0.003756,0.023523,-0.005302,-0.081844,-0.10322,0.304445,0.228133,0.401791,-0.015113,0.179325,-5.252996,-0.327595,-0.406554,0.099263,-0.307261,-0.343507,0.009224,-5.199417,-5.362472,-0.563824,-0.109974,-5.31787,0.079072,-0.061697,-0.111415,-0.07748,-0.02772,0.012878,0.103587,-0.110318,0.02888,0.084747,-5.057076,0.15805,-0.040919,0.006403,0.008403,0.070873,-0.01102,-0.022265,0.17675,0.031654
0.244539,0.069882,-0.203191,-0.173508,-1.107693,-0.752723,-0.556948,-0.239132,-0.419517,-0.088844,-0.027275,0.053389,0.179674,-0.212124,0.336441,-0.421917,-0.067928,-0.088404,0.139301,-0.012257,0.137705,0.220766,1.890157,0.328263,0.312014,0.737729,0.200394,0.116209,0.103927,0.14125,-0.0126,1.355071,0.021427,-0.021976,-0.021266,-0.026984,-0.018677,-0.003325,-0.018893,-0.009583,0.008605,-0.004502,-0.0035,-0.003364,0.011161,-0.015292,-0.003252,-0.00259,0.013504,-0.001824,-0.013558,-0.011893,0.015367,-0.227457,0.002298,-0.014866,1.9e-05,-0.003367,-0.010845,0.218186,0.295328,-0.646535,1.245275,-0.19816,1.435892,-0.367587,1.201206,0.739348,0.337311,0.18653,0.053874,-0.102989,-0.087943,-0.085373,0.502553,-0.005039,-0.012107,0.070137,-0.016187,-0.045797,-0.061767,-0.049234,-0.002854,-0.013478,-0.033112,-0.013533,0.095043,-0.025086,-0.000317,-0.001267,0.00697,0.134103,-0.020927,-0.026653,-0.01052,-0.002419,0.255533,-0.010053,-0.005814,-0.019085,-0.000514,-0.029237,0.009783,-0.035112,-0.015493,-0.015432,0.512245,-0.020094,-0.033758,0.021,-0.001273,-0.018016,0.010508,-0.004609,-0.015888,-0.084236,0.001604,1.4e-05,-0.00204,-3.4e-05,1.4e-05,-0.015203,-1e-06,-0.000206,-3.1e-05,-1.7e-05,-0.00038,-0.006376,-0.000954,-0.003746,-0.0175,-0.000316,-2.1e-05,-1.1e-05,0.017827,-0.016819,-4e-05,-7e-06,2.1e-05,-0.010058,-0.000691,-0.140927,-1.6e-05,1e-06,-2.4e-05,-0.123047,-0.01252,2e-06,-0.012539,-0.01785,-0.013656,-0.602953,0.087981,0.169813,0.255959,0.686514,-0.023446,0.425147,-0.899426,-0.642053,-1.24819,-1.443287,0.210173,-1.133906,-0.65603,-0.677059,-1.043395,-1.469032,-1.257574,-0.482496,-1.903247,-1.251657,-0.219635,-0.533139,-1.744676,-0.735,-0.323939,-0.243372,-0.36621,-0.498992,-0.607778,-0.752757,-0.141748,-0.432084,-0.509114,-1.676779,-0.525078,0.032689,-0.058749,-0.068877,0.644242,0.074512,-0.082071,-0.757685,-0.390099
0.374009,0.472207,0.175172,0.180003,0.517245,-0.471448,-0.366746,0.104941,-0.650652,-0.02676,0.024633,-0.105055,0.117374,0.394234,2.472096,-0.619303,2.163004,-0.486874,-0.308729,-0.512848,2.390245,-0.391132,-2.226357,-0.104809,-0.164809,-0.893065,-0.31115,-0.158159,-0.137301,-0.159889,0.037294,-2.098083,0.01666,0.044326,0.072952,0.056219,0.03641,0.006786,0.031032,0.022861,-0.01046,0.007355,0.006885,0.00682,-0.016358,0.029361,0.004346,0.008598,-0.021821,0.002442,0.019746,0.0175,-0.024313,-0.149663,0.001638,0.029415,-2.2e-05,0.000836,0.018127,0.163963,0.259943,2.55954,0.614107,2.482631,-0.366142,2.130368,0.394156,0.214385,0.160453,-0.170233,-0.042316,0.112078,0.133645,0.131375,-0.641307,0.161998,0.116096,-0.108562,0.048808,0.087528,0.071471,0.071385,0.0042,0.017924,0.013614,0.017025,0.327489,0.00696,-0.000219,0.001617,0.040793,-0.120462,0.010925,0.034577,0.023419,-0.009023,0.19992,-0.017337,0.005535,0.033855,0.000611,0.0179,-0.013207,0.054515,0.029624,0.029544,0.358149,0.029737,0.047939,0.020966,-0.000919,0.022472,-0.012907,-0.00361,0.02877,-0.067384,0.001322,2.7e-05,0.002558,5.9e-05,-1e-06,0.029243,2e-06,0.000268,2.6e-05,1.5e-05,0.00045,-0.005232,-0.000786,0.004614,0.032107,0.000382,2.5e-05,2.3e-05,-0.022569,0.031272,4.2e-05,1.1e-05,-2.2e-05,-0.008623,-0.000576,0.178251,1e-05,-2e-06,1.9e-05,0.155693,0.016749,9e-06,0.016754,0.02257,0.017487,0.743025,-0.119455,-0.200868,0.165221,0.550288,0.716465,0.755805,1.88705,2.076515,1.855185,2.578182,0.665034,0.537949,0.508059,0.552556,0.176845,-0.005103,0.002966,0.38063,-0.574354,-1.23281,0.089545,-0.243827,-0.876523,-0.356211,0.008335,-0.027089,-0.122036,-0.277245,-0.365773,-0.452088,0.014466,-0.150838,-0.22933,-1.765047,-0.190638,-0.009102,0.109302,0.10814,-0.751243,-0.075727,0.070079,-0.566512,-0.266098
0.012414,0.005925,0.005968,0.006033,-0.000523,-0.006828,-0.006696,-0.01319,-0.013032,-0.031954,-0.031877,-0.051145,-0.064199,-0.05221,-0.052685,-0.040125,-0.033571,-0.020416,-0.020181,-0.013423,-6e-05,2.5e-05,0.006684,7.8e-05,4.8e-05,-2e-06,-2.9e-05,-1e-06,1e-06,-8.5e-05,-1e-06,-1e-06,-6e-06,1.7e-05,-0.000135,-0.00014,-1e-06,-0.000141,-4.3e-05,2.7e-05,-1e-06,-0.0,-2e-06,-1e-06,0.0,-1e-06,-2e-06,-1e-06,-0.0,2.5e-05,1.1e-05,1e-06,1e-06,1.4e-05,-3e-06,-1e-06,0.0,1e-06,1e-06,-0.006501,-0.0065,-0.006406,-0.012913,-0.019048,-0.031886,-0.032069,-0.038664,-0.045587,-0.045582,-0.045594,-0.046014,-0.053174,-0.054407,-0.054964,-0.055236,-0.054845,-0.054724,-0.047654,-0.047112,-0.040251,-0.026863,-0.013579,-0.001166,-0.000926,0.000306,-8e-05,0.007397,0.007809,0.005924,-0.00104,-0.00121,-0.001135,-0.000485,-0.000748,-0.007124,-0.006652,-0.00571,0.000834,0.000947,0.001336,0.001091,0.000918,0.007261,0.000623,4.3e-05,-0.000651,-0.000616,-0.000257,-0.000132,-0.000209,-0.000519,-0.001056,-0.006921,-0.006887,-0.006188,0.000204,0.000128,-0.000193,-2.4e-05,0.000194,6.1e-05,-1e-06,-0.000332,-0.000173,-0.006791,-8.4e-05,1e-05,0.0,-0.000149,-0.007217,-0.000359,0.000113,-0.006797,-0.006666,0.0001,-1e-06,-0.000148,4.9e-05,7.7e-05,-4e-06,-1.6e-05,0.0,5.4e-05,-0.000162,-0.000283,-0.000286,-0.000175,-0.000506,-0.000392,-0.000457,-0.000454,-0.000272,-1.4e-05,0.00153,0.002406,0.009988,0.017082,0.018417,0.030911,0.031304,0.03094,0.023612,0.028928,0.028429,0.022104,0.027431,0.027267,0.020233,0.013947,0.013221,0.019183,0.019325,0.019427,0.019291,0.0131,0.013578,0.019754,0.013749,0.013903,0.007423,0.007183,0.001192,0.001436,0.001326,0.007169,0.007077,0.006856,0.006873,0.006291,0.006739,0.007292,0.006979,0.006585,0.000974,0.000546
0.022679,0.023014,0.024042,0.01813,0.023253,0.016211,0.008611,0.0144,0.01032,0.004385,-0.001802,-0.009423,-0.011294,-0.022448,-0.030383,-0.023761,-0.019795,-0.012191,-0.005023,-0.002775,-0.000479,0.000199,0.001105,-0.004011,0.000337,-1e-06,-0.000218,1e-06,9e-06,-0.000694,5e-06,3e-06,-3.1e-05,0.000149,-0.005785,-0.005811,-5e-06,-0.005823,-0.000345,0.000213,-3e-06,5e-06,3e-06,-5e-06,1e-06,3e-06,2e-06,-4e-06,-2e-06,0.000204,9.6e-05,-7e-06,-4e-06,9.8e-05,-1.1e-05,-6e-06,-3e-06,-1e-06,1e-06,0.000459,0.000461,0.001204,0.001592,0.009301,0.011033,0.009144,0.008755,0.006177,0.010564,0.010548,0.008445,0.006182,0.001415,-0.000272,0.000287,-0.000436,-0.003033,-0.000727,-0.00185,-0.001415,-0.002018,-0.003242,-0.011232,-0.010439,-0.002679,-0.00766,-0.001925,0.003169,-0.006804,-0.007192,-0.007769,-0.007522,-0.005327,-0.009924,-0.008352,-0.006748,0.000226,-0.000966,-0.000647,0.000735,-6.3e-05,-0.000801,-0.002338,-0.001759,-0.003546,-0.005893,-0.005757,-0.004553,-0.004129,-0.004391,-0.005434,-0.010947,-0.003839,-0.003725,0.002334,0.000689,0.000433,-0.000637,-8.1e-05,0.000651,0.000212,6e-06,-0.001094,-0.00057,0.00034,-0.000274,3e-05,1e-05,-0.000486,-0.004766,-0.004898,0.000379,0.000351,0.00079,0.000329,3e-06,-0.000483,0.000161,0.000255,-1.7e-05,-5.3e-05,4e-06,0.000178,-0.000537,-0.000934,-0.000947,-0.000585,-0.001675,-0.001299,-0.001513,-0.0015,-0.000896,-5.2e-05,0.008711,0.01149,0.014143,0.014848,0.023776,0.016978,0.023141,0.022371,0.020957,0.016661,0.01508,0.020561,0.012252,0.01172,0.006396,0.011447,0.004605,0.002325,0.003075,0.003744,0.003196,0.004673,0.01103,0.009843,0.01222,0.013296,0.009185,0.004084,0.006219,0.007565,0.00698,0.004353,0.003946,0.002792,0.002944,-0.004121,0.002336,0.009392,0.003767,-0.002365,0.00549,-0.00089
-0.016071,-0.015534,-0.014735,-0.010992,-0.014972,-0.011948,-0.009455,-0.012972,-0.008009,-0.003735,-0.000325,0.002477,0.001347,0.000567,0.002587,-0.000983,0.001805,-0.000849,-0.003572,-0.001956,-0.000361,0.000165,0.000775,0.005153,0.000258,-1e-06,-0.000169,-0.0,6e-06,-0.000544,2e-06,2e-06,-2.4e-05,0.000117,0.003777,0.003757,-2e-06,0.00375,-0.000268,0.000166,-3e-06,4e-06,4e-06,-3e-06,2e-06,3e-06,0.0,-3e-06,-4e-06,0.000159,7.6e-05,-4e-06,-2e-06,7.7e-05,-7e-06,-4e-06,1e-06,0.0,3e-06,0.000449,0.000449,0.001031,0.001416,-0.000788,0.000694,-0.000818,-0.001049,-0.002968,-0.008081,-0.008138,-0.009885,-0.011852,-0.015885,-0.017407,-0.017309,-0.00972,-0.003516,-0.001859,0.005834,0.006327,0.006137,0.005487,0.007779,0.008445,0.006368,0.010787,0.007195,0.002856,0.003102,0.002573,0.002093,0.002304,0.00415,0.008926,0.010112,0.011449,0.008583,0.007802,0.007999,0.009165,0.008493,0.007955,0.006786,0.007149,0.005619,0.003724,0.003836,0.004818,0.00516,0.004954,0.00411,0.008163,0.00523,0.005324,0.001713,0.000558,0.00035,-0.000513,-6.5e-05,0.000527,0.00017,5e-06,-0.000881,-0.00046,9.8e-05,-0.000218,2.5e-05,8e-06,-0.000393,0.00449,0.004562,0.000308,0.000106,0.000461,0.000269,4e-06,-0.000389,0.000131,0.000208,-1.4e-05,-4.4e-05,1e-06,0.000142,-0.000434,-0.000759,-0.00077,-0.000476,-0.001358,-0.001052,-0.001228,-0.001221,-0.000731,-4.7e-05,-0.001456,0.000786,0.003035,0.003838,0.002273,0.005411,0.001685,0.001004,-0.000302,-0.003574,-0.004787,-0.008916,-0.006967,-0.007289,-0.003284,-0.007632,-0.004642,-0.006317,-0.005777,-0.005289,-0.005698,-0.004602,-0.007907,-0.00879,-0.007019,-0.006205,-0.001256,0.002948,0.004524,0.00548,0.005042,0.003091,0.002782,0.001949,0.00205,0.004829,0.001599,-0.001202,0.002605,0.006051,0.00386,0.007137
-1.50324,0.03853,-1.622932,-1.333787,0.045245,-3.807527,-1.057076,-0.0361,-3.857397,-1.186744,-1.335321,-4.098642,-0.273747,0.256683,-0.09498,-1.003999,-0.361599,-0.045236,-0.003518,-0.013533,-0.136278,-0.111992,0.001029,0.194415,-1.013598,-0.012148,-0.013149,-0.010551,-0.104883,0.000239,0.003775,0.000388,0.000274,0.000194,-0.034934,-0.035165,0.000221,-0.035151,0.000111,7.4e-05,0.000187,0.000118,0.023473,-0.000499,0.000487,0.000364,0.000211,0.00015,0.000115,7.7e-05,0.000168,0.000251,0.000207,0.122893,-0.001211,5.2e-05,-0.108948,0.000423,0.000267,-0.00076,-0.364941,8.1e-05,-1.247442,-4.081936,-4.68598,-0.658874,-4.542174,-4.9185,-0.338667,-0.334008,-1.388448,-0.054996,-0.373853,-0.03103,-1.396998,-4.618467,-0.310645,-5.604663,0.036941,0.083625,0.327143,-0.044352,-0.069381,-0.068251,-0.030861,-0.065813,-0.032552,0.001384,-0.032744,-0.033865,0.089216,-0.038952,-0.033649,-1.431298,-4.646085,-4.490138,0.032129,-4.927696,-1.452065,-1.431338,-0.15299,-4.505243,-0.034152,-4.493924,-0.032669,-1.397049,-0.033079,-0.034187,-0.443635,0.102314,0.429456,0.135106,-0.036301,0.433966,-0.004508,-0.00106,-0.000474,-0.000449,7e-06,5.9e-05,3.9e-05,3.3e-05,-0.002685,-0.003859,-0.01386,0.000128,-1.8e-05,-0.000178,0.145414,-0.039605,-0.037774,-0.000495,-0.000904,-0.000914,0.166821,-0.005497,-0.000106,-0.005457,-0.001007,2.9e-05,-0.004237,0.003898,0.054781,-0.000732,-0.005615,-0.001223,-0.000737,-0.006666,-0.007418,0.001411,-0.006111,-0.000525,0.134698,0.992721,-0.20534,0.430523,4.412574,1.213006,-0.046004,0.04963,0.153629,0.078881,0.037745,0.085599,1.392331,0.051711,4.963067,0.125341,0.098712,0.092071,0.119761,0.117666,-0.196047,0.151453,0.020471,0.056143,0.554687,0.054498,1.733569,-0.040547,0.000252,-0.001607,-0.000548,0.140927,0.502135,0.000866,-0.000389,-0.001537,-0.034293,-0.001302,0.03129,0.000221,-0.034579,0.003459,-0.034288
