0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0.006597,0.001734,-0.004303,0.003258,0.003117,0.007875,0.008561,0.014534,0.009755,0.00979,0.009673,0.009714,0.008125,8.3e-05,-8.2e-05,0.003107,-0.003747,-0.003806,-0.003757,-0.00931,-0.008812,-0.006594,-0.006118,-0.005582,-0.005481,0.000738,0.000549,0.006819,0.001542,0.006708,0.006745,0.000816,0.00111,0.000882,-0.005592,3.7e-05,-0.000204,-1.7e-05,6.2e-05,-0.0,2.3e-05,0.001452,0.00109,0.001013,0.001988,0.001696,0.001504,0.001317,0.000317,0.000638,-0.000382,-0.001146,-0.00096,-0.00072,0.000516,-0.000595,8.3e-05,4.4e-05,0.00029,0.000561,0.000511,-0.006704,-0.006734,-0.006878,-0.011193,-0.004887,-0.009927,-0.004429,-0.005254,-0.005503,-0.005769,-0.012927,-0.012188
0.000364,-0.007122,-0.009271,-0.013622,-0.013179,-0.005239,-0.009063,-0.006599,-0.014387,-0.014422,-0.014038,-0.014097,-0.007523,-0.002115,-0.001622,0.012738,0.012822,0.012991,0.012855,0.009275,0.008161,-0.000506,-0.001909,-0.003524,-0.003836,-0.002228,-0.001654,-0.000162,-0.006427,0.000189,0.000104,-0.002435,-0.003313,-0.002631,-0.003582,-0.000112,0.000609,4.7e-05,-0.000189,5e-06,-7e-05,-0.006144,-0.005071,-0.004853,-0.009587,-0.008717,-0.008148,-0.007594,-0.002793,-0.003745,0.001129,0.005231,0.004674,0.003966,-0.001529,0.003602,0.001579,0.001694,0.000966,0.000157,0.000313,0.003274,0.00337,0.0038,-0.005577,-0.004046,-0.011178,-0.007181,-0.004901,-0.004161,-0.00336,-0.000462,-0.004773
-0.000507,0.0029,0.002123,0.006244,0.006565,0.00348,0.008779,0.009781,0.013013,0.013006,0.013294,0.01328,0.009947,0.006568,0.006927,0.000291,0.001113,0.001228,0.001104,-0.000692,-0.001642,0.000408,-0.00058,-0.001717,-0.00194,-0.001562,-0.001163,-0.00087,0.003468,-0.000631,-0.000693,-0.001731,-0.002356,-0.001875,-0.001784,-8e-05,0.000435,3.2e-05,-0.000135,4e-06,-4.9e-05,0.00367,0.004436,0.004594,0.009279,0.009907,0.010326,0.010731,0.006076,0.005405,0.000793,-0.004353,-0.004745,-0.005245,-0.001081,-0.0055,-0.006935,-0.00686,-0.007381,-0.007973,-0.007874,-0.013061,-0.012982,-0.012673,-0.010587,-0.010294,-0.006645,-0.004538,-0.002796,-0.002251,-0.001658,-0.006963,-0.0019
0.757258,0.182944,0.205113,0.408462,0.343759,0.071658,-0.23315,-0.004453,0.049846,0.043308,0.083944,0.028928,0.323964,0.089978,-0.06298,-0.658108,-0.666936,0.048776,0.074942,0.183357,-1.359228,0.012434,-0.001769,-0.003862,-0.001781,1e-05,0.000637,6.8e-05,-0.035273,0.202002,0.047536,0.19324,0.007582,-0.002094,-0.016289,1.2e-05,-0.000513,0.702362,-0.001073,-0.00239,-0.002621,-0.037732,0.078021,0.104225,0.41901,0.231182,0.101749,0.066998,-0.038783,-0.032092,-0.338801,0.048969,0.018099,0.030271,-0.142136,-0.106396,0.045343,-0.011502,-0.143648,-0.417889,0.269587,1.810607,-0.12867,-0.175759,-0.358161,0.45002,2.245729,2.465825,-0.141403,-0.189326,-0.071022,2.69313,0.062369
-1.233841,-0.727321,-0.473004,-0.850252,-0.673957,-0.454127,-0.021651,-0.146539,-0.274252,-0.25828,-0.322252,-0.230621,-0.672209,-0.443756,-0.154962,-0.746756,0.017679,-0.373786,-0.308294,-0.450245,0.945408,-0.082266,0.014999,0.029149,0.014955,2.3e-05,0.00027,-0.001099,0.001974,0.1497,0.022426,0.176275,-0.087555,0.014025,0.112788,-3.6e-05,-0.000474,0.587463,-0.000905,-0.001995,-0.002195,0.015817,-0.143823,-0.177948,-0.625911,-0.473531,-0.30464,-0.172729,-0.0821,0.005739,0.514955,-0.006771,0.025813,0.010739,0.18642,0.182903,-0.002681,0.056581,0.23222,0.572589,1.077936,2.142706,0.280188,0.609307,0.969065,1.222159,-0.682037,-0.886008,0.484253,0.545266,0.179728,-0.90058,0.489035
-0.064593,0.049541,-0.17164,-0.39271,-0.480295,-0.806302,-0.518615,-0.02321,-0.201266,-0.191973,-0.234719,-0.172882,-0.429661,-0.562207,0.17698,0.549662,-1.091556,0.581409,0.427102,0.44647,-4.846646,0.145876,-0.027537,-0.052997,-0.028252,0.000918,0.000486,0.004601,-0.022431,0.010754,0.025242,-0.042745,0.148245,-0.024852,-0.201792,8.7e-05,0.000112,-0.063243,0.000148,0.000273,0.00029,-0.047709,-0.114261,-0.136144,-0.434701,-0.074857,0.029545,-0.122029,0.189965,-0.021998,0.080652,0.019563,0.040901,0.032572,0.110428,0.132655,-0.009607,0.062305,0.132586,0.333726,0.467158,0.209721,0.356634,0.468215,0.132192,-0.736276,3.677222,3.76181,-0.429294,-0.040619,-0.161145,4.281544,0.420159
6e-06,5.5e-05,0.0,-0.000167,5e-06,0.000117,-1e-06,-0.000145,-3e-06,1.1e-05,0.006788,-5e-05,-2e-05,1e-06,-0.0,-2e-06,-4.1e-05,2e-06,3e-06,-0.0,9.8e-05,-2e-06,-6e-06,0.000196,2e-06,1e-06,0.006793,-3.2e-05,0.00663,2e-06,2e-06,5e-06,0.0,-1e-06,2e-06,3.1e-05,5.7e-05,-1e-06,0.0,2e-06,2e-06,2e-06,3e-06,-2e-06,3e-06,2e-06,2e-06,3e-06,0.000236,-1e-06,1e-06,1e-06,1e-06,-1e-06,2e-06,2e-06,2e-06,1e-05,-1e-06,3.9e-05,0.007063,0.000538,0.000643,0.001026,0.001168,0.001548,0.008423,0.002134,0.00947,0.009737,0.009818,0.017229,0.016999
1e-05,0.00015,-1e-06,-0.000465,1e-05,0.000329,-6e-06,-0.000408,-9e-06,3.2e-05,-0.001598,-0.00014,-5.9e-05,7e-06,3e-06,-9e-06,-0.000115,5e-06,5e-06,2e-06,0.00028,-7e-06,-1.9e-05,0.000543,6e-06,-1e-06,-0.00159,-9.1e-05,-0.002043,6e-06,0.0,1.7e-05,-3e-06,-7e-06,4e-06,8.4e-05,0.000163,-4e-06,-2e-06,-0.0,-1e-06,-1e-06,-1e-06,-1e-05,2e-06,2e-06,0.0,5e-06,0.000659,-3e-06,-1e-06,-1e-06,-1e-06,-5e-06,-2e-06,-1e-06,0.0,2.6e-05,-7e-06,0.00011,-0.000819,0.001514,0.001815,0.002902,0.003316,0.004424,0.003161,0.006144,0.006319,0.007137,0.003759,0.00813,0.003954
1.1e-05,0.000128,1e-06,-0.00038,9e-06,0.000272,-3e-06,-0.000333,-7e-06,2.7e-05,-0.001023,-0.000116,-5e-05,6e-06,4e-06,-6e-06,-9.3e-05,5e-06,6e-06,5e-06,0.000231,-5e-06,-1.5e-05,0.000447,2e-06,-1e-06,-0.001017,-7.5e-05,-0.00139,4e-06,-3e-06,1.3e-05,-5e-06,-8e-06,1e-06,6.6e-05,0.000133,-6e-06,-4e-06,-4e-06,-3e-06,-3e-06,-3e-06,-1e-05,2e-06,-1e-06,-2e-06,3e-06,0.00054,-5e-06,-3e-06,-3e-06,-3e-06,-6e-06,-4e-06,-3e-06,-2e-06,2.1e-05,-8e-06,9e-05,-0.000391,0.001237,0.001482,0.002362,0.002692,0.003581,0.00281,0.004943,0.005297,0.005928,0.011872,0.006801,0.012061
-0.00091,-0.000133,-7.5e-05,-6.5e-05,-3.5e-05,-0.000621,-0.000112,-8.3e-05,-6.1e-05,-3.1e-05,0.000951,-2.5e-05,-1.4e-05,-1.4e-05,-6e-06,-1.5e-05,-2.6e-05,-1.7e-05,-1.2e-05,-2.1e-05,-2.5e-05,-1.1e-05,-1.1e-05,-1.1e-05,-1.9e-05,-0.000129,0.000925,-5.2e-05,0.000956,-2.4e-05,-1.4e-05,-2.1e-05,-9e-06,-1.4e-05,-1.9e-05,-1.7e-05,-8e-06,-1.5e-05,-1.1e-05,-1e-05,-1.5e-05,-1.5e-05,-1e-05,-3e-06,-6e-06,-7e-06,6e-06,-1.3e-05,0.000866,1e-06,-6e-06,-3e-06,-3e-06,-8e-06,8e-06,-5e-06,-0.000138,-6.6e-05,-5.8e-05,-4.4e-05,0.00096,-0.00028,-0.000114,0.000218,0.00075,0.002771,-0.655368,0.002112,0.002625,0.00492,-0.032109,0.00763,0.318692
