0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
-0.019162,-0.012772,-0.012774,-0.012757,-0.012753,-0.012747,-0.012727,-0.012723,-0.012712,-0.006356,-0.012748,-0.012748,-0.006305,0.000242,0.000543,0.000664,0.000374,-0.005603,0.000697,-0.005916,0.000673,0.006955,0.000787,0.007353,0.001442,0.001447,0.001426,0.00141,-0.00475,-0.004427,0.001724,0.001695,0.001664,0.007762,0.001278,0.001282,0.001298,-0.005128,0.000961,0.000622,0.000299,0.000285,0.000242,0.000194,0.000149,2e-05,-0.000372,-5e-05,0.006002,0.006013,-2e-06,0.006372,7.5e-05,0.000446,0.000821,0.000525,0.000906,0.000885,0.000881,0.006805,0.000834,0.000344,0.000254,-0.000105,-0.000127,0.005554,-0.000813,-0.001213,-0.001623,0.010289,0.004309,0.010331,0.00436,0.010414
-0.000196,-9.6e-05,-0.000149,0.000996,0.001003,0.000733,0.001487,0.001343,0.001497,0.000662,-0.000385,-0.000282,0.001969,0.007772,0.003422,0.005912,0.012732,0.006704,0.006725,0.011989,0.006178,0.00773,0.010881,0.007185,0.001062,0.001727,0.001032,0.000896,0.00056,-0.006133,-0.005668,-0.006906,-0.008072,-0.008833,-0.004348,-0.004183,-0.003511,0.002351,0.002258,0.008127,0.014882,0.014266,0.012256,0.009982,0.007842,0.001234,0.00434,-0.002576,0.000808,0.001431,-0.000154,-0.003662,0.005003,0.00049,-0.003552,0.006477,0.002672,0.001749,0.001648,0.001379,-0.001394,-0.005627,-0.012142,-0.008182,-0.008955,0.001983,0.003355,0.005684,0.006782,0.002142,0.001019,-0.000482,-0.001804,-0.001252
0.001379,0.000949,0.000899,0.001757,0.001759,0.001547,0.002105,0.001988,0.002101,0.000989,0.000669,0.000744,0.001962,0.005835,0.010652,0.012398,0.009364,0.013285,0.012797,0.009076,0.012252,0.01285,0.01542,0.020013,0.02383,0.024214,0.023616,0.02341,0.023582,0.026707,0.026499,0.025657,0.024902,0.023966,0.019695,0.019784,0.020159,0.016664,0.016112,0.012192,0.008743,0.008291,0.007089,0.005726,0.004467,0.000702,-0.004762,-0.001465,2.8e-05,0.000383,-9e-05,0.004723,0.002832,0.007497,0.012423,0.010816,0.015855,0.015287,0.015188,0.014575,0.013482,0.004097,0.000592,-0.004471,-0.004862,-0.0065,-0.012493,-0.018381,-0.024968,-0.028481,-0.02875,-0.03022,-0.030718,-0.030919
0.437545,0.17789,0.416186,0.2173,0.420298,0.028703,0.012345,-0.748632,-0.24676,0.002871,-0.008665,0.247538,-0.607649,-0.339015,-3.122037,-0.569329,-0.795311,-0.279717,-0.037371,0.3046,0.384153,0.431249,0.493942,0.645897,0.469249,-0.489381,0.328281,0.314823,0.506207,0.341394,0.349199,0.079829,0.32642,0.065783,0.225472,0.005912,-0.136895,-0.070021,-0.066944,-0.042689,0.005606,-0.009869,-0.002036,-0.024707,0.004511,-0.078684,0.035405,0.249208,0.567962,0.413101,-0.016445,-0.032425,-0.010159,-0.046626,-0.069235,-0.032833,-0.067515,-0.068441,-0.069965,0.320134,-0.084054,0.122942,0.489952,1.774236,0.128988,-0.372206,-0.379983,0.296065,1.40935,1.375893,1.239019,2.700288,0.914467,0.059156
-0.53108,-1.088538,-0.644097,-0.346799,-0.716112,-0.298984,0.00461,-1.918881,-0.628036,0.004993,0.042228,-0.443595,-2.389098,-2.806352,-3.41698,-1.276354,-0.953544,-0.22436,-0.038974,-0.351823,-0.585778,-0.956446,-0.617949,-0.847669,-0.786948,-0.868586,-0.663376,-0.540151,-0.744978,-0.479109,-0.591211,-0.225309,-0.435258,-0.232649,-0.322658,-0.1237,0.109144,-0.006697,-0.021891,0.070668,-0.045165,0.065599,0.068238,0.093798,-0.031056,0.087652,0.082316,-0.240084,-0.589723,-0.43439,0.108086,-0.018642,0.088797,0.100215,-0.007053,-0.018467,-0.021956,-0.007586,-0.024681,-0.425389,0.002796,0.048192,-0.524457,0.231251,-0.220682,0.405988,0.621252,1.117504,2.420239,2.400211,2.763019,0.515981,0.405406,0.722786
-0.528409,0.207191,-0.346543,-0.266046,-0.130749,-0.120267,-0.084509,1.736857,0.556659,-0.010889,-0.057968,-0.482613,1.363624,1.381011,-3.612802,-1.24625,-0.975333,-0.401594,-0.000464,-0.197931,-0.470157,-0.867911,-0.394761,-0.537392,-0.338067,-1.513063,-0.293093,-0.45434,-0.308536,-0.349589,-0.136193,-0.168586,-0.308481,-0.126358,-0.221236,-0.067285,-0.142891,0.012292,0.040191,-0.111513,0.074564,-0.082592,-0.12149,-0.09916,0.04866,0.07373,-0.155027,-0.187844,-0.336225,-0.237064,-0.166406,0.036923,-0.144131,-0.161982,0.013967,0.031596,0.038425,0.014633,0.039324,-0.186067,0.021667,0.442501,-0.362497,5.284879,0.061785,0.274218,0.276103,0.169316,-0.221399,-0.246258,0.164907,4.790508,0.949245,-0.025446
0.055561,0.049363,0.030229,0.030249,0.024048,-0.001209,-0.026545,-0.05829,-0.077518,-0.102997,-0.115818,-0.122707,-0.129219,-0.117493,-0.111571,-0.097891,-0.078501,-0.065534,-0.059149,-0.038791,-0.025799,-0.019557,-0.018257,-0.011184,-0.004074,-0.003793,-0.002727,-0.002545,-0.003121,0.002256,0.007151,0.006464,-0.000501,0.005189,0.004756,0.004741,-0.001238,0.006249,0.006295,5e-06,0.000341,0.000352,-0.006141,0.000196,-0.000215,0.006396,4.7e-05,-0.000184,0.006309,-0.000237,0.006267,4e-06,-7.7e-05,-0.000107,-2.8e-05,-0.00032,-0.000324,-0.00032,-5.2e-05,1.3e-05,0.00019,1e-06,-0.0,7.8e-05,0.0,2e-06,2e-06,5.6e-05,7e-06,-0.000199,-5.3e-05,-0.000835,0.005937,0.005908
0.008571,0.009506,0.022283,0.024332,0.018328,0.009901,0.007836,0.007246,0.008262,0.006105,-0.005442,-0.015119,-0.012639,-0.026444,-0.030567,-0.01892,-0.022245,-0.017997,-0.022347,-0.020608,-0.021936,-0.027382,-0.018814,-0.017718,-0.016473,-0.015473,-0.007971,-0.00366,-0.005694,-0.010412,-0.016835,-0.019323,-0.020264,-0.02034,-0.018319,-0.018436,-0.011977,-0.001827,-0.001691,1.3e-05,0.001253,0.001295,0.002251,0.000725,-0.000796,-0.001307,0.000182,-0.000676,-0.001644,-0.000887,-0.001803,1.5e-05,-0.000292,-0.000405,-0.000114,-0.001202,-0.001216,-0.001202,-0.000197,4e-05,0.000695,2e-06,1e-06,0.000292,-1e-06,1e-06,1e-06,0.000208,3e-05,-0.000752,-0.000208,-0.006919,-0.003104,-0.003221
-0.043936,-0.043182,-0.048966,-0.047447,-0.043982,-0.041983,-0.034605,-0.025672,-0.02409,-0.017587,-0.002546,0.005436,0.01535,0.027983,0.032617,0.03395,0.039562,0.03467,0.039608,0.041601,0.040789,0.044926,0.043656,0.044675,0.045774,0.046513,0.043936,0.038729,0.037016,0.033311,0.028431,0.02656,0.025785,0.017658,0.011005,0.010934,0.007489,-0.001295,-0.001195,7e-06,0.000937,0.000971,0.001614,0.000545,-0.000597,-0.000906,0.000135,-0.000508,-0.001163,-0.000667,-0.001284,1.1e-05,-0.000219,-0.000304,-8.4e-05,-0.000902,-0.00091,-0.000904,-0.000149,3.1e-05,0.000521,1e-06,-0.0,0.000217,-1e-06,-2e-06,-5e-06,0.000153,1.9e-05,-0.000567,-0.000156,0.003055,-0.002289,-0.002355
-0.038032,-0.025012,0.742064,0.693462,0.149955,0.097643,0.417929,-0.92449,-3.486442,1.519702,-3.936941,0.74145,-3.815858,0.233819,0.283149,0.303723,-0.145029,0.334175,0.325207,0.153128,0.187257,0.396527,0.493054,0.722369,0.352346,0.551151,0.403016,0.213016,0.927387,-0.160828,0.30893,0.315968,-0.085119,-0.136768,0.291654,0.289284,-0.06253,0.006817,0.011886,0.014835,-0.470129,-0.044146,-0.014606,0.022402,0.255604,0.004718,-0.034012,0.000868,-0.367816,0.013809,0.001025,0.00147,-0.00058,0.001669,0.011678,0.010743,0.003741,-0.00017,-0.00013,-0.00022,-0.369683,0.002502,-0.000101,-0.000122,-8.3e-05,-6.3e-05,-3e-05,-2.5e-05,0.001901,-0.00029,-0.000924,0.122547,1.078127,-0.277058
