0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0.001209,0.001282,0.001224,0.000418,0.00041,0.006814,-0.000377,0.006671,0.006778,0.006735,0.006765,0.006807,0.006818,-0.000352,0.006726,0.006586,-0.000681,-0.000745,-7.8e-05,-0.000927,0.005977,-0.000316,0.000435,0.000657,0.000773,6.7e-05,0.000902,0.000347,0.000472,1.7e-05,8.9e-05,0.000128,-2e-06,8.3e-05,0.000256,0.000362,0.000514,0.000603,-0.000108,-0.006905,0.000149,-0.000419,-0.000328,-0.000857,-0.001183,-0.00179,-0.001647,-0.001345,-0.000604,-0.007785,-0.007237,0.000401,0.000269
-0.009021,-0.009553,-0.009106,-0.003096,-0.003042,0.003127,0.002758,0.004128,0.003333,0.003562,0.003293,0.002963,0.002711,0.002459,0.003448,0.004368,0.004542,0.005133,0.000306,0.006292,0.007986,0.00184,-0.003498,-0.005019,-0.005807,-0.000774,-0.006662,-0.002642,-0.00348,-0.000143,-0.000608,-0.000882,2.1e-05,-0.000559,-0.001724,-0.002432,-0.003439,-0.004035,0.001013,-0.001549,-0.000677,0.003426,0.002824,0.006663,0.009348,0.013485,0.012547,0.010531,0.00559,0.004879,0.000804,-0.002095,-0.001243
0.010198,0.009695,0.010121,0.006441,0.00649,0.002047,0.002596,0.00298,0.002275,0.002435,0.002175,0.001864,0.001593,0.002291,0.00231,0.00316,0.004162,0.004754,0.009526,0.005779,0.006348,0.010854,0.015157,0.013758,0.013037,0.008424,0.012258,0.006741,0.005992,-0.00013,-0.000543,-0.000792,1.8e-05,-0.000498,-0.001539,-0.002175,-0.003081,-0.003627,-0.008232,-0.00968,-0.009796,-0.015274,-0.015845,-0.021583,-0.028391,-0.033881,-0.034843,-0.036895,-0.032643,-0.032199,-0.026841,-0.021261,-0.020467
-0.071386,-0.077708,-0.074437,-0.377313,-0.030251,-0.031754,0.019164,0.007666,-3.113384,-0.927223,0.010306,0.022729,-1.64257,-0.274259,-0.895705,0.003349,-1.353781,0.263048,0.379972,0.393202,-1.442616,-0.637179,-0.079924,-0.080065,-0.082034,-0.033285,-0.075989,-0.045606,-0.036819,0.00031,-0.171465,-0.584019,0.291458,-0.001455,0.000198,0.003044,-0.181251,-0.113157,-0.229914,0.007212,-0.022104,0.713894,-0.018771,0.031932,2.415059,-0.267572,-0.060214,-0.185485,4.140237,-0.215672,0.501936,0.511137,0.208903
0.00459,0.021867,0.02329,-0.056934,-0.003884,-0.026106,-0.090704,-0.0242,-0.443464,-0.153917,-0.023253,-0.119934,-1.814984,-0.078193,-0.224915,-0.022134,-2.288013,-0.402171,-0.614642,-0.707217,-2.425386,-0.790287,-0.082474,0.002744,0.093926,-0.007291,-0.003305,0.004573,-0.005446,1.8e-05,-0.176961,-0.601987,-0.500779,0.003507,0.000176,0.003029,0.265114,0.176674,0.370648,0.071745,0.124106,0.376795,0.164682,0.260983,1.420178,0.709412,0.267384,0.351764,3.332273,0.335595,0.592587,0.102577,-0.010915
-0.020696,-0.035611,-0.039958,-0.38901,0.002986,-0.000521,0.169529,0.047564,-4.485285,-1.331674,0.050631,0.224137,1.323718,-0.388601,-1.344131,0.053768,1.026511,-0.201037,-0.341903,-0.182768,1.066241,0.357899,0.190848,-0.022072,-0.187306,0.007273,-0.02573,0.008673,0.006236,0.001415,0.105942,0.358554,-0.198478,0.000858,0.000482,-0.001591,0.105004,0.064022,0.18128,0.005367,0.082742,1.593171,0.095237,0.292267,5.079633,0.463922,0.437676,0.683596,3.798404,0.603407,-0.115446,0.576594,0.218798
-7e-06,-6e-06,2e-06,5.9e-05,3.2e-05,1.7e-05,6.8e-05,2.2e-05,5.7e-05,2e-06,-2e-06,-2.7e-05,1.3e-05,1.1e-05,6.1e-05,5e-05,0.000124,7.9e-05,9.6e-05,0.00011,5.9e-05,4.7e-05,6.1e-05,-2e-06,1e-06,2e-06,5e-06,4e-06,1.2e-05,1e-06,4e-06,-1.8e-05,-4.3e-05,0.0,2.4e-05,0.007541,0.0,3.2e-05,5.1e-05,3e-06,6.2e-05,5.2e-05,7.5e-05,0.00018,0.000209,0.007842,0.015332,0.007918,0.007876,0.007832,0.015408,0.007841,0.007823
-5.5e-05,-5.1e-05,-7e-06,0.000633,0.000353,0.000206,0.000758,0.000246,0.000643,3e-05,-1.7e-05,-0.000312,0.000129,0.000131,0.000677,0.00057,0.001401,0.000911,0.001103,0.00125,0.000676,0.000531,0.000695,-2.1e-05,-1.6e-05,-1e-05,-5e-06,-3e-06,8.8e-05,-8e-06,-4e-06,-0.000258,-0.000511,1.2e-05,0.000266,-0.000247,0.0,0.000359,0.000602,3.4e-05,0.000717,0.000623,0.006813,0.002128,0.008504,0.003611,0.00935,0.005059,0.011082,0.010722,0.005909,0.011733,0.011718
-5.7e-05,-5.3e-05,-1e-05,0.000674,0.000376,0.000218,0.00081,0.000262,0.000685,3.3e-05,-1.6e-05,-0.000332,0.000136,0.00014,0.000721,0.000609,0.001493,0.00097,0.00117,0.001328,0.000717,0.000564,0.000736,-2.4e-05,-1.5e-05,-9e-06,-8e-06,-3e-06,9.3e-05,-1e-05,-7e-06,-0.000276,-0.000543,1.3e-05,0.000278,-0.000374,-3e-06,0.000375,0.000635,3.3e-05,0.00076,0.000659,-0.002838,0.002249,-0.001061,0.003679,-0.000445,0.005152,0.001435,0.001044,0.005796,0.002018,0.001981
-0.000525,0.000225,0.000193,0.000968,0.000119,0.005734,0.006534,4e-05,0.000847,4.1e-05,3.9e-05,4.5e-05,1.4e-05,1.9e-05,1.7e-05,1.6e-05,0.000842,1.2e-05,0.005673,0.000842,0.005682,2.1e-05,2e-06,1.6e-05,2.4e-05,2.4e-05,1.8e-05,1.9e-05,8e-06,1.2e-05,2.2e-05,0.005689,-1e-06,-8e-06,-1.2e-05,0.000981,-3e-06,4e-06,0.000817,1.2e-05,-2e-06,4e-06,0.040157,0.002341,0.037869,0.003712,0.042036,0.005413,0.039405,0.039922,0.005714,0.041914,-0.563871
