0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
0.006689,0.007345,0.006604,0.007315,0.007957,0.008081,0.008031,0.007909,0.008562,0.001035,0.007598,0.007512,0.006612,0.007112,0.006428,0.006455,0.005779,0.006564,0.006683,0.006112,0.013498,0.006886,0.006861,0.013411,0.013468,0.006958,0.007095,0.00724,0.006563,7e-06,0.000126,-0.006952,-0.006818,-0.01353,-0.007618,-0.013302,-0.007276,-0.006796,-0.00726,-0.007695,-0.014879,-0.014674,-0.021252,-0.014599,-0.014413,-0.007614,-0.006538,0.007436,0.000365,0.006863,0.007404,0.007479,0.000757,0.000164,0.000169,8.6e-05,0.000101,0.000703,0.000644,0.000688,0.000679,0.000485,0.000348,0.000997,0.001006,0.006945,0.000239,0.007037,0.000627,0.007417,0.006799,0.006758,0.013454,0.006157,0.013,0.000285,-3.1e-05,-0.005808,-0.000244,-0.000112,0.006325,0.005987,-0.000716,0.00662,0.00671,-0.000468,0.006829,0.000322,0.006892,0.00028,0.000258,0.000173,1.4e-05,-0.000751,-0.000792,-7.1e-05,-9.7e-05,-0.000808,-6.1e-05,0.000132,-0.000463,0.000244,-0.000333,-0.000302,-0.000276,-0.000272,-5.8e-05,-0.006403,0.000231,-0.006188,0.000262,-0.000237
0.00035,-0.005281,0.001316,-0.004815,-0.010141,-0.011249,-0.010571,-0.009213,-0.014472,-0.008098,-0.006023,-0.005203,0.002288,-0.001651,0.003701,0.003383,0.008573,0.002108,0.00101,0.005297,6.8e-05,-0.000941,-0.000769,0.000538,-2.3e-05,-0.001684,-0.002769,-0.003868,0.001198,-6.1e-05,-0.000952,0.001599,0.000547,0.000411,0.006681,-0.001391,0.003911,-6.3e-05,0.003258,0.006346,0.009438,0.007311,0.005503,0.005834,0.004519,0.005088,-0.003487,-0.005246,-0.002491,0.000382,-0.003988,-0.004775,-0.005404,-0.000734,-0.000742,7.6e-05,-9.1e-05,-0.00492,-0.00436,-0.004807,-0.004751,-0.002902,-0.001628,-0.006865,-0.006971,-0.000301,-0.00102,-0.001282,-0.004181,-0.004833,1.9e-05,0.00011,0.000571,0.004888,0.003789,-0.002403,-0.000164,-0.00775,0.001618,0.000959,0.00352,0.006249,0.005868,0.001205,0.000413,0.003716,-0.000666,-0.002348,-0.001202,-0.002024,-0.001837,-0.001174,5.8e-05,0.005808,0.006148,0.000714,0.000918,0.006253,0.000642,-0.000859,0.003594,-0.00173,0.002586,0.002358,0.002162,0.002125,0.000459,-0.001888,-0.001821,-0.003629,-0.002068,0.001647
-0.000392,0.003537,0.0004,0.003917,0.008109,0.007194,0.007767,0.008905,0.013182,0.01055,0.011563,0.012238,0.00977,0.015103,0.010851,0.010577,0.00619,0.009484,0.008599,0.003515,0.007137,0.007011,0.007142,0.007472,0.00702,0.006404,0.00555,0.004694,0.00024,-5.2e-05,-0.00075,-0.006476,-0.0073,-0.006725,-0.0109,-0.008144,-0.013105,-0.016293,-0.022171,-0.02823,-0.033641,-0.035515,-0.036387,-0.037014,-0.029596,-0.021174,-0.011084,0.003498,0.006625,0.008389,0.013365,0.012673,0.012854,0.008106,0.008094,0.008776,0.008626,0.013221,0.013682,0.013293,0.013332,0.014853,0.015873,0.020144,0.02002,0.016155,0.016209,0.015306,0.013647,0.012434,0.007801,0.007832,0.007531,0.003155,0.001603,-0.001894,-0.00858,-0.005428,-0.007195,0.00076,0.002097,0.004245,0.004613,0.008688,0.008059,0.002893,0.007196,0.006568,0.006775,0.006813,0.006955,0.007463,0.0084,0.004438,0.004686,0.00886,0.008996,0.004706,0.008763,0.007625,0.002678,0.006963,0.001922,0.001749,0.0016,0.001573,0.000342,-0.000753,-0.001346,-0.002044,-0.001531,-0.007013
0.018551,-0.270681,-0.335246,-0.120223,-0.169559,-0.056128,-0.068099,-0.067954,-0.10462,-0.164736,-0.068591,-0.06822,-0.032215,-0.077791,-0.043457,-0.358345,0.004425,-0.030107,-0.032139,0.004212,-0.043645,0.030928,-0.041238,-0.044002,-0.035972,-0.037938,0.098524,0.05494,0.039831,0.132738,-0.639777,0.016049,0.02547,0.445688,3.570102,1.176686,0.149167,-0.171815,0.056386,-0.064302,0.099169,-0.055208,0.179518,-0.028847,0.105408,0.115344,-0.119955,-0.033409,-0.037503,-0.033229,0.310708,0.178007,-0.078499,0.384008,-0.035443,0.228392,0.224182,0.115964,0.125671,0.17194,0.175551,-0.082722,0.196645,0.137916,-0.237853,-0.593652,-1.505064,-0.031396,-3.354262,-0.067535,-0.052667,-1.750821,-0.013822,-0.127842,-0.406398,-0.087312,-0.294802,-0.073389,0.017515,-0.011935,0.003831,0.003857,0.002142,-0.030408,-0.058105,-0.039224,-0.028608,-0.04131,-0.031973,-0.034043,-0.034077,0.004734,-0.03529,0.057409,-0.00673,0.253735,0.30107,-0.010645,-0.048711,-0.09411,-0.009519,-0.049869,-0.275207,-0.004797,-0.000721,-0.006253,0.080056,0.014291,0.014803,0.116283,0.20497,0.046316
-0.022838,0.369413,0.526392,-0.300399,-0.279809,-0.105036,0.005577,0.00604,0.014179,-0.026373,-0.013624,-0.014325,-0.022035,-0.024465,-0.028554,-0.125567,-0.029971,-0.037099,-0.022126,-0.030107,0.065463,-0.126771,-0.013596,-0.026857,-0.042393,-0.016487,-0.205393,-0.159323,-0.100282,-0.320254,-0.917802,-0.050095,0.027205,0.735683,1.275963,0.44219,0.180247,0.278516,0.118144,0.344998,0.218702,0.294808,0.079886,0.305621,0.116093,0.029869,0.257206,-0.009257,0.008679,-0.022465,-0.549665,-0.374704,-0.018543,0.589258,-0.005677,-0.433513,-0.431205,-0.291875,-0.379562,-0.343841,-0.344346,0.001277,-0.432959,-0.350727,-0.186303,-0.516937,-2.161325,-0.146523,-1.28699,-0.01534,0.07633,-1.522797,-0.036953,0.142961,0.418626,0.153051,0.427411,0.136862,-0.015698,0.086548,-0.030615,-0.030201,-0.015084,-0.03848,-0.036195,0.088001,-0.040234,-0.001029,-0.022354,-0.007143,-0.007186,-0.069298,-0.006104,-0.113012,-0.019613,-0.420256,-0.44054,-0.027546,-0.014952,-0.091344,-0.003584,0.003749,-0.148661,0.005216,-0.010828,0.006112,-0.116259,-0.031391,-0.125424,-0.148471,-0.279905,0.059104
0.020238,0.237246,0.363788,0.32161,0.306707,0.157981,-0.011919,-0.012661,-0.031733,-0.128604,0.015156,0.015186,0.034469,0.037273,0.05942,-0.333655,0.054319,0.059127,0.034528,0.053982,-0.105764,-0.034694,0.037605,0.065527,0.054216,0.036738,-0.112463,-0.093083,-0.036978,0.015005,-1.494216,0.146335,-0.024838,-0.499635,4.332001,1.321653,0.080948,0.349345,0.017845,0.152686,0.127955,0.346221,-0.104453,0.345963,-0.030025,-0.04191,0.097276,0.007398,-0.019997,0.033287,-0.312277,-0.196509,0.006805,-0.554964,0.006161,-0.265023,-0.297933,-0.181977,-0.030886,-0.241478,-0.238929,0.017322,-0.284715,-0.230261,0.138916,0.604583,1.839204,0.200231,-4.091232,0.015326,-0.145291,1.703902,0.058957,0.17675,0.552037,0.074718,0.251345,0.020688,-0.043262,-0.146381,0.053356,0.053632,0.024678,0.058198,0.000202,-0.20421,0.016982,0.007418,0.034723,0.005322,0.005262,-0.038396,0.005829,-0.047715,0.053386,-0.26519,-0.215776,0.041015,0.02618,-0.145685,0.029186,0.00656,-0.370374,0.002582,-0.012969,0.002587,-0.075869,-0.069207,0.143833,-0.16237,-0.154445,-0.028622
-0.007147,5.7e-05,7e-05,8.3e-05,0.000102,-0.0072,-5e-06,-1e-06,-0.0,1e-06,-1e-06,-0.0,0.0,2e-06,1e-06,-0.0,-2.6e-05,1.1e-05,-1e-06,-1e-06,1e-06,5e-05,1.9e-05,-2e-06,0.0,-1e-06,3.8e-05,1e-06,2.9e-05,9e-06,1.5e-05,2.8e-05,-2e-06,-6.2e-05,-1e-06,-2e-06,6.8e-05,3.7e-05,0.000178,0.007443,0.000467,0.00057,0.000567,0.000562,0.000342,7.9e-05,-8e-05,-0.007292,-0.000238,-0.000232,-0.000354,-0.000348,-0.000234,-0.000203,-0.000162,-0.007343,-0.014661,-0.014647,-0.007366,-0.007387,-0.007307,0.00727,0.007119,-7.3e-05,-0.00014,-0.000163,-0.000146,-5.2e-05,7e-05,-2e-06,-0.007254,-0.0,0.0,-1e-06,-2.8e-05,-3e-06,-2e-06,-3e-06,8.8e-05,-0.00711,0.000113,-0.007222,-7.6e-05,-3.4e-05,-3.2e-05,4e-06,6.8e-05,1.2e-05,1.8e-05,4.4e-05,-4e-05,-5.4e-05,2e-06,-0.0,-1e-06,-4e-06,-5e-06,-5e-06,-4e-06,-2e-06,2e-06,-1e-06,2e-06,-5.2e-05,2e-06,0.0,1e-06,-1e-06,0.007228,0.0,2e-06,3e-06
0.000968,0.000507,0.000628,-0.00445,0.000925,0.000482,-3.1e-05,-1.7e-05,2e-06,1.5e-05,4e-06,-9e-06,-2e-06,-2e-06,-0.0,-1e-06,-0.000224,9.7e-05,-2e-06,-4e-06,4e-06,0.000446,0.000158,-1.8e-05,-9e-06,-2.1e-05,0.000313,-4e-06,0.000221,6.1e-05,0.000129,0.000251,-2e-05,-0.000534,7e-06,4e-06,0.000608,0.000338,0.001568,0.001726,0.004108,0.005054,0.00504,0.005045,0.003101,0.000726,-0.000695,-0.000723,-0.002118,-0.002069,-0.003158,-0.003115,-0.002074,-0.001786,-0.006506,-0.011195,-0.011322,-0.010873,-0.010632,-0.005763,-0.000156,0.004872,-0.001315,-0.000591,-0.001135,-0.001332,-0.00119,-0.000427,0.000562,6e-06,0.000284,5e-06,3e-06,-4e-06,-0.000224,5e-06,3e-06,3e-06,0.00072,0.00144,0.00092,0.00052,-0.0006,-0.000281,-0.000271,1.7e-05,0.000543,8.9e-05,0.000148,0.000355,-0.000321,-0.000438,4e-06,-0.0,8e-06,4e-06,2e-06,2e-06,2e-06,3e-06,2.8e-05,-6e-06,-3e-06,-0.000434,6e-06,4e-06,7e-06,-4e-06,-0.000433,8e-06,-2e-06,-1e-06
0.001017,0.000502,0.000621,0.005204,0.000915,0.000531,-2.8e-05,-1.4e-05,4e-06,1.6e-05,4e-06,-7e-06,-1e-06,-0.0,2e-06,1e-06,-0.000218,9.7e-05,-1e-06,-3e-06,3e-06,0.000441,0.000158,-1.7e-05,-7e-06,-1.9e-05,0.00031,-5e-06,0.000216,6e-05,0.000127,0.000248,-1.9e-05,-0.000526,8e-06,7e-06,0.0006,0.000333,0.001545,0.001649,0.004032,0.004942,0.004917,0.0049,0.003002,0.000703,-0.000671,-0.000643,-0.002053,-0.002007,-0.003071,-0.003034,-0.002022,-0.001744,0.003189,0.008212,0.008135,0.008573,0.00877,0.003963,-0.000121,-0.004823,-0.001314,-0.000581,-0.001118,-0.001312,-0.001174,-0.000421,0.000554,7e-06,0.000307,6e-06,6e-06,-3e-06,-0.00022,3e-06,2e-06,-0.0,0.000707,0.001444,0.000906,0.000539,-0.000588,-0.000278,-0.000269,1.6e-05,0.000533,8.7e-05,0.000145,0.000349,-0.000314,-0.000431,3e-06,1e-06,8e-06,5e-06,4e-06,4e-06,4e-06,3e-06,2.8e-05,-7e-06,-5e-06,-0.00043,6e-06,2e-06,5e-06,-3e-06,-0.000454,8e-06,-5e-06,-4e-06
-0.000965,0.189092,-0.002193,-0.034752,9.3e-05,-0.000909,-0.014504,-0.000336,8.2e-05,8.9e-05,7.6e-05,0.00476,7.6e-05,0.004739,7.4e-05,6.7e-05,7.3e-05,5.6e-05,5.8e-05,5.4e-05,4.2e-05,3.2e-05,2.9e-05,4.2e-05,3.9e-05,3.3e-05,2.5e-05,0.004687,3.1e-05,4.2e-05,2.9e-05,2.8e-05,4.1e-05,0.001669,3e-05,2.1e-05,6e-06,2.3e-05,0.002256,0.00189,0.009731,-0.013755,-0.01251,-0.007741,0.000871,0.000254,0.000206,-0.000855,-0.000568,9.4e-05,-0.000614,-0.000643,-0.003464,0.079189,-0.019219,0.859427,0.204403,-0.035721,0.324635,-0.040931,-0.001024,0.036947,0.003767,-0.020409,0.000258,0.000123,0.000112,0.005007,5.8e-05,6.3e-05,-0.000915,0.000264,3.5e-05,0.004771,3.5e-05,7.2e-05,1.4e-05,0.002146,0.000714,-0.000284,0.000701,-0.000949,1.7e-05,0.000196,1.5e-05,-1e-06,-0.021238,0.000473,-2e-06,6e-06,0.00012,1.4e-05,-9e-06,0.001698,0.000196,-2.7e-05,-2.9e-05,-1.5e-05,0.004706,-0.095218,6.3e-05,-3e-06,-1.3e-05,-2.5e-05,0.002493,0.000338,-2.4e-05,-1.3e-05,0.000957,0.012949,0.000192,-7.3e-05
