0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0.002563,0.001841,-0.005596,0.000901,0.000773,0.000555,-0.00017,-0.000156,-0.000822,-0.000798,-0.000786,0.006422,0.006337,-0.000915,0.006973,0.006944,0.006901,0.00696,0.006986,0.007696,0.00762,0.001159,0.000519,0.000534,0.000499,-0.000143,-0.000126,-0.0001,-3.6e-05,-7.6e-05,-7e-05,-5.5e-05,-0.000117,-9.3e-05,-0.000111,-0.000114,-0.000204,-0.000107,0.00061,-7.8e-05,7.4e-05,7.8e-05,8.9e-05,0.007077,3.1e-05,7.1e-05,0.000144,0.000114,0.007103,0.006441,-0.000451,-0.000501,-0.000504,-0.00041,-0.000248,-0.000193,0.000106,0.000129,0.000244,0.000217,0.000277,0.000306,0.000387,0.000382,0.000422,-4.2e-05,7.2e-05,0.000326,-4e-05,0.000147,-0.00795,-0.000635,-0.007555,-0.007443,-0.008071,-0.013922
-0.021489,-0.015537,-0.014819,-0.006712,-0.005283,-0.002823,0.003549,0.003394,0.009041,0.008757,0.008551,0.009585,0.01021,0.009602,0.004536,0.004552,0.004795,0.003817,0.003441,-0.00227,-0.001955,-0.008236,-0.003176,-0.003329,-0.003004,0.002143,0.002005,0.001784,0.001075,0.001459,0.001503,0.00135,0.001911,0.00167,0.001793,0.001815,0.002618,0.001698,-0.004056,0.001439,3.6e-05,-6e-06,-0.0001,0.000678,0.000401,2.8e-05,-0.000629,-0.000346,0.000213,0.005379,0.003967,0.004389,0.004396,0.003539,0.002109,0.001633,-0.000938,-0.00111,-0.002092,-0.001857,-0.002376,-0.002634,-0.003319,-0.00329,-0.003639,-0.000196,-0.001192,-0.003368,-0.000756,-0.002357,0.00503,0.003195,0.001161,0.000444,0.004497,-0.006716
0.01688,0.013321,0.015106,0.012958,0.014531,0.017211,0.014004,0.013803,0.009789,0.009416,0.009159,0.009262,0.009856,0.010063,0.013656,0.013596,0.013749,0.012697,0.012284,0.016181,0.016388,0.020584,0.015996,0.015807,0.016109,0.011603,0.011427,0.011174,0.010425,0.01076,0.010813,0.010648,0.011147,0.010882,0.01096,0.010961,0.01167,0.010782,0.014671,0.010496,0.00919,0.009135,0.009041,0.008922,0.009454,0.009111,0.00851,0.008747,0.008435,0.003969,0.003497,0.003858,0.00386,0.003096,0.001839,0.001423,-0.000822,-0.000975,-0.001834,-0.001628,-0.002084,-0.002314,-0.00292,-0.00291,-0.003221,-0.009222,-0.010121,-0.012102,-0.018925,-0.020417,-0.031315,-0.034011,-0.035288,-0.036042,-0.041909,-0.033396
-2.974268,0.206824,-0.020231,-0.857236,-0.015928,-0.22869,-0.268643,-0.821316,0.008882,-0.745688,0.005689,-0.051801,-0.017204,-0.195229,-0.04218,-0.029407,-1.080622,-0.044079,0.349877,-1.952052,-0.066137,-0.101171,-0.073452,-0.087723,-0.177936,0.028347,0.002097,0.04194,-1.354527,-1.327119,-0.033099,-0.032876,-0.030707,-0.036495,0.000799,-0.041902,-0.047629,-0.054434,0.003933,-0.055753,0.096422,0.034607,0.071552,0.017451,-0.046472,0.10961,-0.033454,-0.033724,-0.04364,0.005826,0.002088,0.001992,-0.006482,-0.006432,0.001352,0.070476,-0.014611,6.2e-05,-0.009182,-0.000982,-0.001833,0.010674,0.000629,-0.456062,0.041175,0.043027,0.156708,-0.131761,-0.055207,0.087062,-0.238587,0.218515,-0.190603,1.738932,-0.023119,0.955346
-1.375174,-0.278661,-0.064665,-0.454444,-0.141092,-0.206766,-0.155588,-0.436412,-0.023198,-0.472522,-0.026631,-0.096264,-0.067654,-0.192221,0.072124,-0.035774,-1.17439,-0.029888,-0.39827,-1.953489,-0.143676,-0.025997,-0.024945,0.00348,-0.099738,-0.104056,-0.060201,-0.093781,-2.143605,-2.185567,-0.019282,-0.003785,-0.018943,-0.013449,-0.059181,-0.011332,-0.018513,-0.006435,-0.07165,-0.010543,-0.130319,0.012334,-0.108269,-0.165899,-0.005871,-0.151975,-0.015633,-0.003433,0.079111,-0.026741,-0.013995,-0.014124,-0.027189,-0.027112,0.001997,-0.069771,0.09941,0.000148,0.019064,0.000879,0.014376,-0.006492,0.014041,-0.700999,0.058705,0.001657,0.155958,0.179565,0.152031,0.040832,0.513923,0.217444,0.27618,2.134684,0.4521,2.425242
-4.632205,-0.281284,-0.129171,-1.456806,0.115626,-0.473625,-0.368492,-1.38709,0.046091,-1.380881,0.043821,-0.030192,0.045938,-0.361941,-0.109094,0.059474,-1.097487,0.057447,-0.203373,-4.904945,-0.154251,-0.041215,-0.012998,-0.027011,-0.087791,-0.070534,-0.015701,-0.02731,1.156789,1.15419,0.031162,0.006343,0.030272,0.029887,-0.003689,-0.008899,0.017936,0.02901,-0.077004,0.024855,-0.07667,-0.222904,-0.062958,0.165687,-0.006473,-0.050487,-0.009945,0.00547,-0.138267,0.053671,0.025497,0.025349,0.031113,0.030954,-0.000971,-0.049395,-0.171854,0.000348,-0.024407,0.00055,-0.024648,0.000233,-0.025693,0.320537,0.111471,-0.006627,0.462968,0.069909,0.048888,-0.044615,0.214451,0.094989,0.335378,5.103366,0.792165,-1.001913
0.00011,7.8e-05,3.1e-05,2e-06,-2e-06,1e-06,-1e-06,2.6e-05,6.9e-05,0.000103,0.000171,0.000156,0.000144,8.7e-05,6.7e-05,3.9e-05,9e-06,-6e-06,-3e-06,-3.5e-05,1.7e-05,9.3e-05,9.7e-05,0.000149,0.00015,0.000168,0.00012,0.00014,9.3e-05,0.000121,1.5e-05,-0.007585,3e-06,-3e-06,1e-06,-2.9e-05,-0.0,2.6e-05,6.9e-05,-4e-06,2.4e-05,7e-05,2.4e-05,9.1e-05,7.9e-05,0.000137,7.4e-05,3.1e-05,-2e-06,-2e-06,-5.3e-05,0.0,-1e-06,-3.8e-05,-1.5e-05,-1.9e-05,-7.1e-05,7e-06,5.1e-05,2.1e-05,0.0,-2.3e-05,-7.2e-05,1e-06,-0.0,-1e-06,2e-06,4.3e-05,8.2e-05,0.00012,0.000181,0.000227,0.007974,0.008039,0.008019,0.000413
0.000877,0.000622,0.000242,3.4e-05,-4e-06,2.8e-05,-7e-06,0.0002,0.000531,-0.004358,0.00135,0.001248,-0.004021,-0.004446,-0.004608,-0.004829,9.4e-05,-2.7e-05,-1.6e-05,-0.005471,0.00012,0.000727,0.000768,0.001198,0.001207,0.001349,0.000969,0.001126,-0.004419,0.000964,0.000143,0.000875,3.6e-05,-1.6e-05,-6e-06,-0.005381,-0.005148,0.000213,0.00056,-1.6e-05,0.000176,0.000556,0.000204,0.000717,0.000616,0.001072,0.000585,0.00025,-1.7e-05,-1.8e-05,-0.000411,3e-06,2e-06,-0.000294,-0.000118,-0.000171,-0.000557,5.1e-05,0.000404,0.000168,-6e-06,-0.000207,-0.000571,5e-06,6e-06,-4e-06,2.7e-05,0.000334,0.000647,0.00094,0.001422,0.001803,0.002361,0.008079,0.002834,0.00334
0.001031,0.000729,0.000284,3.9e-05,-6e-06,3.2e-05,-1e-05,0.000234,0.000625,0.005536,0.001588,0.001465,0.00593,0.005431,0.005243,0.00498,0.000109,-3.3e-05,-1.9e-05,0.004227,0.00014,0.00085,0.000898,0.001401,0.001412,0.001572,0.001132,0.001312,0.005458,0.001121,0.000169,0.000991,4.3e-05,-1.5e-05,-5e-06,0.004334,0.004606,0.000248,0.000652,-1.9e-05,0.000204,0.000647,0.000238,0.000835,0.000718,0.001242,0.000678,0.00029,-2e-05,-2.2e-05,-0.000475,4e-06,5e-06,-0.000337,-0.000137,-0.000197,-0.000644,5.8e-05,0.000468,0.000193,-1e-05,-0.000244,-0.000664,6e-06,9e-06,-3e-06,3.4e-05,0.000386,0.000749,0.001089,0.001646,0.002083,0.002742,-0.001211,0.003263,0.00382
0.000796,8.5e-05,6.2e-05,3.1e-05,3.8e-05,2.4e-05,3.1e-05,3e-05,0.000236,-0.034795,-0.002941,-0.000551,-0.040998,-0.041389,-0.047143,-0.035705,-0.003982,0.000107,-0.00749,-0.035893,0.000119,0.005893,3.5e-05,-0.004006,-0.011521,0.000546,-0.011653,-0.000351,-0.030403,0.146778,-0.001467,-0.001047,0.012725,3e-06,8.4e-05,-0.035491,-0.035504,2.2e-05,-0.002446,-3.8e-05,0.237976,-0.002236,-0.000236,5.5e-05,5.7e-05,3.6e-05,2.9e-05,2.7e-05,2.4e-05,2.4e-05,2e-05,2e-05,2.6e-05,2.7e-05,-4e-06,2e-06,-0.000734,1e-06,-6e-06,1e-06,2e-06,1.3e-05,-0.000735,2e-06,-0.0,-2e-06,2e-06,5e-06,3e-06,0.004488,0.002985,7.5e-05,0.002099,0.03932,-0.693723,0.003387
