0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.001726,-0.001807,-0.000994,-0.000689,-0.000715,-0.001088,-0.000599,0.004017,-0.001581,-0.001132,-0.000597,-0.000408,-0.001133,-0.000977,-0.000249,0.000486,0.000726,-0.000189,-0.00028,0.000672
0.004365,0.004652,0.001832,0.000778,0.000881,0.003758,0.000487,0.006801,0.005501,0.003935,0.00049,-0.00017,0.00394,0.00339,0.000857,-0.001705,-0.002535,0.002238,0.000991,-0.002354
0.008677,0.008767,0.00767,0.007261,0.007297,0.001415,0.007132,0.00237,0.002048,0.001458,0.007108,0.006858,0.001445,0.001242,0.000314,-0.00062,-0.000927,-0.006097,0.000364,-0.000863
0.176794,-0.040566,0.073747,0.282427,-0.035721,-0.003016,0.187009,-0.00242,0.0054,-0.007706,-0.000252,-0.042068,0.097667,-0.00335,-0.002785,-0.003745,0.325802,0.025116,-0.011215,-0.000739
-0.432703,-0.005838,-0.227431,-0.642161,-0.006546,0.05984,-0.451944,-0.006215,-0.005219,0.014946,-0.078503,0.004935,-0.189062,-0.053352,0.005477,0.015037,-0.637648,0.026708,0.021326,0.009147
-0.129881,0.032833,-0.067161,-0.189691,0.004377,-0.189432,-0.131062,0.059465,0.02631,0.003427,-0.020433,0.005804,-0.031497,0.220539,0.001522,-0.02577,-0.218267,9.8e-05,0.004481,-0.027359
0.005743,-6.7e-05,0.005864,0.011724,0.011875,0.011959,0.006025,0.005838,0.01165,0.005863,0.005783,-0.000122,0.00584,-6.8e-05,-0.000203,-8.4e-05,-0.005921,1.5e-05,-2e-06,-3e-06
-0.001702,-0.000337,-0.00111,-0.002229,-0.001448,-0.000996,-0.000246,-0.001237,-0.002668,-0.001139,-0.001594,-0.000679,-0.001294,-0.000387,-0.001138,-0.00047,0.000857,8.4e-05,-2e-06,-1.2e-05
-0.000965,-0.000139,-0.000733,-0.001466,-0.001156,-0.000973,-0.000391,-0.000788,-0.00164,-0.000745,-0.000925,-0.000283,-0.000801,-0.000159,-0.00046,-0.000189,0.000619,3.3e-05,1e-06,-5e-06
-0.001438,0.206921,-0.001745,0.219227,0.070618,-0.000232,-0.001039,-0.004875,0.001733,0.198372,-0.006102,-0.000148,0.000909,-6.1e-05,-7e-05,-7.7e-05,-0.001063,0.005268,0.00017,-6.4e-05
-0.013751,0.700596,-0.017941,-0.141578,-0.016483,-0.036318,-0.021251,-0.031991,-0.030135,0.688317,-0.023682,-0.00058,-0.014756,1e-05,1.3e-05,7e-06,0.014708,0.016816,0.000651,2.9e-05
0.029114,0.185638,0.028169,0.163506,-0.074187,0.057767,0.028186,0.026746,0.059058,0.217772,-0.001246,-0.000136,0.02967,0.000114,9.1e-05,8.6e-05,-0.02947,0.003071,0.000247,8.4e-05
