0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
-0.030722,-0.029791,-0.028915,-0.013682,-0.013641,0.000585,0.007279,0.014647,0.014965,0.014794,0.015417,0.015379,0.01539,0.008486,0.008482,0.001047,-0.006672,-0.007311,-0.00758,-0.007556,-0.007802,-0.014794,-0.0148,-0.014545,-0.014606,-0.014744,-0.007032,-0.00653,0.000939,0.009095,0.009718,0.017258,0.02481,0.009851,-0.005862,-0.006136,-0.013492,-0.01304,-0.013147,0.002,0.001785,0.001605,-0.005501,0.001546,0.001878,0.001983,-0.005042,-0.012315,-0.012592,-0.005881,-0.005749,0.001184,0.001111,0.001107,0.001045,0.000963,0.00777,0.001061,0.008192,0.008065,0.000952,0.000612,0.000487,0.000526,0.00068,0.007504,0.007487,0.00063,0.006812,-0.000157,0.006624,0.005994,-0.000969,0.006358,0.006795,0.00658,-0.000344,-0.001245,-0.001311,-0.007997,-0.001164,-0.001014,0.005582,0.012273,0.012162,0.012483,0.032958,0.033223,0.040097
0.044593,0.025133,0.008028,-0.000137,0.000272,-0.001856,-0.015456,-0.023026,-0.030252,-0.030171,-0.024712,-0.016808,0.001105,0.006415,0.006729,-0.004526,-0.010503,-0.000258,0.005427,0.005555,0.011276,0.005716,0.005495,-0.000194,-0.000851,-0.002192,-0.005501,-0.000387,0.001591,-0.005034,-0.014242,-0.019155,-0.023953,-0.011964,0.016834,0.022286,0.019123,0.006209,0.012895,0.013764,0.019846,0.018111,0.017847,0.017751,0.005548,0.006756,0.006303,0.010178,0.014329,0.011624,0.004738,-0.002821,-0.003585,-0.00358,0.003743,0.01086,0.010397,0.012098,0.007837,0.006605,0.003163,0.007419,0.005927,0.006411,0.008361,0.001063,0.000934,0.007953,0.010145,0.006547,-0.001054,-0.017931,-0.012531,-0.005044,0.009407,-0.002166,-0.00473,-0.007822,-0.008611,0.001572,0.002187,0.004183,0.010424,0.016657,0.016822,0.020254,0.015573,0.010849,0.002773
-0.020136,-0.011021,0.000483,0.010702,0.011107,0.00793,0.003061,0.004702,0.006503,0.006931,0.012718,0.011118,0.010217,0.016222,0.016485,0.01505,0.00932,0.000239,-0.003715,-0.003585,-0.007497,-0.002934,-0.003174,0.000758,7e-05,-0.001345,0.004609,0.009917,0.011506,0.023793,0.033816,0.03806,0.042355,0.035766,0.016932,0.012627,0.009836,0.016231,0.013108,0.022175,0.01825,0.016413,0.016546,0.015767,0.022922,0.023769,0.023756,0.018424,0.012934,0.01017,0.013143,0.015167,0.014519,0.014499,0.011731,0.00876,0.007918,0.009639,0.014316,0.0133,0.010979,0.005747,0.004571,0.004934,0.006401,0.008789,0.008682,0.006005,-0.00117,-0.00345,-0.001237,-0.005589,-0.009543,-0.004294,-0.001699,-0.002107,-0.003635,-0.014478,-0.015191,-0.015381,-0.015363,-0.013802,-0.017868,-0.022078,-0.021782,-0.019088,-0.015504,-0.010832,-0.009284
-2.196538,-2.88493,-0.784143,-0.495572,-0.469215,0.017813,0.714579,3.21417,3.603642,0.123285,0.21945,1.241153,-0.22689,0.204076,-0.000224,-0.022372,-0.082516,0.19812,0.194076,-0.189107,-0.088939,-0.274923,0.049349,-0.043072,-0.075835,-0.186141,-0.540266,-0.004013,-0.011689,0.157629,0.420738,0.517095,0.426069,-0.745441,-0.194705,-0.431998,0.274039,-0.048324,-0.231211,-0.304329,-0.286833,-0.420736,-0.227714,-0.00268,-0.222838,-0.058903,-0.261102,-0.046209,-0.039433,-0.006142,-0.033229,0.044579,0.359162,0.086692,-0.052985,-0.006741,-0.005969,0.437697,-0.060597,0.049916,-0.049283,-0.005012,0.003653,0.003429,-0.015762,0.347355,0.494141,-0.462055,0.270649,0.081327,0.005028,0.161446,-0.005574,-0.004706,0.012228,0.014384,-0.75764,0.080007,0.399176,0.163243,-0.625256,-0.23359,0.029264,-2.573108,-0.115595,-2.913155,-2.189454,0.258654,-0.596328
-3.190729,-2.902029,0.752155,0.974885,0.286399,0.464882,1.804312,5.399667,7.097,2.031053,0.862988,1.797177,-1.340799,-0.178991,0.021387,0.556614,0.039256,-0.187742,-0.160006,0.221239,0.15625,0.320781,0.012104,0.087116,0.224128,0.142856,0.520336,-0.160585,-0.026707,-0.290644,-0.609573,-0.868589,-0.870809,-1.652532,-0.26514,-1.788996,1.533603,-0.071116,0.174632,0.163906,0.252904,0.262001,-1.61533,0.05446,-1.571904,0.042567,-1.552632,0.086958,-0.581086,-0.005057,-0.014377,-0.089683,-0.396186,-0.152697,-0.008309,0.056137,0.054486,-0.272648,0.059303,-0.03265,-0.008274,-0.023026,-0.027227,-0.029122,0.072348,-0.37633,-0.428445,0.419472,1.695888,0.13731,-0.018752,0.391332,0.040842,-0.077859,0.172082,-0.019187,-1.155461,-0.022718,-0.278048,-0.072984,0.036603,0.212438,-0.133978,-3.709933,-0.381232,-4.100537,-3.885727,-0.601356,-1.179733
-3.977355,-3.477151,0.436769,-0.193123,0.369993,0.413878,1.544699,4.811438,2.368194,-2.36162,-0.411143,0.336838,1.640101,0.873285,0.038819,-0.737072,-0.061541,-0.169057,-0.124252,0.130716,0.117193,0.162991,-0.047549,-0.026202,-0.201044,0.225478,0.296057,0.177812,0.013441,-0.137951,-0.366443,-0.287035,-0.014864,-0.632461,0.676706,2.74458,-1.752544,0.198829,0.140445,0.253841,0.104802,0.335384,2.33019,-0.064511,2.113687,-0.135709,2.069083,-0.150929,0.734633,0.016904,0.027887,-0.079005,-0.275051,-0.081298,0.036454,-0.096916,-0.093096,-0.332685,-0.08254,-0.139827,0.036703,0.053042,0.050837,0.052964,-0.121055,-0.189011,-0.211599,0.088802,-2.056118,-0.194199,0.029868,0.23187,-0.074781,0.20125,-0.094613,0.010163,-0.960774,-0.088321,-0.2507,-0.104246,-0.079663,0.107997,-0.055917,-3.105935,-0.175916,-3.433621,-4.38924,-0.55449,-2.391116
-0.03054,-0.023432,-0.02371,-0.023211,-0.015416,-0.022531,-0.030196,-0.023044,-0.008305,-0.008585,-0.008879,-0.001485,0.014177,0.014275,0.014095,0.029366,0.04527,0.037897,0.030134,0.014716,-0.000151,-0.000101,0.014502,0.022567,0.022316,0.030421,0.023432,-0.022884,-0.038054,-0.077697,-0.115824,-0.114982,-0.144839,-0.135761,-0.112699,-0.09762,-0.074921,-0.051754,-0.04399,-0.029775,-0.008066,0.007125,0.014989,0.030595,0.030436,0.03061,0.038345,0.038359,0.038118,0.030505,0.023,0.015347,0.007801,0.000292,-0.007542,-0.007692,-0.007649,-0.007747,-0.000156,-9.9e-05,4e-06,0.007541,-5e-06,6.4e-05,8e-06,-6e-06,-0.007589,9.6e-05,-4.3e-05,-1.6e-05,0.007639,0.007586,-5e-06,3e-06,4e-06,-1e-06,-0.007615,-2e-06,0.007474,0.00754,5e-06,0.007644,-2e-06,8.6e-05,0.00019,0.000258,0.000499,-0.006984,-0.006806
0.008477,0.014489,0.020142,0.010462,-0.001461,-0.011385,-0.014022,-0.005083,-0.000601,0.003305,0.002269,0.006602,-0.004938,0.005918,0.01324,0.016965,0.005995,0.006164,0.011196,0.012877,0.000877,-0.001141,0.010344,0.001624,0.00769,0.005179,-0.004482,-0.013798,-0.015048,0.000344,0.003457,-0.006188,-0.005935,-0.005578,-0.004744,-0.008373,-0.001556,-0.002102,0.003172,-0.008558,-0.016102,-0.007938,-0.002459,0.003242,-0.002423,-0.001285,-0.000991,-0.00058,-0.002085,-0.001571,-0.000113,9.4e-05,0.001178,0.002514,0.000977,-0.000316,6.2e-05,-0.000719,-0.00126,-0.000794,0.005418,-0.000996,-4.7e-05,0.000516,6.8e-05,-5.5e-05,0.000613,0.000797,-0.000357,-0.000128,-0.000195,-0.000633,-5.1e-05,1.5e-05,2.3e-05,-2e-06,0.000398,-1.1e-05,-0.001578,-0.001045,4.9e-05,-0.000183,-1.3e-05,0.000728,0.001634,0.002193,0.004226,0.00561,0.001558
-0.030285,-0.03451,-0.038647,-0.029031,-0.022124,-0.023589,-0.026395,-0.027283,-0.033773,-0.040375,-0.042056,-0.048662,-0.042582,-0.039805,-0.041634,-0.037775,-0.030624,-0.01811,-0.010275,-0.006729,-0.010995,-0.014022,-0.035354,-0.049896,-0.053702,-0.046506,-0.036079,-0.006912,0.00565,0.020827,0.040098,0.049264,0.060255,0.068774,0.054097,0.047807,0.032354,0.031632,0.026829,0.022456,0.012744,0.001066,-0.002849,-0.006262,-0.002483,-0.001048,-0.000529,-0.000153,-0.002433,-0.00189,-3.2e-05,0.000453,0.001626,0.003448,0.001312,-0.000463,5.8e-05,-0.001024,-0.001726,-0.001087,-0.004264,-0.001325,-7.2e-05,0.000707,9e-05,-8.1e-05,0.000801,0.001098,-0.000491,-0.000178,-0.000225,-0.000834,-7.8e-05,1.9e-05,3.1e-05,-2e-06,0.000512,-1.5e-05,-0.00214,-0.001409,6.2e-05,-0.000227,-2.2e-05,0.001002,0.002254,0.00302,0.005804,0.007652,0.013722
-0.156378,-1.462913,-0.090759,-1.683045,-5.287666,-0.146157,3.632064,-0.224012,-0.499947,1.009314,5.754872,4.060757,3.234834,-0.679648,-0.563742,-4.076931,-0.184846,0.062456,0.058029,-0.044172,-1.756944,0.023869,0.005542,-0.017552,-0.240162,-1.854985,0.182978,-3.59076,-0.000255,0.751757,1.064904,1.090715,0.668408,-0.593132,0.28549,0.317576,0.003011,4.573101,0.065471,-0.097666,-0.083775,0.020791,0.009687,0.040628,0.278389,0.012847,0.002182,0.003943,0.003525,-0.246101,0.464019,4.621467,-0.058665,0.000631,-0.002275,-0.001845,0.001872,0.002082,-0.000387,0.003261,0.035178,0.000843,-0.000644,-0.000352,-0.000226,0.002671,-0.001304,0.000341,-0.000121,-0.00025,0.000805,0.000868,-0.000369,-0.000183,-0.000115,-7.7e-05,-0.001062,-5.1e-05,0.000432,0.000964,-2.1e-05,0.000605,-1.6e-05,-1.7e-05,-0.000726,0.000513,0.045542,0.011642,-0.036776
