0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
0.004403,-0.001598,-0.001648,-0.001386,-0.000524,0.000419,0.006906,0.000367,0.000132,0.005705,-0.001575,2.5e-05,0.000199,0.000495,-2.1e-05,-0.000489,0.005999,0.004096,0.000532,0.005776,0.010253,0.005376,0.005434,0.003893,-0.001298,-0.00109,-0.002579,0.004782,-0.00185,-0.002563,-0.001253,-0.001401,-0.004837,-0.0052,0.001301,0.002241,0.002329,0.001343,0.001474,0.000459,0.000384,0.0001,0.000181,-4.4e-05,0.000632,-0.000316,0.006585,0.000409,0.004613,0.00264,0.00954,0.005221,0.011472,-0.000679,0.004846,-0.00063,-0.000559,-0.000737,-0.000412,-0.001207,-0.002138,-0.002033,0.002554,-0.002472,0.003351,0.003911,-0.00097,0.004681,0.004722,0.004626,0.003745,0.003483,0.00365,0.00475,0.006619,0.006988,0.001909,0.007579,0.002058,0.001621,0.003503,0.001165,-0.003867,0.000994,0.000562,-0.005434,-0.005402,-0.000914,-0.001187,0.005001,-0.001545,-0.000341,0.000602,-0.000611,-0.000732,-0.006042,-0.001405,-0.001285,-0.000907,-0.005288,0.000582,-0.005287,-0.003664,-0.004501,-0.004303,-0.00511,-0.00615,-0.006199,-0.000941
0.008517,0.007946,0.00809,0.007386,0.003224,-0.001162,-0.003697,-0.002826,-0.002058,-0.00043,0.004283,-0.001888,-0.002366,-0.003169,-0.001758,-0.000475,-0.003035,0.004156,-0.006872,-0.004295,0.000309,-0.005095,-0.005276,0.000664,-0.002009,-0.002557,0.003246,-0.001857,0.001296,0.005016,0.001523,0.003743,-0.003379,-0.000604,-0.001699,-0.004233,-0.004471,5e-06,-0.000331,0.004217,0.004741,0.005198,0.00499,0.005589,0.001972,0.004502,-0.001051,-0.000808,0.002349,0.007511,0.003972,-0.00304,-0.005148,-0.003798,-0.002163,-0.00394,-0.004121,-0.003649,-0.004485,-0.000559,0.003721,0.003455,0.009216,0.006431,0.007088,0.005598,0.002506,0.003833,0.003457,0.003944,0.00595,0.006612,0.006154,0.003318,-0.003304,-0.00423,-0.006709,-0.00569,-0.00709,-0.005979,-0.012598,-0.002949,-0.00568,-0.002533,-0.001438,-0.00171,-0.001791,0.002344,0.003045,0.000932,0.003943,-0.00099,-0.005269,-1.4e-05,-3e-06,-0.001937,0.003613,0.003292,0.002343,-0.001972,-0.001509,-0.00013,-0.006184,-0.001886,-0.002739,0.00121,0.005753,0.005858,0.007973
-0.009913,-0.009765,-0.009669,-0.010044,-0.005287,-0.000665,0.004534,0.005526,0.00576,0.00641,0.002401,0.006047,0.005775,0.005322,0.006107,0.006815,0.012024,0.008849,0.017411,0.018381,0.020423,0.024952,0.024842,0.02092,0.019878,0.019554,0.015529,0.019494,0.014451,0.009371,0.007628,0.001826,-0.00132,-0.006837,-0.007708,-0.008988,-0.009119,-0.013838,-0.014038,-0.018726,-0.018524,-0.018209,-0.018365,-0.01802,-0.012944,-0.011613,-0.000976,-0.000515,0.007841,0.010563,0.015195,0.018925,0.024391,0.018871,0.019337,0.018782,0.018674,0.0189,0.018465,0.013478,0.008673,0.008513,0.004098,0.003055,0.003063,0.002352,0.001179,0.001452,0.00134,0.001508,0.0025,0.002805,0.002583,0.001263,0.004956,0.004529,0.003653,0.003864,0.003488,0.004012,0.007739,-0.00138,-0.002376,-0.001183,-0.000669,-0.000515,-0.000551,0.001102,0.001431,0.006933,0.001802,0.006346,0.011166,0.006715,0.006789,0.006163,0.001649,0.0015,0.001063,-0.000636,-0.00068,-0.006565,-0.002549,-0.007435,-0.007764,-0.01274,-0.017432,-0.017367,-0.016641
-0.52046,0.953035,0.61588,0.550678,0.661057,1.081284,0.088032,0.493812,-2.867225,0.625817,-0.065795,0.095743,0.341049,0.250146,-0.057623,-0.048317,-0.522425,-1.444081,-0.156657,0.008051,0.431067,0.226796,0.324897,-0.090026,-0.143287,-0.096963,-0.057879,-0.0935,-0.073737,-0.030427,-0.046839,-0.128577,-0.014083,0.031038,0.032827,-0.402728,0.045392,-0.232547,-0.425072,1.665646,1.02372,-0.192358,1.477378,-0.523337,-0.138868,0.098387,0.478896,1.509322,1.855236,0.114488,-1.687725,-0.118398,-0.1016,0.272314,-0.113902,-0.086225,-0.108818,-0.046269,-0.098844,-0.065365,-0.055358,-0.031298,-0.001386,-0.137124,-0.134433,0.004627,0.002133,-1.220304,0.009458,-0.904032,0.029369,0.209724,-0.012006,-0.002306,-0.046809,-0.047358,-0.048436,0.388486,0.510427,0.890232,0.085697,0.687235,-0.022917,-0.015152,-0.003505,-0.002254,-0.015323,0.463487,-0.012393,-1.252551,-1.44544,-0.149377,0.243262,-0.729726,0.564575,-0.555995,-0.159877,0.007082,-0.141372,0.175677,-0.015239,0.058357,-0.021138,0.245207,0.035872,0.123482,-0.005624,0.025362,-0.148468
-2.442011,-2.474552,-2.278523,-1.830735,-1.807343,-1.996278,-1.76436,-1.357209,-3.777031,-1.114811,-0.890913,-0.408315,-0.467416,-0.315368,0.005218,0.003059,-0.026074,-0.025603,-0.156729,-0.117306,-0.465281,-0.322655,-0.398883,-0.228787,0.093567,-0.019831,-0.03181,-0.034588,0.061077,-0.02623,0.08286,0.085774,0.110248,0.028456,0.013408,0.363543,0.016542,0.258178,0.405105,2.296683,0.161365,0.168125,2.39633,0.382117,0.078678,-0.099504,0.768729,0.050769,1.955566,0.069791,0.318912,-0.027815,-0.090807,-0.303555,-0.023916,-0.044708,-0.03836,-0.084641,-0.021889,-0.027259,0.068014,-0.011728,-0.018134,-0.226638,-0.244462,-0.026273,-0.012349,-0.143383,-0.002058,-0.343375,-0.036062,-0.168462,-0.017974,-0.012185,0.080295,0.077481,0.007257,-0.361374,-0.170439,0.3395,-0.108962,-0.363324,0.040941,0.009797,0.002194,0.01528,0.108905,-0.331169,0.008164,-2.532558,-2.367826,-0.238965,-0.216071,0.260999,-0.403834,-0.738299,0.078069,-0.002807,-0.008289,-0.09638,0.010607,-0.001513,-0.048146,-0.1612,0.031922,-0.005811,0.187561,0.174654,0.174167
-0.705012,0.190117,0.074859,0.103391,-0.167435,-0.063969,-1.127254,0.058934,-4.060708,0.325395,-0.972884,0.261653,0.127272,-0.722047,0.0141,0.009808,-1.600409,-5.290462,-0.369326,-0.054389,-0.206776,-0.185709,-0.226419,-1.770061,-0.185867,-0.018009,0.029582,0.010167,-0.144233,0.027778,-0.171024,0.089922,-0.202893,-0.030722,-0.00149,0.196898,-0.027758,0.14445,0.230866,-0.300479,5.493725,0.351688,0.429445,0.504428,0.28294,0.185673,-0.140424,5.310805,-0.595529,0.188087,-5.21424,0.016278,0.021626,-0.171978,0.011346,-0.003568,-0.017709,-0.050233,-0.020526,0.003124,-0.169809,0.001422,0.009939,0.057967,0.091116,0.055513,0.026573,-5.507143,0.029457,-5.411195,0.037895,-0.032288,0.057858,0.031407,-0.167441,-0.167991,-0.046816,0.144668,-0.048705,0.591748,0.06707,1.648471,-0.049687,0.002935,0.001823,-0.029632,-0.204472,-0.164984,-0.001676,0.043322,-0.073426,-0.039808,-0.150538,-5.497931,-0.215849,-0.012861,-1.640009,0.02809,-1.669167,-0.096424,0.002282,-0.025342,-0.075037,5.484296,0.014385,1.644684,1.584513,-0.144197,0.205394
-0.005777,5e-05,-6e-06,-2e-06,-3e-06,-4e-06,0.0,-0.000562,0.005117,-0.000561,0.000107,-3e-06,-1e-06,-3e-06,5.6e-05,0.000276,0.000377,0.00035,-0.000556,-0.000104,-5.1e-05,0.000253,0.006126,0.006158,-0.000442,-4e-06,-1e-06,1e-06,0.005956,0.005946,4e-06,3e-06,0.0,0.0,0.0,7.8e-05,-2e-06,4e-06,0.005942,-0.00018,0.006424,0.005991,0.006168,0.00089,0.006652,0.006999,0.007034,0.007567,0.007146,0.000304,0.000385,0.00014,0.005805,-0.00013,0.005711,4e-06,2.1e-05,0.0,-1e-06,-1e-06,8e-06,-3e-06,-0.000244,3.4e-05,-0.0,-2e-06,9e-06,-0.000175,2e-06,2e-06,-1.2e-05,-0.000242,2e-06,-0.000514,-0.000107,-0.0,-9e-06,-1e-06,2.5e-05,-0.0,2e-06,0.0,1.3e-05,7e-06,-3e-06,1e-06,1e-06,6e-06,0.000125,1e-06,-1.1e-05,-5e-06,3e-06,-2e-06,-1e-06,-1e-06,1e-06,-1e-05,2e-06,2e-06,-2e-06,2e-06,9e-06,9.1e-05,4.9e-05,0.00025,6e-06,0.000252,0.000123
0.002007,0.000146,-1.6e-05,0.0,-3e-06,-2e-06,1e-06,-0.005075,-0.007379,-0.005077,0.000314,-4e-06,-2e-06,-5e-06,0.000162,0.000791,0.001083,0.001007,-0.005071,-0.000295,-0.000142,0.00073,-0.001022,-0.000931,-0.004761,-1.7e-05,-1.3e-05,-4e-06,-0.001517,-0.00155,2e-06,-0.0,-1e-06,-0.0,0.0,0.000223,-5e-06,1.6e-05,-0.001548,-0.004004,-0.000149,-0.00488,-0.004364,0.002594,-0.002941,-0.0019,-0.001774,0.0033,0.002095,-0.002582,0.001153,0.000419,-0.001877,-0.000387,-0.002162,1.4e-05,6.3e-05,-1e-06,-4e-06,4e-06,2.5e-05,-8e-06,-0.000734,9.8e-05,-3e-06,-8e-06,1.9e-05,-0.000532,2e-06,-0.0,-3.5e-05,-0.000725,8e-06,-0.005044,-0.000317,1e-06,-2.4e-05,4e-06,8.1e-05,-2e-06,8e-06,5e-06,4.7e-05,2.6e-05,-7e-06,0.0,-5e-06,8e-06,0.000367,-1e-06,-4.1e-05,-2e-05,1e-05,-1e-06,-0.0,0.0,5e-06,-3.5e-05,2e-06,4e-06,-9e-06,-1e-06,2.1e-05,0.000274,0.000147,0.000748,1.1e-05,0.000738,0.00037
0.001216,8.1e-05,-7e-06,2e-06,-0.0,-1e-06,-2e-06,0.004661,0.003287,0.00466,0.000169,-3e-06,-4e-06,-3e-06,8.7e-05,0.000426,0.000579,0.000539,0.004667,-0.000158,-7.6e-05,0.000391,-0.000689,-0.00064,0.00483,-1.2e-05,-8e-06,-3e-06,-0.000953,-0.000971,1e-06,-1e-06,0.0,-0.0,-1e-06,0.00012,-3e-06,9e-06,-0.00097,0.00524,-0.000222,0.004631,0.004905,0.001382,0.005659,0.006206,0.006264,0.001575,0.000935,0.005986,0.000598,0.000214,-0.001147,-0.000203,-0.001291,7e-06,3.4e-05,0.0,-2e-06,3e-06,1.3e-05,-4e-06,-0.000386,5e-05,-1e-06,-3e-06,1e-05,-0.000277,1e-06,-0.0,-1.8e-05,-0.00038,1e-06,0.0047,-0.000168,-0.0,-1.2e-05,2e-06,4.2e-05,-1e-06,4e-06,5e-06,2.5e-05,1.4e-05,-4e-06,-1e-06,-3e-06,3e-06,0.000191,-1e-06,-2.1e-05,-1.2e-05,5e-06,-2e-06,-2e-06,-0.0,2e-06,-1.9e-05,1e-06,3e-06,-5e-06,-2e-06,1.2e-05,0.000144,7.7e-05,0.000391,4e-06,0.000384,0.000195
-0.076259,0.008177,0.004683,0.002135,-0.000283,-0.011769,-0.242206,-0.033416,-0.034378,-0.034417,-0.000265,-0.000154,-0.000129,-8.6e-05,-4.7e-05,-4.5e-05,-3.1e-05,0.002849,-0.034412,-9.8e-05,-7e-05,-3.4e-05,0.00095,0.000962,-0.034325,-1.6e-05,-1.1e-05,-1.9e-05,0.000828,0.000888,-4.8e-05,-4e-05,-3.6e-05,-3.7e-05,-4.2e-05,-4.3e-05,-3.5e-05,-2.8e-05,0.000155,-0.034441,0.001843,-0.033397,-0.034018,-0.000198,-0.038519,-0.032677,-0.032642,0.001188,0.001784,-0.033534,-9.6e-05,-0.000211,0.000855,-8.8e-05,0.000913,-5.1e-05,-2.7e-05,-2.9e-05,-2.1e-05,-3.3e-05,-2.4e-05,-1.9e-05,-2.2e-05,-0.000202,-0.000116,-7e-05,-4e-05,-2.9e-05,-3.3e-05,-2.4e-05,-3.3e-05,-3.3e-05,-2.1e-05,-0.034686,-0.000124,-7.9e-05,-6.1e-05,-5e-05,-5.2e-05,-3.6e-05,-3.5e-05,-3.2e-05,-3.5e-05,-2.6e-05,-2.1e-05,-2.2e-05,-1.6e-05,-1.2e-05,-1.4e-05,-0.000579,-0.000102,-8.8e-05,-5.3e-05,-4.2e-05,-4.9e-05,-4.6e-05,-3e-05,-1.7e-05,-1.9e-05,-2.1e-05,-1.2e-05,-1.7e-05,-1.6e-05,-8e-06,-1e-05,0.001006,-2e-06,0.000822,-7.9e-05
