0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0.004483,0.003477,-0.00248,-0.002647,0.004055,0.004066,-0.001836,-0.002311,-0.000125,0.006273,0.000857,0.002473,0.001166,1.1e-05,-0.000372,-0.001034,0.004396,0.005344,0.0045,0.004702,-0.000986,0.004121,-0.000617,0.005775,0.005592,-0.00118,-0.001449,-0.001493,-0.000651,-0.007437,-0.001892,-0.001669,-0.002623,-0.006597,-0.001595,-0.001373,0.000424,0.001182,0.000398,-0.000788,-0.000959,-0.000866,-0.000907,-0.000825,-0.001144,-0.001411,-0.001584,-0.001085,-0.005534,0.000545,-0.005485,-0.003749,-0.005005
0.002955,0.005713,0.005049,0.005498,0.002243,0.00219,0.001461,0.004536,-0.003253,-0.003829,-0.004172,-0.010231,-0.005016,-5.1e-05,0.001027,0.002831,0.00476,0.000356,0.004433,0.003871,0.002665,0.005406,-0.000157,-0.002685,-0.002266,-0.000512,0.000208,0.000326,-0.003721,-1.3e-05,0.001439,0.000865,0.005255,-0.002137,0.002489,0.001897,-0.004768,-0.006822,-0.002895,0.002123,0.002591,0.002342,0.002457,0.002231,0.003103,0.003831,0.004298,0.002943,-0.001064,-0.001501,0.000595,-0.006179,-0.000975
0.008254,0.009743,0.009796,0.009995,0.01482,0.014772,0.014736,0.009263,0.012235,0.011484,0.004811,0.008607,0.004381,-2.4e-05,0.000521,0.00145,0.002064,0.006755,0.001889,0.001598,0.001348,0.002372,0.006833,0.012121,0.012278,0.013542,0.013888,0.013922,0.018799,0.014006,0.014374,0.014061,0.009271,0.012895,0.007944,0.007659,0.011384,0.01045,0.005461,0.000961,0.001174,0.001058,0.001108,0.001005,0.001398,0.001718,0.001921,0.001316,-0.000251,-0.000663,-0.006253,-0.002502,-0.006916
-0.037357,-0.12111,-0.364415,-0.155859,-1.009737,-0.313132,-0.742398,-2.181271,0.009625,-2.321546,0.243337,-2.383774,0.236325,0.018592,-0.643106,0.004626,0.012751,-0.285625,0.01089,-0.427057,0.003495,0.002992,0.327857,-0.206799,-1.054123,0.020571,0.126156,-0.038135,-0.091006,-0.081436,-0.072034,-0.076462,0.003989,0.421044,-0.042271,-0.050254,-0.083883,-0.111852,-0.045005,0.213828,-0.009452,-0.008491,-0.000511,-0.003347,-0.000727,-0.00857,0.001656,2.7e-05,1.531364,0.352165,1.500836,0.301776,0.951158
-0.034249,-0.06855,-0.157974,-0.320184,-0.510547,-0.252958,-0.986505,-2.53291,-0.261185,-2.197009,-0.469094,-1.802079,-0.559511,-0.183296,-0.623876,-0.011453,-0.049684,0.240717,-0.026185,-0.715914,0.005122,-0.013819,-0.392195,-0.216038,-2.551584,-0.112895,-0.220407,-0.168157,-0.11715,-0.014505,-0.025266,-0.017485,-0.067718,-0.487845,-0.016515,-0.011218,-0.000434,-0.068545,0.006102,-0.213897,0.014968,0.007888,-0.011363,0.007542,-0.008097,-0.004273,-0.01298,0.000171,1.314626,-0.365435,1.220222,-0.301748,0.223375
0.042915,-0.053074,-0.329081,0.286571,-1.132816,-0.199153,0.412267,0.289594,0.304719,-4.54743,0.134052,-4.466761,-0.011477,0.340114,-1.278742,0.026454,0.065275,0.180061,0.051986,0.470057,-0.001832,0.028756,-0.251139,0.127839,0.857571,-0.073808,-0.119068,0.133525,0.128122,-0.007791,-0.00833,-0.003816,-0.014796,-0.255279,0.012717,0.023767,-0.026411,-0.005772,-0.035149,-0.105523,-0.000365,0.001069,0.012602,0.000382,0.026165,0.025079,0.026404,0.000766,4.882326,-0.186712,4.91402,-0.233682,-0.291136
-0.003999,-0.003941,-0.003871,-0.003919,0.001526,-0.004227,-0.004449,0.00055,0.001667,0.001637,0.000514,0.000608,0.000514,0.000126,-0.000239,0.000187,0.000293,0.000852,0.000975,0.00676,0.000929,0.001251,-0.003645,-0.003493,0.001746,0.001054,0.000517,0.000268,-0.00106,-0.001333,-0.000529,-7.2e-05,-0.00018,-0.000547,0.005267,2e-06,-0.000354,-0.000273,0.000249,0.000433,0.000362,0.005847,0.000292,0.000265,7.9e-05,0.000294,0.000329,0.006013,0.006131,0.000686,0.006174,0.0004,0.006185
0.006501,0.006627,0.006804,0.006631,0.004245,0.005738,0.005106,-0.001865,0.004635,0.004557,-0.001958,-0.001695,-0.001952,-0.00304,-0.004055,-0.00287,-0.002577,0.002376,0.002726,0.001402,-0.000806,0.000102,0.003856,0.004278,0.001494,-0.000433,-0.001935,0.000764,-0.00635,-0.00712,-0.001476,-0.000195,-0.000499,-0.004928,-0.00609,1.3e-05,-0.004387,-0.004163,0.000706,0.001223,0.001026,-0.001074,0.000827,0.000756,0.000227,0.000834,0.000934,-0.000601,-0.000258,0.001952,-0.000116,0.001144,-7.3e-05
0.003373,0.003422,0.0035,0.003403,0.002031,0.002959,0.002653,0.006199,0.002185,0.002143,0.006148,0.006268,0.006149,0.005644,0.005174,0.005725,0.005861,0.001098,0.001256,0.000396,0.006668,0.007079,0.009033,0.009219,0.00768,0.006805,0.00613,0.000341,0.004155,0.003811,-0.000661,-8.7e-05,-0.000224,0.004797,0.004011,6e-06,0.005044,0.005144,0.000315,0.000546,0.000457,-0.00075,0.000367,0.000336,0.0001,0.000368,0.000414,-0.000542,-0.000389,0.000865,-0.000329,0.000503,-0.000312
0.003348,-0.02603,0.005377,0.000775,-0.002705,0.000632,-0.000401,0.072931,0.006812,-0.011405,-0.035049,-0.033596,0.098629,-0.046383,0.016516,-0.033425,0.123962,0.065384,2.3e-05,0.13296,-0.041492,-0.033388,0.156329,-0.040575,0.202492,-0.045248,-0.043477,0.233302,-0.041305,-0.039145,0.239215,-0.004486,-0.001721,-0.036026,-0.040215,-0.00339,-0.041094,0.25226,0.237944,-0.001418,-0.00016,0.00102,-0.005914,-0.003348,-0.000424,0.006029,-0.000534,0.000879,0.00094,-0.007525,-0.000458,-7.7e-05,0.053452
