0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
-0.000509,0.000709,-0.000329,0.000223,-0.000579,0.006662,0.005761,-0.000969,-0.000613,-0.000389,-0.000266,-0.000423,0.005957,0.006793,-0.000793,-0.001037,-0.00132,0.004862,-0.001197,0.005325,-0.000993,-0.00128,-0.001461,-0.001325,0.005323,-0.00126,-0.001899,-0.001472,-0.000533,-0.000562,0.00042,-0.000426,-0.000153,4e-06,0.000216,3e-06,-0.001269,-0.000486,0.00566,-0.000847,0.005638,0.005612,0.005793,0.006159,0.006647,0.006837,0.006248,0.012597,0.006159,0.005746,-0.000461,-0.000577,-0.007191,-0.000232,-0.000818,-0.006689,-0.006386,-0.00676,3e-05
0.00187,-0.004209,0.001191,-0.002402,0.002123,-0.000309,0.004568,0.003544,0.002389,0.001428,0.000973,0.001551,0.003785,-0.000872,0.002901,0.003799,0.004827,0.007694,0.002791,0.004343,0.00203,0.003062,0.003711,0.003211,0.004158,0.002971,0.006871,0.005323,0.000331,0.002019,-0.003131,0.001525,0.00054,-3.1e-05,-0.000792,-6e-06,0.006212,0.001776,0.004379,0.003068,0.004406,0.004471,0.003789,0.002471,0.000734,7.6e-05,0.00216,0.003956,0.002458,0.003876,0.001591,0.001994,0.002798,0.000812,0.00449,0.001077,7e-06,0.001323,0.001541
0.001285,0.005362,0.000815,0.006606,0.001458,0.00732,0.002409,0.002414,0.001554,0.000974,0.000662,0.001054,0.00186,0.006919,0.001957,0.00256,0.003246,0.004463,0.010032,0.010356,0.009488,0.010145,0.010542,0.0102,0.010135,0.009994,0.004419,0.003406,0.008257,0.001282,0.006048,0.000966,0.000342,-2e-05,-0.0005,0.0,-0.004096,0.001124,0.002141,0.001929,0.00215,0.002186,0.001753,0.000925,-0.000163,-0.000576,0.000727,0.001231,0.000913,0.001801,0.000992,0.001246,-0.005627,0.000511,-0.00518,-0.006697,-0.007367,-0.006543,-0.007025
0.001616,-0.041083,0.001029,-0.033852,-0.008455,-0.031805,0.003132,-1.776091,-2.773796,0.001656,0.003843,0.001816,-0.001048,-0.033101,-0.00431,-0.008956,0.293993,0.008872,0.000283,0.05519,-0.040774,0.333338,0.02231,-0.043883,-0.022852,-0.045762,0.003437,0.099678,-0.027242,-0.006717,-0.036924,0.253204,-0.011359,-0.002451,-0.014047,-0.014395,0.02003,0.12299,0.01142,-0.011723,-0.000432,0.002256,0.00222,0.002161,0.002136,0.002116,0.002125,2.7e-05,0.002017,0.002085,1.3e-05,0.000753,0.032514,-9e-06,0.03455,0.170624,0.202502,0.026556,0.135915
-0.009256,0.068706,-0.009892,-0.009902,0.01318,-0.024752,-0.02499,-1.568209,-1.119699,0.002198,0.003303,0.001453,-0.010381,-0.0145,-0.002143,-0.000216,-0.498479,-0.103362,-0.076574,-0.187369,-0.006912,-0.616695,-0.116045,0.005131,-0.043327,0.004518,-0.080192,-0.175343,-0.027121,0.010222,-0.001749,-0.408947,0.018645,0.0045,0.028099,0.01974,0.012527,-0.20675,-0.046139,0.016245,-0.01104,-0.01505,-0.015135,-0.015172,-0.015182,-0.015197,-0.015184,-0.033666,-0.015261,-0.015197,2e-06,-0.009513,0.016069,-3e-06,0.000814,-0.199181,-0.249777,0.020774,-0.167579
0.026873,-0.209972,0.027182,0.003529,0.003315,0.033135,0.05664,1.460733,-4.641918,-0.000678,-0.002405,-0.000975,0.030591,0.006046,0.028982,0.025139,-0.14228,0.230195,-0.003034,-0.001491,-0.002791,-0.168277,-0.009721,0.007032,0.019616,0.029623,0.202566,-0.032953,-0.008603,0.002631,-0.029261,-0.13094,0.001276,0.001367,-0.024316,0.002457,0.053168,-0.074478,0.040939,0.002117,0.030718,0.029831,0.029632,0.02951,0.029465,0.029397,0.029336,0.060798,0.029356,0.029298,4.6e-05,0.027228,-0.005212,2.6e-05,0.02402,-0.108459,-0.123961,-0.009517,-0.063273
-0.000133,3e-06,-3.8e-05,-0.000108,-0.000167,-0.000136,-2.5e-05,9.8e-05,-1e-06,1e-06,2e-06,-5e-06,2e-06,8.6e-05,0.000166,-1e-06,-3e-05,-2e-05,3.3e-05,4e-06,5e-06,-2.6e-05,0.000125,4.4e-05,1.7e-05,-0.0,-3e-06,-1e-06,0.00013,0.000196,0.000345,0.000237,0.000136,0.000142,0.000221,0.000228,0.00019,0.000226,0.000131,-0.0,-8e-06,3.7e-05,2.7e-05,9.7e-05,0.000116,0.000127,3.7e-05,4e-06,6.8e-05,-2e-06,-0.006656,0.000123,-3e-06,-1.5e-05,0.0,0.000177,0.000423,0.007261,0.007267
-0.000799,1.8e-05,0.00413,-0.00065,-0.001006,-0.00082,-0.000159,0.000571,-5e-06,-3e-06,-1e-06,-3.5e-05,8e-06,0.000516,0.000978,-3e-06,-0.000176,0.004229,0.000192,-3e-06,-1e-06,-0.000161,0.000436,0.000256,9.4e-05,-1.1e-05,-2e-05,-3e-06,0.00078,0.001166,0.002056,0.001422,0.000815,0.000857,0.00133,0.00138,0.00114,0.001356,0.000789,-5e-06,-4.1e-05,0.000233,0.000172,0.000582,0.0007,0.000769,0.000233,3.2e-05,0.000404,-1.6e-05,0.001626,0.000744,-1.7e-05,-9.9e-05,4e-06,0.001075,0.002586,0.00213,0.002183
-0.000527,1.4e-05,-0.005502,-0.000429,-0.000663,-0.000541,-0.000107,0.000374,-3e-06,-3e-06,-3e-06,-2.4e-05,6e-06,0.000338,0.000644,-1e-06,-0.000116,-0.005437,0.000125,-3e-06,-1e-06,-0.000105,0.000364,0.000171,6.3e-05,-8e-06,-1.4e-05,-2e-06,0.000514,0.000767,0.001353,0.000931,0.000532,0.000562,0.00087,0.0009,0.000743,0.000885,0.000516,-4e-06,-2.3e-05,0.000151,0.000112,0.000378,0.000457,0.000501,0.000151,2.2e-05,0.000263,-1.1e-05,0.001172,0.000482,-1.2e-05,-6.6e-05,-1e-06,0.000698,0.001677,0.001261,0.001291
0.000126,7.9e-05,0.035975,4.2e-05,4.1e-05,1.9e-05,4e-06,1.9e-05,3e-06,9e-06,1.2e-05,7e-06,-2e-06,-7e-06,1.8e-05,3e-06,-8e-06,0.035894,9.6e-05,7.9e-05,6.7e-05,4.4e-05,-2.747283,0.000106,0.003235,0.001348,0.000297,0.000111,7.1e-05,5.2e-05,-0.056185,-0.247443,0.00049,0.004105,0.000139,0.000121,8.9e-05,6.9e-05,6e-05,0.000294,7.6e-05,1.6e-05,9.3e-05,6.3e-05,0.000143,0.000157,3.3e-05,1.5e-05,3.6e-05,1e-05,-0.002936,7.4e-05,6.3e-05,4.3e-05,4e-05,0.003752,0.000199,0.002491,0.001049
