0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0.009061,0.008969,0.001197,0.000512,0.001219,0.000668,0.000808,0.000874,0.000232,0.000242,-0.000385,0.000329,0.007344,-0.000158,-7.9e-05,0.000107,0.000316,-0.00016,1.1e-05,0.000256,-0.000381,-0.000296,0.00033,0.000273,0.000317,0.001013,0.00085,0.000745,0.000661,0.000317,2.7e-05,0.008251,0.000421,0.000301,0.008011,0.000282,0.000252,0.007996,0.000237,0.000312,0.000418,-0.000316,0.007386,0.007416,0.000354,0.000358,0.00043,0.001128,0.000444,0.000376,-0.007292,0.000554,-2.4e-05,7e-05,7.3e-05,0.000131,-0.007536,0.000214,-0.000416,0.000329,-0.000152,-0.000703,-0.000578,-0.000971,-0.001408
-0.00907,-0.008315,-0.008699,-0.003419,-0.008896,-0.004733,-0.005927,-0.006493,-0.001524,-0.001587,0.003182,-0.002313,0.003692,0.001279,0.000636,-0.000889,-0.002626,0.000891,-0.000528,-0.002551,0.002299,0.001602,-0.00314,-0.002663,-0.00304,-0.008399,-0.007051,-0.006203,-0.005501,-0.002633,-0.000234,-0.002461,-0.003056,-0.002092,-0.000534,-0.001965,-0.001786,-0.000545,-0.001651,-0.002238,-0.003074,0.002449,0.003841,0.003557,-0.00266,-0.002617,-0.003199,-0.008391,-0.002967,-0.002794,-0.004335,-0.004126,0.000145,-0.000559,-0.000564,-0.001001,-0.002612,-0.001724,0.003035,-0.00252,0.001013,0.005099,0.004139,0.007001,0.010193
0.020436,0.021333,0.022026,0.017557,0.021701,0.015888,0.014416,0.01372,0.008922,0.008831,0.003789,0.007939,0.003199,0.001516,0.000753,-0.001053,-0.003115,-0.009636,-0.011339,-0.01381,-0.018812,-0.019695,-0.014713,-0.014205,-0.014709,-0.01048,-0.00886,-0.007841,-0.006973,-0.003351,-0.000299,0.006713,0.00724,0.008451,0.009128,0.00859,0.008792,0.009068,0.008948,0.008203,0.007153,0.003042,0.003489,0.00313,0.007629,0.007693,0.006962,0.011483,0.007195,0.00745,0.006825,0.005818,0.000178,-0.000681,-0.000687,-0.001222,-0.001931,-0.002126,-0.007162,-0.003092,-0.009661,-0.015564,-0.016774,-0.024265,-0.031399
0.27464,-0.083497,-0.123537,-0.0298,0.227904,0.002488,-0.088713,0.253452,-0.046872,-0.046042,0.01148,-0.034734,-0.011915,-0.014823,-3.4e-05,0.000193,-0.001659,0.034538,0.032703,0.045223,0.06891,0.067068,0.038364,0.002441,0.039525,-0.075773,-0.00304,-0.003783,-0.013475,-0.002386,-0.009373,0.354374,-0.038198,0.171803,-0.047106,0.356391,-1.708395,-0.030285,-0.590562,-0.201836,-0.044105,0.046689,0.414412,0.297628,-1.629483,0.187083,0.124244,0.019167,-2.704692,0.132817,-0.016935,-0.014677,-0.009931,-0.184553,-0.046179,0.002865,0.001728,-1.765159,-0.302775,-0.313264,-0.292429,0.028474,-0.147634,0.001321,0.011766
-0.503402,-0.064816,0.005983,0.00496,-0.465275,-0.116881,0.016876,-0.433099,0.006355,0.006849,-0.001674,-0.007526,0.0597,0.089195,-0.0006,3.4e-05,0.013464,0.006964,0.020433,-0.072946,0.013958,0.02759,0.013757,0.066207,0.012405,0.129695,0.024969,0.027503,0.037329,0.014429,0.008117,-0.545601,-0.009558,-0.299509,-0.010664,-0.541531,-1.843304,-0.019578,-0.62162,-0.177695,0.006496,-0.072879,-0.582487,-0.424267,-2.012002,-0.298,-0.54968,-0.221997,-0.367454,-0.627242,-0.124572,-0.02462,0.011915,-0.16682,-0.048284,0.002788,0.034083,-1.86473,0.448326,0.444524,0.364519,0.071412,0.297396,0.509538,0.201699
-0.270824,-0.012985,-0.008071,-0.214986,-0.289084,-0.053535,-0.011359,-0.253679,0.009528,0.011055,0.018733,0.006176,-0.117343,-0.172863,0.000743,0.000284,-0.025242,-0.004916,-0.030321,0.144765,-0.010012,-0.035334,-0.033441,-0.000664,-0.034108,0.010935,-0.050836,-0.050581,-0.047964,-0.024925,0.000576,-0.292046,-0.00301,-0.1633,0.066472,-0.292085,1.20905,0.03372,0.395665,0.125324,0.007855,-0.018579,-0.244324,-0.220634,1.007533,-0.152819,-0.734109,-0.116338,-4.671326,-0.121264,0.132205,-0.046935,0.005088,0.103947,0.027875,-0.000924,-0.057612,1.02089,0.216527,0.263759,0.410202,0.068764,0.183555,0.694414,0.125472
0.000664,0.000551,0.000456,0.000277,0.000252,0.000245,0.00026,0.000276,0.000378,0.008554,0.00054,0.008661,0.00054,0.008432,0.008343,0.008154,0.008212,0.008115,4.1e-05,2.5e-05,-2e-06,-2.9e-05,1.3e-05,-2.9e-05,-1e-06,4.8e-05,3.9e-05,7.2e-05,2.1e-05,3e-06,6.3e-05,4.2e-05,2.6e-05,-0.007987,0.000117,4.2e-05,1.9e-05,6.7e-05,7.7e-05,5.1e-05,-4e-06,-0.0,-9e-06,1e-06,2.2e-05,-2e-06,-0.0,-1e-06,3e-05,1.6e-05,7.3e-05,8.7e-05,4.6e-05,-0.008039,0.0,5.6e-05,6.8e-05,1e-06,2.1e-05,2.3e-05,0.0,2.6e-05,4e-05,0.000105,5.6e-05
-0.000225,-0.001037,-0.001752,-0.003075,-0.003267,-0.003328,-0.00321,-0.00309,-0.002327,-0.002065,0.00421,-0.001134,0.004292,-0.002768,0.001846,0.000338,-0.004554,1.8e-05,0.000365,-0.005153,-1.1e-05,-0.000238,0.000117,-0.00023,-2e-06,0.000406,0.000328,0.000613,0.000173,3.5e-05,0.000521,0.000353,0.000226,0.001051,-0.004385,0.00034,0.000155,0.000555,-0.004708,0.000432,-1.7e-05,-9e-06,-7.2e-05,5e-06,0.000194,-1e-06,-1e-06,-4e-06,0.000252,0.000136,0.000602,0.000718,0.000385,0.000595,1e-05,0.000477,0.000569,1.5e-05,0.000179,0.000182,-8e-06,0.000206,0.000335,0.00085,0.000445
0.011286,0.010161,0.009183,0.007394,0.007137,0.007049,0.007199,0.007358,0.008361,0.008776,0.005547,0.009964,0.005619,0.007761,0.002444,0.00047,0.00541,4.9e-05,0.00047,0.004603,-1.6e-05,-0.000306,0.000154,-0.000297,-1e-06,0.00053,0.000428,0.000797,0.000227,4.6e-05,0.000677,0.000461,0.000294,0.001331,0.005599,0.000441,0.000201,0.00072,0.005177,0.000559,-2.3e-05,-1.3e-05,-9.4e-05,9e-06,0.000253,0.0,-3e-06,-7e-06,0.000325,0.000175,0.000778,0.000929,0.000497,0.000733,1.3e-05,0.000618,0.000735,1.9e-05,0.000233,0.000235,-1.2e-05,0.000264,0.000431,0.001096,0.000573
0.079278,0.247682,0.391634,0.073327,0.111242,0.07902,0.286677,0.085469,0.030344,0.336737,0.150801,0.254558,0.278529,0.109916,0.008301,0.014384,0.128069,0.304822,-0.009537,-0.035832,-0.003111,0.005871,-0.005461,-2.9e-05,0.0063,7.5e-05,4.1e-05,2.8e-05,2.4e-05,2.9e-05,0.000924,7e-06,-8e-06,0.006124,-0.035692,4e-06,7e-06,2.5e-05,-0.03568,0.006233,3.2e-05,2.9e-05,-1e-06,1.8e-05,2.1e-05,2.5e-05,2.8e-05,2.8e-05,2.1e-05,4e-06,0.00092,-1.6e-05,-0.001262,-0.001159,-0.018381,0.000788,0.000954,-4.8e-05,-4.4e-05,0.006203,-3.6e-05,-2.6e-05,-3.7e-05,0.000882,1.3e-05
