0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156
-0.000847,0.005106,-0.001041,-0.006236,0.000402,0.000302,0.000161,0.006106,0.000154,0.005453,0.005398,-2.5e-05,-5e-05,-0.005936,-0.000345,-0.000354,-0.006339,0.005462,0.005427,-0.000781,-0.000913,-0.000908,-0.001153,-0.001398,-0.001659,-0.001472,-0.001448,-0.000352,-0.00026,-0.000444,-0.000929,-0.001445,-0.001337,0.004043,-0.001081,-0.006132,-0.007181,-0.002982,-0.002573,-0.002608,-0.008297,0.004096,-0.001942,-0.001466,-0.001591,0.005055,0.004518,1.9e-05,5e-06,-0.000205,-0.000644,-1.2e-05,-0.000959,-0.005271,0.000666,0.001083,0.00016,-0.000239,-0.000203,-0.000883,-0.000846,-0.000353,-0.006492,-0.006622,-0.000516,-9.1e-05,-0.000429,-0.00597,-0.006031,-0.001153,-0.006481,-0.006071,-0.004987,-0.00467,0.005453,0.005417,0.000819,0.007053,0.006489,0.001521,0.001235,0.000898,0.00036,0.000128,0.000144,0.000308,0.000401,0.000282,-2e-06,0.000504,-0.005171,-0.000177,-0.001343,-0.007801,-0.006701,-0.0002,-0.000481,0.000842,0.006421,0.00635,0.00185,0.00652,0.006712,0.000312,0.001388,0.007358,0.001374,0.000692,-0.000399,-0.000523,0.000635,1.6e-05,5e-06,0.006426,0.006123,0.000498,0.000552,0.00046,0.00023,0.005357,0.005442,0.005198,0.011676,0.004966,0.004553,0.00471,0.005767,0.005364,-0.001763,-0.000954,-0.000798,-0.000708,-0.000442,-0.00532,0.000416,0.000499,0.000472,1.5e-05,-0.005705,-0.005651,-0.005869,-0.000143,-0.005605,-0.000861,-0.006461,-0.005289,-0.004952,-3.1e-05,-0.000993,-0.007164,-0.006027,-0.005237,-0.010248,-0.004719,-0.010546,-0.010316,-0.010363
0.003046,0.003658,0.005287,0.000449,-0.001467,-0.001093,-0.000582,4e-05,-0.000555,0.002411,0.002601,8.8e-05,0.00018,-0.000653,0.00124,0.001281,0.000828,0.002331,0.002445,0.002808,0.003291,0.003267,0.004158,0.005042,0.005992,0.005321,0.005235,-0.00025,-0.000592,5.9e-05,0.001809,0.003662,0.003282,0.007135,0.003872,-0.001128,0.00421,0.012272,0.009302,0.009439,0.008449,0.005219,0.007031,0.005311,0.00577,0.001635,0.005077,-0.001584,-0.001554,-0.000794,0.000792,-0.002881,0.001937,-0.005309,-0.005468,-0.006992,-0.002132,-0.000667,-0.000787,0.003197,0.003072,0.001291,0.003774,0.004265,0.001911,0.000332,0.003064,0.001884,0.002138,0.007271,0.005307,0.003761,-0.001806,-0.004466,0.001539,0.000217,-0.006004,-0.008884,-0.005304,-0.00862,-0.006074,-0.003344,-0.001341,-0.000475,-0.000536,-0.001137,-0.001482,-0.001046,7e-06,-0.001864,-0.00263,0.002135,0.007962,0.01162,0.006059,0.002244,0.003286,-0.003148,-0.002026,-0.00174,-0.008375,-0.002334,-0.003013,0.000319,-0.005152,-0.006815,-0.006574,-0.004054,0.001464,0.001925,-0.003841,-6.9e-05,-2.5e-05,-0.003328,-0.00072,-0.00185,-0.002027,-0.001673,-0.000838,0.00214,0.001829,0.002703,-0.000718,0.003499,0.004937,0.004365,-0.000921,0.000455,0.006094,0.001866,0.001168,0.000856,-6.5e-05,-0.003699,-0.003044,-0.003329,-0.003229,-6.5e-05,-0.00076,-0.000944,-0.000175,0.0005,-0.001075,0.004603,0.003523,-0.002186,-0.003391,0.001666,0.006641,0.009127,0.003538,0.00066,-0.002653,-0.001308,-0.001695,-0.002675,-0.002574
0.001342,0.001307,-0.004798,0.000475,-0.000631,-0.000471,-0.000251,-0.000262,-0.000245,0.000764,0.000849,3.4e-05,7.7e-05,-8e-06,0.000537,0.000556,0.000631,0.000733,0.00078,0.001207,0.001412,0.001399,0.001773,0.002142,0.002532,0.002245,0.002196,0.006918,0.006772,0.007037,0.00776,0.008503,0.008341,0.002668,0.001568,0.006749,0.001921,-0.002047,0.003694,0.003733,0.00352,0.008727,0.00272,0.002043,0.002208,0.007301,0.00173,0.006266,0.006277,0.006563,0.007158,0.012604,0.007577,0.011912,0.011687,0.011135,0.00607,0.006608,0.006563,0.001162,0.001115,0.000472,-0.005295,-0.005115,0.000695,0.00012,-0.005718,-0.005973,-0.005875,-0.010999,-0.011531,-0.012077,-0.007286,-0.001446,0.000381,0.00671,0.01144,0.017049,0.011538,0.010522,0.004623,-0.001217,-0.000488,-0.000174,-0.000196,-0.000414,-0.000542,-0.000382,3e-06,-0.000681,-0.000789,-0.006065,-0.010766,-0.016066,-0.011261,-0.006002,-0.00562,-0.001163,-0.000933,-0.000832,0.003729,-0.001062,-0.001322,-0.006751,-0.001945,0.004102,0.004387,0.005348,0.000554,0.000728,0.005434,-2.8e-05,-1e-05,0.005437,-0.000472,-0.000709,-0.000777,-0.000642,-0.000325,0.000616,0.000496,0.00083,0.006246,0.001133,0.001679,0.001461,0.006363,0.006888,0.002287,0.00755,0.007322,0.007199,0.006855,0.005679,0.005756,0.005653,0.005691,-2.5e-05,-0.000111,-0.000177,0.000109,0.00019,-0.000222,-0.005178,-0.005405,-0.000629,-0.001073,-0.006245,-0.01127,-0.017036,-0.012222,-0.013278,-0.014335,-0.014019,-0.013979,-0.014356,-0.014323
-4.014744,-0.159184,0.664543,0.132054,-1.111955,0.006577,-0.442615,0.081909,0.063347,0.002015,0.007882,-0.134802,0.010294,0.010369,-1.491082,0.000176,0.007592,0.002372,0.002226,8.9e-05,6.7e-05,3.9e-05,-0.493779,-0.009251,-0.491535,0.004701,0.033702,-0.052256,0.061026,0.285858,0.047532,0.362287,0.049757,-0.016029,0.000462,-0.035136,-0.000749,0.035708,0.043375,-0.542395,0.00077,-0.031582,0.000901,-0.00314,0.000691,-0.046959,0.810503,-0.030588,0.081688,0.086765,-0.049239,2.77725,0.034192,0.972488,-0.078136,-0.089237,-0.051757,-0.036787,-0.037982,0.000883,-0.01161,0.006387,0.211714,0.022306,-0.012658,0.317759,1.8594,1.867271,0.073756,0.106557,0.105681,0.066209,0.037352,-0.001908,-0.41688,-0.167146,-0.060107,-0.099281,-0.963771,-0.067283,-0.039076,-0.000725,-3.7e-05,-0.003599,-0.000495,-0.002203,-0.000948,-0.000713,-5e-06,-0.005352,-0.002054,0.033846,0.075273,0.10231,0.053265,0.035395,0.029287,-0.001174,0.001983,0.000888,1.750267,-0.26757,0.042859,0.037525,0.589328,-0.028129,-0.040949,-0.041784,-0.005626,-1.2e-05,-0.034569,3e-06,-4e-06,-0.032503,-0.002728,-0.000947,0.590211,-0.000173,-1.8e-05,0.001198,0.002067,0.002068,-0.030285,0.002184,0.004174,0.002937,-0.032251,-0.0353,-0.001842,-3.398273,-0.03335,0.014594,0.031961,0.067389,0.224695,-0.027733,0.020618,0.012655,-0.002916,0.001158,-0.072435,-0.001282,-0.012114,0.03213,0.028469,0.321821,0.211015,0.031853,0.068987,0.097784,-0.206264,0.037559,0.074556,0.068871,0.064384,0.063561,0.063571
-1.559696,-1.024707,-0.138383,-0.540153,-0.547771,-0.127231,-0.705929,-0.281766,-0.236471,-0.152786,-0.085052,-0.277674,-0.064787,-0.047279,-1.568869,-0.074818,-0.060706,-0.015017,-0.015122,4.4e-05,2.1e-05,0.0,-0.511246,0.004883,-0.519016,-0.006009,-0.129821,0.071207,-0.174905,-0.531194,-0.176385,-0.750543,-0.230578,0.000162,0.001054,0.005218,0.005762,-0.008828,-0.085236,-0.537134,-0.00284,-0.025524,-0.009643,-0.005361,-0.009649,-0.008338,0.489509,-0.030703,-0.203665,-0.213455,-0.003771,0.934691,-0.130407,-0.025202,-0.066097,0.019691,0.011845,-0.005863,0.053483,-0.009052,0.013237,-0.016344,-0.256167,0.029022,0.012918,-0.479878,1.639009,1.628902,-0.015836,-0.024191,-0.008156,-0.044724,-0.040648,0.015235,0.646759,0.178256,-0.007977,-0.015676,-0.140873,-0.004204,0.062855,0.009248,-1.1e-05,-0.003201,-0.000424,0.007894,0.009021,0.009225,1e-06,0.073078,0.015203,0.010213,-0.003925,0.016658,0.106775,-0.000495,0.066348,0.009191,-0.015241,-0.006015,1.670061,0.398012,0.028434,-0.073141,0.545446,-0.036456,0.072846,0.009565,0.057593,3.9e-05,-0.000799,2e-06,6e-06,-0.01603,-0.00943,-0.000666,0.545947,-0.000152,-2.5e-05,-0.015965,-0.015208,-0.015198,-0.031336,-0.015103,-0.023256,-0.024333,-0.016531,-0.019946,-0.000799,-1.271127,-0.009927,-0.083462,-0.109124,-0.150039,-0.38689,-0.013423,-0.093387,-0.020103,0.017115,0.018205,-0.007817,0.000847,0.029931,0.005022,0.023068,-0.465001,-0.302107,0.013594,0.002469,0.025452,0.426745,0.121884,0.026676,0.030962,0.041287,0.05092,0.050856
-2.811445,0.408501,0.026529,0.643016,-0.862824,0.375578,0.935091,0.345945,0.330095,0.441533,0.243311,0.545436,0.183461,0.15125,1.949949,0.194791,0.182253,0.02929,0.029375,0.000117,8.2e-05,8.7e-05,0.58035,0.028048,0.602295,0.023154,0.189877,-0.182936,-0.06173,-0.182517,-0.041421,-0.041121,0.153275,0.061756,0.001643,-0.024828,-0.001273,0.05169,0.023289,0.576862,0.02432,0.032613,0.027315,0.028076,0.027116,0.033554,1.420695,-0.014875,-0.074556,-0.079904,-0.007886,4.495129,-0.051618,1.229926,0.158386,-0.049729,0.005391,0.005352,-0.184404,0.027854,-0.000233,-0.011666,-0.089252,-0.003885,-0.002408,-0.144253,-1.290861,-1.282983,0.157538,0.185263,0.155276,0.183153,0.155406,-0.028958,0.041779,0.10493,-0.025554,-0.044345,-1.379832,-0.04869,-0.212429,-0.027365,-6.1e-05,0.002284,0.000279,-0.026309,-0.027107,-0.027263,4e-06,-0.215596,-0.029238,-0.003247,0.049652,0.042367,-0.187186,0.023536,-0.163806,-0.026982,0.029231,0.002283,-1.348083,0.161568,-0.028225,0.187415,-0.458533,0.00535,-0.238435,-0.020557,-0.159947,2.5e-05,-0.023962,7e-06,2e-06,0.005239,0.004709,0.000337,-0.435846,0.000137,2.8e-05,0.02983,0.029248,0.029247,0.034455,0.029414,0.055702,0.0565,0.005053,0.034188,0.028407,-4.299456,0.001552,-0.023304,-0.031854,-0.080433,-0.155379,-0.030716,-0.027149,-0.008341,-0.028343,-0.030627,-0.133185,-0.002891,-0.024603,0.025833,-0.002766,-0.190198,-0.13684,-0.001636,0.048727,0.017862,0.133869,-0.181587,-0.042075,-0.037174,-0.03775,-0.064929,-0.064969
-0.00021,0.000143,9e-06,-0.0,-8e-06,0.000132,2e-06,0.00018,-0.005853,-0.005838,-0.005806,-0.005903,-0.005927,-0.006064,-0.005923,-0.005922,-0.006117,-0.005919,-0.005917,-0.005918,1.3e-05,-1e-06,1e-06,-0.0,-2e-06,-2e-06,-4.3e-05,6e-06,-0.0,-1e-06,4e-06,-8.2e-05,-5.5e-05,2e-06,2e-06,-8e-06,1.2e-05,-3e-06,-5.9e-05,-1.6e-05,-1e-06,-5e-06,-6e-06,-6e-06,-2e-06,-0.005734,-2e-06,-0.005921,1e-06,8.3e-05,0.0,-0.0,-0.00016,1.8e-05,-0.0,8.9e-05,7.4e-05,-4e-06,-6e-06,3e-06,4e-06,-2e-06,-3.5e-05,3e-06,-0.00021,2.5e-05,1e-06,1e-06,4.9e-05,4.8e-05,3.7e-05,-3.2e-05,0.005939,5e-06,-0.000257,-0.000198,-0.000207,9e-06,9.3e-05,0.000125,1.3e-05,-0.000192,1e-06,2e-06,3.6e-05,-8e-05,-0.000111,-2e-06,2e-06,-7e-05,-1.2e-05,5e-06,-1e-06,-1.5e-05,1e-06,2.6e-05,-2.1e-05,0.000167,2.3e-05,-8.6e-05,-1.3e-05,2e-06,-2e-06,0.0,9.4e-05,-1e-06,-0.005767,-2.4e-05,1e-06,-0.0,2e-06,-1.5e-05,-3.1e-05,4e-06,1.1e-05,-0.000154,-3e-06,1.6e-05,-0.005855,0.000185,-6e-06,-0.0001,3e-06,0.005922,-2e-06,-0.000193,-0.000148,0.005863,-0.0,4e-06,2e-06,-1e-06,8e-06,0.005924,-2e-06,-0.005814,-3e-06,-2e-06,2e-06,2e-06,-7.8e-05,4e-06,0.00016,1e-06,0.005767,0.005931,7.3e-05,7.7e-05,-3e-06,-1e-06,5.8e-05,9e-06,2.7e-05,6.8e-05,0.000279,0.000145,0.000236
-0.000915,0.004455,3.3e-05,1.2e-05,-3.6e-05,0.000568,-1e-06,0.000774,0.0014,0.001466,0.001596,0.001181,0.001088,0.000493,0.001094,0.001095,0.000289,0.001113,0.001122,0.001122,5.7e-05,-8e-06,3e-06,1e-06,1e-06,1e-06,-0.000177,2.4e-05,1.6e-05,1.2e-05,2.4e-05,-0.00034,-0.000224,6e-06,1.6e-05,-2.1e-05,6.5e-05,-2e-06,-0.000242,-6.5e-05,1.3e-05,8e-06,6e-06,4e-06,6e-06,0.001891,-2e-06,0.001116,-3e-06,0.000332,-6e-06,-8e-06,-0.000661,7.1e-05,-3e-06,0.000368,0.000304,-2e-05,-2.9e-05,2e-06,1.6e-05,-1.7e-05,-0.000139,7e-06,-0.000863,9.6e-05,8e-06,3e-06,0.000202,-0.003594,0.000155,-0.000133,-0.001043,1.7e-05,-0.001063,-0.000822,-0.000864,3.9e-05,0.000387,0.000512,5.8e-05,-0.000793,-2e-06,-1e-06,0.00014,-0.00034,-0.004259,-7e-06,2e-06,-0.000289,-5.1e-05,1.5e-05,-4e-06,-5.5e-05,1.1e-05,0.000112,-8.8e-05,0.000698,9.8e-05,-0.00036,-5.6e-05,1.8e-05,1e-06,6e-06,0.000401,-3e-06,0.001759,-0.000105,1e-06,1e-06,5e-06,-6.3e-05,-0.000131,1.7e-05,4.8e-05,-0.004441,-1.1e-05,6.4e-05,0.001394,0.000773,-2.6e-05,-0.000415,9e-06,-0.001102,3e-06,-0.000789,-0.000617,-0.001369,-4e-06,1.5e-05,1.2e-05,6e-06,3.3e-05,-0.001103,0.0,0.001572,-7e-06,-1.1e-05,-5e-06,-5e-06,-0.000339,1e-05,0.004476,6e-06,-0.00176,-0.001074,0.000307,0.000324,-1e-05,-2e-06,0.000244,3.5e-05,0.00012,0.000293,0.001167,0.000607,0.000991
-0.00039,-0.005289,1.4e-05,7e-06,-1.4e-05,0.00024,0.0,0.000332,0.000872,0.000902,0.000956,0.000782,0.000747,0.000493,0.00075,0.00075,0.000408,0.000757,0.00076,0.000759,2.6e-05,-1e-06,2e-06,1e-06,2e-06,2e-06,-7.5e-05,1.2e-05,9e-06,6e-06,9e-06,-0.000142,-9.3e-05,2e-06,9e-06,-6e-06,2.7e-05,1e-06,-0.000101,-2.7e-05,7e-06,5e-06,4e-06,2e-06,4e-06,0.001084,1e-06,0.000755,1e-06,0.000141,-0.0,-3e-06,-0.000279,3.1e-05,-1e-06,0.000157,0.00013,-9e-06,-1.2e-05,-0.0,7e-06,-8e-06,-5.9e-05,1e-06,-0.000366,3.7e-05,2e-06,-2e-06,8.2e-05,0.005646,6.3e-05,-5.9e-05,-0.000723,5e-06,-0.000451,-0.00035,-0.000368,1.6e-05,0.000163,0.000215,2.5e-05,-0.000337,-2e-06,-1e-06,5.9e-05,-0.000143,0.005368,-3e-06,-1e-06,-0.000122,-2.2e-05,6e-06,-4e-06,-2.5e-05,4e-06,4.7e-05,-3.8e-05,0.000295,4.1e-05,-0.000153,-2.4e-05,7e-06,0.0,2e-06,0.000169,0.0,0.001025,-4.4e-05,1e-06,-0.0,2e-06,-2.7e-05,-5.5e-05,5e-06,2.2e-05,0.005289,-5e-06,2.7e-05,0.000871,0.000327,-1.2e-05,-0.000177,2e-06,-0.00075,-1e-06,-0.000336,-0.000263,-0.000861,-4e-06,4e-06,3e-06,-0.0,1.2e-05,-0.000747,-2e-06,0.000943,-4e-06,-4e-06,1e-06,1e-06,-0.000142,4e-06,-0.005275,1e-06,-0.001026,-0.000735,0.000131,0.000135,-5e-06,0.0,0.000105,1.6e-05,5.3e-05,0.000126,0.000495,0.000259,0.00042
0.067476,0.03551,-5.9e-05,-0.000273,-8.5e-05,-5.5e-05,0.00391,-0.011931,-0.001014,-0.006946,-0.003237,-0.001263,-0.00095,-0.000979,-0.000953,-0.005014,-0.001003,-0.000918,-0.000919,-0.000929,6.7e-05,7.4e-05,5.7e-05,6.1e-05,5.3e-05,6.3e-05,3.4e-05,4.7e-05,3.5e-05,3e-05,4.4e-05,3.8e-05,2e-05,6e-06,8e-06,-1e-06,3e-06,1.5e-05,-1.8e-05,0.007239,0.000203,-9.6e-05,-9.4e-05,-9.6e-05,-7.8e-05,-0.001041,-4.9e-05,-0.001029,-2.8e-05,-3.1e-05,-2.3e-05,-1.9e-05,-1.7e-05,-2.4e-05,-3.4e-05,-2e-05,-1.3e-05,-2e-05,-1.3e-05,-2e-06,-9e-06,-6e-06,-9e-06,-1e-06,-0.001788,-2e-06,-1.5e-05,-7e-06,1e-05,-0.033838,1.8e-05,1.1e-05,0.001012,2.7e-05,-2.1e-05,-1.9e-05,-0.001778,-1.4e-05,1e-05,2.4e-05,7e-06,1e-06,2.2e-05,2.1e-05,3.5e-05,1.9e-05,-0.035618,9e-06,1.4e-05,1e-05,0.0,-1e-06,1.8e-05,-9e-06,-1.4e-05,1.3e-05,-1.8e-05,6e-06,1.8e-05,3e-06,-1.6e-05,-1.7e-05,1e-06,-5e-06,-1e-06,-3e-06,-0.000972,-9e-06,-3e-06,1e-06,-6e-06,-1.9e-05,-3e-05,-3.9e-05,-1.7e-05,-0.035652,-1.2e-05,-6e-06,-0.000989,1.4e-05,0.002328,-8e-06,-6e-05,0.000897,-6e-05,-0.001834,-4.4e-05,0.000921,-4.2e-05,-5.9e-05,-7.3e-05,-7.8e-05,-6.1e-05,0.000925,-0.000132,-0.00108,-0.000106,-9.5e-05,-7.5e-05,-7.1e-05,-5.3e-05,-8.2e-05,0.035557,-8.4e-05,0.000923,0.000931,-4.3e-05,-4.1e-05,-2.7e-05,-3.1e-05,-1.6e-05,-1.4e-05,-3e-06,-1e-06,0.001776,4.7e-05,5.3e-05
