0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
-0.00994,-0.009878,-0.009667,-0.009163,-0.008582,-0.008067,-0.007822,-0.007706,-0.007385,-0.006922,-0.006557,0.001723,0.009806,0.010059,0.002195,0.009961,0.00999,0.018014,0.00998,0.017935,0.017878,0.010468,0.002789,0.002806,-0.004773,-0.004784,-0.004753,-0.004692,-0.00466,-0.00462,-0.01199,-0.004546,-0.00459,-0.012085,-0.00486,-0.005299,-0.005383,-0.005376,-0.005403,-0.00549,0.001339,0.001335,0.00159,0.000969,0.001244,0.00081,0.000671,0.000582,0.000535,0.000546,0.000712,0.007683,0.000346,0.0006,0.000564,0.000484,0.00023,0.000234,0.000189,0.00015,1e-06,-3.1e-05,-0.000183,-0.00023,-0.000251,0.006777,0.006863,0.006532,0.006543,0.013193
0.014691,0.016394,0.01732,0.014673,0.011608,0.007904,0.008926,0.010817,0.01342,0.009417,0.012428,0.015263,0.017052,0.011598,0.012325,0.012644,0.013096,0.008341,0.015822,0.011438,0.011815,0.007896,0.008214,0.008838,0.009154,0.008867,0.008938,0.009536,0.009495,0.009612,0.009551,0.009932,0.008817,0.005499,0.004451,0.007425,0.005898,0.005776,0.005088,0.003659,0.008154,0.008085,0.002479,0.012415,0.007038,0.010437,0.008692,0.007577,0.006994,0.007195,0.000407,-0.000242,0.004657,-0.001023,-0.001489,-0.002555,0.003114,0.003172,0.002565,0.002042,4.3e-05,-0.000396,-0.002425,-0.003063,-0.003333,-0.003088,-0.002008,0.003301,0.002898,0.00724
-0.027606,-0.025077,-0.023662,-0.014965,-0.006886,0.000173,0.00166,0.004712,0.008714,0.015223,0.019667,0.023137,0.024877,0.028912,0.03001,0.029501,0.029816,0.033956,0.032412,0.036884,0.037015,0.0432,0.04336,0.043777,0.044005,0.04295,0.042359,0.042706,0.041986,0.041481,0.041624,0.040895,0.039167,0.035814,0.034075,0.027078,0.025341,0.02511,0.024252,0.022723,0.017031,0.016835,0.020814,0.011311,0.015576,0.009383,0.007754,0.00674,0.006184,0.006331,0.009384,0.008337,0.004052,0.008098,0.00769,0.006762,0.002682,0.002726,0.002203,0.001751,3.5e-05,-0.000339,-0.002082,-0.002631,-0.002863,-0.003137,-0.002209,-0.006571,-0.006937,-0.01265
4.119264,0.020045,4.077084,0.035686,-0.144384,0.051725,4.416765,1.368079,1.382922,0.118642,0.024546,0.407729,0.056085,-0.174534,-0.138505,0.011792,-0.211928,-0.343913,1.218634,-0.040415,1.191862,0.091503,0.206306,0.239422,-0.042062,0.26665,0.343808,0.204578,0.305872,0.372731,0.333267,0.066697,0.152325,-0.071445,0.315592,0.045002,0.300501,0.152292,0.369243,0.028955,0.186191,0.395538,0.005818,-0.012357,-0.033024,-0.018625,0.148689,0.184922,-0.011561,0.004446,0.148132,0.110306,0.176775,0.241731,-0.013139,-0.052555,0.052254,-0.008187,0.042053,-0.009852,-0.009015,0.444926,0.029415,0.133104,-0.225055,-1.014032,-1.007677,1.118473,-0.115181,-0.887077
2.923538,1.013701,3.130219,0.141689,0.389568,-0.002979,2.574914,0.86369,0.732487,0.032317,0.079084,0.14631,0.166356,0.245081,0.111657,-1.404367,0.296347,0.07143,0.785449,-0.205773,0.744096,-1.545215,-0.483202,0.202348,-0.133954,-0.523499,-0.593594,-0.455063,-0.553398,-0.706203,-0.64959,-0.300277,-0.355147,0.004381,-0.508934,-0.198591,-0.456414,-0.286021,-0.507841,-0.154211,-0.296994,-0.520114,-0.125097,-0.016074,-0.026709,0.069731,-0.20868,-0.235611,-0.003496,-0.044282,-0.224712,-0.196558,-0.235089,-0.332143,-0.049972,0.022038,-0.087989,-0.005247,-0.074808,-0.004457,-0.003594,-0.49983,-0.049865,-0.182973,-0.331543,-0.780791,-0.775706,1.348341,-0.438147,-0.887996
2.806904,0.763849,2.683017,0.106,0.290424,-0.014106,2.220037,0.525362,0.675118,0.099623,-0.081314,0.311753,0.138707,0.162757,0.264632,2.365354,0.180297,0.845073,0.955556,0.338978,0.930288,2.482064,-0.177558,0.367779,0.024214,-0.230641,-0.307007,-0.183845,-0.281084,-0.379926,-0.381507,-0.074678,-0.137362,-0.22051,-0.508873,-0.048393,-0.234074,-0.14331,-0.293014,-0.051362,-0.104114,-0.229879,-0.028222,0.055549,0.060341,-0.125659,-0.058433,-0.106502,0.029876,0.036334,-0.124406,-0.070836,-0.107792,-0.184627,-0.027373,-0.014602,-0.022258,0.029112,-0.014258,0.029149,-0.007098,-0.275652,-0.071411,-0.114774,-0.421685,-1.085371,-1.088744,-2.208905,-0.396052,-1.130756
0.023119,0.022804,0.023321,0.023271,0.023132,0.01526,0.015555,0.00697,-0.001125,-0.009054,-0.025911,-0.033792,-0.049594,-0.049105,-0.048988,-0.056892,-0.064543,-0.056128,-0.055738,-0.055321,-0.05484,-0.054441,-0.053946,-0.053877,-0.046022,-0.038371,-0.030674,-0.03076,-0.031034,-0.015498,-0.015638,-0.015659,-0.00782,-0.007827,-1.7e-05,-0.0,-4e-06,-2e-06,-6e-06,-4.6e-05,-7e-06,-4.7e-05,4.5e-05,-0.0,4.3e-05,-2e-06,-5.6e-05,-5.3e-05,-7.6e-05,-8.4e-05,-7.3e-05,-6.9e-05,-3.8e-05,3e-06,7e-06,-0.0,0.0,-0.0,-0.007809,-8e-06,-2.3e-05,-3e-06,-1.8e-05,-6e-06,2e-06,3.5e-05,-0.007793,-0.007776,-0.007722,-0.007612
0.020741,0.02558,0.019522,0.020577,0.022295,0.018108,0.014123,0.017043,0.014228,0.010276,0.01442,0.011818,0.00802,0.003377,0.005683,0.006768,0.006885,0.007657,0.00895,0.010446,0.004725,0.004517,-0.002745,-0.004165,-0.006914,-0.010024,-0.012899,-0.013933,-0.010119,-0.011147,-0.006138,0.000258,0.000286,0.000167,-0.000187,-1e-06,-3.7e-05,-1.7e-05,-7.1e-05,-0.000522,-7.8e-05,-0.000527,-0.005746,4e-06,-0.005755,3e-06,-0.000614,-0.000577,-0.000859,-0.000933,-0.000822,-0.000781,-0.000438,3.8e-05,8.6e-05,0.0,2e-06,2e-06,-0.005557,-8.7e-05,-0.000251,-4.2e-05,-0.000187,-6.3e-05,1.6e-05,0.000364,0.000789,0.000968,0.001516,0.008619
-0.048036,-0.053963,-0.050987,-0.049928,-0.047626,-0.040396,-0.033644,-0.027355,-0.01698,-0.008562,0.001512,0.012073,0.021136,0.026542,0.02962,0.031339,0.031837,0.031106,0.032057,0.033273,0.036611,0.035207,0.035842,0.033368,0.028405,0.023356,0.018653,0.017099,0.010365,0.00851,0.003591,0.000626,0.000531,0.000347,-0.000258,2e-06,-5.3e-05,-2.4e-05,-0.000104,-0.000743,-0.00011,-0.000749,0.003846,6e-06,0.003833,8e-06,-0.000873,-0.000818,-0.001222,-0.001331,-0.001173,-0.001114,-0.000625,5.6e-05,0.000124,4e-06,6e-06,5e-06,0.004204,-0.000122,-0.000356,-5.8e-05,-0.000267,-9.1e-05,2.2e-05,0.000521,0.001207,0.001459,0.00224,0.000314
-0.345328,-1.527668,-0.906612,-0.652024,-0.874398,-0.917497,-0.898401,-0.899077,-0.525505,-0.146749,0.067455,0.144481,-0.013339,-0.045487,-0.051644,-2.833888,-0.03592,0.427941,0.481148,0.359979,-0.763732,0.413667,0.340216,0.447143,-0.089678,-3.391858,-0.112623,-0.090394,-0.061122,-0.051783,-0.047843,0.123993,-0.015744,-0.002703,-0.000176,0.000571,0.000395,0.000326,0.000231,-0.007042,-0.000851,-0.000534,-0.035477,9.5e-05,-0.035505,5.1e-05,-0.000641,3.6e-05,3.8e-05,3.1e-05,1.2e-05,1.6e-05,1.7e-05,1.8e-05,0.004845,2.8e-05,1.9e-05,2.6e-05,-0.036525,9e-06,1.6e-05,2e-05,1.9e-05,1.4e-05,6e-06,2.7e-05,-0.000225,-0.000965,-0.000982,0.035242
