0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0.005557,0.006375,0.006382,0.006344,0.00612,0.007251,0.006332,0.00643,0.006339,0.006212,-1e-06,0.000109,-4e-06,0.006256,0.0,-1.6e-05,0.006089,-0.000264,0.000163,-0.000399,-0.000572,-0.000969,-0.00041,-0.006693,-0.001127,-0.000916,9.8e-05,-0.000662,-0.000318,-9.9e-05,7.8e-05,0.000231,-0.000248,0.000704,0.000735,0.000614,-0.000633,-0.000923,-0.000105,-0.000339,-0.000261,-0.000153,-8.8e-05,4.4e-05,7e-05,-0.0007,-0.000481,-6.1e-05,2.8e-05,0.001138,0.000806,0.000601,0.000443,0.000241,-6.6e-05,-0.000156,-0.006058,0.000582,-0.005006,-0.00551,0.001106,-0.004954,0.000561,-0.004712,0.000975,-0.005945,-0.005721,-0.013068
0.006151,0.000847,0.000812,0.001024,0.002237,-0.004685,0.001097,0.000575,0.001057,0.001733,2e-06,-0.000573,1.7e-05,0.001497,-9e-06,7.9e-05,0.002353,0.001395,-0.001753,0.001139,0.002027,0.004075,0.000278,-0.000827,0.004905,0.003795,-0.002344,0.002486,0.000719,-0.000416,-0.001327,-0.002124,0.001254,-0.004571,-0.004734,-0.004099,0.003283,0.004794,-0.000346,0.000878,0.000468,-9.7e-05,-0.000432,-0.001119,-0.001235,0.003668,0.002522,0.000314,-0.000154,-0.006864,-0.004281,-0.003187,-0.002343,-0.001281,0.000356,0.000836,-0.00197,-0.00311,-0.007189,-0.004171,-0.005088,-0.00729,-0.001365,-0.008689,-0.00362,-0.000629,-0.001959,0.003106
-0.004326,-4.6e-05,-7.4e-05,7.3e-05,0.00091,0.004068,0.000122,-0.000241,9.1e-05,0.000559,-4e-06,-0.0004,1.1e-05,0.000399,-7e-06,5.5e-05,0.000994,0.000956,0.006734,0.008718,0.009318,0.010688,0.015952,0.01577,0.011128,0.010345,0.014071,0.009434,0.008258,0.007504,0.006906,0.006388,0.000814,0.004805,0.004702,0.005116,0.002117,0.003086,0.007527,0.008299,0.008022,0.007659,0.00744,0.007,0.006924,0.002304,0.00158,0.000196,-9.6e-05,0.003388,-0.002684,-0.002002,-0.001475,-0.000807,0.000225,0.000527,-0.000683,-0.001963,-0.004052,-0.009813,-0.011001,-0.011896,-0.016454,-0.0129,-0.018061,-0.023378,-0.024368,-0.02832
-0.034689,0.003318,-0.004912,0.005669,0.004727,-0.052601,0.028605,0.011911,0.002326,0.233364,0.361798,-0.010786,0.07479,0.065135,0.34827,0.177977,0.092384,-0.559623,0.045008,-0.08925,0.055627,0.108976,-0.087052,-0.070133,-0.042633,0.25329,-0.03527,0.003624,-0.035179,0.120066,-0.028679,-0.038581,-0.003871,-0.038204,-0.03662,-0.036009,0.001989,0.001945,-0.034134,0.12484,0.121913,-0.045053,-0.034307,0.009781,-0.028541,-0.004973,1.4e-05,9.2e-05,8.1e-05,-0.037814,-0.001796,-0.001815,-0.001805,-0.001823,1.9e-05,-2e-06,-0.113544,0.367618,1.826999,-0.000248,-0.263085,0.038203,0.073757,0.618884,0.010442,0.048544,0.65623,0.046623
-0.041307,-0.014782,0.083189,-0.012827,-0.012569,0.003336,-0.035656,-0.017012,-0.014934,-0.308146,-0.44026,0.01443,-0.200364,-0.182641,-0.410292,-0.208324,-0.220914,-0.478182,-0.113402,-0.064274,-0.123348,-0.195549,-0.011373,-0.001474,-0.010558,-0.355426,-0.053092,-0.07349,-0.006914,-0.195266,-0.022391,-0.011555,-0.002262,0.002668,0.004361,0.00502,-0.013725,-0.013732,-0.008703,-0.217216,-0.200932,0.001718,-0.00836,-0.069171,-0.023624,-0.006704,0.000222,6.5e-05,5.8e-05,0.018496,0.013581,0.01358,0.013583,0.013582,9e-06,9e-06,0.15682,0.832156,1.001675,0.084194,0.334758,0.047506,0.023001,0.318702,0.110786,0.121763,0.495939,0.084192
-0.077076,0.031141,-0.144044,0.028385,0.028644,0.041608,0.0275,0.024069,0.028453,-0.149407,-0.259291,-0.010361,-0.255224,0.138147,-0.235724,-0.132953,0.148634,-1.423211,-0.069627,0.049281,-0.050876,-0.090228,0.036289,-0.018564,0.026586,-0.163379,-0.057465,-0.011649,0.006241,-0.098412,-0.015245,-0.011369,0.002974,-0.01901,-0.020107,-0.020539,0.025582,0.025484,0.004293,-0.073303,-0.098161,0.004666,0.004614,-0.038085,-0.015372,0.026507,0.000536,0.000354,0.00029,-0.046378,-0.025235,-0.025273,-0.025289,-0.02531,3.8e-05,3.5e-05,0.056806,-0.014035,5.134099,-0.007,0.401328,-0.072411,-0.023365,1.67088,0.025336,0.02446,1.572937,0.224997
-0.000103,-0.000101,-0.000163,-0.000146,-0.000177,-6.9e-05,-0.006508,-9.6e-05,-0.000174,-0.000169,-0.000244,-1.1e-05,-0.000164,-2e-06,3.6e-05,-4e-06,-1e-06,3e-06,-0.0,-0.006309,5.2e-05,6e-06,8.6e-05,0.000229,0.00026,0.000156,6.2e-05,1.9e-05,9e-05,-3e-06,0.000313,0.000182,0.00014,4.6e-05,0.000273,0.000255,8.9e-05,0.000124,3.9e-05,-0.000154,-0.000162,-0.000235,-4.8e-05,1.9e-05,5.2e-05,7.8e-05,-9.3e-05,1.8e-05,0.000201,-0.000129,-4e-06,4.8e-05,2e-06,-0.000151,0.00014,0.000223,0.000172,3.5e-05,-7e-06,-2.3e-05,0.006617,0.0065,0.006554,0.006598,0.006502,0.006544,0.000152,7.1e-05
-0.004751,-0.000574,-0.005114,-0.005005,-0.00518,-0.004545,-0.003921,-0.004702,-0.005164,-0.005141,-0.005579,-3e-05,-0.005118,3e-06,0.000224,-1.4e-05,-6e-06,1.1e-05,-4e-06,0.001466,0.000305,3.6e-05,0.000508,0.001325,0.00151,0.00091,0.000364,0.000117,0.000529,-0.004187,0.001833,-0.003099,-0.003324,-0.003873,0.001632,0.001525,-0.003636,0.000745,-0.003946,-0.005061,-0.005127,-0.005549,-0.000267,0.000128,0.000317,0.000471,-0.004713,-0.004062,0.001194,-0.004932,-2e-05,0.000277,1.6e-05,-0.005081,0.00081,0.001302,0.001012,0.000214,-3.9e-05,-0.000142,0.00037,-0.000312,1e-05,0.000288,-0.004522,-1.8e-05,0.000954,-0.003799
0.004844,-0.000354,0.004625,0.004695,0.004588,0.004984,0.005495,0.004891,0.004605,0.004622,0.00435,-1.8e-05,0.004642,1e-06,0.00014,-8e-06,-4e-06,5e-06,-3e-06,0.001035,0.000191,2.5e-05,0.000315,0.000824,0.000937,0.000565,0.000225,7.2e-05,0.000329,0.005219,0.001131,0.005894,0.005758,0.005421,0.001005,0.000938,0.005568,0.000456,0.005378,0.004696,0.004657,0.0044,-0.000165,7.9e-05,0.000193,0.000289,0.004918,0.005317,0.00073,0.004785,-1.4e-05,0.000169,1e-05,0.004693,0.000494,0.000796,0.000619,0.000132,-2.7e-05,-9e-05,8.9e-05,-0.000327,-0.000134,3.6e-05,0.004899,-0.000153,0.000577,0.005474
0.103907,0.063878,-0.058959,-0.027648,-0.035287,-0.035653,-0.036746,0.028632,-0.023768,-0.039424,-0.035915,-0.005192,-0.036373,-0.000203,-0.00201,-0.002271,-0.000269,-0.0,-0.003059,-0.016101,-0.014521,0.022624,0.066629,-0.001499,0.000497,0.00015,0.000105,6.8e-05,-0.00503,0.106817,0.141637,-0.040801,-0.037046,-0.035394,6.2e-05,6.1e-05,-0.035415,2.7e-05,-0.039895,-0.035651,-0.035666,-0.035468,-0.005042,-0.0017,-4e-06,0.006661,-0.035461,-0.035449,1.2e-05,-0.035469,9e-06,1.5e-05,2.6e-05,-0.035808,1.2e-05,0.000988,1.3e-05,2e-06,4e-06,2.1e-05,0.00099,0.000994,0.000988,0.001966,-0.033521,0.001008,3e-06,-0.035518
