0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0.000998,0.008506,0.008445,0.007729,0.007695,0.008305,0.000166,0.000763,0.000114,0.000189,0.000336,-0.000311,0.000484,-2.9e-05,-7.1e-05,-6.2e-05,-7.1e-05,-0.000223,-0.000201,-0.000263,-0.000244,0.000395,0.00042,-0.000299,0.00035,-0.000258,-0.000299,-0.007094,0.000347,-0.007677,-0.007717,-0.007066,-0.007734,-0.007707,-0.007553,-0.007397,5.2e-05,0.000101,0.0001,0.000171,9.8e-05,4.5e-05,-5.1e-05,-9.3e-05,0.000473,-0.000186,-0.000192,-7.9e-05,-2.8e-05,1.8e-05,0.007387,-0.000394,-0.000258,-0.00098,-0.000948,-0.001392,-0.00066,-0.001571
-0.007738,-0.007353,-0.006625,-0.000412,-6.9e-05,-0.005108,-0.000261,-0.005152,0.000268,-0.000556,-0.002113,0.003279,-0.003719,0.000251,0.000763,0.000679,0.000811,0.002455,0.002202,0.002869,0.002638,-0.002682,-0.003035,0.003275,-0.002198,0.002817,0.003276,-0.003483,-0.002144,0.00222,0.002714,-0.002766,0.003032,0.002831,0.001126,-0.00069,-0.000642,-0.001231,-0.00122,-0.00207,-0.001172,-0.000516,0.000621,0.001113,-0.003545,0.002185,0.00226,0.000937,0.000371,-0.000157,0.000833,0.002706,0.001993,0.007503,0.007178,0.010426,0.003857,0.010481
0.011994,0.011421,0.01224,0.008893,0.009274,0.013982,0.010021,0.014822,0.010574,0.009636,0.007903,0.003621,0.006116,0.000272,0.000837,0.000746,0.000891,0.002694,0.002415,0.003141,0.002885,0.007226,0.006855,0.003556,0.007731,0.003047,0.003537,0.007506,0.007765,0.003336,0.003852,0.008026,0.004171,0.003945,0.002129,0.000199,-0.000672,-0.001301,-0.001295,-0.002198,-0.001249,-0.000552,0.000658,0.001182,0.006238,0.002317,0.002394,0.000985,0.000382,-0.000179,-6.9e-05,-0.00715,-0.007967,-0.012055,-0.012398,-0.018971,-0.015975,-0.029056
0.164773,0.150857,-0.082691,-0.121701,-0.030531,-3.187166,-0.032863,-0.044534,0.264089,0.046478,-0.748871,0.196492,-0.791183,0.451445,-0.031611,0.342907,-0.03588,0.155419,0.003146,0.094263,0.073363,0.222535,-0.78496,0.082792,0.282454,0.448172,0.167782,-1.785521,0.153584,0.332612,0.413919,0.165013,0.049787,0.038037,-0.010308,-0.005227,0.000385,-0.001543,0.000204,-0.001687,0.000116,0.004341,0.000648,8e-05,-0.030139,-0.01538,0.012459,0.000838,0.00313,-0.249669,0.162266,0.704321,3.761903,-0.256053,-0.389696,-0.426022,-0.392095,-0.215933
-0.474365,-0.372455,0.090579,-0.021516,-0.023643,-0.346088,-0.029655,-0.060763,-0.518302,-0.166471,-0.359876,-0.43816,-0.278934,-0.841426,-0.160921,-0.649548,-0.135504,-0.252166,-0.012411,-0.162227,-0.115843,-0.435939,0.148809,-0.151509,-0.52591,-0.773419,-0.356913,0.186988,-0.835588,-0.582063,-0.604316,-0.287865,-0.07609,-0.058836,0.013855,0.020194,-8e-06,0.01402,-3.4e-05,0.014054,-2.3e-05,-0.002976,-0.000868,-0.000108,-0.002827,0.020498,-0.018738,0.001709,0.001673,0.419369,-0.096847,0.240252,1.287727,0.374186,0.580915,0.631771,0.627778,0.588539
-0.064007,-0.229371,-0.152705,-0.083612,0.034904,-4.613118,-0.023023,-0.062532,-0.294488,-0.103905,-1.62825,-0.004217,-1.395955,-0.267869,-0.020274,-0.117922,-0.002377,-0.121236,-0.017419,-0.065337,-0.074142,-0.281255,-1.531375,-0.068205,-0.334443,-0.21143,0.03977,-5.419814,-0.082186,-0.152963,-0.338525,-0.197689,-0.057992,-0.048563,-0.002485,-0.025486,0.001612,-0.024007,0.000719,-0.024483,0.000397,0.007073,-0.000258,-3.5e-05,0.004235,0.051683,0.021505,0.003346,0.011964,0.410098,0.510012,2.247913,5.029058,0.477572,0.627454,0.651441,0.402074,0.144941
-0.007885,1e-06,5.9e-05,-0.0,3e-06,3e-06,1e-06,-0.0,-2.2e-05,-1.4e-05,-0.0,0.0,-1e-06,4e-06,6e-06,2.9e-05,6e-06,2.3e-05,2e-06,-5e-06,1e-06,0.0,2e-06,1e-06,1.2e-05,3e-06,6.4e-05,3e-06,-2e-06,-1e-06,0.007884,1.1e-05,2.7e-05,6.9e-05,4e-06,5.8e-05,9.1e-05,7.8e-05,7.6e-05,6.1e-05,8e-06,-1e-05,-1e-06,1e-06,-1e-06,-2e-06,-2e-06,-2e-06,1e-06,1e-06,0.0,-2.3e-05,0.0,1e-06,-0.0,4e-06,6.9e-05,1e-06
0.000417,-0.0,0.000456,-7e-06,-3e-06,3e-06,3e-06,2e-06,-0.000163,-0.000113,3e-06,1.6e-05,-2e-06,4.1e-05,5e-05,0.000233,5.8e-05,0.000192,2.3e-05,-1.1e-05,0.0,2e-06,2.3e-05,-1e-06,9.5e-05,3.4e-05,0.000498,2.9e-05,-8e-06,-7e-06,-0.000408,0.0001,0.000228,0.000529,4.4e-05,0.000466,0.000729,0.000625,0.000605,0.000481,6.7e-05,-7.2e-05,-7e-06,1e-06,3e-06,-0.0,-2e-06,-1.4e-05,2e-06,1e-06,-0.0,-0.000195,-1e-06,1.6e-05,-3e-06,3.2e-05,0.000541,-4e-06
0.000467,-1e-06,0.000578,-1.2e-05,-1e-05,1e-06,3e-06,4e-06,-0.000204,-0.00014,6e-06,2.1e-05,-1e-06,5.1e-05,5.9e-05,0.000292,6.9e-05,0.00024,2.4e-05,-1.6e-05,-3e-06,-2e-06,2.6e-05,-7e-06,0.000113,3.7e-05,0.000627,3.4e-05,-1.6e-05,-1.2e-05,-0.000467,0.000125,0.000288,0.000664,5e-05,0.000586,0.00092,0.000788,0.000764,0.000608,8.3e-05,-9.3e-05,-8e-06,2e-06,8e-06,-0.0,-2e-06,-1.7e-05,3e-06,2e-06,1e-06,-0.000245,-1e-06,2.2e-05,-3e-06,3.8e-05,0.00068,-1e-05
-0.00202,-0.000261,-0.000116,-7.3e-05,-5.9e-05,-4.5e-05,-3.5e-05,-3.2e-05,-2.9e-05,-2.1e-05,-2.2e-05,-2.2e-05,-1.6e-05,-1.8e-05,-1.7e-05,-1.7e-05,-1.5e-05,-8e-06,-1e-05,-1e-05,-9e-06,-7e-06,-7e-06,-7e-06,-1.3e-05,-1e-05,-4e-06,6e-06,-6e-06,-9e-06,0.000982,-9e-06,-0.005478,3e-06,-6e-06,-2e-06,0.000786,1e-06,1e-05,-2e-06,-5e-06,0.0,4e-06,2e-06,-4e-06,-6e-06,-3e-06,-2e-06,-4e-06,1e-06,-1e-06,1e-05,0.0,0.0,0.0,-3e-06,0.00079,-4e-06
