0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
-1e-06,-0.000183,-2.7e-05,2e-06,8e-05,5.3e-05,-0.00548,-6.5e-05,-0.001001,0.000459,-0.005471,-0.010664,-0.010547,-0.01152,-0.016924,-0.016867,-0.017668,-0.017356,-0.01695,-0.017795,-0.017465,-0.011729,-0.017974,-0.017481,-0.010916,-0.005246,-0.005385,-0.004762,0.000553,0.000401,0.000848,0.000231,0.005593,-0.000526,-0.000874,-0.001029,-0.006678,-0.000908,0.003882,-0.001328,0.004284,0.012013,0.01794,0.030723,0.034456,0.037705,0.043376,0.051069,0.056228,0.049319,0.050082,0.041639,0.039185,0.03203,0.03072,0.021468,0.014431
-7e-06,0.000775,0.000106,-1.5e-05,-0.00035,-0.000229,-0.001013,0.000182,0.00551,-0.002053,0.000106,-0.00226,-0.002762,0.002573,0.001115,0.00086,0.005533,0.004093,0.00209,0.007074,0.005385,0.005113,0.008662,0.005877,0.000312,0.000299,0.000969,-0.003283,-0.00094,-9.8e-05,-0.003225,0.000197,0.002602,0.004368,0.006266,0.007112,0.006284,0.006429,0.012625,0.009421,0.01113,0.00011,0.000786,-0.005214,-0.023734,-0.038436,-0.035505,-0.040968,-0.034194,-0.028364,-0.031536,-0.020107,-0.010249,-0.007189,-0.00419,0.006828,0.008605
-4e-06,0.000362,4.8e-05,-9e-06,-0.000164,-0.000108,-0.000155,0.000104,-0.004057,-0.000945,-0.006248,-0.007033,-0.007275,-0.011384,-0.011736,-0.011854,-0.016246,-0.016923,-0.017883,-0.022103,-0.022912,-0.023401,-0.027934,-0.02936,-0.02595,-0.026452,-0.026156,-0.02176,-0.021005,-0.020593,-0.015552,-0.013683,-0.012774,-0.011341,-0.01025,-0.009752,-0.009774,-0.01013,-0.013899,-0.015304,-0.021677,-0.021768,-0.029005,-0.026761,-0.024597,-0.020335,-0.019386,-0.009561,0.001464,0.005929,0.01125,0.012308,0.019306,0.022162,0.031933,0.032491,0.034107
9e-06,0.00222,2e-06,-0.013578,-0.000405,-3.4e-05,0.004864,-3.032489,-1.693659,-2.896611,-0.252456,-0.42194,0.037495,0.203213,0.24702,0.161717,-0.792848,-0.883683,0.009778,0.675255,0.132936,0.11482,0.169659,-0.066042,-0.222045,0.138813,-0.197586,0.098945,0.102107,0.101933,0.046999,0.080895,0.089896,-0.144731,-0.16357,-0.088503,-0.246623,-0.376367,0.529801,0.262812,-0.368843,-0.353365,0.253046,0.216297,0.771402,0.212223,-2.681049,-0.660507,0.371468,0.384706,0.549803,0.228557,0.08922,-0.770387,-0.161186,-0.116646,-0.529547
1e-06,-0.015048,-1e-06,0.010646,0.000372,5.9e-05,0.009629,-2.146657,-2.723653,-2.798178,-0.56326,-0.98061,-0.057576,-0.265962,-0.429601,-0.010556,-1.346021,-2.235361,-0.019921,-0.349895,0.077769,0.024813,0.062318,0.261869,-0.644784,0.058161,-0.684965,0.065949,0.028563,0.028805,0.15156,0.015228,0.001489,0.110969,0.203561,0.148481,0.274694,0.456589,2.519901,2.723595,0.567172,1.237564,2.385554,0.461861,3.062151,0.088062,-2.061635,-2.275241,-0.822175,-0.031023,1.742777,-0.407582,-0.125734,-0.76948,-0.105951,-0.12699,-0.189283
1e-05,0.024484,1.8e-05,0.006697,0.000281,7.1e-05,-0.032916,-4.747538,0.175813,-4.110685,0.035205,-1.220467,0.086593,-0.110207,-0.701614,-0.160614,-1.048017,1.41832,-0.197625,-0.340824,-0.078593,-0.079017,-0.057487,0.05418,0.382167,-0.048302,0.377704,-0.065963,-0.010911,-0.010895,-0.1951,-0.003654,0.022586,-0.011263,0.182715,0.153219,0.20355,0.128789,-1.081442,-1.011157,0.478888,0.195651,-0.616705,0.376118,-2.079963,-0.896037,-5.161144,1.191487,0.344552,0.240927,-0.778495,0.032037,-0.18827,-1.331385,0.135497,0.148923,-0.179904
-7.3e-05,-2.7e-05,0.005664,0.005862,0.007121,0.007159,0.007679,0.016165,0.015117,0.015694,0.014838,0.015224,0.014688,0.013303,0.014182,0.013519,0.000523,0.006977,0.013544,0.001274,0.004597,0.002625,0.002844,0.007207,0.012239,0.005387,0.005125,0.004208,-0.00237,0.003459,0.003281,-0.001752,0.004677,-0.000869,-0.006409,-0.007037,-0.01283,-0.015136,-0.008256,-0.013147,-0.018688,-0.012527,-0.012244,-0.011726,-0.012141,-0.012891,-0.011766,-0.00671,-0.007226,-0.007582,-0.008703,-0.007293,-0.001399,-0.001349,-0.006209,0.000299,0.000693
-0.000182,-6e-05,-0.001899,-0.001451,0.004806,0.004906,0.006158,0.017675,0.011957,0.013494,0.011599,0.015995,0.014837,0.011522,0.017026,0.015413,0.01106,0.014851,0.018896,0.016245,0.031029,0.019544,0.020095,0.008991,0.002873,-0.00204,-0.002705,-0.005046,-0.006067,-0.003728,-0.000945,0.005286,0.009091,0.010777,0.012479,0.00765,0.008763,-0.003357,-0.001701,0.001758,0.00366,0.003419,0.000916,0.002171,0.001233,-0.003714,0.002175,-0.004035,-0.008444,-0.012465,-0.01827,-0.011746,-0.012914,-0.012803,-0.005989,-0.002547,0.001601
-8.7e-05,-3e-05,-0.001133,-0.000917,-0.005018,-0.004967,-0.004354,-0.01322,-0.008871,-0.008129,-0.009038,-0.013975,-0.014507,-0.016046,-0.020407,-0.021134,-0.015688,-0.021069,-0.026234,-0.020073,-0.026741,-0.018292,-0.017984,-0.009689,-0.005932,-0.001205,-0.001529,-0.00267,-0.002979,-0.008966,-0.01456,-0.018258,-0.023502,-0.022452,-0.021389,-0.016875,-0.01615,-0.008482,-0.007797,-0.005842,-0.004721,-0.004988,0.00074,0.001414,0.000903,0.005328,0.001403,0.005032,0.009791,0.014769,0.018792,0.015222,0.014523,0.014602,0.011232,0.005801,0.000855
0.055029,0.016832,0.00902,-0.009514,-0.000892,0.035509,0.202959,0.049921,0.382358,0.403839,0.449608,0.294968,-3.713095,-3.927191,0.698419,-0.5973,-3.509104,0.492556,0.255772,0.029879,0.560395,-0.17472,0.094411,-0.236408,0.050156,0.296592,0.462212,0.45406,0.216109,0.048135,0.545504,0.216392,0.450108,0.191432,0.059617,-0.144905,0.027321,-0.17929,-0.581924,-0.393081,-0.287575,-0.34855,-0.120242,-0.020349,-0.004616,-0.033178,1.011879,3.321748,-0.080714,0.28458,0.186248,-0.099685,-0.011238,0.014796,0.049209,0.006966,-0.007398
