0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
-0.017035,-0.009226,-0.016638,-0.016636,-0.01657,-0.016515,-0.016505,-0.016191,-0.008361,-0.016118,-0.008601,-0.00827,-0.015964,-0.015634,-0.015566,-0.00806,-0.007751,-0.007994,-0.0077,-0.007658,3.7e-05,8.2e-05,-0.007525,0.000435,0.000584,0.000817,0.00092,0.00129,0.008944,0.001496,0.009498,0.009504,0.002133,0.009699,0.00202,0.002239,0.009874,0.002394,0.002467,0.002597,0.002485,0.002422,0.002193,0.002114,0.002034,0.001725,-0.005754,0.001446,0.00139,0.001301,0.001463,0.000968,0.001143,0.00097,0.000949,0.000519,0.000478,0.000448,0.000548,0.000601,0.000382,0.000713,0.000765,0.000815,0.000838,0.00086,0.000838,0.000814,0.000837,0.008028,0.000779,0.000509,0.000461,0.000676,0.000436,0.000631,0.000347,0.000591,0.000472,0.00048,0.000168,0.000431,8e-05,3.5e-05,-2.5e-05,0.000271,0.000299,8e-06,-9e-06,-7.9e-05,-0.000106,-0.000736,0.006113,0.006061,0.005998,0.013071,0.012945,0.012988,0.020167,0.027728,0.034967,0.035411
0.008571,0.009809,0.004284,0.004413,0.005511,0.006428,0.006684,0.001191,0.002194,0.00231,0.008508,0.003325,0.004024,-0.001046,-0.000407,0.005323,8.4e-05,0.005886,0.000547,0.000912,0.00034,0.000719,0.002001,0.003757,0.005095,0.007042,0.008062,0.003544,0.004026,0.005577,0.000813,0.001057,-0.003944,-0.004423,-0.004695,-0.010457,-0.010184,-0.008626,-0.007818,-0.006341,0.000936,0.000366,0.006467,0.00583,0.005114,0.01022,0.010063,0.015685,0.01513,0.014291,0.007782,0.010852,0.004409,0.00253,-0.006133,-0.002505,-0.002979,-0.003337,-0.002203,-0.001602,0.004437,-0.000266,0.000333,0.000935,0.001263,0.001554,0.001304,0.001061,0.001347,0.000572,0.000676,0.006133,0.00557,-0.000512,0.005291,-0.001043,0.004251,-0.00149,-0.002907,-0.002814,0.002133,-0.003402,0.001067,0.000499,-0.000285,-0.005454,-0.005126,9.4e-05,-0.000129,-0.001025,-0.001365,0.008571,0.013087,0.012258,0.011199,0.009598,0.008298,0.008207,0.008345,0.003033,0.003191,-0.003043
-0.021859,-0.020921,-0.016236,-0.016097,-0.014658,-0.013456,-0.013153,-0.008998,-0.008216,-0.007517,-0.011286,-0.006688,-0.005186,-0.000429,0.000466,-0.003909,0.000629,-0.003125,0.001275,0.001785,0.000485,0.001024,0.003309,0.005297,0.007166,0.009835,0.01117,0.016596,0.016681,0.019157,0.023656,0.023878,0.02896,0.02765,0.027686,0.031328,0.031021,0.033274,0.03416,0.035726,0.033402,0.03257,0.028803,0.027765,0.026677,0.021943,0.02201,0.017275,0.016552,0.015444,0.018358,0.011483,0.014601,0.012561,0.013393,0.00727,0.006776,0.006406,0.007571,0.008187,0.004557,0.009525,0.010126,0.01071,0.011008,0.011265,0.010996,0.010722,0.010972,0.009717,0.010266,0.006007,0.005442,0.009041,0.005126,0.008491,0.004096,0.008044,0.006677,0.006766,0.002038,0.006198,0.001014,0.000475,-0.000273,0.004242,0.004556,9.1e-05,-0.000126,-0.000979,-0.001305,-0.010721,-0.016338,-0.017261,-0.018264,-0.02028,-0.021497,-0.021765,-0.022072,-0.01836,-0.018826,-0.015656
-0.120441,0.265434,-0.423771,-0.052446,0.006526,-0.222785,0.063386,0.022017,0.020088,0.030245,0.06925,0.033771,0.033339,-0.003842,-0.003143,0.035889,0.011989,-0.043675,-0.000905,-0.001835,-0.833824,-0.003441,-0.832069,0.017196,-0.876297,-0.273912,-0.85889,-0.306594,-2.752167,-0.8968,-0.019661,-0.030443,0.363628,0.159736,0.060773,0.086359,0.186448,-0.015387,0.195255,0.119389,0.284236,0.008653,0.044129,-0.009312,0.267321,0.306868,0.299441,-0.16132,0.017459,0.083628,0.090406,-0.003,0.151436,-0.059491,-0.082523,-0.047914,-0.037269,0.018865,0.003807,-0.031472,-0.02025,0.176955,0.261773,-0.037441,-0.032332,-0.032428,0.028766,-0.072947,-0.032668,-0.020475,-0.046816,0.014078,0.0138,-0.048359,-0.007565,0.034477,-0.006989,-0.037086,-0.036809,-0.034454,-0.003431,0.299327,0.411233,0.0106,-0.465476,0.239994,-0.061842,-0.012903,0.038416,-0.000589,0.000354,0.071268,-0.27398,-1.403289,-1.415547,-1.438298,-0.595852,-1.172547,0.221995,-0.172974,-0.556918,-1.837901
0.274063,0.851619,0.59814,0.45285,0.06078,0.390759,0.063927,0.074745,0.127964,0.035569,0.008158,0.022369,0.020569,0.051632,0.033017,0.005738,0.008232,-0.184851,0.017916,0.015896,-1.909093,-0.008075,-1.905255,-0.121622,-0.771535,-0.313695,-0.819768,-0.667471,-2.673475,-1.862494,-0.146791,-0.1339,-0.610427,-0.398848,-0.264462,-0.421763,-0.474264,-0.330385,-0.562959,-0.390123,-0.544327,-0.209071,-0.413901,-0.153003,-0.439599,-0.438347,-0.434091,-0.25106,-0.005915,-0.165723,-0.316169,-0.049612,-0.233924,0.093868,0.003214,0.005339,0.000939,-0.175175,-0.077566,-0.038042,-0.018665,-0.267178,-0.410866,0.000126,-0.015749,-0.016165,-0.016541,-0.056629,-0.016351,-0.047059,-0.008928,-0.046324,-0.06994,0.007167,-0.012029,-0.098219,-0.007016,-0.012121,0.013355,-0.001639,-0.009794,-0.399622,-0.502595,-0.139497,-0.747961,-0.312288,0.116421,0.013981,-0.060043,0.002345,0.00112,-0.008639,-0.548786,-1.715841,-1.78238,-1.534533,-0.231971,-2.21232,-0.001556,0.127856,-0.470765,-2.067861
0.368951,-0.188171,0.559413,0.177767,0.243444,0.444939,-0.044948,-0.066216,-0.204508,-0.071111,-0.025376,-0.042221,-0.046612,-0.087696,-0.061771,-0.017068,-0.032892,0.160691,-0.032412,-0.030259,1.811678,0.007371,1.800989,0.178157,-1.188538,-0.269694,-1.149114,0.655313,-3.969141,1.700747,0.003395,-0.019893,-0.352592,-0.179591,-0.169773,-0.058185,-0.250142,0.025396,-0.103574,-0.23634,-0.252779,-0.099686,0.141136,-0.009045,-0.143157,-0.150814,-0.159605,-0.350345,-0.119147,0.016733,-0.078103,0.053769,-0.090089,-0.14056,0.012945,0.004919,0.009572,0.120534,-0.059839,-0.040952,-0.005787,-0.146341,-0.264457,0.00726,0.034851,0.034138,-0.203082,-0.126069,0.033385,0.006943,0.027877,-0.011412,-0.009149,-0.004547,0.010369,-0.055709,0.025487,-0.010854,-0.015868,0.008866,0.025424,-0.186034,-0.211801,-0.037463,0.295062,-0.175473,-0.199095,-0.008038,-0.046815,0.001633,0.001419,0.011339,-1.416734,-5.180023,-5.122089,-4.498823,-1.15774,-4.676769,-1.741939,-1.542748,-1.201231,-4.247601
-0.000895,-0.000721,-0.000572,-0.000563,-0.000739,-0.000738,-0.000744,-0.000762,0.007138,0.006986,0.006812,0.01494,0.014936,0.022902,0.014725,0.030897,0.030936,0.030957,0.03098,0.039006,0.046897,0.039195,0.038678,0.030476,0.022768,0.014947,-0.009043,-0.017117,-0.025046,-0.032436,-0.047525,-0.047358,-0.046989,-0.046056,-0.046132,-0.045796,-0.053242,-0.045433,-0.04539,-0.037719,-0.037784,-0.037852,-0.030415,-0.030515,-0.015264,-0.015291,-0.015253,-0.015298,-0.007625,-0.007586,-0.007606,-0.007554,6.2e-05,8.3e-05,9e-06,-2e-06,-4e-06,-4e-06,-4e-05,0.0,-5.8e-05,-1.2e-05,-6.5e-05,-4.1e-05,-7.6e-05,0.007621,-7.7e-05,-6.7e-05,1e-06,-0.0,2e-06,-3.7e-05,1e-06,-0.007659,-5.5e-05,-0.0,-1.7e-05,-8e-06,-1e-06,-2.6e-05,0.0,-2e-06,-1e-06,-1e-06,-1e-06,-2e-06,-3e-06,0.0,-2e-06,0.0,-1e-06,-0.007652,1e-06,1e-06,-2.7e-05,-0.00766,-0.007623,6.8e-05,-0.007647,5.8e-05,-0.007542,-0.007453
0.014724,0.009341,0.002549,0.003041,0.008965,0.009011,0.008901,0.008326,0.008317,0.013093,0.019073,0.01309,0.012678,0.012157,0.017173,0.011636,0.012255,0.012398,0.013652,0.015108,0.017572,0.012525,0.021422,0.023699,0.018659,0.015339,0.016916,0.020632,0.022248,0.018584,0.013974,0.014724,0.016192,0.004326,0.009824,0.008932,0.006408,0.003929,0.003044,0.001216,-0.00091,-0.002118,-0.004641,-0.005398,-0.005825,-0.00575,-0.005133,-0.005426,-0.005342,-0.00488,-0.005044,0.001232,-0.00509,-0.00492,-0.005582,-0.005704,-2e-05,-3.5e-05,-0.000361,3e-06,-0.000513,-8.6e-05,-0.000598,-0.00038,-0.000728,-0.000608,-0.00074,-0.000638,1.8e-05,-2e-06,1.8e-05,-0.000367,-3e-06,0.000274,-0.000504,2e-06,-0.000154,-7.2e-05,-3e-06,-0.000252,8e-06,2e-06,0.0,-4e-06,2e-06,0.0,-8e-06,4e-06,-1e-06,4e-06,-3e-06,0.000162,1e-06,9e-06,-0.000251,0.000282,0.000594,0.000591,0.000324,0.000483,0.001311,0.00203
-0.026645,-0.022371,-0.020041,-0.01941,-0.023097,-0.023124,-0.023367,-0.024241,-0.024664,-0.030097,-0.033671,-0.03072,-0.031541,-0.032994,-0.037652,-0.034736,-0.034178,-0.034172,-0.032592,-0.031258,-0.028407,-0.022936,-0.021913,-0.017542,-0.011753,-0.003056,0.002146,0.008958,0.012258,0.019752,0.026115,0.026871,0.028222,0.034393,0.029764,0.027689,0.023714,0.019317,0.01786,0.014693,0.011483,0.009712,0.005919,0.004757,0.004157,0.003989,0.004795,0.004366,0.004433,0.005057,0.004822,0.001722,0.004729,0.004963,0.004051,0.003881,-2.8e-05,-4.8e-05,-0.000496,2e-06,-0.000705,-0.000117,-0.000821,-0.000521,-0.000999,-0.000852,-0.001019,-0.000875,2.5e-05,-3e-06,2.5e-05,-0.000507,-3e-06,0.000393,-0.000691,7e-06,-0.000209,-9.8e-05,-4e-06,-0.000349,1.2e-05,8e-06,4e-06,-5e-06,6e-06,4e-06,-8e-06,7e-06,-2e-06,3e-06,-8e-06,0.000424,-6e-06,4e-06,-0.000356,0.0004,0.000813,0.000799,0.000438,0.000661,0.001805,0.002784
-0.731532,0.698082,-0.123475,-0.559956,-0.148968,-0.462841,-0.430089,-0.166501,3.224464,-0.353711,-0.16881,-0.221065,-0.42351,-0.445516,-0.382786,-0.158115,-0.197304,-0.472372,-0.182025,-0.358567,-0.144344,-0.261102,-0.302935,-0.023716,-1.043413,-1.066999,-0.044889,0.381448,-0.031848,0.226525,0.000291,-0.005783,-0.024266,-0.077082,-0.036987,-1.007711,-0.064032,-0.047557,-0.332175,-0.334537,-0.048693,-0.03865,-0.038508,-0.038841,-3.499853,-0.038101,-0.032661,-0.040915,-0.049267,-0.052992,0.354238,0.077621,0.033258,0.349416,0.147283,0.200528,-0.019721,-0.020097,0.000431,0.000747,0.004072,0.004511,0.000345,0.000251,-0.000407,0.00522,-0.000484,0.00417,5.1e-05,5.3e-05,0.004138,3.9e-05,4.1e-05,0.003153,5.8e-05,0.004158,5.1e-05,2.7e-05,2.3e-05,0.004126,3.7e-05,5.1e-05,5.7e-05,3e-05,3.9e-05,0.004159,3e-05,0.004148,0.100543,5e-05,0.003911,3.678791,-0.015262,0.331238,0.334709,1.119318,0.334115,0.335527,0.097604,-0.001958,1.117316,-0.002851
-0.735715,-2.350354,-1.186851,-0.908171,-1.128238,-0.915038,-0.852077,-0.487081,-2.875545,-0.779828,-0.605255,-0.745564,-0.933307,-0.040841,-0.848804,-0.487457,-0.528984,-0.865774,-0.527836,0.995523,-0.386737,-0.496502,-0.283609,-0.06543,1.068758,1.099311,0.171066,0.757191,0.313938,0.544026,-0.024316,0.002228,0.027304,0.016853,0.015393,1.130482,0.034939,-0.095673,0.387089,0.390689,-0.451344,0.065605,0.079915,0.077115,3.609897,-0.077592,-0.073867,-0.077458,0.026358,0.026816,0.417674,0.112038,-0.44849,0.40195,0.211951,0.25864,-0.004056,-0.014001,-0.001355,-0.000822,-0.099935,-0.116597,-0.000288,-0.000189,0.016733,-0.131062,0.016782,-0.116328,-3e-05,-2.4e-05,-0.116291,-4e-06,4e-06,-0.101532,-2e-06,-0.116247,2e-06,-1.4e-05,-2e-05,-0.116255,2.1e-05,2.3e-05,1.3e-05,-2.1e-05,4e-06,-0.11622,-3e-05,-0.116223,-0.086026,0.000172,-0.115948,-3.137903,-0.007501,-0.287527,-0.284293,-0.937173,-0.268533,-0.299737,-0.06779,0.002272,-0.932296,0.000205
-0.991924,0.900868,-0.260298,-0.059718,-0.200438,-0.071422,-0.020812,-0.102617,-3.767312,-0.206222,-0.036301,0.0889,-0.26984,-0.961112,-0.472683,-0.192016,-0.224652,-0.440186,-0.186209,-2.44751,-0.251489,-0.421071,-0.408091,-0.299783,0.655197,0.579589,-0.040191,0.144547,-0.178575,0.0637,-0.036819,-0.051735,-0.040694,-0.070291,-0.079618,0.703436,-0.054163,0.096642,0.100937,0.102865,0.597704,-0.137026,-0.146563,-0.141876,2.354384,0.081101,0.083831,0.078287,-0.049317,-0.049887,0.224045,0.03769,0.778843,0.251836,0.119948,0.152038,-0.001675,-0.009182,-0.001023,-0.00067,0.137491,0.161018,-0.00023,-0.000153,-0.023482,0.190796,-0.023436,0.161304,-3e-05,-2e-05,0.161336,-2.1e-05,-1.9e-05,0.131734,-1e-06,0.161295,-2.4e-05,-1.1e-05,1.6e-05,0.161345,-2.8e-05,-4.1e-05,-2.7e-05,-7e-06,-2.7e-05,0.161328,-9e-06,0.161328,-0.072159,0.000271,0.161649,-2.690128,-0.004302,-0.243246,-0.240798,-0.83753,-0.269346,-0.216097,-0.098888,0.002408,-0.834493,-0.003935
