0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-0.01385,-0.013328,-0.006929,0.00604,0.018752,0.01899,0.025192,0.0313,0.037918,0.037779,0.037613,0.037513,0.037826,0.031724,0.032162,0.026425,0.020841,0.022143
0.015938,0.011785,0.014472,0.016938,0.020328,0.016008,0.016643,0.015043,0.008598,0.008144,0.010015,0.010782,0.007116,0.004584,-0.00189,-0.007898,-0.015956,-0.02921
-0.010794,-0.006013,-0.004077,-0.003018,-0.001086,0.003589,0.003539,0.001601,0.003992,0.003514,0.004945,0.005517,0.010718,0.017132,0.01994,0.023765,0.025996,0.031783
-0.034904,-5.323576,-0.413309,-5.205334,-0.390526,-0.650349,-1.577598,-0.465147,-1.618771,0.088236,0.019357,0.122009,-5.288754,0.115284,0.180129,0.350087,-0.081131,-0.230575
-0.04224,-1.183957,-0.140087,-1.242398,0.36982,0.519646,-0.323785,0.030262,-0.314886,1.811429,-0.132478,-0.384343,-1.281183,-0.61648,1.088614,1.149464,-0.213608,0.125774
-0.045072,-1.323879,-0.094681,-1.21894,-0.657985,0.297701,-0.315589,-0.20017,-0.255979,-2.051929,0.225351,-0.250699,-1.036108,-0.507788,-2.710567,-2.968423,-0.591212,-0.61666
0.012103,0.019008,0.018638,0.011598,0.01185,0.01203,0.012494,0.013562,0.013606,0.02142,0.015055,0.014751,0.014888,0.014832,0.015555,0.0219,0.015405,0.008914
0.007586,0.006861,0.001425,0.001502,0.00641,0.007095,0.009003,0.017494,0.013608,0.016951,0.020217,0.014977,0.015861,0.015854,0.023452,0.016761,0.023377,0.025775
-0.028686,-0.029174,-0.025042,-0.025232,-0.029938,-0.029393,-0.027788,-0.029256,-0.023685,-0.020466,-0.017623,-0.013304,-0.012477,-0.012464,-0.014576,-0.011484,-0.014607,-0.012522
0.118974,1.62789,0.22172,0.984485,1.470492,5.385251,5.420735,5.493228,0.0965,0.101188,1.617792,0.103794,0.10228,0.1234,0.070585,0.12057,0.146973,0.167492
-0.279982,-0.390986,-0.128042,-1.927612,-1.779617,0.177401,0.010184,0.292458,-0.935641,-1.147682,-0.310119,-1.075882,-0.465806,-0.713847,-0.461183,-1.024099,-0.546346,-0.653011
0.147552,-0.842013,-0.044443,1.918645,2.09499,-1.505887,-1.465045,-1.015754,-0.243174,-0.068702,-1.19684,-0.310921,0.097511,-0.085318,-1.198858,-0.219451,0.100082,-0.279796
