0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0.034767,0.034785,0.027687,0.02765,0.020411,0.020924,0.021354,0.00732,0.007287,0.014539,0.007246,0.007238,0.007717,0.000442,0.0077,0.007687,0.007587,0.007238,0.007768,0.007301,0.007285,0.007168,3.8e-05,2.2e-05,0.007284,0.007285,-0.0,-1e-06,-1e-06,2e-06,1.3e-05,2.2e-05,2.6e-05,2.8e-05,1.8e-05,1.2e-05,2.4e-05,2.5e-05,1.3e-05,1.9e-05,1.5e-05,1e-06,0.000528,-2e-06,-1e-06,-1e-06,6e-06,-1e-06,0.000537,-0.0,9e-06,2.2e-05,2.2e-05,2.9e-05,2.7e-05,1.7e-05,8e-06,4e-06,2.3e-05,3.1e-05,2.5e-05,0.000554,2.1e-05,2.1e-05,1.7e-05,1.6e-05,8e-06,0.007836,6e-06,4.1e-05,3.2e-05,1.6e-05,2e-05,3.1e-05,1.8e-05,1.4e-05,2.1e-05,2.8e-05,5.9e-05,0.007376,7.7e-05,-0.000411,0.000175,-0.000451,-0.000334,-0.000303,-0.008131,-0.000202,-0.007426,-0.007507,-0.01491,-0.007529,-0.007021,-0.01508,-0.00713,-0.008195,-0.015857,-0.015959,-0.016496,-0.016588,-0.016611,-0.008986,-0.016659,-0.01667,-0.009567,-0.0171,-0.009431,-0.009733,-0.017208,-0.009004,-0.000916,-0.000509,0.007967,0.008377,0.016048,0.015936,0.008803,0.016351,0.009043,0.008457,0.008806,0.00871,0.008681,0.008644,0.008617,0.002085
0.007796,0.008075,0.009139,0.009524,0.009798,0.005665,0.001411,-0.00318,-0.000896,0.001304,0.002453,0.002817,-0.002491,-0.002964,-0.001759,-0.001834,-0.002782,0.001488,-0.005205,-0.000997,-0.00053,-0.000357,-0.001126,-0.000587,-3.1e-05,-0.000107,1.7e-05,-1.6e-05,9e-06,-0.00011,-0.000453,-0.000688,-0.000825,-0.000872,-0.00057,-0.00034,-0.000746,-0.000772,-0.000408,-0.000583,-0.000439,0.0,-0.005597,1.1e-05,-1e-06,-2e-06,-0.000222,5e-06,-0.005874,4e-06,-0.000304,-0.000691,-0.000667,-0.000896,-0.000802,-0.000519,-0.000207,-0.000218,-0.000735,-0.000986,-0.000767,-0.006342,-0.000645,-0.000651,-0.000487,-0.00042,-0.000198,-0.005185,-0.000177,-0.001167,-0.000901,-0.000449,-0.000549,-0.000869,-0.000499,-0.000374,-0.000553,-0.000739,-0.001611,-0.001215,-0.002161,0.002084,-0.004919,0.00034,0.000149,-0.000588,0.002829,-0.003927,-0.006576,-0.007939,-0.010055,-0.009706,-0.0173,-0.012531,-0.01769,-0.006658,-0.005974,-0.004558,0.001936,0.002264,0.004273,0.005701,0.00568,0.007435,0.014108,0.015225,0.018228,0.028471,0.031704,0.031521,0.030131,0.027129,0.021987,0.022608,0.020019,0.021354,0.016263,0.010768,0.009135,0.013402,0.008202,0.005334,0.004681,0.003216,0.000407,-0.008608
-0.024387,-0.024189,-0.022604,-0.022324,-0.021416,-0.01589,-0.010578,-0.003994,-0.001705,-9.9e-05,0.00185,0.002233,0.006541,0.006781,0.007296,0.007233,0.006394,0.000796,0.003646,-0.001819,-0.001322,-0.001021,-0.001201,-0.000631,-0.000818,-0.000896,1.4e-05,-1.8e-05,1.1e-05,-0.000114,-0.000477,-0.000727,-0.00087,-0.000921,-0.000601,-0.000357,-0.000787,-0.000817,-0.000433,-0.000617,-0.000465,1e-06,0.004016,1.2e-05,0.0,-3e-06,-0.000235,6e-06,0.003722,4e-06,-0.000324,-0.000732,-0.000706,-0.000949,-0.000851,-0.000551,-0.00022,-0.000233,-0.000781,-0.001049,-0.000814,0.003223,-0.000688,-0.000694,-0.000518,-0.000449,-0.000211,0.003665,-0.000195,-0.001248,-0.000965,-0.000482,-0.000587,-0.000931,-0.000534,-0.000401,-0.000593,-0.000791,-0.001728,-0.002106,-0.002325,-0.007804,-0.005323,-0.009604,-0.009952,-0.01079,-0.016413,-0.014533,-0.016765,-0.018412,-0.020157,-0.020687,-0.019241,-0.023665,-0.020138,-0.028629,-0.027294,-0.025821,-0.028839,-0.028691,-0.02631,-0.025572,-0.024758,-0.022568,-0.026603,-0.023817,-0.020732,-0.018492,-0.013377,-0.003008,0.005628,0.012804,0.027469,0.038568,0.044534,0.045582,0.04979,0.052091,0.050369,0.044081,0.047632,0.043998,0.043025,0.040889,0.037658,0.038777
0.03023,1.215916,-1.66679,-0.434881,-0.12257,-1.956906,-0.094854,-1.684748,-0.150511,-0.145295,-0.023013,-0.042403,-0.185603,-0.307606,0.372081,-0.304942,-1.177636,0.379895,1.135355,-0.010562,-0.451794,-1.526988,0.06205,-0.001034,0.002491,0.002576,0.000376,0.000254,0.000209,0.000145,8.2e-05,5.2e-05,-0.012939,-0.026266,0.000997,6.5e-05,-7.1e-05,-6.2e-05,0.010529,0.001579,-8.7e-05,-8.1e-05,-0.036553,-5e-05,-3.9e-05,-2.5e-05,-0.171612,0.001859,-0.036554,-9.4e-05,-5.9e-05,-4.6e-05,-4e-05,-2.8e-05,0.019724,-4e-06,-8e-05,-0.351899,0.0032,-0.001574,-0.000111,-0.036568,-6.2e-05,-4.9e-05,-2.6e-05,-2.4e-05,-2.1e-05,-0.04746,0.0,-0.001898,-9e-06,-7e-06,-1.1e-05,-1.5e-05,-0.013033,-6e-06,-5e-06,-5e-06,-1e-06,-0.002653,0.38991,0.074507,0.030497,1.938963,-0.09835,0.12235,1.000917,-0.262438,3.697167,-0.094841,0.027446,-0.335449,-0.318109,-0.428053,0.085921,3.037083,0.185089,0.284372,-0.033101,0.709808,-0.151468,3.683268,0.648923,-0.016972,4.053012,0.183056,1.184877,0.443385,0.18601,0.011676,1.403524,3.912929,0.025091,0.076588,1.557718,0.091616,4.236092,4.535726,0.210907,-0.080875,-0.175324,4.335722,4.391081,0.202717,0.239898,-0.170524
-0.064503,1.819811,-2.127529,0.140549,0.111085,-2.011966,-0.248307,-2.524291,-0.243514,-0.250854,0.057342,-0.07905,-0.252628,-0.95391,-0.410264,-0.91553,-2.68605,-0.284008,2.07308,-0.03098,-0.700848,-2.291893,-0.056269,0.002253,-0.014211,-0.014471,0.000505,0.000319,0.000268,0.000186,0.000123,7.9e-05,0.105625,0.131543,-0.000798,-0.000194,-5.9e-05,-5.1e-05,-0.006282,-0.001267,-0.000136,-9.1e-05,0.009893,-4.7e-05,-3.6e-05,-2.1e-05,0.173651,-0.001402,0.00982,-9.8e-05,-6.8e-05,-3.8e-05,-2.1e-05,-2.3e-05,-0.109767,-0.000229,-0.000122,0.390577,-0.002293,0.01481,-0.000118,0.00987,-5.6e-05,-5e-05,-2.8e-05,-2.8e-05,-1.4e-05,0.100129,-1.1e-05,0.015268,7e-06,-4e-06,-8e-06,7e-06,0.105422,-8e-06,0.0,-5e-06,8e-06,-0.004674,0.685816,-0.053977,-0.072685,2.177925,0.181086,0.371712,1.352665,0.259094,4.190301,0.676556,0.029297,0.348349,0.676455,0.584757,0.027152,2.149431,1.046509,0.239686,0.23661,2.883626,0.936017,2.712463,1.461703,0.553557,4.997515,0.903814,1.179919,0.582486,0.843384,0.283214,0.922223,2.842437,-0.026484,0.039595,0.205559,-0.068635,2.105798,1.745159,-0.036031,0.17078,0.247421,2.032209,2.014382,-0.477547,-0.549787,0.035061
0.097499,-1.630199,-4.517198,-0.042155,0.130779,-4.325874,-0.319318,-4.795865,-0.406417,-0.366359,-0.149151,-0.096763,-0.408441,-1.582116,-0.253114,-1.584388,-4.959095,-0.325924,-1.387379,-0.005083,-1.426204,-4.764758,-0.07573,0.002581,0.031112,0.030771,0.001014,0.000685,0.000567,0.000373,0.000257,0.000174,-0.167895,-0.141618,-0.000354,-0.000224,-0.000142,-9e-05,-0.000707,-0.000533,-0.000259,-0.000169,-0.018595,-9.8e-05,-6.9e-05,-5e-05,0.110783,-0.000555,-0.018703,-0.000195,-0.000136,-9.4e-05,-8.2e-05,-5e-05,0.167233,-0.000272,-0.000227,0.272539,-0.000767,-0.024777,-0.000255,-0.018646,-0.000115,-9.2e-05,-6.8e-05,-3.9e-05,-3.8e-05,-0.157391,-1.9e-05,-0.024369,-1.5e-05,-6e-06,-1e-06,-8e-06,-0.16813,-0.0,-4e-06,-1e-06,-8e-06,0.008441,-0.489267,0.130805,0.113503,4.736687,0.148952,0.040435,1.140803,0.344163,3.759877,0.793882,0.108537,0.357473,0.310175,0.123498,0.169118,4.267071,-0.366483,0.495795,0.069012,-1.204302,0.56623,3.9134,1.125656,-0.125946,1.727958,0.044283,0.62416,0.153404,0.340214,0.109178,0.999976,3.104877,-0.013559,0.107173,0.507019,0.076991,2.527596,2.11547,-0.540044,-0.391939,-0.367865,2.31442,2.299207,-0.438199,-0.486135,-0.171678
0.000309,0.000289,0.000352,0.000393,0.000323,0.000461,0.000407,0.000351,0.000377,0.000275,0.000267,0.000214,0.000204,-0.007331,-0.007219,-0.007198,-0.014556,-0.02192,-0.021837,-0.028972,-0.028657,-0.035792,-0.035795,-0.043038,-0.050675,-0.043272,-0.043436,-0.036233,-0.036221,-0.035925,-0.035394,-0.027481,-0.027292,-0.027113,-0.012291,-0.01215,-0.005551,-0.005878,-0.005579,-0.006085,0.000874,0.001239,-0.005248,0.00143,-0.004704,-0.004301,-0.00426,0.002799,0.002333,0.00226,0.001323,0.001236,0.000804,0.000455,0.000803,0.001491,-0.00533,-0.005617,0.001348,0.001124,0.001128,-0.006638,-0.006435,-0.006012,0.000756,0.000468,-0.006613,-0.006912,-0.006807,-0.006808,-0.006861,-0.006796,0.000238,-0.006656,0.000525,-1.2e-05,-6.5e-05,0.000316,0.007026,0.006458,0.012902,0.005955,0.006337,0.013659,0.006994,0.007058,0.014078,0.013735,0.021261,0.02121,0.028651,0.02176,0.021851,0.02161,0.021467,0.028249,0.027972,0.027977,0.027968,0.021115,0.020934,0.014178,0.013927,0.007041,9e-06,0.006757,0.006677,0.00659,-0.000498,-0.000716,-0.00056,-0.000657,-0.000597,-0.000567,0.006657,-0.000347,-0.000348,-0.000271,-0.000218,-0.000113,0.00698,-2e-06,-2.6e-05,-3.8e-05,-4.6e-05,-1e-05
0.002725,0.002552,0.003122,0.003505,0.003479,0.004146,0.003681,0.003168,0.008959,0.008012,0.013223,0.012955,0.012861,0.018538,0.024733,0.024725,0.025678,0.026035,0.020956,0.022609,0.023799,0.024483,0.018869,0.018989,0.007576,0.007206,0.001515,0.000302,0.000467,0.001849,0.004128,0.005801,0.006452,0.006857,0.006253,0.006712,-0.000993,-0.002323,0.003033,-0.00318,-0.004934,0.000691,0.008428,0.001424,0.010455,0.011967,0.012098,0.011017,0.005089,0.004779,-0.002977,-0.003287,-0.009125,-0.010494,-0.009088,-0.002192,-0.000412,-0.005682,-0.002713,-0.003609,0.00049,-0.005699,-0.000831,0.004926,0.003022,0.001853,0.002449,0.001272,0.001516,0.001652,0.001461,0.001702,0.000907,0.002215,0.006031,-3.3e-05,-0.000242,0.005237,0.00327,0.001079,-0.005999,-0.004972,-0.003523,-0.003188,-0.000947,-0.000704,-0.001504,-0.006996,-0.001613,-0.001787,-0.000674,0.00077,0.001392,0.000484,-9.6e-05,-0.001771,-0.003084,-0.003059,-0.003112,-0.001566,-0.006993,-0.000416,-0.006336,-0.000465,6.2e-05,-0.006702,-0.00722,-0.007783,-0.007532,-0.008877,-0.003458,-0.00401,-0.003663,-0.003473,-0.00313,-0.002118,-0.002132,-0.001645,-0.001332,-0.000692,-0.00123,-1.2e-05,-0.000155,-0.000223,-0.000271,-5.1e-05
0.003732,0.003489,0.004255,0.004759,0.004772,0.005595,0.004949,0.004249,0.000485,-0.000787,-0.0053,-0.005669,-0.005796,-0.009676,-0.01286,-0.01286,-0.011602,-0.011171,-0.00652,-0.00446,-0.002965,-0.002358,0.001457,0.001231,0.00836,0.007949,0.01148,0.009973,0.0101,0.01169,0.014446,0.016803,0.017539,0.017854,0.017818,0.01831,0.019922,0.01819,0.01391,0.017037,0.015315,0.011393,0.009571,0.01218,0.011816,0.013471,0.013559,0.012591,0.015986,0.015493,0.016964,0.016556,0.020162,0.018615,0.020115,0.017555,0.019106,0.023293,0.016823,0.015852,0.010313,0.013296,0.008589,0.004812,0.003134,0.001916,0.002227,0.001012,0.00121,0.00139,0.001197,0.001438,0.000936,0.001959,-0.003484,-3.4e-05,-0.00025,-0.004302,-0.006005,-0.008276,-0.00557,-0.004844,-0.003351,-0.002703,-0.000686,-0.000439,-0.000993,0.003033,-0.000865,-0.001085,0.000271,0.001491,0.002072,0.001079,0.000457,-0.001133,-0.002544,-0.002583,-0.002669,-0.001264,0.002811,-0.000239,0.003355,-0.000395,5.2e-05,0.00289,0.002363,0.001787,0.00196,0.000581,-0.003552,-0.004135,-0.003786,-0.003602,-0.003162,-0.002204,-0.00222,-0.001716,-0.00139,-0.000722,-0.001197,-1.3e-05,-0.000163,-0.000234,-0.000285,-5.6e-05
-0.00707,-0.002219,-0.000297,8e-06,-3.724499,-0.029447,0.001191,0.001185,0.037409,0.035043,0.239254,0.438409,1.330034,0.11555,0.151264,0.151176,0.1302,0.020502,-1.012767,-0.967651,-4.006331,-0.834003,0.642332,0.464413,-4.080703,0.159637,0.466395,-3.86992,0.377121,1.169998,0.251852,0.325427,0.123555,0.257025,0.249865,-0.042851,-0.081138,-0.075301,-0.030969,-0.06571,-0.067904,0.230149,0.000743,0.243573,0.130704,-0.030217,-0.399552,0.061035,0.061384,-2.967865,-0.067012,0.005528,-0.112882,-0.10323,-0.113763,0.233341,0.145808,-0.105881,0.071417,-0.081519,-0.03207,-0.070161,-0.035678,0.021258,-0.00055,0.842677,0.251141,0.073431,2.80179,0.844195,0.07323,0.03455,0.883934,0.094985,0.047581,0.004356,-0.085414,0.045138,0.314509,0.056462,0.020209,0.011871,-0.030608,0.005907,0.002408,0.855052,0.00147,-0.046143,0.242232,0.009948,0.006313,0.00295,-0.123732,-0.430028,-0.115943,-0.124184,0.007639,0.007044,0.007399,0.004312,-0.030852,0.00417,-0.041977,0.001316,0.002161,-0.03153,-0.034241,-0.034343,0.015101,-0.036889,0.807847,-0.270007,0.019859,0.281844,-0.034222,-0.128229,0.015611,-0.011591,-0.262427,0.000942,0.016778,0.018989,0.021024,-0.160391,0.012529,-0.022138
