0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0.005225,0.005263,0.010528,0.004634,0.004648,0.004681,0.004641,0.004642,0.004912,0.004933,-0.000806,0.00494,-0.001406,-0.000974,-0.000905,-0.001474,-0.002168,-0.007925,-0.002352,-0.002406,-0.007543,-0.001935,-0.002031,-0.000901,-0.001589,-0.006084,-0.000431,-0.006648,-0.000422,-0.000978,-0.012108,-0.012164,-0.012891,-0.01224,-0.017765,-0.012145,-0.017126,-0.011516,-0.011474,-0.005924,-0.011525,-0.005865,-0.000254,-0.000219,-0.000108,0.000534,0.000537,-2e-05,4e-06,-1e-06,5.2e-05,4e-06,2.6e-05,0.000494,-0.000155,-0.000149,-0.000104,-8.5e-05,-6.8e-05,-1.8e-05,-3.7e-05,2e-06,1.8e-05,-0.006108,-7e-06,0.005523,-7.2e-05,-0.000152,-8.5e-05,-0.005629,-7.2e-05,-2e-06,5e-06,1.6e-05,2.8e-05,-3.3e-05,-6e-05,-3.8e-05,-3.9e-05,-8.3e-05,-6.9e-05,-6.6e-05,6.4e-05,8e-05,-3e-06,-5.4e-05,2.4e-05,6.6e-05,4.8e-05,3.8e-05,-2e-06,0.0,1.3e-05,7.3e-05,9.2e-05,0.005612,0.000102,0.000177,0.000261
0.004994,0.004584,0.009049,0.009792,0.009579,0.009199,0.009533,0.009459,0.006824,0.006644,0.006015,0.006561,0.010741,0.007573,0.007073,0.011387,0.017026,0.01679,0.018843,0.019368,0.014414,0.015819,0.016701,0.007754,0.013312,0.003473,0.004099,0.007985,0.003958,0.0084,0.006016,0.006803,0.013325,0.008078,0.007063,0.007864,0.002147,0.002812,0.002547,0.003723,0.003567,0.003219,0.003322,0.002864,0.001404,-0.004743,-0.004764,0.000248,-7.5e-05,1e-06,-0.00068,-5.2e-05,-0.00034,-0.004174,0.002029,0.001939,0.001337,0.001087,0.000865,0.000221,0.00047,-4.3e-05,-0.000246,0.004379,9.6e-05,0.000978,0.000945,0.002006,0.001122,0.000491,0.000944,2.8e-05,-6.5e-05,-0.000213,-0.000364,0.000433,0.000787,0.000514,0.000513,0.001092,0.000911,0.000874,-0.000835,-0.001056,3.8e-05,0.000714,-0.00029,-0.000855,-0.000639,-0.000496,1.9e-05,8e-06,-0.000143,-0.00095,-0.001201,-0.00024,-0.001331,-0.002314,-0.003436
-0.005389,-0.00554,-0.011111,-0.010495,-0.010563,-0.010702,-0.010561,-0.010572,-0.011565,-0.011625,-0.011535,-0.011626,-0.016614,-0.010897,-0.011046,-0.016294,-0.02096,-0.020684,-0.020138,-0.019905,-0.014611,-0.014345,-0.013988,-0.003808,-0.008457,0.001641,0.00157,-0.003413,0.001504,-0.003566,-0.003854,-0.00355,-0.007825,-0.003065,-0.003131,-0.003138,0.001745,0.001682,0.001581,0.001692,0.001947,0.001497,0.001212,0.001041,0.000509,0.004938,0.004929,8.8e-05,-2.9e-05,1e-06,-0.000246,-1.7e-05,-0.000121,0.005144,0.00073,0.000699,0.000479,0.000389,0.00031,7.8e-05,0.000168,-1.6e-05,-8.8e-05,-0.004762,3.5e-05,3.9e-05,0.000339,0.000718,0.000402,0.000488,0.000339,1e-05,-2.4e-05,-7.6e-05,-0.000129,0.000156,0.000281,0.000184,0.000183,0.000388,0.000324,0.00031,-0.000298,-0.000376,1.3e-05,0.000256,-0.000102,-0.000305,-0.000228,-0.000177,4e-06,4e-06,-4.8e-05,-0.000339,-0.000429,-0.000398,-0.000476,-0.000829,-0.001234
-0.074848,-0.077447,0.076913,0.073513,0.03219,0.080889,-2.10251,0.08718,-0.222235,-0.235924,-0.05459,0.002381,-0.140001,-0.049045,2.995761,-0.208824,-0.058244,0.094077,-0.199068,-0.093162,0.125844,-0.460683,0.110857,0.037576,-0.090286,0.004131,0.001956,0.037716,-0.354405,0.049837,0.032485,0.037218,0.085149,0.041048,0.031671,0.023833,-1.716077,-0.001631,-0.004109,-0.000297,-0.002644,-0.013276,0.268029,-0.000112,-0.000145,-0.03632,-0.036295,-5.4e-05,-4.1e-05,-3.3e-05,9e-05,-7.9e-05,-5.3e-05,-0.036305,-0.009555,-6.4e-05,-3.3e-05,-3e-05,-1.8e-05,-1e-05,1.1e-05,-5.3e-05,-4.8e-05,0.034154,-2.9e-05,0.002023,-2.1e-05,0.001589,-1.6e-05,-0.002043,-1.1e-05,-4e-06,-1.3e-05,-6e-06,-7e-06,3.9e-05,-0.000104,-6.1e-05,-6.5e-05,-3.6e-05,-3.2e-05,0.001579,-2e-05,-1.4e-05,1e-06,-1e-05,-1.3e-05,-1e-05,2e-06,-9e-06,-1e-06,0.000211,-3.6e-05,-4.6e-05,-0.001638,0.002023,-2.2e-05,-2.1e-05,-0.001622
0.251716,0.2557,-0.03226,-0.017931,0.077052,-0.027473,-1.084563,-0.041862,0.631854,0.666982,0.281741,0.139265,0.526327,0.257173,0.694037,0.674651,0.437933,0.633071,0.146162,0.489425,-0.067551,-0.526653,-0.024643,-0.014918,-0.16639,0.008763,-0.01018,0.013795,0.601522,-0.016351,0.025337,0.011477,0.000648,0.013621,0.02953,0.08983,-1.515157,0.020168,0.030423,0.004367,0.019451,0.090447,0.109636,-0.000169,-4.3e-05,0.005807,0.005789,-7e-06,-2.1e-05,-2.4e-05,-0.000319,-2.5e-05,-2.6e-05,0.005733,0.064117,-1e-05,-2.4e-05,-1e-05,-1.1e-05,3e-06,-0.000187,-3.7e-05,-1.8e-05,0.009409,-1e-05,-0.01521,-1.5e-05,-0.010839,-2.6e-05,0.015207,-1.2e-05,-5e-06,-2e-06,-2e-06,-1e-06,-0.000317,-4.5e-05,-2.9e-05,-3e-05,-1.2e-05,-1.3e-05,-0.010843,-3e-06,-8e-06,2e-06,-1.3e-05,1.8e-05,-1e-06,8e-06,-1.1e-05,9e-06,-0.00045,-8.6e-05,-3.7e-05,0.010841,-0.015214,-6e-06,-1e-06,0.010848
0.14243,0.144097,0.104539,0.076066,0.108178,0.070309,1.42509,0.066067,0.298535,0.282541,0.118729,0.134324,0.257797,0.142052,4.732659,0.290463,0.227184,0.750937,0.565636,0.291733,0.218955,0.563968,0.088062,0.046872,0.211791,-0.007179,0.025852,-0.011626,0.273527,0.014584,-0.038033,-0.013134,0.003791,-0.016364,-0.040612,-0.196169,1.458776,-0.033104,-0.058961,-0.003232,-0.032161,-0.213174,0.41022,-0.000324,-0.000187,-0.020741,-0.0207,-7.8e-05,-5.7e-05,-5.3e-05,-0.000241,-0.000111,-6.7e-05,-0.020758,-0.157342,-7.8e-05,-5.9e-05,-4.8e-05,-3.5e-05,-2.5e-05,-0.000148,-0.000104,-5.5e-05,-0.008675,-4.6e-05,0.029202,-1.5e-05,0.02664,-1e-06,-0.029268,2e-06,-4e-06,4e-06,4e-06,5e-06,-0.000273,-0.00013,-0.0001,-7e-05,-5.6e-05,-2.7e-05,0.026629,-2.4e-05,-1.7e-05,-2.2e-05,-7e-06,-1.7e-05,-3e-06,-1.2e-05,8e-06,0.0,-0.000223,-0.000108,-6.7e-05,-0.026697,0.029208,-2.5e-05,-2e-05,-0.02667
-0.000303,5e-06,-0.005627,-0.005713,-0.000251,-0.00587,-0.006208,-0.006464,-0.0066,-0.006818,-0.012674,-0.018502,-0.018603,-0.024471,-0.024548,-0.030153,-0.036205,-0.036805,-0.037312,-0.048795,-0.049186,-0.055026,-0.055452,-0.056402,-0.056707,-0.057077,-0.056843,-0.050771,-0.038514,-0.038334,-0.031748,-0.025145,-0.01342,-0.007194,-0.006639,0.005013,0.004962,0.004288,0.003965,-0.001191,-0.00128,-0.001657,-0.002107,-0.001976,-0.007615,-0.006723,-0.006541,-0.006125,-0.00588,-0.00623,-0.006064,-0.005772,-0.011105,-0.005224,-0.010414,-0.010083,-0.016854,-0.017351,-0.011111,-0.017798,-0.011962,-0.012341,-0.012778,-0.006948,-0.006705,-0.006447,-0.011774,-0.011544,-0.006006,-0.000233,-0.000255,-0.000132,-0.006258,-0.001046,-0.001347,-0.001828,-0.002037,-0.002259,-0.001908,-0.001921,-0.001449,-0.001269,2.6e-05,-0.005465,0.005868,0.005724,0.005835,0.005111,0.005781,1.7e-05,0.004947,0.005009,0.004376,0.009283,0.008804,0.014419,0.019034,0.018399,0.018447
0.002197,0.004287,0.00495,0.004371,0.002582,0.003333,0.005358,0.00368,0.002823,0.005659,0.005079,0.004852,0.004383,0.004203,0.000176,0.001546,0.000895,-0.001369,-0.002758,-0.00464,-0.004896,-0.002831,-0.003787,-0.009453,-0.012301,-0.011706,-0.006317,-0.004979,-0.007853,-0.010463,-0.008671,-0.007249,-0.00954,-0.006132,-0.004481,-0.010869,-0.011027,-0.013196,-0.010446,-0.007038,-0.007295,-0.008375,-0.013246,-0.012853,-0.014264,-0.008067,-0.011098,-0.009904,-0.009189,-0.003007,-0.002544,-0.001724,0.004881,0.003347,0.006739,0.007609,0.00659,0.005223,0.00826,0.004015,0.005974,0.001435,0.000333,-0.001269,-0.00062,-0.003453,-0.000478,0.003644,-0.002285,-0.004099,-0.004155,-0.000317,0.000614,-0.00616,-0.003387,-0.004598,-0.008642,-0.00919,-0.008307,-0.008338,-0.00715,-0.006701,7.8e-05,0.002744,-0.001728,0.001438,0.001716,-0.000116,0.0051,0.007074,0.002968,0.006635,0.005004,0.004277,0.002954,0.00401,-0.001264,-0.00678,-0.003286
-0.006124,-0.005463,-0.004942,-0.005117,-0.005988,-0.005438,-0.011604,-0.01213,-0.012392,-0.018289,-0.018151,-0.017897,-0.018045,-0.017783,-0.012298,-0.01152,-0.011417,-0.012193,-0.012693,-0.005849,-0.005952,-0.004886,-0.005217,-0.000424,0.005421,0.0056,0.000651,0.000793,0.006019,0.012049,0.012443,0.012693,0.011099,0.00501,0.005671,0.009546,0.009486,0.008671,0.002559,0.004285,0.00418,0.003739,0.008929,0.009096,0.016066,0.011438,0.017434,0.017944,0.018261,0.006338,0.006532,0.006877,0.002677,0.001733,0.003455,0.003829,0.003746,0.003183,-0.003146,0.00269,-0.00408,0.001292,0.000832,-0.000175,9.3e-05,0.006175,0.007753,0.002203,0.006664,0.00557,0.005547,-0.000125,0.000602,0.004714,-0.001409,-0.001922,0.003662,0.003424,0.003792,0.003774,0.004279,0.004468,3.3e-05,0.001497,-0.001065,-0.007044,-0.006918,-0.0077,-0.012789,-0.011612,-0.01369,-0.01942,-0.02012,-0.028066,-0.028645,-0.035814,-0.038489,-0.033667,-0.039483
-0.022165,0.002161,-0.118919,0.008136,0.037024,-0.048156,-0.024928,-0.004031,-0.006317,-0.090597,-0.07125,0.002462,0.053414,0.105909,0.022789,0.00946,0.241443,0.061223,-0.225008,-0.05733,-0.278866,0.016783,-3.398717,0.674044,-0.331387,0.140514,0.015292,0.044985,-0.06898,0.189727,-0.85447,0.04827,-0.018807,0.019665,-0.008212,-0.07805,0.154036,3.222451,-0.02432,-0.031232,-0.014271,-0.031363,-0.146324,-0.045539,0.011908,-0.058568,-0.048396,-0.10848,-0.104752,-0.037585,-0.039594,-0.05492,-2.216134,0.012304,-2.209116,0.002467,-0.002623,-0.002934,0.036277,-0.001179,0.033477,-0.001936,-0.001964,-0.000979,-0.003114,0.01592,-0.037759,0.255282,-0.040699,0.178723,0.082657,0.094723,-0.004934,-0.035481,-0.003111,-0.010167,-0.04522,-0.020099,-0.018429,0.020819,0.001312,-0.032865,0.020744,0.045022,0.213838,-0.649316,0.181695,-0.14936,0.100873,0.081856,-0.103254,-0.798859,0.072801,0.113157,0.090582,0.107566,-2.123683,0.14219,0.170851
