0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
-0.022935,-0.0238,-0.022133,-0.015384,-0.01547,-0.007486,-0.007624,-0.007749,-0.007127,-0.007244,-0.000784,-0.000792,-0.000777,-0.000602,-0.007254,-0.00067,-0.007132,-0.013669,-0.013697,-0.013827,-0.007275,-0.013938,-0.013955,-0.01384,-0.007147,-0.007137,-0.00039,-0.006908,-0.006864,-6.6e-05,1.1e-05,2.8e-05,2.2e-05,3.6e-05,-1e-06,-4e-06,1.9e-05,8e-05,3.1e-05,1.3e-05,-2e-06,2e-06,-0.000608,-8.3e-05,-2e-06,-0.000657,4e-06,7.1e-05,-0.007201,-7.9e-05,-0.006542,-0.006543,-1e-06,-0.0,0.000676,0.000691,0.000818,0.006789,0.000185,0.007443,0.00701,0.008421,0.01426,0.01495,0.021711,0.015334,0.022786,0.023052,0.029793,0.022488,0.029155,0.0226,0.02275,0.016151,0.01628,0.022169,0.021767,0.021681,0.028167,0.027576,0.027443,0.020439,0.005046,0.004923,-0.002927,-0.008906,-0.000978,-0.000434,0.000561,-0.005684,-0.012271,-0.012882,-0.007316,-0.002644,0.003964,0.003414,0.004089,-0.002664,0.004064,0.011304,0.011727,0.018345,0.012465,0.013773,0.01937,0.019751,0.025311,0.025568,0.025996,0.012644,0.006134,0.006171,-0.000742,-0.014033,-0.01388,-0.013271,-0.019521,-0.012083,-0.019343,-0.012066,-0.012155,0.000287
0.0168,0.022585,0.011685,0.012468,0.013279,0.004904,0.005903,0.006788,0.002367,0.003236,0.005502,0.00556,0.005458,0.004242,0.00356,0.004769,0.002859,0.001597,0.001863,0.003026,0.0044,0.004225,0.004636,0.003991,0.003976,0.003958,0.003277,0.002227,0.001888,0.000554,-0.0001,-0.000251,-0.000194,-0.000307,1.5e-05,3.2e-05,-0.000161,-0.000689,-0.000269,-0.000103,1.9e-05,-2e-06,0.004693,0.000721,2.7e-05,0.005126,-4e-06,-0.000602,0.004346,0.000713,-0.000785,-0.000791,-5e-06,-2.5e-05,-0.005344,-0.00547,-0.00661,-0.001325,-0.001639,-0.006322,-0.003067,-0.013909,-0.007094,-0.012226,-0.012312,-0.014402,-0.019518,-0.020639,-0.01929,-0.014583,-0.013076,-0.01411,-0.014394,-0.015853,-0.016143,-0.00892,-0.006096,-0.005439,-0.002513,0.00081,0.001513,0.001614,0.010638,0.011203,0.016541,0.010733,0.004873,0.002169,-0.002829,-0.006355,-0.008211,-0.004278,0.003779,0.017497,0.019269,0.022075,0.017553,0.016657,0.017495,0.014647,0.011332,0.01256,0.006371,-0.002192,0.004965,0.001851,0.007557,0.004697,0.001329,-0.000764,-0.002471,-0.002682,-0.001083,-0.001196,-0.00034,-0.002859,-0.003906,-0.00798,-0.004712,-0.008115,-0.007769,-0.001343
-0.019133,-0.02323,-0.014453,-0.014545,-0.014,-0.00407,-0.003354,-0.00272,0.002367,0.002979,0.003937,0.003969,0.003885,0.003011,0.003157,0.003366,0.002644,0.002376,0.002558,0.003356,0.003681,0.004158,0.004418,0.00395,0.003326,0.003303,0.002238,0.002103,0.001869,0.000379,-6.7e-05,-0.000171,-0.000131,-0.000208,1.1e-05,2.1e-05,-0.000107,-0.000467,-0.000183,-6.9e-05,1.3e-05,-1e-06,-0.00489,0.000489,1.9e-05,-0.00459,0.0,-0.000406,-0.004534,0.000487,5.3e-05,4.8e-05,-2e-06,-1.6e-05,0.004443,0.004359,0.003585,-0.001485,-0.001119,0.003195,-0.002683,0.006101,0.002047,0.006646,0.005974,0.005119,0.009119,0.008307,0.008581,0.004238,0.004631,0.004508,0.004267,0.003873,0.003626,-0.000237,0.001791,0.002255,0.003662,0.006087,0.006595,0.007387,-0.001364,-0.000948,-0.004714,0.000152,0.003532,0.001575,-0.002041,-0.003883,-0.004521,-0.010058,-0.013299,-0.020763,-0.020171,-0.018077,-0.012982,-0.012907,-0.012995,-0.007436,-0.001513,-0.001346,0.003181,0.013587,0.009728,0.015755,0.019081,0.025223,0.031038,0.030877,0.030303,0.030118,0.023675,0.016757,0.009192,0.007504,-0.000637,0.004087,-0.001181,0.003995,0.004221,-0.000883
-5.067019,0.207365,0.142876,0.12936,-2.977351,0.061516,0.049449,0.038329,0.000854,-0.000155,0.003607,0.003455,0.005229,0.003968,0.000547,-0.00981,-0.001748,-0.001018,-0.001285,0.002049,0.000102,-0.002371,-0.012334,-0.000748,-0.000391,-0.000378,-2.4e-05,-0.000384,-0.000376,-0.011658,-7e-06,-1.1e-05,-1.2e-05,-1e-06,3e-06,9e-06,-4.3e-05,-2.7e-05,-2.7e-05,0.000218,-7.9e-05,-4.8e-05,0.036145,0.001666,0.003325,0.036188,0.002138,0.004044,0.03519,7.4e-05,-0.002078,-0.00209,-5.7e-05,-2.1e-05,-0.03626,-0.036239,-0.037931,-0.004949,0.003554,0.136014,1.863438,-0.050708,-0.01948,0.113214,1.770666,0.077124,0.477029,1.700452,-0.137718,-0.09346,1.784917,0.525692,-0.106169,1.789636,-0.044966,-0.045052,-0.029719,-0.146715,-0.036096,-0.056478,-0.190609,-0.050804,0.037643,-0.228781,0.085863,0.027752,0.01166,0.000377,-0.001594,-0.004264,-0.005513,0.026983,0.06786,0.11681,0.063576,0.013672,0.054642,-0.092101,0.028007,0.038412,0.046315,-0.005732,0.000213,-0.065426,-0.01331,-0.06296,0.030981,-0.409927,-0.134586,0.09202,0.076406,0.081686,-0.066382,-0.090104,0.052132,-0.00643,0.024526,0.173812,0.069372,-0.026139,0.145778,0.004737
-1.452266,-0.132705,-0.213922,-0.137831,-0.391014,-0.157346,-0.072789,-0.000507,0.017377,0.002789,-0.024786,-0.024911,-0.009593,-0.010656,0.003461,0.073551,0.015451,0.019098,0.032694,0.021577,0.003147,0.018002,0.091462,0.005497,0.002748,0.002745,-1e-06,0.002726,0.00275,0.085968,-4e-06,-7e-06,2e-06,4e-06,3e-06,-7.2e-05,-1e-05,-9e-06,6e-06,-0.000164,-2.4e-05,-2e-06,-0.00585,-0.012479,-0.003955,-0.006031,0.001784,0.003323,0.010182,9.4e-05,0.015198,0.015195,-2.6e-05,9e-06,0.005959,0.005946,0.018448,-0.006969,-0.092562,0.141352,1.435283,-0.164157,-0.095436,0.042089,1.487892,0.228509,0.580419,1.76748,0.20926,0.134913,1.588708,0.559204,0.104466,1.542754,0.192773,0.058552,-0.042065,0.249615,-0.055058,-0.008339,0.434916,0.044376,-0.037421,0.434996,-0.029889,0.067691,-0.090115,-9.3e-05,0.011014,0.025839,0.041679,0.056728,0.020454,0.060504,0.210186,0.392294,0.183276,0.437592,0.265741,0.133415,-0.083751,-0.012184,0.058272,-0.035783,-0.148736,-0.050306,-0.325441,-0.164259,-0.077499,-0.425912,-0.386388,-0.517302,-0.024586,0.165442,-0.255717,-0.080233,-0.053656,-0.640305,-0.183193,-0.004211,0.177253,0.004191
-2.636529,0.372614,0.511558,0.336219,-4.197107,0.347734,0.168925,0.016655,-0.030818,-0.003104,0.051912,0.051982,0.023432,0.024227,-0.00394,-0.153008,-0.029446,-0.033605,-0.060578,-0.035915,-0.003691,-0.032629,-0.185618,-0.006653,-0.003321,-0.003327,-2e-06,-0.003314,-0.003321,-0.178957,2e-06,-4e-06,1e-06,-4e-06,-7e-06,-0.000157,-7.2e-05,-5.3e-05,-3.6e-05,-0.000218,-0.0001,-6.6e-05,0.020627,0.025874,-0.002014,0.020332,-0.001894,-0.003233,-0.009518,-0.000174,-0.029304,-0.029294,-2.7e-05,-4.8e-05,-0.020749,-0.02072,-0.046622,0.007236,0.18505,-0.137598,-1.16316,0.321698,0.189217,0.07297,-1.124363,-0.331538,-0.613375,-1.88933,-0.513147,-0.340415,-1.716539,-0.647888,-0.165532,-1.855625,-0.437576,-0.167459,0.065834,0.394904,0.067198,0.118589,0.142315,-0.115187,0.069843,0.302217,0.054447,-0.136522,0.209249,0.000329,-0.025841,-0.054692,-0.084693,-0.085397,-0.011439,0.117047,0.196422,0.096932,-0.033648,0.151452,0.006247,-0.0471,0.093012,-0.038728,-0.127753,0.040853,0.296224,0.099809,0.035834,-0.27304,0.143843,-0.405434,-0.414088,-0.624478,-0.416403,-0.382282,-0.146374,-0.095422,-0.126661,-0.383756,-0.186121,-0.09188,-0.203115,-0.003608
-0.026458,-0.026379,-0.026831,-0.033794,-0.033705,-0.033368,-0.033745,-0.034007,-0.040736,-0.040816,-0.047301,-0.040623,-0.047461,-0.040685,-0.034262,-0.034246,-0.028133,-0.015109,-0.015033,-0.015429,-0.016555,-0.016827,-0.01117,-0.011288,-0.017542,-0.010283,-0.016402,-0.016883,-0.02298,-0.02362,-0.017548,-0.011155,-0.011342,-0.017544,-0.00986,-0.009342,-0.008001,0.000286,0.007291,0.00683,0.007122,0.007772,0.001429,0.007022,0.006555,0.006407,0.006799,0.013656,0.013321,0.013255,0.020647,0.028013,0.035098,0.035404,0.036303,0.036412,0.042732,0.042269,0.035791,0.028787,0.022528,0.015444,0.014898,0.014289,0.020402,0.013594,0.020865,0.021152,0.008033,0.008259,0.014946,0.01538,0.015597,0.015534,0.022199,0.022281,0.015281,0.014987,0.014505,0.007257,0.007042,0.006681,0.00639,0.006403,0.00651,0.013401,0.00664,0.013459,0.006777,0.007411,0.007495,0.007489,0.007203,0.00028,0.000101,-0.000346,-0.007217,-0.000398,-0.000779,-0.000862,-0.000815,-0.000956,-0.007814,-0.001117,-0.001186,-0.001842,-0.008984,-0.008623,-0.00864,-0.008347,-0.000736,-0.000477,4.4e-05,0.000673,0.008064,0.008341,0.00825,0.008458,0.008581,0.015714,0.015863,0.009268
0.014615,0.014862,0.008437,0.004297,0.004712,0.010197,0.004638,-0.000306,0.000932,0.000842,0.003073,0.001912,-0.000879,0.002222,-0.003624,-0.003291,-0.006216,-0.009914,-0.009601,-0.00692,-0.01384,-0.010838,-0.018948,-0.019099,-0.015874,-0.012189,-0.004869,-0.009757,0.001295,-0.003951,-0.007353,-0.010071,-0.010358,-0.006813,-0.006165,-0.004768,-0.001238,0.004426,0.003064,0.001869,0.002628,0.008027,0.011102,0.006091,0.004861,0.004466,0.009201,0.007519,0.006642,0.006465,0.00628,0.006108,0.005164,0.006269,0.012965,0.017516,0.01085,0.009842,0.016699,0.01397,0.017724,0.014736,0.009213,0.003317,-0.004318,-0.006783,-0.002643,-0.005422,-0.000725,0.000205,-0.005454,0.000261,0.001281,0.001133,-0.000432,0.000143,0.000729,-0.000412,-0.002329,-0.003103,-0.00402,-0.005855,-0.010877,-0.00682,-0.010416,-0.015661,-0.009937,-0.011093,-0.005339,0.00163,0.002025,0.002024,-0.00336,-0.002757,-0.003571,-0.005647,-0.008895,-0.009942,-0.007612,-0.007991,-0.004287,-0.004344,0.000814,-0.000992,-0.001372,-0.008304,-0.008278,-0.006532,-0.006554,-0.00516,-0.003216,-0.002073,0.000204,0.002957,0.003925,0.009255,0.004886,0.005919,0.006541,0.006733,0.007698,0.010299
-0.00645,-0.006292,-0.002334,0.003182,0.003435,-0.001177,0.003327,0.008248,0.00906,0.008961,0.010399,0.009597,0.015914,0.009698,0.014038,0.014222,0.012278,0.009864,0.010063,0.003579,0.007185,0.000884,0.003711,0.003533,0.005603,-0.000156,-0.003604,0.001341,-0.007883,-0.003203,-0.005551,-0.007368,-0.007682,-0.005361,-0.004744,-0.003731,-0.001125,-0.005308,-0.006111,-0.007009,-0.006442,-0.011027,-0.008946,-0.01246,-0.013379,-0.013676,-0.01875,-0.019796,-0.020463,-0.020603,-0.020552,-0.020509,-0.021072,-0.020265,-0.023896,-0.029132,-0.025405,-0.02621,-0.029821,-0.023445,-0.020727,-0.014498,-0.010065,-0.00591,-0.002968,0.003637,-0.00175,0.004706,0.00803,0.008696,0.013083,0.008741,0.00944,0.009312,0.008164,0.008528,0.008895,0.008073,0.0067,0.006161,0.005519,0.004338,0.009068,0.003553,0.009395,0.014195,0.009738,0.008898,0.00459,0.001101,0.001378,0.001375,0.005975,0.006433,0.005868,0.004428,0.010512,0.009805,0.003067,0.002798,-0.002849,-0.003043,-0.0078,-0.009112,-0.009375,-0.005913,-0.005925,-0.004707,-0.004739,-0.003753,-0.002345,-0.001512,0.000146,0.002156,0.00286,-0.00178,0.00352,0.004248,0.00468,0.004764,0.0054,0.007198
-0.603519,0.045942,0.035435,-1.12257,-0.018715,-0.288458,0.056472,-1.054411,-1.02017,0.012886,0.032354,-0.031223,-0.103118,0.059489,2.215681,-0.071915,-0.069166,-0.067456,-0.061831,-0.030777,0.138674,2.191909,0.712781,-0.069339,-0.029227,-0.060253,-0.283347,-0.03383,0.026627,-0.006616,-0.00743,-3.035456,-0.284206,0.178845,-0.0025,0.112696,-0.829483,0.151929,0.036399,-0.043899,0.040036,0.073124,0.076059,0.030357,0.071403,0.074555,0.108698,0.093372,0.113371,-0.113297,0.096154,0.065592,-2.164732,0.056575,0.09338,0.178465,0.132379,0.130558,0.164915,-2.163241,0.122077,0.101563,0.066112,0.030776,0.141639,-0.033297,-0.000727,-0.027619,-0.037698,0.016492,-0.070871,-0.035736,0.130819,0.000355,-0.037923,-0.273941,-0.035367,-0.031968,-0.037793,-0.032866,0.028788,-2.659139,-0.067961,-0.049945,0.101592,-2.663964,-0.032729,0.07996,0.027648,0.001507,0.002518,0.000927,-0.089045,0.016179,0.09208,-0.037947,2.391552,-0.070085,0.031969,-0.031907,-2.255687,-0.205759,-0.006191,0.032159,-0.617386,0.075955,0.11651,-0.004679,-0.042368,0.011729,0.040079,0.084621,0.001021,0.008014,0.017443,0.049877,-0.743856,0.081674,0.003855,-0.145114,0.008305,-0.848709
