0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.007286,0.007357,0.007244,-0.00037,-0.001649,-0.001767,-0.007274,-0.000662,-0.001606,-0.001503,-0.000317,-0.001399,-0.000351,0.000765,8.9e-05,2.3e-05,7.3e-05,6e-06,-3e-05,-0.000103,0.000136,0.007761,-1e-06,-9.4e-05,-0.00013,-0.000176,0.0006,0.001602,-0.017848,-0.017668,-0.032632,-0.041438,-0.042459,-0.037417,-0.038213,-0.026141,-0.007768,0.01245,0.018728,0.025559,0.034173,0.050462,0.057469,0.05269,0.047453,0.041879,0.035601,0.02137,0.009047,0.009838,0.002854
-0.001519,-0.001795,-0.001286,0.002904,0.00958,0.010064,0.002825,0.004149,0.009415,0.008987,0.00271,0.00855,0.002842,-0.003145,-0.000359,-8.4e-05,-0.0003,-2.2e-05,0.000121,0.000424,-0.000563,-0.004828,9e-06,0.000387,0.00054,0.000725,-0.003858,-0.009383,-0.014634,-0.015486,-0.008716,0.002225,0.008373,0.020153,0.026319,0.035785,0.04783,0.046755,0.047657,0.04523,0.031056,0.012166,0.009209,-0.001597,-0.01013,-0.015844,-0.01751,-0.013437,-0.017696,-0.020401,-0.018068
-0.002245,-0.002489,-0.002054,-0.006254,-0.009229,-0.008805,-0.005373,-0.005158,-0.009345,-0.009711,-0.006412,-0.010087,-0.006299,-0.002765,-0.000318,-7.3e-05,-0.000264,-2e-05,0.000106,0.000372,-0.000495,0.003601,9e-06,0.000341,0.000475,0.000638,0.00541,0.009364,0.00755,0.006814,-0.002922,-0.01008,-0.013543,-0.021776,-0.025104,-0.027349,-0.027994,-0.022543,-0.022511,-0.016789,-0.004121,0.01194,0.016938,0.025458,0.03601,0.040502,0.040016,0.036767,0.035059,0.032852,0.027288
0.000307,-0.007476,0.00558,0.048555,0.007461,-0.096373,-0.105873,0.037486,-0.044413,0.066988,-0.006969,0.037155,0.027466,0.001095,0.000577,0.000561,0.000318,0.000192,0.00016,0.000115,7.8e-05,-0.034147,-0.000319,1.1e-05,-7.7e-05,-7e-05,-0.022621,-0.034777,-5.365343,-5.548997,-0.415714,-1.359024,-0.381243,-0.212598,-4.678801,0.459836,0.251027,-4.905643,-0.339484,1.168702,0.126164,0.15858,0.190537,0.118291,-0.005734,0.0281,-0.171407,-0.200876,-0.194505,-0.170428,-0.054374
-0.009951,-0.003855,0.068959,-0.010804,0.141623,0.446429,0.38451,-0.020233,0.295453,-0.004813,0.099924,0.073662,0.003289,-0.00426,-0.00161,-0.000225,-0.00012,-8e-06,9e-06,1.6e-05,-1.5e-05,-0.009452,-0.001195,-0.000486,-4e-06,-3.7e-05,-0.026108,-0.000634,-1.175398,-0.698278,-0.224775,-0.620768,0.094656,-0.078557,-0.217207,-0.414618,0.083303,0.373362,2.006752,1.767647,-0.047661,-0.601173,-1.213053,-0.606873,-0.503206,-0.664774,-0.004636,0.130539,0.01031,-0.140026,-0.668889
0.005183,0.008732,-0.035829,-0.015416,0.146075,0.363865,0.254708,0.007838,0.258863,0.008869,0.058669,0.065136,-0.010513,-0.039475,0.000829,0.000256,-7.6e-05,6.2e-05,4.5e-05,1.8e-05,3e-05,0.008701,0.00147,-0.000512,-3.8e-05,-2e-06,-0.00403,-0.285109,-2.960791,-2.647629,-0.539111,-1.506058,-0.525177,-0.595901,-2.815471,-0.752977,-0.008845,-2.279639,-2.596258,-1.732327,0.077299,-0.360274,-0.683429,-0.66018,-1.172199,-1.261586,-0.849697,-0.766457,-0.435169,-0.36231,-0.493459
-0.007224,8e-06,0.000387,0.000715,0.007405,0.007115,-0.000167,-0.0004,-0.000209,-8.2e-05,-0.000164,-0.000213,5e-06,6.5e-05,3e-06,0.000553,4.4e-05,0.0,-5.9e-05,2e-06,-0.000101,-0.000177,-0.00017,0.006959,0.006958,0.006957,0.006966,0.020892,0.028704,0.03602,0.044672,0.052948,0.053371,0.046718,0.032366,0.025428,0.019204,0.005483,0.00464,0.004014,0.002878,0.00239,-0.005333,0.001245,0.000994,0.000397,0.000777,0.000125,0.000167,-0.006017,-0.00602
0.000992,2.2e-05,0.00099,0.001836,-0.000504,-0.001244,-0.000428,-0.001032,-0.000543,-0.000211,-0.000423,-0.000549,1.5e-05,0.000172,6e-06,0.005174,0.000109,-4e-06,-0.00016,2e-06,-0.000264,-0.000462,-0.000448,-0.001663,-0.001672,-0.001676,-0.001652,-0.004946,-0.000488,-0.001065,0.002399,0.005289,0.007096,0.010592,0.00899,0.010768,0.018808,0.022013,0.019286,0.017233,0.013437,0.011791,0.006185,0.00796,0.007138,0.00131,0.006406,0.000408,0.000544,0.007621,0.007577
0.000426,2.6e-05,0.000932,0.001718,3.2e-05,-0.000658,-0.000404,-0.000967,-0.000509,-0.000198,-0.000393,-0.000513,1.4e-05,0.000159,5e-06,-0.004524,0.000105,-4e-06,-0.000149,4e-06,-0.000246,-0.000432,-0.000424,-0.001053,-0.001065,-0.001071,-0.001056,-0.003179,-0.007952,-0.008074,-0.004548,-0.001667,-0.000139,0.002415,0.009261,0.010463,0.008021,0.010114,0.007543,0.005809,0.002516,0.001095,0.004997,-0.002149,-0.002846,0.001096,-0.003457,0.000343,0.000455,-0.002656,-0.002686
-0.001032,-3.9e-05,-3.3e-05,-1.7e-05,0.000979,0.000974,-7e-06,5e-06,0.0415,-0.000722,9e-06,1.8e-05,5e-06,1e-05,-0.004245,0.033517,1.8e-05,2.6e-05,2.5e-05,2.3e-05,-0.003289,-0.000433,0.522374,-0.000701,0.157126,0.004087,0.005017,-0.00697,0.09861,0.134198,0.278769,-3.566551,0.223833,0.142491,-3.257878,-0.70322,-1.015596,-0.687868,-2.666939,-0.835545,-2.222694,-2.283071,-0.548481,-0.108725,-1.000351,-0.249341,0.007626,-0.077754,-0.17966,-0.271781,-0.223328
