0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
-6e-06,0.007759,-0.000114,0.007725,-9e-05,0.007729,-3.9e-05,0.007794,-6e-06,2.1e-05,3.6e-05,3.1e-05,-1e-06,2e-06,1e-06,6e-06,2e-06,3e-06,1e-05,-5e-06,3e-06,5.9e-05,3.8e-05,1.6e-05,1.7e-05,-0.00781,2.3e-05,-0.007791,-0.016204,-0.016306,-0.016874,-0.017385,-0.025731,-0.026199,-0.02556,-0.026011,-0.025337,-0.017069,-0.016518,-0.015989,-0.015985,-0.008238,-0.00771,-0.007685,-0.008187,-0.008195,-0.015951,-0.008201,-0.007721,-0.007743,0.007265,0.005823,0.013327,0.021843,0.014532,0.031338,0.039185,0.040157,0.033218,0.033076,0.033389,0.024497,0.008332,0.007627,-0.000311,-0.008692
0.0001,0.001921,0.001778,0.002294,0.00136,0.002129,0.000559,0.001105,9.7e-05,-0.00029,-0.000524,-0.000456,1.2e-05,-9e-06,6e-06,-8.7e-05,8e-06,-3.9e-05,-0.000129,7.4e-05,-2.5e-05,-0.000846,-0.00056,-0.000243,-0.000272,-0.000954,-0.000353,-0.001284,0.003434,0.003363,0.009205,0.015643,0.020251,0.02545,0.02038,0.02603,0.020667,0.015773,0.010457,0.005229,0.005823,0.005194,-0.0014,-0.003421,0.001146,0.001596,0.002162,0.001221,-0.011402,-0.018837,-0.014613,-0.001972,0.001617,-0.006573,-0.00116,0.00388,0.008438,0.000565,-0.00819,-0.006581,-0.006854,0.002411,0.005294,0.01159,0.011767,0.016578
0.000133,0.001415,0.002351,0.001894,0.001793,0.001664,0.000732,0.000305,0.000125,-0.000382,-0.000693,-0.000605,1.4e-05,-1.1e-05,1e-05,-0.000113,1.1e-05,-5.2e-05,-0.000171,9.9e-05,-3e-05,-0.001117,-0.000739,-0.000322,-0.000359,-0.000113,-0.000463,-0.000557,-0.004617,-0.004597,-0.008421,-0.011371,-0.015626,-0.020255,-0.015564,-0.019531,-0.015363,-0.01142,-0.007049,-0.002557,-0.001799,-0.003584,-0.000879,-0.003542,-0.008947,-0.008385,-0.006689,-0.008933,-0.014334,-0.024505,-0.033405,-0.051929,-0.059631,-0.061862,-0.041499,-0.011176,-0.005387,0.007568,0.020376,0.022567,0.034532,0.036817,0.042956,0.039616,0.04035,0.035689
0.00021,0.004097,-0.004098,0.003938,0.000101,0.002119,4.3e-05,0.002085,3.6e-05,-0.002992,-4.1e-05,8e-06,1.8e-05,1.9e-05,2.4e-05,5e-06,7e-06,2e-06,4e-06,1.1e-05,-0.038848,-0.000766,0.000111,-0.006461,0.000788,-0.030104,0.000905,0.006501,-0.107103,2.952163,-0.943693,0.345362,0.177097,-1.093821,-0.216033,2.247897,2.383619,0.338923,-0.425845,-0.112261,-0.269388,-0.360298,0.040539,-0.030362,-0.055846,-0.124268,-0.146627,0.030254,0.210786,0.202374,4.610221,6.484577,3.258504,0.129923,-1.050192,1.098649,0.936709,0.2485,-0.129681,3.865566,0.229522,0.143063,0.257124,0.139475,0.403058,0.040176
1.7e-05,-0.029629,-0.006446,-0.029467,1.8e-05,-0.015212,-7e-06,-0.015198,9e-06,0.003641,6.5e-05,-5e-06,1.6e-05,3e-06,6e-06,-1.9e-05,-7e-06,-1e-06,-3e-06,4e-06,0.061258,0.012877,-0.000219,0.014571,-0.001143,0.060812,-0.001335,0.004021,0.264799,0.617219,-1.01993,1.275216,1.412849,1.396558,1.627766,3.177281,3.285749,1.385756,0.405742,0.450931,0.15625,0.111482,-0.206432,0.471084,-0.180102,-0.578221,-1.872248,0.03973,1.832496,1.776627,5.993141,5.571067,1.07814,0.298413,-0.159614,0.79085,1.88826,-0.188077,0.251023,2.43721,-0.451803,-0.309415,-0.425302,-0.330594,-0.529532,-0.082531
0.000267,0.054337,0.029064,0.054361,0.000147,0.029345,7.3e-05,0.029284,2.8e-05,0.00209,8.8e-05,4.5e-05,2.8e-05,1.9e-05,1.5e-05,2e-05,1.6e-05,1.3e-05,1e-05,1e-06,0.040481,-0.025726,-0.000169,0.011779,-0.000691,0.001817,-0.000814,-0.034842,0.157904,5.369122,3.432461,2.586438,2.761711,1.889565,3.17152,5.708416,5.195014,2.161634,1.008445,1.088057,0.801781,0.539501,0.287403,0.564953,0.376956,0.884062,2.204856,-0.071349,-2.207668,-2.084091,1.888346,0.345036,-1.311999,-0.438867,1.893277,1.346769,-1.415637,-0.410003,-0.410485,2.717247,-0.379662,-0.251628,-0.335321,-0.038364,-0.407394,-0.131301
-0.007419,-0.0076,-0.007875,-0.007827,-0.007773,-0.007751,-0.007609,-0.007606,-0.015369,-0.015233,-0.007439,-0.015172,-0.007184,-0.007093,-0.006996,0.000663,0.008489,0.000632,0.008176,0.015659,0.008193,0.015969,0.015732,0.015837,0.015727,0.023251,0.023252,0.015198,0.02261,0.022467,0.022548,0.022514,0.02251,0.022347,0.014715,0.014702,0.014682,0.01471,0.00712,0.01471,0.007214,0.007215,0.014774,0.007346,0.007471,0.007637,0.007695,0.007663,0.007733,0.000162,0.000208,7e-05,0.000139,-2.4e-05,7.6e-05,0.000101,1e-06,-2e-05,-8.3e-05,-6.5e-05,-2.3e-05,-0.000134,-0.000226,-0.000258,-0.000375,-0.000361
-0.002523,-0.003849,-0.00584,-0.000406,-3.2e-05,0.000116,0.001108,0.001122,0.001177,0.002066,0.002184,-0.002487,0.003767,0.004301,0.004889,-0.000622,0.004755,-0.000772,-0.001988,-0.003578,0.003122,0.008606,0.002157,0.00804,0.007583,0.007257,0.012094,0.009359,0.007367,0.006492,0.012849,0.012936,0.012999,0.011835,0.011851,0.005788,0.011703,0.012202,0.012569,0.012608,0.007586,0.00119,0.007265,0.003018,-0.001892,0.000538,0.001463,0.008042,0.002322,0.002596,0.002964,0.008238,0.002247,0.006715,0.001225,0.001143,0.007091,0.006676,0.005724,-0.000904,-0.007448,-0.002191,-0.003662,-0.004197,-0.006051,-0.005801
0.007809,0.006163,0.003687,-0.000588,-0.000123,5.2e-05,0.00128,0.00129,0.001239,0.002325,0.002587,0.007654,0.004525,0.005161,0.005872,0.010166,0.005941,0.009919,0.008566,0.006744,0.003858,-0.000278,0.002756,-0.001014,-0.001596,-0.002121,-0.006963,-0.010273,-0.012679,-0.013753,-0.016982,-0.016938,-0.016892,-0.018344,-0.018296,-0.014832,-0.018538,-0.01797,-0.017428,-0.017514,-0.012658,-0.009626,-0.013232,-0.007397,-0.002524,0.000493,0.001642,-0.001184,0.002691,0.003207,0.003674,-0.000785,0.002761,-0.002662,0.0015,0.001424,-0.002202,-0.002707,-0.003869,-0.001114,0.001767,-0.002679,-0.004492,-0.005156,-0.007471,-0.007203
-0.016289,-0.039893,-0.009664,0.00563,0.047887,-0.001813,0.012885,-0.00538,-0.004446,-0.00182,-0.001561,-0.038586,-0.000521,-0.00047,-0.000307,-0.036978,-0.002039,-0.034736,-0.03784,-0.02748,0.191074,0.094754,0.00449,0.233421,0.042485,-5.409257,0.061484,0.061105,-0.354114,0.064802,0.086479,0.118112,-0.00453,0.105553,0.105282,0.014674,0.06389,0.084935,0.048205,0.094347,-0.041393,-0.064474,0.034971,0.008168,-0.008914,-0.00593,-0.001004,0.03364,-2e-05,0.002579,0.448028,0.035056,-4.8e-05,-0.021319,0.000334,0.458997,0.023503,-0.0618,0.412392,1.444349,-0.029917,0.018979,-0.031194,-0.176495,0.007478,0.004966
