0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
0.036526,0.035897,0.035089,0.027967,0.027814,0.034875,0.027722,0.02676,0.027662,0.019994,0.02044,0.021532,0.014126,0.006887,-0.000309,-0.00078,-0.007879,-0.007722,-0.01476,-0.014629,-0.014467,-0.014437,-0.007192,-0.007246,-0.007229,-0.007279,-0.007231,1e-06,1e-06,0.0,2e-06,3.5e-05,3.3e-05,6e-05,-0.007725,-0.00717,7.5e-05,5.9e-05,3.5e-05,-1e-06,-1e-06,1.7e-05,-1.9e-05,-3.2e-05,-1.5e-05,-3.6e-05,-2e-06,-0.007179,4.3e-05,6.8e-05,-0.007133,0.000131,-0.007071,-0.006474,0.000188,0.000722,0.001409,0.001341,0.00195,0.002556,0.002569,-0.004259,-0.004818,-0.012303,-0.012967,-0.012991,-0.020056,-0.028359,-0.029161,-0.030309,-0.023421,-0.024165,-0.024336,-0.009918,-0.002631,-0.01006,-0.002227,-0.001728,0.006239,0.006283,-0.001252,-0.001808,0.013858,0.014778,0.015287,0.031634,0.031657,0.039729,0.031512,0.024523,-0.007431,-0.008576,-0.002312,0.006156,0.00761,0.015632,0.016381,0.024632,0.017212,0.017095,0.017642,0.017609,0.017764,0.025754,0.018312,0.017392
0.01526,0.024312,0.033202,0.028347,0.029483,0.032258,0.027917,0.035052,0.025679,0.025828,0.021296,0.010252,0.00866,0.007404,0.005611,0.009156,0.00628,0.005186,0.002506,0.001086,-0.000954,-0.001348,-0.001069,-0.000847,-0.000481,0.000336,-0.000427,-1.9e-05,-3.4e-05,-4e-06,-1.9e-05,-0.000607,-0.000561,-0.001045,0.003659,-0.001446,-0.001369,-0.001096,-0.000658,4.4e-05,2e-05,-0.000335,0.000354,0.000631,0.000277,0.000683,1.3e-05,-0.001438,-0.000839,-0.001294,-0.002482,-0.002667,-0.004027,-0.010653,-0.00426,-0.009325,-0.015729,-0.016148,-0.023166,-0.029831,-0.030404,-0.036997,-0.03205,-0.033289,-0.028031,-0.030237,-0.038446,-0.035606,-0.031762,-0.021742,-0.017814,-0.015337,-0.018064,-0.003473,0.004299,-0.001442,-0.000326,-0.002098,0.002106,0.00306,-0.00539,-0.002553,0.010082,-0.003075,-0.010658,0.000102,0.00475,0.013485,0.014806,0.001104,-0.008492,0.00664,0.036805,0.032608,0.019402,0.02502,0.015079,0.008396,0.001175,-0.000321,-0.00697,-0.009041,-0.013495,-0.019148,-0.022898,-0.01589
-0.018197,-0.018029,-0.018003,-0.012221,-0.011058,-0.008469,-0.00225,-0.004163,0.005793,0.00679,0.011924,0.019768,0.01873,0.018059,0.016903,0.010509,0.008165,0.006859,0.00474,0.00311,0.00079,0.000336,-0.000275,-9e-06,0.000371,0.001282,0.000414,-1e-05,-3.3e-05,-3e-06,-2.2e-05,-0.000681,-0.000629,-0.001172,-0.005229,-0.000753,-0.00154,-0.001233,-0.00074,5.4e-05,2.3e-05,-0.000376,0.0004,0.000713,0.000312,0.00077,1.4e-05,-0.000753,-0.000946,-0.001456,-0.001936,-0.003016,-0.003698,-0.000947,-0.004853,-0.000314,0.002617,0.002177,0.004479,0.007189,0.006508,0.010186,0.005429,0.004818,0.000341,-0.002317,-0.000779,-0.007544,-0.014118,-0.023862,-0.031459,-0.040257,-0.044357,-0.050533,-0.053271,-0.049422,-0.049116,-0.040181,-0.035307,-0.034064,-0.03391,-0.042923,-0.038212,-0.033524,-0.033355,-0.017851,-0.009841,0.003382,0.006587,0.011638,0.000415,-0.001087,0.007735,0.012733,0.030271,0.049899,0.058294,0.058764,0.0601,0.056777,0.058801,0.055066,0.048477,0.039585,0.035694,0.022178
0.031382,0.118145,-0.229621,0.513101,5.19045,0.020703,5.031757,-0.113966,-0.01248,0.138035,0.094109,0.020653,0.080263,0.008143,0.007704,0.062621,0.07367,0.044064,0.03865,-0.222054,0.012054,-0.109215,-0.000358,0.044389,-0.030952,-0.018127,0.004012,-0.063921,-0.336267,0.001942,-0.022221,-0.266291,0.016138,-0.003662,-0.234319,0.013961,0.020173,-0.002455,-0.000424,-0.000315,-0.000218,-0.000136,-0.000104,0.001927,-5.3e-05,0.001973,-3.4e-05,-0.002071,-1.9e-05,-1.9e-05,-0.00207,-0.331892,0.015228,-0.212094,0.042049,0.302562,-3.782659,-1.221211,-0.190777,-0.214191,-0.150775,-0.215004,-0.478162,-1.28371,-0.017503,-4.037822,-0.17246,-0.110688,-0.125122,-0.015353,0.03305,0.07826,0.04234,0.142056,0.2703,0.126358,0.12847,0.096546,-0.121772,-1.209232,-0.240956,-0.262559,0.260731,-0.192313,-0.051225,0.199317,-4.623051,-0.846796,0.181143,0.114074,0.122354,0.158166,0.210036,0.111571,-0.028807,-0.379375,0.493287,0.807627,0.411345,0.158485,-0.019853,1.178191,0.418729,0.470377,0.164306,0.021364
0.325589,0.113707,-1.489734,0.225549,1.752772,0.319281,1.920085,-1.05091,-0.025605,-0.484377,-0.470421,-0.442172,-2.111578,-0.418127,-0.543713,-0.529668,-2.02282,-0.337837,-0.306962,0.110423,-0.070054,0.172052,0.017439,-1.569956,0.072172,0.059286,0.116112,0.09215,0.405737,-0.002616,0.042581,0.328448,-0.010891,0.020193,0.349771,0.003821,-0.143719,0.016349,-0.000321,-0.000204,-0.000157,-0.000116,-7.4e-05,-0.01676,-4.7e-05,-0.016749,-1.8e-05,0.015188,-1.8e-05,-3e-06,0.015215,-0.322782,-0.070283,-0.494997,-0.183599,-0.631819,-3.543273,-1.109653,-0.151444,-0.141565,-0.261463,-0.201173,-0.342646,-0.924455,-0.129109,-2.90223,0.153842,0.048947,-0.489472,0.143258,0.014738,0.028064,0.181605,0.071309,-0.098446,-0.020939,-0.029439,-0.088885,-1.960322,-2.945529,-0.332494,1.786904,0.892983,0.507777,-1.332257,-1.104947,-6.838107,-2.368981,-1.242375,-1.174346,1.503804,2.764508,3.335711,-0.746175,-1.486525,-0.55321,1.32684,1.927731,-0.466833,0.019213,-0.055891,0.603831,1.86537,-0.206892,-0.382292,0.188313
0.217558,0.104573,2.416577,0.596594,2.149309,0.7934,2.437338,3.251509,0.874514,0.661779,0.67783,0.637705,2.767944,0.598944,0.741625,0.747257,2.700429,0.470692,0.456535,0.537646,0.115098,0.050749,-0.035904,2.225919,0.006569,0.005009,-0.20139,0.071136,0.308324,-0.002082,0.033094,0.252695,-0.008275,0.01577,0.219129,-0.038029,0.190977,-0.023901,-0.000289,-0.000191,-0.000119,-5.6e-05,-8.5e-05,0.02334,-2.7e-05,0.02337,-2e-05,-0.029257,-1.2e-05,-3e-06,-0.029259,-0.196474,-0.133722,-0.439034,0.068865,-0.54086,-2.258774,-0.599403,-0.064591,-0.120651,-0.117712,-0.147478,-0.230391,-0.960748,-0.114927,-2.656635,-0.259399,-0.09966,0.629708,-0.242499,-0.036204,-0.055925,-0.222097,-0.132231,-0.185038,0.041574,0.068981,0.150914,2.381509,1.557901,-0.201792,-2.402045,-1.088516,0.034477,1.677386,1.047487,-0.673376,0.620921,1.797626,1.687754,-1.558395,-3.187372,-4.0603,-0.064442,0.30605,-0.458709,-1.885031,-3.041332,-1.114097,-1.258193,-0.745507,0.554115,-2.029591,-0.350847,-0.947559,-0.526805
0.0146,0.014422,0.014292,0.022184,0.014057,0.022261,0.022495,0.022584,0.022785,0.01502,0.007106,0.007535,-0.000353,-0.008194,-0.007972,-0.016008,-0.015935,-0.015928,-0.015604,-0.023478,-0.015229,-0.007079,-0.006992,0.000949,0.000788,0.008696,0.000341,0.000223,2.6e-05,-0.00815,-0.008121,-0.008043,-0.016082,-0.015982,-0.015934,-0.015756,-0.01561,-0.015522,-0.015494,-0.007428,-0.007479,0.000409,0.000282,0.008179,0.008059,-4.7e-05,0.008035,0.016247,0.016227,0.02437,0.024266,0.032458,0.032344,0.024439,0.032435,0.024482,0.024515,0.016592,0.008756,0.008805,0.001066,-0.006745,-0.006784,-0.006843,-0.00693,0.000688,0.008317,0.007999,0.015537,0.015298,0.015156,0.015102,0.007193,-0.000634,-0.000706,-0.000687,-0.000631,-0.008136,-0.000248,-0.000209,-0.000126,-0.00772,8.6e-05,6.4e-05,5.9e-05,2.6e-05,-5e-06,0.0,1e-06,3e-06,-7e-06,-1.7e-05,-2.6e-05,-5e-05,-0.000215,-3.5e-05,-0.000146,-2e-05,-9.2e-05,-7.9e-05,-3.3e-05,3.7e-05,9.9e-05,0.000133,0.000151,0.000184
0.005035,0.003086,-0.004207,-0.005552,-0.006732,-0.00719,-0.012227,-0.012063,-0.011446,-0.008587,-0.01272,-0.008702,-0.004454,-6.4e-05,-0.003938,-0.002015,-0.001806,-0.001181,0.002091,0.004634,0.00487,0.004675,0.005369,-0.002357,0.002059,-0.005867,-0.008363,-0.009578,-0.011585,-0.012048,-0.011591,-0.01074,-0.00955,-0.014138,-0.007847,-0.011783,-0.010366,-0.004131,-0.003894,0.000619,0.000102,0.003272,0.002262,0.000218,-0.000714,-0.000365,-0.000961,-0.000491,-0.00064,-0.000618,0.009952,0.011146,0.017308,0.019835,0.02715,0.023222,0.026098,0.023446,0.019476,0.014372,0.01764,0.018954,0.018002,0.0164,0.014668,0.011816,0.009665,0.004491,0.001065,0.004373,0.001441,-6.1e-05,0.004585,0.00272,0.001093,0.001603,0.00286,0.000521,0.002875,0.003757,0.005633,0.001325,0.001847,0.001397,0.001294,0.000584,-5.9e-05,-2.2e-05,-7e-06,-4e-06,-0.000194,-0.000374,-0.000526,-0.001049,0.003803,-0.000745,0.005169,-0.000466,-0.001884,-0.001694,-0.000689,0.000683,0.001999,0.002679,0.003036,0.003699
-0.027949,-0.030808,-0.029386,-0.031438,-0.0337,-0.034746,-0.030421,-0.030454,-0.030064,-0.026055,-0.019796,-0.013737,-0.007025,2.8e-05,0.006799,0.00993,0.010238,0.011164,0.016178,0.019994,0.020096,0.019666,0.020515,0.021201,0.015348,0.015857,0.012223,0.010447,0.007521,0.006891,0.007547,0.008783,0.010524,0.015999,0.012952,0.019357,0.021334,0.018128,0.018424,0.012831,0.01204,0.004622,0.003193,0.000383,-0.000934,-0.000518,-0.001293,-0.000592,-0.000822,-0.000825,-0.009848,-0.008305,-0.011669,-0.00814,-0.010041,-0.003639,0.000148,0.008233,0.014357,0.019032,0.02312,0.02462,0.023201,0.020935,0.018399,0.014485,0.01159,0.005232,0.000855,-0.006,-0.009586,-0.011459,-0.016471,-0.018573,-0.020666,-0.020137,-0.018597,-0.010231,-0.007512,-0.006396,-0.004016,0.001926,0.002343,0.001768,0.001637,0.000737,-7.2e-05,-2.7e-05,-9e-06,-6e-06,-0.000245,-0.000474,-0.000664,-0.001328,-0.006338,-0.000937,-0.004608,-0.000592,-0.002397,-0.002164,-0.000877,0.000869,0.002546,0.003402,0.003852,0.004679
1.763381,0.146218,0.112852,0.21859,5.544402,0.069265,0.037552,0.038334,0.039317,0.041162,-0.001408,-0.172173,-0.011594,-0.012595,-0.062384,-0.033695,-0.271364,-0.014448,0.016089,0.033155,-0.008755,0.002484,-0.032318,0.066787,0.113157,-0.050324,-0.000289,-0.095928,-0.074376,-0.073284,-0.071202,-0.080908,-0.019423,-0.089903,-0.039945,0.003632,-0.107162,0.240669,-0.071932,-0.039012,0.023136,-0.005556,0.169897,-0.000441,0.001261,0.000263,0.000253,0.001844,0.007279,-0.197342,-1.327575,-1.357684,-4.911087,-0.073416,0.103828,0.107947,-0.309461,-4.475761,-1.20554,-4.642519,0.18315,-0.038719,0.281187,-4.296562,0.13111,0.163637,0.1944,-0.183835,0.04739,0.089905,-0.355931,0.02419,-0.075421,-0.426399,0.069274,-0.422081,0.075256,0.044788,0.042879,0.050274,0.04658,0.007799,0.000961,0.00575,0.000882,5.3e-05,5.4e-05,3.7e-05,2.4e-05,2.4e-05,1.5e-05,0.003753,0.004465,0.000855,0.034984,-1.271655,0.025643,0.014079,0.010318,-0.182951,-0.061547,-0.16793,0.003423,0.003253,0.000713,0.003199
