0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-0.021866,-0.014557,-0.01424,-0.014463,-0.021098,-0.013891,-0.006922,-0.006907,3.6e-05,0.006982,0.006995,0.014031,0.01409,0.014087,0.021006,0.020979,0.021212,0.014639,0.021522,0.021585,0.021262,0.021246,0.021207,0.014692,0.021029,0.014575,0.007704,0.014805,0.007592,0.007579,0.007491,0.007922,0.007458,0.007005,0.000781,0.006987,0.000782,0.000785,0.007916,0.000792,0.000805,0.000825,0.007461,0.007485,0.007027,0.007046,0.007049,0.000427,0.006598,0.00661,0.00711,0.007133,0.007124,0.007116,0.000452,0.007096,0.000424,0.000422,0.000397,0.000388,-0.000116,0.000407,-0.006712,0.000446,0.000473,-2.8e-05,0.000477,-3.3e-05,-5.6e-05,0.000461,0.000451,0.000473,-2e-05,0.006638,-1e-06,0.006668,0.006663,3.2e-05,2.8e-05,3.6e-05,0.006667,1.8e-05,1.5e-05,2.1e-05
0.017306,0.010956,0.004636,0.011423,0.005365,-0.000669,2.7e-05,0.000245,0.000606,0.000955,0.001164,0.002991,0.004309,0.004798,0.005501,0.00596,-0.00061,-0.006478,-0.006182,-0.003806,0.004858,0.005751,0.00841,0.004675,0.012866,0.007182,0.007507,0.002175,0.007621,0.006062,0.004941,-0.002035,0.001793,0.006099,-0.00082,0.004809,-0.001684,-0.002044,-0.007829,-0.003228,-0.00433,-0.005703,-0.005974,-0.007277,-0.002099,-0.002842,-0.00286,-0.003596,0.001637,0.001071,-0.005127,-0.00576,-0.005238,-0.004794,-0.00428,-0.003808,-0.003255,-0.003253,-0.002445,-0.002229,0.00335,-0.002698,0.001737,-0.003876,-0.00474,0.000735,-0.004813,0.000924,0.0016,-0.004324,-0.003977,-0.004658,0.00043,0.000358,-6.7e-05,-0.000309,-0.000146,-0.00089,-0.000732,-0.000952,-8.6e-05,-0.000491,-0.000382,-0.00054
-0.009588,-0.006963,-0.003779,-0.006524,-0.002577,0.000362,0.000537,0.000748,0.000602,0.000451,0.000652,0.001945,0.003212,0.003659,0.003815,0.004212,0.007112,0.011255,0.010969,0.013203,0.012155,0.012953,0.015331,0.021378,0.019094,0.023382,0.024025,0.027373,0.02379,0.022349,0.021098,0.023781,0.018245,0.013148,0.016489,0.011975,0.015702,0.015368,0.018699,0.014358,0.013452,0.012343,0.011569,0.010534,0.006202,0.005618,0.0056,0.005577,0.00072,0.000273,0.003807,0.00331,0.00372,0.004072,0.005049,0.004853,0.005862,0.005864,0.006498,0.006667,0.002614,0.006299,0.001924,0.005382,0.004709,0.00057,0.004655,0.000717,0.001237,0.005037,0.005306,0.004779,0.000328,-0.000296,-5.4e-05,-0.000812,-0.000688,-0.000689,-0.000568,-0.000742,-0.000644,-0.000383,-0.000297,-0.000421
-0.447372,-0.327798,-0.23764,0.039381,0.050419,-0.00642,-0.004036,0.391613,-0.104092,-0.165401,-0.20447,-0.075484,-0.023523,0.011401,0.006758,0.007987,-0.04093,-0.072383,-0.073405,-0.047636,0.277062,0.289213,0.294272,0.307436,0.047523,0.010959,-0.390164,-0.056195,-0.149275,-4.457232,0.257218,0.055924,0.388869,0.297077,0.253342,0.257438,0.302244,-0.069391,-4.45135,0.110047,-0.324123,0.075557,0.19348,0.111004,0.350639,0.033218,-0.054787,-0.03821,0.001714,0.003039,-0.033527,0.08898,-0.042713,0.237158,0.296493,0.025908,-0.038335,-0.045719,-0.034307,0.252421,-1.9e-05,-0.034396,0.074882,-0.037675,-0.036335,0.000111,-0.036372,5.9e-05,0.001893,-0.036441,-0.036444,-0.023683,1.6e-05,0.00206,5e-06,0.000197,0.002053,9e-06,1e-06,-0.001852,0.002054,-1e-06,-3e-06,-0.009315
0.890716,-0.069449,0.526252,-0.034498,-0.097184,0.031988,0.013952,0.237604,0.186998,0.256158,0.222457,0.026342,0.019081,-0.058996,-0.06833,-0.080866,-0.046492,-0.01738,-0.038947,-0.093001,-0.494075,-0.497323,-0.520571,-0.465648,-0.238297,-0.093032,-0.39176,-0.172707,-0.093914,-2.422842,-0.369307,-0.27595,-0.692296,-0.488276,-0.443839,-0.484307,-0.506706,-0.055278,-1.511154,-0.281768,-0.354547,-0.244077,-0.489733,-0.316795,-0.557686,-0.136852,0.001571,-0.002915,-0.019115,-0.015418,-0.005547,-0.210713,0.004507,-0.448592,-0.533843,-0.116676,-0.009205,0.022888,-0.004598,-0.468879,-0.011942,-0.004917,-0.118138,0.011948,0.010039,3.5e-05,0.00996,2.3e-05,-0.014907,0.009889,0.009861,-0.092791,1.7e-05,-0.015198,5e-06,-0.000385,-0.015198,2.1e-05,-2e-06,0.014834,-0.01519,1e-06,-5e-06,0.024253
0.472025,1.050915,0.298357,0.190012,0.076193,-0.065191,-0.030523,0.185019,0.146342,0.276864,0.46474,0.358881,0.14437,0.077788,0.113019,0.133699,0.096827,0.051457,0.075916,0.070549,-0.175179,-0.213537,-0.194129,-0.431206,0.058272,-0.14504,-0.200395,0.061968,-0.196773,-2.896609,-0.624405,-0.386264,-0.653345,-0.474556,-0.542517,-0.517648,-0.578123,-0.029329,-3.069843,-0.208845,-0.455005,-0.183422,-0.311444,-0.221558,-0.558975,-0.082432,0.050909,0.014498,0.034637,0.030822,0.012459,-0.123511,0.018811,-0.276312,-0.369029,-0.064893,0.00022,-0.010939,0.00661,-0.286986,0.026483,0.006291,-0.11592,-0.017239,-0.018355,8.1e-05,-0.018463,4.4e-05,0.024608,-0.018501,-0.018529,0.151284,-1.7e-05,0.029227,-1e-05,0.004594,0.029226,-2.5e-05,-3e-06,-0.024648,0.029225,9e-06,9e-06,0.017869
0.02932,0.029276,0.028937,0.04376,0.043334,0.043333,0.042781,0.034865,0.027019,0.018072,0.002895,-0.01166,-0.026297,-0.03293,-0.039937,-0.053494,-0.059227,-0.065273,-0.071154,-0.070072,-0.062361,-0.068968,-0.061601,-0.054128,-0.06072,-0.053612,-0.046457,-0.039484,-0.039416,-0.025745,-0.025975,-0.019235,-0.019298,-0.012464,-0.012428,-0.005605,-0.012547,-0.005856,-0.005988,-0.00628,-0.013303,-0.01363,-0.006959,-0.01378,-0.013789,-0.013798,-0.013904,-0.013787,-0.007002,-0.007061,-0.007038,-0.006961,-0.006814,-0.006826,-0.006804,-0.006727,0.000342,-0.00642,-0.006294,0.000517,-0.006068,-0.006156,-0.006045,-0.005968,-0.006124,0.000513,0.000358,0.000135,-0.006947,-0.000113,-0.000238,-0.000146,-0.000151,-0.00015,-0.000146,7.4e-05,4.6e-05,4.9e-05,6.7e-05,-4.4e-05,5.4e-05,-1.1e-05,-4e-06,5.9e-05
0.00656,0.008018,0.014355,0.016422,0.022661,0.022035,0.028682,0.033619,0.034999,0.051026,0.052177,0.049641,0.049091,0.04498,0.043002,0.039191,0.030549,0.019763,0.010621,0.00206,-0.002786,-0.007715,-0.004992,-0.008296,-0.00688,-0.006453,-0.00704,-0.002922,-0.0033,-0.006495,-0.004541,-0.006347,-0.007505,-0.003115,-0.002889,0.001912,-0.004477,-0.000858,-0.002153,-0.004932,-0.00682,-0.009655,-0.010905,-0.010597,-0.010385,-0.010319,-0.015691,-0.009756,-0.010257,-0.010637,-0.005684,-0.005072,0.000672,0.000552,0.000724,0.001284,0.002471,-0.001144,-0.00029,-0.000876,0.005775,0.000572,0.001322,0.001793,-0.003857,-0.005429,-0.006485,-0.007996,-0.00941,-0.005187,-0.010537,-0.005416,-0.005462,-0.005448,-0.005441,0.000503,0.000322,-0.004157,-0.004037,-0.004756,0.000383,-4.3e-05,-1.5e-05,0.000397
-0.025359,-0.023909,-0.027295,-0.026231,-0.029639,-0.0306,-0.033622,-0.037838,-0.035753,-0.037135,-0.034349,-0.025062,-0.013733,-0.007512,-0.009201,-0.002219,0.008359,0.016743,0.026415,0.036103,0.03951,0.04399,0.045675,0.050828,0.051647,0.051474,0.050052,0.044002,0.043407,0.039839,0.03234,0.03053,0.02936,0.024093,0.024186,0.019342,0.022689,0.01684,0.015729,0.013382,0.0119,0.009549,0.008428,0.008777,0.008955,0.009011,0.013268,0.009487,0.009011,0.008699,0.004082,0.004588,0.000621,0.000519,0.000661,0.001124,0.00205,0.007823,0.008518,0.00798,0.004778,0.009182,0.009783,0.010141,0.014184,0.012857,0.012008,0.0108,0.009732,0.004459,0.008794,0.004286,0.004249,0.004263,0.00427,0.000401,0.000257,0.005295,0.005391,0.004818,0.000305,-3.1e-05,-1.1e-05,0.000313
-1.325203,-0.349055,-0.516159,-0.563699,-0.32925,-0.049744,-0.755863,-0.359458,-3.444519,-1.646994,-3.776212,-2.011132,-1.989103,-2.123484,-3.316241,-2.41712,0.384181,0.780214,0.35147,0.55176,0.70093,0.412091,0.580003,0.500481,0.65541,0.427048,0.48861,0.185132,0.259047,0.46562,0.404092,0.285665,-0.002397,0.982281,0.078936,0.219517,0.123725,0.10093,0.31561,-0.038525,0.002152,-0.066451,-0.079745,-0.074753,-0.069055,-0.068258,0.172172,0.172738,-0.068657,-0.400648,-0.255943,-0.03114,-0.000792,0.003578,-0.000761,-0.010289,0.028496,-0.0504,-0.046644,-0.036391,0.002129,-0.044277,-0.03615,0.197771,0.238246,0.013787,0.04999,-0.071128,-0.071369,-0.043292,-0.068781,-0.030359,0.177367,-0.048966,-0.040617,0.000218,0.000247,-0.034513,-0.037838,-0.035328,-0.006599,0.004466,-0.000513,4.7e-05
