0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
-0.021793,-0.028619,-0.035379,-0.042287,-0.055792,-0.05543,-0.055343,-0.041716,-0.015396,0.005386,0.012519,0.026656,0.053709,0.067721,0.068164,0.069198,0.055814,0.042441,0.028513,0.008016,0.001189,0.00035,-0.006024,0.000562,0.000167,0.000465,0.006679,0.006679,0.006671,0.006653,0.006656,0.006664,0.012897,0.00665,0.007036,0.013247,0.006612,0.013251,0.012831,0.012394,0.019057,0.013281,0.012826,0.012845,0.006601,0.013276,0.007175,0.007729,0.007749,0.000494,0.006163,0.006126,0.000423,0.00672
0.006716,0.004034,0.014624,0.029442,0.049746,0.05616,0.06172,0.047313,0.033324,0.016742,0.014813,0.005716,-0.003784,-0.012805,-0.013584,-0.020902,-0.010962,-0.005012,0.002868,0.014046,0.015224,0.020457,0.014913,0.00576,0.009522,0.000383,-0.001268,-0.000995,-0.001111,-0.002125,-0.001833,-0.000364,0.001435,0.001356,-0.004476,-0.004545,-0.002196,-0.007997,-7.1e-05,0.005026,-0.003681,-0.009195,-0.002076,-0.003125,-0.001778,-0.007382,-0.012609,-0.021251,-0.021315,-0.006946,0.003812,0.005177,-0.003815,-0.005065
-0.026641,-0.028248,-0.028239,-0.033239,-0.041822,-0.044982,-0.048966,-0.043982,-0.039635,-0.020485,-0.014024,0.002874,0.018534,0.035181,0.042604,0.06115,0.060735,0.057623,0.047631,0.032582,0.025828,0.01349,0.010168,0.011398,0.006115,0.007897,0.006379,0.006548,0.006467,0.005819,0.006004,0.006924,0.007586,0.007974,0.011923,0.011419,0.005745,0.009287,0.0066,0.002158,0.003911,0.008551,0.005354,0.004715,0.006,0.009678,0.006968,0.009281,0.009245,0.003336,0.001866,0.002697,0.005257,0.004032
-1.351148,-1.024297,-0.951246,-0.24345,-0.021922,-2.689883,-0.844053,-0.872596,-0.613933,-0.997406,-3.949833,-1.773019,-0.085697,0.325394,0.559462,0.25821,0.285107,0.318371,-0.016549,0.092964,0.04777,-0.02848,0.30751,0.390216,0.427387,-0.034127,0.010475,0.084647,-0.047184,-0.045778,-0.045765,-0.047808,-0.042996,-0.036819,-0.026069,0.078421,0.421127,-0.017002,-0.050665,0.005997,-0.030672,-0.065146,0.274665,-0.034733,-0.032691,0.035405,-0.071149,1.027538,-0.006956,-0.044252,-0.017189,-0.000661,-0.494741,-0.031321
1.628458,1.224663,-1.061558,0.306966,-0.446564,-3.706396,-0.936986,-1.012717,0.234841,2.362797,-2.135152,1.257247,1.975242,0.061651,-0.838478,-0.212969,-0.425934,-0.551404,-0.058006,-0.122316,-0.024066,0.148215,-0.427838,-0.515349,-0.517852,-0.010937,-0.077998,-0.163859,0.007483,-0.010353,-0.012848,-0.011118,-0.023363,-0.014524,-0.06699,-0.201654,-0.530472,-0.098096,-0.019599,-0.043953,-0.037251,0.000503,-0.370172,-0.018508,-0.019143,-0.146966,-0.012538,0.724975,-0.113446,0.008297,0.002518,-0.029691,0.521453,-0.008311
0.203586,0.125948,2.143563,0.35836,-0.012415,-3.549118,-0.659386,-0.89304,0.093339,-1.389814,-2.599525,-2.585047,-2.658258,-1.273007,-0.796615,-1.207841,-0.902136,-0.800933,-0.51334,-0.386198,-0.348952,-0.210655,-0.223809,-0.283952,-0.261399,0.030572,-0.004112,-0.058137,0.017655,0.039364,0.037035,0.037922,0.070912,0.038624,-0.021679,-0.066794,-0.313348,-0.004438,0.072696,0.084639,0.072193,0.009997,-0.161298,0.041819,0.036153,-0.029687,-0.022692,0.928948,-0.143976,-0.060799,0.037859,0.060638,0.2763,0.009359
-0.064497,-0.064157,-0.070946,-0.071442,-0.079033,-0.080464,-0.087799,-0.094522,-0.094885,-0.094714,-0.094807,-0.088079,-0.094465,-0.08758,-0.080447,-0.093091,-0.079685,-0.072584,-0.051613,-0.03807,-0.031148,-0.003351,0.002617,0.008836,0.015279,0.027489,0.033729,0.034243,0.027924,0.027709,0.02133,0.008163,0.007859,0.001125,-0.00539,-0.01173,-0.011559,-0.005245,-0.006244,0.006607,0.006816,0.006835,0.007348,0.000908,0.000822,0.000411,-2.2e-05,-0.000188,-4.9e-05,0.006466,9.4e-05,0.00019,0.000132,-4.5e-05
-0.008349,-0.013234,-0.018652,-0.017011,-0.016663,-0.006041,-0.002261,-0.000273,0.005124,0.001082,0.000986,0.007124,-0.004278,-0.006558,0.002956,0.005245,0.003106,0.00508,0.007978,0.01132,0.011882,0.016404,0.007539,0.004853,0.003671,-0.007115,-0.013763,-0.005588,0.001719,0.001195,0.003252,-0.000874,-0.007739,-0.009164,-0.008904,-0.00729,-0.010698,-0.007898,-0.020291,-0.022241,-0.011548,-0.00683,0.006547,0.012082,0.01138,0.003388,-0.000161,-0.001541,0.004238,-0.000451,0.000776,0.001592,0.00111,-0.000371
-0.034773,-0.038877,-0.034799,-0.03378,-0.025184,-0.017133,-0.014028,-0.012395,-0.01707,-0.012245,-0.012591,-0.008279,0.00792,0.014062,0.012867,0.023081,0.02077,0.022101,0.023812,0.01764,0.017942,0.021055,0.022336,0.020093,0.019072,0.019078,0.02226,0.019977,0.017173,0.016579,0.018089,0.023381,0.026573,0.025685,0.025984,0.027194,0.03282,0.026606,0.026355,0.024863,0.016059,0.011226,0.004108,-7.9e-05,-0.000536,0.002178,-0.000108,-0.000992,-0.00514,-0.000439,0.000497,0.00102,0.000711,-0.00024
-0.7105,-0.46971,-0.192204,-0.039655,-0.50003,-2.263731,-5.089779,-0.324642,-0.265821,-0.322912,-0.253931,-1.389432,-4.981982,-5.117362,0.161388,-0.420661,-5.14912,-5.123459,-0.350699,0.03383,0.112692,-1.566197,-0.018911,0.032942,0.077262,0.284043,0.140451,0.131019,-4.297439,0.367314,0.105368,0.200935,-0.093633,0.123406,0.167422,0.070321,0.102687,0.080379,0.154885,-0.106011,0.084999,-0.085993,0.003404,0.038617,0.038268,0.01063,0.005886,0.000253,0.040884,0.002504,0.105141,-0.000294,-0.000227,-0.0001
-3.236113,-0.698743,-0.936148,-2.520035,-0.451333,-0.289226,2.218396,-2.423389,-0.927486,-2.147001,-1.091958,0.385147,2.073707,1.867801,0.135705,0.356164,1.907928,2.04416,0.651456,0.146316,0.510232,0.815714,0.397487,0.487229,0.607499,1.180984,0.884587,1.198438,3.303238,0.447265,0.983775,0.882932,0.353147,0.580239,0.66378,0.45359,0.674391,0.562667,0.657718,0.275659,0.319474,-0.023764,-0.029469,-0.028582,-0.028328,-0.011327,-0.000348,-7.9e-05,-0.10476,-0.016804,-0.050053,1.8e-05,9.7e-05,7.3e-05
