0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
-0.000154,-0.000143,-0.000144,-0.000647,-0.007995,-0.015693,-0.008544,-0.016309,-0.024111,-0.01655,-0.024551,-0.024766,-0.032125,-0.024664,-0.032436,-0.032594,-0.02518,-0.025126,-0.017814,-0.01761,-0.009618,-0.001739,0.006012,0.006654,0.021524,0.029054,0.036502,0.036784,0.044277,0.03727,0.037277,0.044645,0.044419,0.037652,0.037499,0.031137,0.03103,0.031258,0.02415,0.017106,0.017054,0.009625,0.009143,0.001811,0.001895,-0.00582,0.001079,0.001117,0.000647,0.007475,0.008005,0.007493,0.00801,0.008021,0.014792,0.007546,0.000813,0.007009,0.00703,0.000253,-0.000246,0.000322,-0.000245,0.00025,0.006445,0.000744,0.006898,0.007468,0.000796,0.007563,0.00766,0.000493,3.2e-05,1.5e-05,1.7e-05,-1.2e-05,-7.2e-05,-0.000127,-0.000155,-0.000197,-0.000188,0.00036,-0.000212,0.000409,0.000458,-5.4e-05,-3.8e-05,-3.2e-05,-4.1e-05,-4.5e-05,-0.006714,-8.9e-05,0.000516,2e-06,5e-06,0.000551,1.7e-05,7.1e-05,9.5e-05,0.000102,9.4e-05,3.3e-05,1.1e-05,6.3e-05,9.6e-05,9.1e-05,0.006815,0.000167,0.000123,0.006832
-0.00548,-0.005053,-0.005031,-0.003086,-0.006431,-0.002712,-0.00362,0.000246,0.004262,-0.001804,0.010931,0.019253,0.018834,0.011594,0.016314,0.023889,0.024768,0.02537,0.032931,0.034622,0.032521,0.037185,0.033632,0.03201,0.028771,0.025873,0.021716,0.019642,0.019183,0.01446,0.010001,-0.001808,-0.000397,-0.005546,-0.001871,-0.010194,-0.008812,-0.012945,-0.013184,-0.013985,-0.014,-0.00999,-0.006946,-0.002666,-0.006394,0.001287,-0.002045,-0.003506,0.000876,-0.001085,-0.007896,-0.002243,-0.008364,-0.008778,-0.008798,-0.004471,-0.005444,0.001213,0.000552,0.000842,0.005672,-0.000717,0.005676,0.000865,0.006356,-0.003892,0.0021,-0.004439,-0.005293,-0.006586,-0.008472,-0.004673,-0.000795,-0.000333,-0.000361,0.000245,0.00143,0.002508,0.003076,0.003911,0.003695,-0.001871,0.004146,-0.002879,-0.003829,0.000989,0.0007,0.000608,0.000787,0.00088,0.000649,0.001777,-0.004955,-6.4e-05,-0.000129,-0.0056,-0.000362,-0.001419,-0.001886,-0.002052,-0.00184,-0.000644,-0.000201,-0.001256,-0.001879,-0.001811,-0.002222,-0.003278,-0.002393,-0.002283
-0.005681,-0.00525,-0.005248,-0.013102,-0.016093,-0.021542,-0.023296,-0.028778,-0.034179,-0.031461,-0.037433,-0.038562,-0.038599,-0.037355,-0.042174,-0.04409,-0.043659,-0.043185,-0.04535,-0.043304,-0.035459,-0.029888,-0.023745,-0.014663,-0.008596,-0.001804,0.003325,0.011332,0.020653,0.025722,0.030313,0.035977,0.037023,0.041632,0.045162,0.055869,0.056959,0.061523,0.061187,0.060348,0.06003,0.054697,0.047885,0.043194,0.039396,0.028755,0.024955,0.023598,0.018494,0.016094,0.018963,0.015023,0.018507,0.018135,0.017486,0.013035,0.012826,0.009098,0.008526,0.00937,0.004716,0.008048,0.004693,0.009318,0.004608,0.013971,0.009654,0.012877,0.012788,0.011136,0.009623,0.004765,-0.000644,-0.000271,-0.000291,0.000197,0.001146,0.002009,0.002462,0.003121,0.002941,0.006992,0.003285,0.006187,0.005434,0.000781,0.00055,0.000478,0.000619,0.000693,0.001108,0.001397,0.004546,-5.2e-05,-0.000103,0.00404,-0.000285,-0.001116,-0.001484,-0.001616,-0.00145,-0.000508,-0.000159,-0.000993,-0.001487,-0.001434,-0.002366,-0.002605,-0.001909,-0.002433
-0.041675,0.013632,-0.217694,-0.286471,0.078081,1.19198,1.146704,-0.003072,0.213945,0.069312,0.158919,-0.206952,-0.18781,-0.202953,-0.307393,-0.183752,-0.341901,-0.042508,-0.70161,-0.059456,-0.296119,0.111906,-0.238012,-0.017992,0.138005,0.137019,0.097816,0.054922,-3.732129,-0.031625,-0.068466,-1.416321,-1.26701,-0.089799,0.23387,0.364862,0.225854,0.164324,0.076171,0.186078,0.187791,0.248985,0.099986,0.111249,-0.110885,-0.01736,0.197574,-0.102733,0.324889,-0.081579,-0.100095,-0.04786,0.008493,0.027309,0.238283,0.024637,-0.106539,0.178382,0.012154,-0.033782,0.002796,-0.031334,0.005589,-0.029867,0.00569,-0.053345,-0.038488,0.262847,-0.085447,-0.005774,-0.064233,-0.037662,-0.004039,0.00036,0.000358,0.001383,0.002441,-0.00514,-0.113218,0.00465,0.00445,-0.063479,0.002864,-0.027829,-0.034807,0.000331,0.000104,6.9e-05,5.8e-05,-0.006883,-0.002607,0.001911,-0.03639,4.8e-05,3.8e-05,-0.036433,2.9e-05,1.4e-05,1.1e-05,1.6e-05,-0.001865,0.000272,3.1e-05,1e-06,7e-06,7e-06,0.000161,-0.001758,0.001068,0.000304
0.096702,0.011829,0.290947,0.425997,0.210585,2.12748,2.240897,0.224051,0.866782,0.113447,0.166466,0.68312,0.660524,0.661742,0.893515,0.746796,-0.073497,0.573757,-1.491568,0.414809,-0.30175,0.043804,0.373798,0.175865,-0.081136,-0.150137,-0.050678,-0.178713,-0.311645,-0.038163,0.150346,-0.540568,-0.729214,-0.091329,-0.542016,-0.840804,-0.797223,-0.591665,-0.443331,-0.551332,-0.547671,-0.568241,-0.352445,-0.319517,-0.029355,-0.156744,-0.306493,-0.02858,-0.522657,-0.011448,0.001445,-0.057974,-0.172975,-0.194714,-0.466688,-0.158323,0.132051,-0.309625,-0.000594,-0.01866,-0.014654,-0.000623,-0.009722,-0.016478,-0.027998,-0.112563,-0.027814,-0.449455,0.026399,-0.091401,-0.106319,-0.081798,0.004855,0.000275,0.000191,0.001938,-0.01439,-0.026637,-0.201275,-0.010753,-0.011032,-0.000643,-0.013835,-0.018107,0.014579,0.000697,7.3e-05,4.2e-05,4e-05,0.007011,0.016099,-0.01479,0.009546,3.3e-05,1.6e-05,0.009504,1.1e-05,1.5e-05,2.3e-05,0.0,0.014984,0.000412,6.1e-05,-3e-06,1.1e-05,6e-06,-0.000256,0.015142,0.001689,-2.6e-05
0.004871,-0.01494,0.147525,0.229985,0.003896,-1.269593,-0.960539,0.502032,-0.014559,-0.052462,-0.246139,0.163844,0.057737,0.086749,0.272695,0.180333,0.718279,0.084907,2.190829,0.417511,1.246151,0.417405,0.751851,0.344253,0.214487,0.203045,0.076766,0.24867,-4.766173,0.099411,-0.103542,-0.934819,-1.079087,-0.050499,-0.411919,-0.454576,-0.714447,-0.524541,-0.386712,-0.539293,-0.528052,-0.581965,-0.422902,-0.408755,-0.227807,-0.059647,-0.431366,0.003576,-0.308487,0.048908,0.01692,0.015599,-0.080472,-0.101927,-0.279118,-0.053322,-0.170894,-0.160478,-0.194016,0.031933,0.024373,0.002242,0.01973,0.026613,0.051512,0.175714,0.063404,-0.235226,-0.009348,-0.051258,0.189865,0.155302,0.002875,0.000607,0.000465,-0.001234,0.024193,0.034069,0.178132,0.020938,0.021168,-0.053203,0.023582,-0.013035,-0.021464,-0.000169,0.00012,9.2e-05,7.8e-05,-0.007034,-0.02881,0.024751,-0.018613,7.4e-05,6.3e-05,-0.01869,4.4e-05,2.6e-05,1.9e-05,2.9e-05,-0.024546,-0.000337,-3.6e-05,-7e-06,-0.0,5e-06,0.004695,-0.024726,-0.00144,0.004489
-0.007305,-0.007554,-0.000232,-0.000199,-0.000386,0.006678,0.006793,0.006587,0.014015,0.014059,0.013448,0.013118,0.013107,0.012786,0.012804,0.0051,0.005456,0.012319,0.012829,0.02008,0.013135,0.005643,-0.001896,-0.016663,-0.030763,-0.037926,-0.044506,-0.065924,-0.071979,-0.071487,-0.077742,-0.076472,-0.075404,-0.074833,-0.066825,-0.066164,-0.059029,-0.05181,-0.038249,-0.025012,-0.018411,-0.012251,0.001051,0.000902,0.007787,0.007534,0.00733,0.00723,3.8e-05,-0.006947,-0.006821,-0.006456,-0.006176,-0.005673,-0.005661,-0.005581,0.001167,0.001046,0.000757,0.000587,0.007264,1.5e-05,-3.8e-05,4.4e-05,0.000103,-0.006466,0.000704,-0.005908,-0.005719,-0.012198,-0.005391,-0.012229,0.000895,-0.006305,0.000312,0.00039,0.000415,0.000383,0.000348,0.000288,0.00028,0.000126,-0.006757,-8.4e-05,-9.7e-05,-8e-05,9.4e-05,0.000274,0.000283,0.000227,0.000147,0.006839,0.000207,9.3e-05,0.007067,0.007138,0.000392,0.000347,0.00033,0.00032,0.000289,0.000509,0.000635,0.000771,0.000711,0.007378,0.007139,0.000144,0.006854,0.006842
-0.000308,0.004055,0.003714,0.002611,0.004754,0.008862,0.005518,0.008866,0.006567,0.006288,0.018162,0.024516,0.024606,0.029907,0.029235,0.034704,0.028842,0.034542,0.027817,0.029073,0.023286,0.025458,0.026357,0.029932,0.022962,0.023352,0.014658,0.015174,0.00544,0.004071,0.005942,0.000856,-0.000165,-0.004278,-0.006697,-0.011527,-0.018014,-0.01896,-0.023885,-0.029983,-0.032855,-0.034102,-0.029514,-0.025919,-0.012578,-0.005092,-0.001953,0.00201,0.000325,-0.00453,-0.003564,-0.00074,-0.003357,0.0004,-0.004253,-0.00371,-0.005235,-0.00614,-0.003604,-0.00952,-0.002106,-0.009147,-0.004882,-0.004296,-0.003861,-0.001095,0.000595,0.002954,0.004301,0.007306,0.00637,0.006664,0.001867,-0.00047,-0.002311,0.002742,0.002935,0.002731,0.002483,-0.002471,-0.002539,-0.003603,-0.003796,-0.005092,-0.00519,-0.005078,-0.003837,-0.002585,-0.002506,-0.007451,-0.00801,-0.009273,-0.002996,-0.008422,-0.003148,-0.002632,0.002905,0.002566,0.002428,0.002377,-0.002554,0.003767,0.00471,0.005725,0.005319,0.004105,0.002406,0.0011,0.000298,0.000218
9.8e-05,-0.005237,-0.006,-0.007152,-0.014812,-0.020837,-0.024431,-0.030977,-0.034076,-0.034491,-0.041996,-0.045367,-0.045364,-0.049863,-0.050827,-0.054608,-0.051073,-0.055893,-0.05348,-0.052695,-0.048798,-0.045657,-0.044144,-0.038037,-0.023425,-0.01102,0.000582,0.013731,0.034139,0.042793,0.054833,0.067896,0.074906,0.079266,0.084235,0.086781,0.088748,0.086151,0.080073,0.073498,0.070575,0.060048,0.045924,0.040095,0.02485,0.013444,0.007207,0.001712,0.000282,0.005042,0.005892,0.008368,0.015016,0.018239,0.023089,0.023476,0.022061,0.021267,0.014561,0.018378,0.006948,0.009921,0.004708,0.005199,0.005561,0.007905,0.009226,0.011197,0.012275,0.014713,0.013822,0.014079,0.010082,0.008269,0.006748,0.002161,0.00231,0.002143,0.001946,0.006598,0.006543,0.005713,0.005629,0.004556,0.004483,0.00457,0.005537,0.00651,0.006572,0.011253,0.010828,0.009777,0.006194,0.010521,0.006002,0.006394,0.002218,0.001957,0.00185,0.001809,0.00651,0.002858,0.003565,0.004315,0.003994,0.002983,0.001702,0.000816,0.000122,6.3e-05
-0.453124,-0.546606,-0.495587,-0.262194,-0.483578,-0.371806,-0.20889,-0.351865,0.849671,-0.374391,-0.177766,-0.673336,-0.487669,-0.538738,-0.750793,-0.872873,-0.636251,-4.634439,-0.447613,-0.530276,-1.585772,-0.62335,-3.774924,0.212354,0.137563,0.321904,-0.424706,0.401718,0.767894,0.646857,-0.412298,0.754107,-0.723699,0.647951,0.461133,0.485046,0.504295,0.382754,0.260915,0.178368,0.077551,0.039196,0.012772,-0.134074,0.016621,0.069668,-0.034329,0.255543,-0.006748,-0.035696,-0.02071,0.096101,-0.086293,-0.065618,-0.007036,0.154882,-0.070194,0.147777,0.174336,-0.111338,0.129795,0.032335,0.127564,0.124259,-0.032184,-0.042648,-0.036836,-0.043694,-0.047667,-0.010166,-0.048843,-0.047843,-0.036304,-0.032562,-0.02429,0.215261,-0.094269,0.199787,0.019763,-0.045404,-0.043431,-0.004081,-0.029367,0.134358,-0.046784,0.023808,0.043299,0.224919,-0.025074,0.258255,0.058971,0.00424,0.018308,0.16702,-0.041262,-0.04084,-9.5e-05,0.003226,0.000728,-0.040225,-1.645555,0.093985,0.142605,0.0005,0.005055,-0.534679,0.00316,0.000126,0.00329,-0.156907
