0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.005262,0.011108,0.010691,0.014859,0.024593,0.018309,0.024389,0.030094,0.0199,0.025656,0.036316,0.030238,0.030445,0.030538,0.031854,0.021415,0.022723,0.016038,0.005376,0.000103,0.000688,0.000115,5.7e-05,0.001543,0.000758,-0.001407,-0.001664,-0.007066,-0.006663,-0.000972
0.009522,0.009141,0.011137,0.022635,0.036534,0.036801,0.034479,0.03373,0.020853,0.021625,0.025633,0.023106,0.020181,0.016852,0.008733,0.002177,-0.004616,0.000856,-0.003718,-0.006126,-0.00835,-0.004738,-0.003103,-0.010221,-0.005774,0.005383,0.006411,0.004679,0.001797,0.002402
-0.010646,-0.010933,-0.009904,-0.011864,-0.013071,-0.012551,-0.006873,-0.000516,0.00826,0.008236,0.016347,0.022322,0.027886,0.033145,0.036445,0.034159,0.03823,0.026985,0.02562,0.024895,0.024043,0.018632,0.012447,0.016553,0.011444,0.002029,0.002423,0.001957,0.007666,0.007692
-1.7378,-0.422192,-0.184461,0.120798,0.177136,0.023497,0.129184,-0.071518,0.013512,0.00532,2.923439,-0.061411,-0.086921,1.77966,0.849293,0.299009,0.461939,0.290586,-0.051874,-0.163218,-0.148924,2.5e-05,-0.047009,0.104969,-0.085438,-1.859444,0.0016,-0.001205,0.129135,-0.046118
-1.592803,0.292287,-0.251819,-0.135166,-0.211465,0.097155,-0.118037,-0.30232,-0.095439,-0.030521,0.910232,-0.143916,-0.099028,1.260186,-0.202209,-0.449651,-0.640522,-0.614634,-0.099346,0.061772,-0.00586,-0.176827,0.047259,-0.266098,0.086992,-1.67991,-0.008469,0.00506,-0.255551,4.2e-05
2.134755,0.278758,0.077382,0.366301,0.480944,0.584465,0.28974,0.466677,0.196986,0.044449,4.676589,0.263411,0.043861,-0.970506,1.856978,-0.024041,-0.379345,-0.375145,-0.253251,-0.18819,-0.035473,-0.08001,-0.171257,-0.361293,-0.228207,1.203162,0.026151,-0.002627,-0.099001,0.037647
0.011142,0.017456,0.017763,0.002409,0.004651,0.005288,0.000236,-0.005195,-0.005987,-0.006084,-0.011531,-0.006165,-0.006282,-0.01206,-0.012927,-0.019726,-0.02023,-0.027008,-0.022613,-0.02854,-0.023725,-0.02526,-0.025393,-0.025109,-0.018934,-0.011214,-0.010761,-0.005522,0.000537,0.00105
0.006541,0.004063,0.01061,0.031234,0.045055,0.044968,0.042046,0.040015,0.026163,0.02115,0.021999,0.019125,0.014061,0.012505,0.006713,-0.004588,-0.003575,-0.006209,-0.012345,-0.017537,-0.017194,-0.023877,-0.019822,-0.018068,-0.011594,-0.006262,-0.004234,-0.006502,-0.001369,0.000901
-0.018909,-0.013123,-0.017574,-0.015314,-0.009766,-0.002958,0.009609,0.015471,0.023518,0.0283,0.028543,0.026944,0.031792,0.031379,0.029431,0.032888,0.026643,0.019677,0.017585,0.023041,0.01624,0.014265,0.008806,0.009332,0.004242,0.012259,0.012896,0.011822,0.006307,0.007012
1.986124,0.249731,0.107745,0.101731,0.069693,-0.170092,-0.178031,0.013801,-0.065864,0.097558,-0.047074,0.14495,0.013938,-0.102546,-0.109848,1.957783,0.028342,1.983881,-0.364185,1.383188,-0.12494,0.807421,0.073295,-0.030513,-0.047487,-0.059228,-0.066717,-0.2657,0.085272,0.022673
0.514585,1.11567,0.132269,0.260073,0.064569,0.020665,-0.239592,0.039974,-0.005831,-0.056284,-0.011661,0.009103,-0.089571,0.087251,0.096639,-1.216168,0.03663,-1.45371,-0.971107,-0.72557,-0.512654,-0.297162,-0.774758,-0.203812,-0.265388,0.011717,0.058586,0.074271,0.476632,0.450833
-5.49671,-6.380124,-0.563162,-0.772439,-0.571411,-0.315035,-0.328064,-0.047444,0.068301,-0.407348,0.049783,-0.56737,-0.107493,-0.191721,-0.217681,0.810401,-0.225915,1.281809,0.501944,-0.393914,0.818227,-0.565414,0.109029,0.711022,0.389942,0.102601,-0.087809,-0.016826,0.149679,0.340634
