0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
0.010439,0.010476,0.005127,-0.001889,-0.007515,-0.001702,-0.007999,0.003321,-0.00172,0.003265,-0.001761,-0.001146,0.00439,-0.001794,0.003793,0.003991,0.004255,-0.001591,-0.000869,-0.00126,0.005149,-0.00034,-0.000263,0.005812,0.011487,0.012048,0.017309,0.022367,0.022831,0.022682,0.022956,0.018938,0.014588,0.014016,0.012955,0.012712,0.012642,0.013348,0.012631,0.012448,0.012103,0.016303,0.010714,0.005199,-0.000241,-0.000123,0.000168,0.000364,0.005275,0.000493,5.6e-05,-6.1e-05,-0.001367,-0.00038,-0.001027,-0.002026,-0.001892,0.004276,0.003306,0.003425,0.009779,0.010104,0.010577,0.010787,0.016428,0.016743,0.011215,0.011079,0.010378,0.006055,0.005305,-0.000697,-0.001232,-0.006999,-0.007093,-0.005961,-0.005829,-0.005687,0.000588,0.001004,0.00107,0.001248,9.6e-05,-0.000379,-0.001285,-0.000656,-0.006189,-0.000737,-0.000767,-0.000443,-0.000952,-0.000613,-0.000281,0.000221,0.000131,9e-06,8.1e-05,0.000304,0.000643,0.000729,0.001134,0.001328,0.001516,0.001042,0.000603,0.000613,0.005594,0.00541
0.009566,0.009456,0.005521,0.013378,0.01132,0.012008,0.014441,0.01755,0.012068,0.017742,0.011886,0.007616,0.009668,0.011534,0.013143,0.011875,0.010171,0.010241,0.005343,0.008177,0.004059,0.002055,0.001586,-1e-06,0.000841,-0.003035,0.000464,0.004481,0.000956,0.001676,5e-06,-0.009181,-0.017459,-0.012409,-0.006949,-0.006629,-0.006254,-0.010594,-0.007173,-0.006329,-0.004764,0.003983,0.001252,-0.000483,-0.002488,-0.003018,-0.004312,-0.005196,0.00015,-0.005775,-0.002661,-0.002136,0.004857,-0.000697,0.003368,0.009,0.008404,0.005508,0.010884,0.010249,0.006385,0.004824,0.002679,0.001742,0.002149,0.000815,-0.000122,0.00043,0.004575,-0.002541,0.001806,0.002753,0.004876,0.004958,0.005358,-0.000473,-0.00097,-0.001533,-0.005087,-0.006787,-0.005722,-0.006402,-0.000412,0.001536,0.006548,0.002675,0.001921,0.003019,0.00314,0.000497,0.003894,0.002501,0.00114,-0.000908,-0.000536,-3.7e-05,-0.000332,-0.001245,-0.002638,-0.002986,-0.004648,-0.005432,-0.006206,-0.004259,-0.002463,-0.002507,0.000587,0.00134
-0.003604,-0.00361,-0.004992,-0.015294,-0.015838,-0.01585,-0.014458,-0.013749,-0.008784,-0.013636,-0.008841,-0.003712,-0.00316,-0.002072,-0.001721,-0.002255,-0.002966,-0.00264,0.002196,-0.003499,0.00136,0.000834,0.000644,-0.000297,-0.000251,0.005004,0.006158,0.007486,0.01289,0.013186,0.012527,0.009154,0.012947,0.001288,0.003495,0.010512,0.010675,0.015824,0.01724,0.017594,0.018246,0.014598,0.020638,0.020191,0.019638,0.019422,0.018924,0.018587,0.013533,0.01837,0.012696,0.012892,0.008625,0.013407,0.008048,0.003249,0.00302,0.008554,0.003648,0.003395,0.00861,0.008054,0.007307,0.006985,0.006963,0.00652,0.006372,0.006563,0.00123,0.005722,0.000453,0.000926,0.001642,0.001809,0.001936,0.006712,0.00655,0.006361,0.011773,0.011221,0.004854,0.004652,-0.000136,0.000503,-0.004587,0.000878,0.000766,0.000985,0.001022,0.006875,0.001253,0.000803,0.000365,-0.00029,-0.000173,-1.3e-05,-0.000106,-0.000398,-0.000847,-0.00096,-0.001504,-0.001763,-0.002026,-0.001399,-0.000812,-0.000829,4.8e-05,0.000299
0.039932,4.319156,-0.132016,4.477077,1.330994,0.1023,0.048216,-0.074625,4.450984,0.153166,-0.003111,0.046823,0.432214,-0.053556,-0.014774,-0.068032,-0.211812,-0.02908,-0.013111,0.040258,0.001672,-0.000315,0.001169,0.001944,0.001126,-0.050207,-4.425671,-0.075582,0.166401,-0.267329,0.106502,-1.331552,0.196561,-0.048616,-0.030142,-1.356924,-0.07012,-0.109024,-0.026461,0.117256,-0.000365,0.249202,0.153722,0.385082,-0.112742,-0.075326,-0.092826,-0.11276,-0.036344,0.120806,-0.076483,-0.070135,0.003701,0.030612,-0.035451,0.00181,0.000921,-0.193184,0.004273,0.002981,-0.029971,-0.030658,-0.099918,1.525935,-0.030863,-0.037367,-0.034124,-0.142476,0.155868,-0.033136,0.002001,0.057853,-0.000208,-0.001353,-0.000863,-0.192356,-0.030072,0.051407,0.129923,-0.071104,-0.106933,3.841798,0.001311,-0.000141,0.03516,0.000553,-0.010817,0.000694,-2e-05,-0.034169,0.00058,-4.5e-05,-0.018296,0.000651,-3e-06,-1.3e-05,-0.000149,-0.000169,-0.005256,-0.00074,-0.000717,-0.000719,-0.001032,-0.001172,-0.000115,0.004568,0.002346,0.002015
-0.031185,0.414141,-0.036652,0.477847,0.635783,0.464421,0.10352,0.07125,1.005435,-0.088722,0.194702,-0.085291,0.111825,-0.23581,0.028383,0.165526,0.559643,0.108928,-0.018556,-0.013914,-0.015516,-8.3e-05,-0.011284,-0.014899,-0.030308,-0.014653,-1.644537,-0.282166,-0.903246,-0.572629,-0.52982,-0.364512,-0.619168,0.027036,-0.01486,-1.529996,-0.014074,-0.010131,-0.201176,-0.51013,-0.270623,-0.725217,-0.5856,0.454293,-0.026571,0.084977,-0.007226,0.054708,-0.094262,-0.529281,0.007798,-0.057935,-0.103229,-0.235959,-0.006356,-0.018761,-0.009409,0.330139,-0.027467,-0.024623,-0.039565,-0.037445,0.111988,1.309417,-0.057854,-0.034324,-0.032495,0.207541,0.089485,-0.016293,-0.01527,-0.129365,-0.007078,0.006209,-0.003191,-0.120413,-0.001431,-0.63947,-0.436114,0.002087,0.161693,0.634732,-0.004933,-0.00011,-0.007977,-0.008747,-0.001594,-0.00868,1.9e-05,-0.009605,-0.00874,-1.5e-05,0.038543,-0.001463,-3.1e-05,-8e-06,-0.000148,-8.4e-05,0.068847,0.008715,0.008712,0.008714,0.008184,0.008408,-2e-05,-0.003395,-0.016001,-0.015227
0.081886,3.631689,0.285127,3.484797,1.19863,0.52697,0.407083,0.411683,3.802305,0.339728,0.345582,0.235268,0.385512,0.415762,0.561002,0.593978,0.547765,0.320959,0.241939,0.017386,0.02885,-0.000223,0.026349,0.029144,0.056341,0.034233,-3.208543,-0.048163,-0.341887,-0.232877,0.089068,-1.040758,-0.502373,-0.002577,0.008845,1.93318,0.016233,-0.003879,-0.051503,-0.175192,-0.049898,-0.16571,-0.136278,-0.560147,0.022463,-0.244709,-0.215212,-0.200401,-0.016794,-0.205865,-0.0136,0.173931,3.7e-05,-0.101628,0.005009,0.054471,0.027242,0.190655,0.055467,0.056463,0.062323,0.063292,0.116688,-1.77874,0.094692,0.071765,0.038257,0.11864,-0.091447,0.006004,0.02933,-0.013987,0.028056,-0.001893,0.025513,0.154357,-0.030303,-0.026985,-0.164593,-0.046664,-0.000568,3.831295,-0.001305,-0.000213,0.051164,0.027354,0.009168,0.027327,-4.8e-05,0.003565,0.027386,-7.7e-05,0.01244,-0.000509,-2.4e-05,-1.2e-05,-4.1e-05,-0.000133,-0.217116,-0.027544,-0.027515,-0.027488,-0.027455,-0.027208,-8.2e-05,-0.031847,0.028929,0.029201
-0.007026,-0.00703,-0.000825,0.006088,0.006489,0.006505,0.012501,0.006997,0.007163,0.001385,0.001,-0.005005,0.000153,-0.000728,-0.006462,-0.00648,-0.00079,-0.005782,-0.005332,-0.005077,0.000533,0.001021,0.001409,-0.003529,-0.00282,-0.00257,-0.00169,-0.00686,-0.006726,0.004089,0.002823,0.001312,0.006287,0.000379,-0.004896,-0.005471,-0.000155,-0.011087,-0.021422,-0.021468,-0.021259,-0.032718,-0.027661,-0.027625,-0.028022,-0.022428,-0.022506,-0.022258,-0.016812,-0.010774,-0.004979,0.000898,0.001387,0.002019,0.007872,0.008125,0.008175,0.003056,0.002715,0.002383,0.002276,0.001634,0.001189,0.001176,0.001237,0.001116,0.001102,0.000844,0.000702,0.001088,0.001154,0.001538,-0.003615,-0.003341,-0.003346,-0.008736,-0.003589,0.001575,-0.004181,0.000744,0.000516,0.005741,0.006131,-0.004565,0.000487,0.000298,0.000409,0.00021,-0.004977,0.000579,0.000723,0.006015,0.000392,5.4e-05,-0.000337,-0.000253,-0.005716,-0.000373,-0.000545,-0.000338,0.004705,-0.000619,-0.005791,-0.000198,0.004871,-0.000523,-0.000447,0.0051
-0.002113,-0.006478,0.003438,0.004873,0.011348,0.016053,0.015919,0.015398,0.016612,0.017346,0.014709,0.01434,0.009318,0.003522,0.000275,0.004639,0.003153,0.005064,0.00798,0.009541,0.007551,0.010701,0.009059,0.010944,0.015494,0.017118,0.018021,0.016966,0.017368,0.013054,0.00115,-0.004024,-0.008264,-0.005781,0.001231,-0.002691,-0.005028,-0.002119,0.008235,0.00818,0.008647,0.004049,-0.007242,-0.003059,-0.00875,-0.005288,-0.009427,-0.008093,-0.009339,-0.008007,-0.007853,-0.003517,-0.001368,0.005277,0.005857,0.010933,0.007413,0.010163,0.008661,0.011014,0.006694,-7.9e-05,-0.002126,-0.002171,0.001948,-0.00245,0.001324,-0.003721,-0.004388,0.005103,0.00541,0.007177,0.009153,0.006516,0.006447,0.007114,0.005142,0.003396,0.002379,-0.000412,-0.001456,-0.002839,-0.001059,0.000556,-0.001588,0.001392,0.001886,-0.002878,0.002475,-0.001194,-0.000532,-0.001521,0.001817,-0.003575,-0.001514,-0.001139,-0.000912,-0.001709,-0.002495,-0.001556,-0.003745,0.001014,-0.001214,-0.000905,-0.00301,-0.002397,-0.002058,-0.002002
-0.007596,-0.002296,-0.012777,-0.005403,-0.009837,-0.015034,-0.015297,-0.008258,-0.007789,-0.007176,-0.008227,-0.008074,-0.010275,-0.012507,-0.006577,-0.011803,-0.012653,-0.004686,-0.003537,-0.002928,-0.003976,-0.002756,0.003511,0.011359,0.012949,0.013468,0.020479,0.026979,0.026812,0.024631,0.027258,0.018807,0.017093,0.011544,0.007391,0.006157,0.005093,0.006666,0.003937,0.003887,0.004093,0.01001,0.019535,0.014186,0.019144,0.013217,0.018647,0.019111,0.0184,0.018477,0.018161,0.012397,0.013055,0.008349,0.008112,0.002882,0.008513,0.009652,0.009162,0.003128,0.008535,0.013254,0.01268,0.012666,0.007163,0.012593,0.006984,0.012251,0.012077,0.001358,0.001438,0.001895,0.002806,0.008702,0.008671,0.009241,0.008296,0.007426,0.007592,0.006469,0.006213,0.005443,0.005876,0.007134,0.006184,0.000336,0.000453,0.005877,0.001028,0.00628,0.006438,0.005766,0.00043,0.005718,-0.00036,-0.000271,0.00022,-0.000408,-0.000593,-0.000373,-0.001333,-0.006338,0.000142,-0.000218,-0.001161,-0.000582,-0.000502,-0.000919
3.555668,0.980097,5.182253,2.93839,1.38492,3.4304,0.23947,3.611971,3.745041,0.209417,-1.965713,0.059192,1.079122,0.261069,-1.421416,0.157301,-0.216576,0.028135,0.036072,-0.095155,0.031914,0.0362,-0.047358,-1.258965,-4.111817,-5.194026,-5.236234,-1.303073,-4.51835,-3.258623,-0.009377,0.137759,2.88554,2.307799,3.67661,0.266863,0.010658,-1.946044,0.007877,2.887371,0.735723,-0.02776,-0.081304,-0.040712,-0.088698,-0.065035,1.979144,-0.067574,-0.105754,-0.006934,-0.054834,-1.670225,0.034104,0.086283,0.044563,-0.010032,-0.02453,-0.039912,-0.25897,0.0051,0.148504,-0.069601,-0.069657,-0.069682,-0.02742,-0.075238,-0.036478,-0.07004,-0.067483,0.001644,0.002074,0.00333,0.003667,-0.032672,-0.032673,-0.033636,-0.034766,-0.031283,-0.054404,-0.033843,-0.03592,-0.036651,0.14299,-0.038483,-0.039306,-1e-05,0.002264,-0.035964,-0.000955,-0.035978,-0.035966,-0.032749,0.002253,-0.036023,-0.002799,-7.1e-05,-0.001278,-1.2e-05,-0.002248,2e-06,0.000988,0.033755,-0.003235,0.005503,0.001081,-3e-06,-0.000395,0.000936
-0.407558,-0.115256,-1.30404,-0.314199,-0.472888,-0.11898,-0.939633,-0.170075,-0.016096,-0.776224,0.139844,-0.607021,-0.730457,-0.765056,0.54073,-0.445169,-0.474297,0.023632,0.003016,-0.57239,-0.06132,0.061046,0.077562,0.379044,0.767663,1.120588,1.581751,1.64625,2.565904,2.120171,0.72826,0.68161,-0.259835,-1.488813,-0.907583,0.303672,-0.379578,1.319688,0.039452,-0.027907,-0.301467,-0.026668,-0.004676,-0.081922,-0.009658,0.025357,-1.185631,0.14024,0.009785,0.229988,0.102008,0.349284,0.171039,0.300114,0.18807,0.011836,-0.023221,0.042378,0.1628,-0.016532,0.461305,0.013677,0.017266,0.017287,0.114648,0.005278,-0.001987,0.016207,0.026086,-0.00876,-0.00768,-0.02513,-0.000672,0.01213,0.012182,0.026998,0.019722,0.003797,0.008994,0.004496,0.012264,-0.001625,0.449756,0.013682,0.004007,-0.000169,-0.007037,0.012134,0.01471,0.012105,0.012092,-0.009569,-0.006891,0.011981,0.007063,5e-05,0.014851,-3e-06,0.006815,-8e-06,-0.014709,-0.005124,0.021571,0.013254,-0.014446,3.6e-05,1e-05,-0.014711
