0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0.00684,0.007092,0.01417,0.01379,0.013925,0.013952,0.021033,0.021011,0.021389,0.021406,0.021416,0.021402,0.014335,0.02134,0.01464,0.014578,0.014505,0.014477,0.007892,0.007855,0.014753,0.015121,0.015061,0.008576,0.008557,0.014922,0.008046,0.008039,0.00804,0.007561,0.007571,0.007568,0.007574,0.007097,0.00759,0.007563,0.007545,0.007521,0.0075,0.007499,0.007496,0.006984,0.007565,0.006542,0.006573,0.006573,-0.000179,-0.000181,-0.000227,0.006421,0.00018,0.000182,0.000183,0.000237,0.000317,0.007039,0.000484,3e-06,1.5e-05,1.8e-05,2.7e-05,9e-06,3e-06,-1.1e-05,-2.5e-05,0.000544,-3e-06,-0.0,0.000546,0.000544,3.6e-05,6.3e-05,-0.006627,5.4e-05,1.9e-05,9e-06,-1e-06,1.7e-05,3.1e-05,6e-05,3.1e-05,4.2e-05,2e-06,-2.8e-05,3.4e-05,2e-06,2.3e-05,1.7e-05,2e-06,-0.0,1.2e-05,2.8e-05,1e-05,3.8e-05,6.1e-05,0.000109,8.8e-05
0.005857,-7e-06,1.7e-05,0.005931,0.006555,0.007343,0.007863,0.00821,0.004441,0.00594,0.006896,0.008556,0.009686,0.011047,0.005707,0.006408,0.006285,0.006765,0.001126,0.002094,0.003107,-0.001455,-0.001303,-0.006743,-0.007172,-0.000834,-0.002482,-0.003079,-0.004498,0.000589,-0.000904,-0.001203,-0.001986,0.002525,-0.003425,-0.002748,-0.002634,-0.002055,-0.0019,-0.002464,-0.002793,0.0024,-0.005118,0.005115,0.004154,0.00404,0.003942,0.003903,0.004839,0.00651,0.00192,0.001801,0.001717,0.000529,-0.001098,-0.001557,-0.004395,-0.00013,-0.00035,-0.000377,-0.000514,-0.000163,-5.7e-05,0.000222,0.000499,-0.005468,5.3e-05,-1.6e-05,-0.005565,-0.005563,-0.000776,-0.001297,-0.001611,-0.001091,-0.000381,-0.000157,3e-05,-0.000344,-0.000612,-0.001241,-0.00063,-0.000863,-2e-05,0.000594,-0.000684,-4.4e-05,-0.000474,-0.000357,-2.2e-05,-1e-05,-0.000246,-0.000582,-0.000203,-0.000769,-0.001254,-0.002236,-0.001767
-0.004155,-0.000515,-0.000999,-0.004561,-0.003961,-0.003153,-0.003146,-0.00282,0.002967,0.004476,0.005438,0.007083,0.008744,0.009503,0.014148,0.014742,0.014504,0.014921,0.019269,0.020091,0.020397,0.025147,0.025137,0.029671,0.029199,0.025193,0.024179,0.023589,0.022232,0.017743,0.016364,0.016078,0.015349,0.010383,0.014052,0.014602,0.014666,0.015135,0.015225,0.014711,0.014402,0.010034,0.012439,0.003589,0.002788,0.002689,0.003218,0.00318,0.003939,0.004668,0.010092,0.009983,0.009887,0.008913,0.007609,0.006638,0.004991,-0.000105,-0.000276,-0.000298,-0.000404,-0.00013,-4.4e-05,0.000176,0.000396,0.004145,4.2e-05,-1.2e-05,0.004071,0.00407,-0.000614,-0.001026,-0.000673,-0.000864,-0.0003,-0.000122,2.6e-05,-0.000272,-0.000486,-0.000987,-0.000502,-0.000688,-1.6e-05,0.000474,-0.000544,-3.3e-05,-0.000375,-0.000285,-1.7e-05,-9e-06,-0.000197,-0.000465,-0.000163,-0.000613,-0.001,-0.001785,-0.001411
0.314225,0.090816,0.01139,2.927464,0.348949,0.350623,0.042783,0.040848,-0.004804,0.007281,0.009114,0.009323,0.023553,0.119542,-0.043656,-0.016987,0.006703,0.072347,0.323647,0.492251,0.105386,-0.025609,0.108794,0.062759,0.336458,0.368679,0.374405,-0.133105,0.294821,-0.092191,0.042135,-0.072893,-0.085745,0.298942,-0.087549,-0.078316,-0.063867,-0.066904,-0.076468,-0.043513,-0.092279,-0.016422,-0.094241,0.037539,-0.024341,0.000114,0.00211,-0.012448,-0.001597,-0.007203,-0.010706,-0.0357,0.045206,-0.048942,-0.039144,0.088856,-0.03803,0.000228,0.033359,-0.001057,-0.006238,0.196373,-0.014769,-0.013404,-4e-05,-0.036263,0.000179,0.000134,-0.036383,-0.036397,-0.009476,-0.00198,-0.001978,-0.00182,3.8e-05,3.3e-05,3.1e-05,1.9e-05,1.1e-05,-0.001868,1e-05,-0.001871,6e-06,7e-06,-0.001861,5e-06,1.2e-05,4e-06,0.081606,-0.010626,-0.000147,5.5e-05,4.9e-05,2.7e-05,1.8e-05,-0.001862,1.4e-05
0.282568,0.067601,-0.035896,3.426692,0.260948,0.201471,-0.086275,-0.061587,0.052965,-0.063187,-0.080003,-0.079827,0.120907,-0.204389,-0.044929,0.009291,-0.119504,-0.171504,-0.387755,-0.538968,0.496556,-0.158552,-0.269112,-0.230608,-0.438939,-0.356521,-0.347333,0.089657,-0.284387,0.068948,-0.045122,0.160896,0.079495,-0.295504,0.00368,0.072848,-0.012297,-0.025465,-0.017982,-0.06218,0.077402,-0.061027,0.104318,0.018178,0.08408,-0.02675,-0.014876,-0.005901,-0.012034,-0.025898,-0.052109,-0.014837,-0.007642,0.002648,-0.001199,-0.062086,0.011285,0.000221,-0.043399,0.001204,-0.002087,-0.211003,0.011729,0.010348,0.0005,0.009692,0.000121,8.5e-05,0.009495,0.009485,0.007496,0.01516,0.015299,0.014974,3.6e-05,3e-05,6e-06,1.3e-05,1e-06,0.014928,1.1e-05,0.014917,1e-05,-1e-06,0.014917,8e-06,-5e-06,7e-06,-0.093755,0.008309,0.000267,5.9e-05,2.1e-05,1.1e-05,2.5e-05,0.014934,1.7e-05
0.367259,0.115912,0.053197,3.606505,0.33703,0.393143,0.135012,0.10494,-0.049949,0.110392,0.133756,0.13391,-0.089086,0.072778,0.094847,-0.076665,0.078318,0.035174,-0.20241,-0.313357,-0.617745,0.029306,-0.058062,-0.098321,-0.285857,-0.399949,-0.429074,-0.105203,-0.376239,-0.100058,-0.212236,-0.315026,-0.129712,-0.373703,0.025184,-0.133759,0.03127,0.042812,0.045885,0.015602,-0.127287,0.04011,-0.145834,-0.15485,-0.110104,0.055992,0.024761,0.029002,0.026394,0.0546,0.006659,-0.003579,-0.236721,0.009064,0.008507,-0.230987,-0.017499,0.000257,-0.031076,0.000841,-0.00418,-0.13959,0.006437,0.005491,0.000491,-0.018444,0.000194,0.000118,-0.018678,-0.018704,0.004069,-0.024357,-0.029134,-0.024513,5.5e-05,3.9e-05,3.5e-05,2e-05,2.1e-05,-0.024576,3e-06,-0.024578,2e-06,2.9e-05,-0.024563,1.5e-05,1.3e-05,7e-06,-0.06351,0.004389,0.000191,5.9e-05,4.2e-05,5.1e-05,2.6e-05,-0.024566,1e-05
0.026392,0.004596,-0.016848,-0.031177,-0.045439,-0.065249,-0.072249,-0.079248,-0.092615,-0.092383,-0.091777,-0.091309,-0.097515,-0.09684,-0.089088,-0.081462,-0.081143,-0.08102,-0.073792,-0.066678,-0.066512,-0.052483,-0.045634,-0.032089,-0.032091,-0.025602,-0.012526,-0.005912,0.000751,0.007493,0.007419,0.007575,0.014376,0.007264,0.013646,0.0134,0.006364,-0.000223,-0.000181,-0.000299,-0.00026,-0.000155,-0.006823,6.9e-05,0.000436,0.000478,-0.006201,0.000581,0.000624,0.00054,0.000449,0.000392,-0.006478,0.000105,-2e-06,-0.0,4.6e-05,-5.9e-05,-0.006802,0.000305,-0.006566,-0.006576,-0.00648,-0.006485,-0.01317,-0.006314,-0.006036,0.00082,0.000913,0.001014,0.001165,0.001158,0.000986,0.007286,0.007085,6.5e-05,0.000172,0.000204,0.000371,0.000392,0.000598,0.000714,0.000583,0.000593,0.000361,0.000156,2.2e-05,-2.5e-05,-2.3e-05,3.3e-05,4.3e-05,4.1e-05,0.000115,4.9e-05,-6.9e-05,-0.000108,-0.000173
0.023718,0.022251,0.021262,0.0206,0.020582,0.0077,0.007689,0.009369,0.002004,0.008187,0.00425,0.008896,0.012429,0.007815,0.010161,0.002416,-0.005615,0.000668,-0.003633,-0.008272,-0.007445,-0.005791,-0.011275,-0.017156,-0.017201,-0.019456,-0.027659,-0.029091,-0.025502,-0.026764,-0.022889,-0.017563,-0.009094,-0.006266,-0.014109,-0.011436,-0.012664,-0.006069,-0.005714,-0.011175,-0.010883,-0.010152,-0.008333,-0.013121,-0.010591,-0.010284,-0.003976,-0.00503,-0.000179,-0.000765,-0.0014,-0.001798,0.003128,-0.003788,-0.004531,-0.004502,-0.00418,-0.009413,-0.008113,-0.006926,-0.006443,-0.006476,-0.005834,-0.005856,0.000304,-0.000311,0.005861,0.000823,0.001411,0.002061,0.003051,0.00304,0.00188,-0.006319,-0.003184,-0.003966,0.001141,0.00135,0.002421,0.002561,0.0039,0.004661,-0.000632,0.003885,0.002363,0.001034,0.000162,-0.000159,-0.00015,0.000213,0.00028,0.000266,0.000753,0.000322,-0.000442,-0.000702,-0.001131
-0.017447,-0.016607,-0.014703,-0.013642,-0.011949,-0.004092,-0.003524,-0.001376,0.011474,0.017493,0.022634,0.026737,0.029704,0.033874,0.034725,0.034682,0.034936,0.031452,0.035716,0.039727,0.040252,0.041278,0.044721,0.047934,0.047746,0.045434,0.046847,0.045544,0.039807,0.038717,0.033229,0.029013,0.018635,0.012232,0.014258,0.007728,0.006699,0.003589,0.003899,0.008052,0.00832,0.008961,0.010578,0.015306,0.017489,0.017752,0.014315,0.013374,0.00866,0.008154,0.007611,0.007272,0.00266,0.005598,0.004978,0.005004,0.005279,0.009682,0.010803,0.011761,0.012197,0.01217,0.012702,0.01268,0.009035,0.008496,0.004818,0.009356,0.00981,0.01032,0.011079,0.011029,0.01008,0.012129,0.006018,0.005449,0.000896,0.00106,0.001902,0.00201,0.003053,0.00364,0.008039,0.003017,0.001832,0.000801,0.000126,-0.000122,-0.000115,0.000167,0.000216,0.000206,0.000582,0.000248,-0.000341,-0.000544,-0.000876
-0.529192,-2.721638,-0.510755,-1.416041,-1.045659,-0.95969,-0.679044,0.568959,-2.828689,0.327976,0.549778,-0.297405,0.828048,0.712994,0.803502,0.709977,0.515323,0.809922,0.583918,0.769308,0.571085,0.566138,0.520015,0.414822,0.529343,0.570275,0.423283,0.293035,4.192979,0.310876,0.153953,0.642102,1.467611,0.284215,0.062404,0.256246,0.190188,0.316413,1.478661,0.240104,0.040886,0.165284,-0.058061,-0.120048,-0.051188,0.016867,0.340582,0.284114,0.255857,-0.024973,0.064423,-0.043325,-0.000924,0.068843,-0.029912,0.194338,0.147136,-0.072342,-0.07568,-0.065565,0.198655,-0.073683,-0.073895,-0.052944,-0.002687,-0.035336,-0.001077,-0.033844,-0.033885,-0.033901,0.16225,-0.552147,-1.600774,0.047963,0.052848,-0.040176,0.257706,0.063376,0.001421,0.004368,0.002186,0.001895,-0.032791,0.001329,0.000188,0.000227,0.001469,4.8e-05,0.004975,1.9e-05,1.9e-05,1.2e-05,0.000715,1e-06,0.0,2e-06,-1e-06
