0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0.000182,0.000508,0.000415,0.000273,0.000109,0.000104,0.000359,0.000384,-0.004925,-0.011119,-0.01092,-0.011053,-0.011328,-0.017039,-0.01695,-0.022185,-0.017065,-0.010706,-0.010727,-0.010588,-0.004782,-0.010244,-0.00426,-0.008835,-0.008063,-0.00219,-0.001458,-0.000244,0.000486,0.000663,0.000402,0.005643,-0.001195,0.003404,0.001108,0.006374,0.004686,0.00966,0.008376,0.019543,0.017942,0.022634,0.0224,0.026448,0.024172,0.017749,0.019288,0.019948,0.014688,0.020098,0.011189,0.013628,0.014087,0.015593,0.012257,0.000726,0.000979,-0.004908,-0.007066,-0.001742,-0.003424,-0.003513,-0.004785,-0.003145,0.002836,0.000437,0.000484,-0.000128,0.004001,0.00932,0.004946,0.006041,0.005362,0.005018,0.004528,0.004707,0.004398,0.004179,0.004461,0.00455,-0.000831,-0.000865,0.005457,0.004576,0.000423,0.000412,2e-05,-0.000281,-0.000305,-0.000279,-0.000323
-0.000701,-0.001948,-0.00159,-0.001046,-0.000411,-0.000394,-0.001369,-0.001474,-0.00339,-0.000602,-0.001383,-0.000893,0.000195,-0.000133,-0.000488,-0.002821,-3.3e-05,-0.003703,-0.003631,-0.004286,-0.004464,-0.005929,-0.006926,-0.012636,-0.016506,-0.016897,-0.020535,-0.026484,-0.029845,-0.030239,-0.028326,-0.023814,-0.0191,-0.011054,0.000987,0.005243,0.013376,0.01794,0.023798,0.026384,0.031342,0.034826,0.033731,0.038636,0.04497,0.045398,0.034651,0.029078,0.024024,0.024816,0.01278,0.002174,0.000361,-0.005124,-0.01484,-0.013079,-0.013895,-0.011798,-0.001421,-0.000173,0.008571,0.010412,0.017728,0.010682,0.010816,-0.001485,-0.001643,0.000421,0.005342,0.006194,0.002135,-0.001504,0.000762,0.0019,0.003503,0.002893,0.003886,0.004592,0.003646,0.003342,0.002686,0.002783,-0.001153,0.003209,-0.001364,-0.001323,-6.3e-05,0.0009,0.000977,0.00089,0.001034
-0.000323,-0.000901,-0.000737,-0.000485,-0.000188,-0.000181,-0.000633,-0.000684,-0.001261,-0.006347,-0.006704,-0.00647,-0.005953,-0.005778,-0.005939,-0.006709,-0.005714,-0.001069,-0.001037,-0.001347,-0.001768,-0.002131,-0.00295,-0.00536,-0.007283,-0.007866,-0.009773,-0.012935,-0.014799,-0.022326,-0.028858,-0.03455,-0.03894,-0.042613,-0.043247,-0.041335,-0.036522,-0.026858,-0.023174,-0.007799,0.002639,0.011416,0.017871,0.027064,0.030072,0.0304,0.037544,0.040664,0.044469,0.044144,0.044976,0.046157,0.045197,0.042576,0.045074,0.039876,0.039534,0.034201,0.025477,0.025737,0.016234,0.010442,0.000427,0.004071,-0.002414,-0.000563,-0.000623,0.000154,0.001849,0.002004,0.000638,-0.00073,0.000123,0.00055,0.001155,0.000927,0.0013,0.001564,0.001209,0.001098,0.000998,0.001031,0.005718,0.001046,-0.000508,-0.000491,-2.3e-05,0.000335,0.000363,0.000331,0.000384
0.001443,-0.00253,-0.000356,-0.00024,-0.000189,0.002747,0.005279,-0.060385,-0.163212,1.736749,0.921253,0.115234,0.049233,0.037807,-0.131003,0.030104,0.031935,-0.004263,0.020344,0.240736,-0.006228,-0.004512,-0.004292,-0.012171,0.275963,0.002156,0.326886,0.017289,3.047752,-0.056186,0.959677,-0.192365,-0.007121,-0.221048,-0.148658,-0.038463,0.060011,0.01786,-0.125715,0.091815,-1.288914,-0.019909,0.045048,-0.011217,-0.010073,-0.020749,-0.091737,-0.127539,-0.145038,-0.163829,-0.206166,-0.242354,-0.199416,0.304632,0.094394,0.010755,-3.073872,0.240226,-0.140966,-0.133954,0.324619,-0.192541,-0.3055,-0.439246,-0.073468,0.009441,0.001145,-0.470304,-0.353885,-0.361353,0.00943,-0.000951,0.010189,0.001659,0.00164,0.003982,0.001767,-0.028104,0.030526,0.00239,-0.007421,0.001737,-0.031262,-0.01137,0.392957,0.00283,-0.016523,-0.014395,-0.000337,0.026061,-0.007273
-0.00274,0.014313,-8e-06,5e-06,1.6e-05,-0.003797,0.004785,0.209559,0.253027,1.860955,0.10099,0.031579,-0.074595,0.030189,-0.139369,0.076262,0.04369,0.030446,-0.000805,-0.334322,0.03237,0.030759,0.029862,0.055819,-0.375566,-0.022228,0.022847,0.076764,0.190273,0.557263,0.123762,0.545951,0.728855,0.60823,0.693185,0.429748,0.251516,0.232668,0.082403,-0.056192,-0.130275,-0.125991,-0.269239,-0.194723,-0.230326,-0.103645,-0.093768,-0.089633,-0.193048,-0.087802,-0.039718,-0.115373,-0.167507,-0.706685,-0.592837,-0.432698,-1.571564,-0.607896,-0.03188,-0.046439,0.657475,0.147877,0.353068,0.231558,0.193032,-0.010807,-0.001675,0.507212,0.371181,0.364163,0.062677,-0.005802,-0.01249,-0.015681,-0.015369,-0.029394,-0.015332,-0.071017,-0.016354,-0.032041,0.006904,-0.013617,-0.027366,0.079597,-0.414002,-0.002302,0.015604,0.012716,0.001187,-0.030194,0.007108
-0.002336,-0.02574,-0.000556,-0.000377,-0.000314,-0.00208,-0.029489,0.252557,0.116078,-1.196594,1.3567,0.06548,0.137949,-0.072514,0.046267,-0.124207,-0.068384,-0.058753,-0.116099,-0.313565,-0.05298,-0.058542,-0.054102,-0.105385,-0.377735,0.068732,0.429451,-0.116902,4.633327,0.377653,1.668172,0.602897,0.618658,0.492174,0.171035,0.274864,0.225813,0.296007,0.461271,0.242102,-0.546303,0.525046,0.430677,0.305361,0.358916,0.176081,0.132711,0.110708,0.24828,0.089083,-0.015783,0.110749,0.073043,-0.350186,-0.096894,-0.040084,-4.309539,-0.174983,-0.013271,0.011908,-0.385551,0.170494,0.305861,0.241297,-0.051929,-0.005442,-0.001156,0.29939,0.301249,0.294194,-0.152007,0.005157,0.038346,0.028381,0.028744,0.053897,0.02885,0.068407,0.088448,0.051788,0.003812,0.025243,0.031455,-0.145069,-0.24709,-0.006363,0.006463,0.005736,0.000156,-0.020207,0.003878
-1e-06,0.005359,0.005512,0.000129,0.000263,0.000512,-0.000294,1e-05,0.005521,0.006166,0.011757,0.011414,0.016766,0.022035,0.028063,0.033417,0.033696,0.034019,0.034383,0.028831,0.028433,0.028235,0.022033,0.015593,0.008894,0.0027,-0.004591,-0.007036,-0.002854,-0.006966,-0.010047,-0.018338,-0.018679,-0.025565,-0.023994,-0.022931,-0.024725,-0.019592,-0.029277,-0.028392,-0.029067,-0.030414,-0.03497,-0.031652,-0.028748,-0.027066,-0.025717,-0.019153,-0.019705,-0.0142,-0.009229,-0.000137,-0.001027,-0.003929,-0.000849,-0.004343,-0.000607,-0.00404,-0.005477,-0.005843,-0.010162,-0.014767,-0.015437,-0.014848,-0.009989,-0.011733,-0.007821,-0.013328,-0.008844,-0.009198,-0.010284,-0.004443,-0.004629,-0.00416,-0.001178,0.000803,0.007426,0.002322,0.006674,0.010624,0.010377,0.005261,0.005606,0.005293,-0.000223,-0.0,0.005044,-0.000267,-0.000303,-0.00529,-0.00518
2e-06,-0.00191,-0.001452,0.000381,0.000789,0.004942,-0.00091,9e-06,-0.001429,0.007333,0.009573,0.008535,0.006673,0.004572,0.008291,0.003129,0.004188,0.005529,0.006905,0.004921,0.000204,-0.00047,-0.005315,-0.007761,-0.011333,-0.012787,-0.018658,-0.024779,-0.028204,-0.041094,-0.046122,-0.053411,-0.050996,-0.051421,-0.043503,-0.041898,-0.02338,-0.003955,0.009191,0.035116,0.046643,0.057939,0.056127,0.05608,0.057838,0.061069,0.054699,0.049164,0.038632,0.035858,0.031213,0.0189,0.016236,0.004739,-0.003151,-0.012744,-0.015273,-0.021332,-0.018671,-0.016362,0.001022,0.010958,0.009112,0.013913,0.011155,0.006691,-0.001625,-0.000517,-0.007283,-0.008053,-0.013964,-0.010943,-0.011399,-0.010244,0.000377,0.001966,0.003468,0.005715,0.001654,-0.003401,-0.00402,-0.001831,-0.000967,-0.001748,-0.000557,-4e-06,-0.002381,-0.000674,-0.000769,0.001769,0.002049
4e-06,-0.001089,-0.00091,0.000148,0.000311,-0.004804,-0.00036,3e-06,-0.0009,-0.010938,-0.017112,-0.01751,-0.018539,-0.019658,-0.025189,-0.02081,-0.020326,-0.019732,-0.019139,-0.012901,-0.008095,-0.008362,-0.00334,-0.00405,-0.005246,-0.005586,-0.007852,-0.017429,-0.026198,-0.039603,-0.05741,-0.063182,-0.070262,-0.073227,-0.07144,-0.064177,-0.054045,-0.042139,-0.033507,-0.015972,0.007605,0.02247,0.036314,0.050311,0.057283,0.058196,0.067173,0.069166,0.076009,0.073579,0.069621,0.069221,0.06761,0.068959,0.065224,0.061692,0.0539,0.045455,0.033451,0.027732,0.007797,-0.001562,-0.002154,-0.007109,-0.008452,-0.009903,-0.00659,-0.005783,-0.001988,-0.00228,0.002259,-0.003782,-0.003997,-0.003613,-0.006507,0.000702,0.000798,0.002021,0.000144,-0.002072,-0.002289,-0.001084,-0.000778,-0.001052,-0.000199,-5e-06,-0.00127,-0.00024,-0.000272,0.001054,0.001154
0.00916,0.000739,-0.070821,-0.163687,-0.164452,-0.121839,-0.252918,-0.253028,-0.195004,-0.100889,0.070988,0.090111,-0.335596,0.107257,0.215455,-1.264456,-0.396989,-1.252541,0.275993,0.273293,0.120813,0.227069,0.226968,0.202185,0.068795,0.609271,1.842129,0.164649,0.035467,-0.004111,0.120242,4.525591,0.212561,0.205329,0.237524,-4.169221,0.173192,-0.017392,0.172072,-1.50953,-1.94371,-1.610011,-4.345232,-4.2974,-1.380801,-0.109465,-0.173193,-0.38123,-0.304064,-0.276746,-0.273357,-0.296366,-0.290065,-0.326891,-0.1817,1.25833,0.220479,1.004245,-0.188116,1.084656,-0.075245,-0.22554,-0.103643,1.172925,-0.170533,1.172518,-0.23115,-0.190193,0.381077,0.014084,-0.029899,0.005013,0.011328,0.027621,0.12538,-0.003493,0.006384,0.001879,0.00325,0.002151,0.001937,0.016783,0.000484,-0.001158,0.041153,-0.004284,-0.004102,-0.001192,-0.000251,-0.001016,-0.001017
