0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
-0.037589,-0.040214,-0.046431,-0.036326,-0.025333,-0.014531,-0.008096,0.005711,0.017235,0.018318,0.03584,0.03511,0.036671,0.037778,0.046416,0.029205,0.029902,0.022638,0.021009,0.025925,0.026358,0.02286,0.024746,0.023915,0.02087,0.027507,0.018236,0.018288,0.013756,0.008737,0.007891,0.006571,0.006098,0.006218,0.006328,0.006475,0.006219,0.000881,0.000649,0.006125,0.000391,0.005179,0.004933,0.005152,0.005081,0.005346,0.005417,0.005153,0.005307,0.005441,0.000231,0.00015,-7.8e-05,-1e-06,-0.005162,1.9e-05,-0.000236,-1e-06,5e-06,-2e-06,-0.005168
0.01111,0.029898,0.032304,0.048727,0.058265,0.067386,0.063351,0.046137,0.045348,0.036295,0.031903,0.033051,0.01898,0.009919,0.022187,0.02044,0.014736,0.021912,0.028564,0.029044,0.025782,0.014041,0.003466,0.007718,-0.004019,-0.009341,-0.01557,-0.014478,-0.016523,-0.01669,-0.012065,-0.005604,-0.002425,-0.002825,-0.003212,-0.003712,-0.002707,-0.003294,-0.002424,-0.002291,-0.001452,0.001252,0.002149,0.001343,0.001597,0.000633,0.000388,0.001346,0.000784,0.00031,-0.000827,-0.000536,0.000279,3e-06,-0.001324,-7e-05,0.000837,-3e-06,-2.3e-05,-8e-06,-0.001329
-0.034543,-0.038803,-0.037002,-0.04308,-0.045498,-0.047887,-0.043154,-0.0318,-0.025851,-0.016796,0.000245,0.014267,0.026985,0.035688,0.040625,0.040304,0.043958,0.040493,0.036345,0.035664,0.034059,0.035523,0.037467,0.032808,0.034809,0.032798,0.031037,0.02531,0.018677,0.012641,0.008061,0.004114,-0.001002,-0.001147,-0.001287,-0.001471,-0.00112,-0.00118,-0.000869,-0.000977,-0.000524,0.000293,0.000614,0.000325,0.000414,6.8e-05,-1.9e-05,0.000328,0.000126,-4.2e-05,-0.000301,-0.000194,9.8e-05,1e-06,-0.000328,-2.7e-05,0.000301,-3e-06,-8e-06,-5e-06,-0.000332
0.318152,0.277151,-1.065472,-3.218493,-3.631941,-0.966234,0.129869,0.114873,-0.047524,-0.108721,-3.032683,-0.437991,-4.335073,-4.33958,0.043166,-0.169773,-0.279998,-0.220434,-0.568849,-0.210176,-0.264299,-0.016672,-0.233563,-0.182905,0.527616,-0.180687,-0.132428,-0.042798,0.340086,0.208219,0.016793,-0.032169,0.008992,-0.002622,-0.00172,-0.001173,-0.000834,0.103202,0.016328,0.004623,-0.00094,0.029538,0.001185,0.001624,0.001619,0.001726,0.003082,0.002247,0.001063,-0.000379,-0.001123,0.018466,-0.0006,-0.000288,-0.002275,-0.000996,0.004973,-0.00047,-0.000311,-0.000305,0.0102
-0.08707700,-0.31829400,-1.26878600,-1.94959800,-1.44382800,-0.21012300, 0.37212400, 0.14014100, 0.07758600, 0.48707800, 0.00736400, 1.51363200,-1.29197500,-1.12045400, 0.93623300, 0.64750300, 0.46428000, 0.49309200, 0.99905300, 0.18353700, 0.30884000, 0.81283900, 0.13611800, 0.05175900, 1.61871700,-0.04607500,-0.24117100,-0.37248400,-0.01238600,-0.47491100,-0.21685100, 0.01276900, 0.00702600, 0.00214700,-0.00299900,-0.00241300,-0.00249200,-0.26304800, 0.00602100, 0.00437200, 0.00095900,-0.06600100,-0.01370400,-0.01513200,-0.01665100,-0.01521200,-0.02227800,-0.01625400,-0.01020000,-0.01942000, 0.00431100,-0.02489300, 0.00119400, 0.00003800, 0.01521700, 0.01426700, 0.01093900, 0.00084200, 0.00012500,-0.00013800,-0.07819300
-0.231361,-0.007318,-0.511094,-3.397231,-3.270388,-0.696577,0.289665,0.374754,0.535205,0.375253,-5.197777,-2.907962,-3.942527,-3.938689,-1.067454,-0.89246,-0.750178,-0.791384,-0.152009,-0.186053,-0.125958,-0.914031,-0.357563,-0.157577,-2.190854,0.050364,-0.065562,-0.158913,0.162621,-0.290637,-0.130192,0.027097,0.016068,0.006129,0.002847,0.003029,0.003128,-0.18752,0.013274,0.010829,0.000264,0.00329,0.029996,0.029088,0.028496,0.02912,0.024256,0.0285,0.032717,0.03334,0.003009,-0.010387,0.000625,-8.9e-05,-0.029341,0.010706,0.005771,0.000347,-5e-05,-0.000178,0.145894
0.04001,0.046948,0.053568,0.048281,0.04357,0.027564,0.0219,0.009787,-0.00772,-0.012763,-0.034161,-0.061808,-0.078823,-0.08421,-0.091367,-0.091759,-0.089695,-0.07063,-0.054897,-0.038653,-0.023365,-0.011699,-0.007458,-0.006249,-0.000499,-0.016412,-0.01156,-0.012716,-0.023969,-0.015239,-0.015979,-0.021025,-0.020468,-0.014406,-0.019297,-0.008139,-0.006008,0.000262,-0.004996,0.000456,0.00098,-0.005393,-5.4e-05,-0.005992,-0.006198,-0.006177,-0.005349,-0.004897,-0.004371,-0.005603,-0.000193,-0.005688,6.2e-05,0.000115,0.000654,-0.000142,-0.000198,0.00014,-0.000451,-0.00067,0.00013
0.020694,0.036761,0.048053,0.053384,0.062262,0.069227,0.067619,0.053371,0.043479,0.04638,0.038688,0.019883,-0.001358,-0.004205,-0.023712,-0.03333,-0.028505,-0.02828,-0.026732,-0.016986,-0.019652,-0.026505,-0.024455,-0.014379,-0.00793,0.002692,0.003298,-0.003259,-0.002095,-0.009957,-0.011847,-0.009251,-0.007363,-0.009998,-0.007117,-0.012201,-0.006589,-0.002553,-0.000689,-0.002061,0.002563,-0.001742,-0.000124,-0.003295,-0.003798,-0.003716,-0.001578,-0.000426,0.00418,-0.002247,-0.003746,-0.002457,-0.003101,-0.002966,0.001671,-0.003623,-0.003764,0.000369,-0.00441,-0.00497,0.00033
-0.046974,-0.059796,-0.067986,-0.064432,-0.05895,-0.04724,-0.040809,-0.026923,-0.017783,-0.01605,0.000715,0.024966,0.047744,0.053109,0.070464,0.086245,0.095253,0.108199,0.095704,0.073262,0.064943,0.042354,0.030085,0.020928,0.010037,0.002114,-0.004492,-0.000408,0.000769,-0.002894,-0.003626,-0.002354,-0.001687,0.003487,0.00495,0.008871,0.01106,0.005642,0.006726,0.005829,0.000985,0.00632,-4.3e-05,0.005733,0.00555,0.005589,0.006414,0.006856,0.001976,0.006163,0.005215,0.006086,0.005466,0.005518,0.000633,0.005271,0.00522,0.000138,0.00498,0.004771,0.000122
0.015258,0.313708,0.256118,-0.861681,-0.837408,-0.187646,-3.976147,-1.249032,-4.344082,-4.217185,-0.380516,-3.561142,0.918017,0.830807,-0.191069,0.24649,-0.171846,-0.626307,-1.062388,-1.689174,-0.214902,-0.224163,-0.193929,-0.136796,-0.0763,-0.066034,-0.114501,-0.006062,-0.004286,-0.00211,-0.00853,-0.001815,-0.006108,-0.041988,-0.00278,0.086924,-0.061998,0.018626,-0.036972,-0.033619,-0.003976,-0.035087,-0.001376,0.204589,-0.003051,-0.035521,-0.042688,-0.034058,0.003335,-0.03858,-0.036614,0.0095,-0.006509,-0.033453,0.000828,-0.033885,-0.033604,0.008009,0.035158,-0.037215,-0.000419
-1.08195,-0.397625,-0.718802,-0.41076,-0.149575,0.548987,-0.543169,-0.28704,-0.110185,0.349257,-0.227096,-1.338537,-1.513627,-1.865713,0.285753,-0.202101,0.164183,-0.410895,-0.165167,1.174021,-0.327753,-0.122194,-0.059312,0.081423,0.013397,-0.296781,-0.61556,0.054452,0.074147,-0.029332,0.072475,-0.004037,-0.03063,0.040759,0.206748,0.605902,0.051218,0.185178,0.019803,-0.001597,-0.017074,0.018255,-0.009764,0.820843,0.119788,0.02151,0.118906,0.022499,-0.098402,0.020401,0.004553,0.16731,0.099925,0.006005,-0.012515,0.020414,0.013824,0.015386,0.23183,0.008334,-0.000223
-0.223619,0.025044,-0.123345,0.846394,0.73818,-1.216634,2.738934,0.016001,2.278656,2.449094,-1.140813,4.527934,1.587662,1.739656,0.54164,1.592346,0.944483,0.906885,0.261784,-1.14602,0.826999,0.372634,0.261185,-0.063376,-0.042285,-0.290374,-0.164758,-0.109769,-0.142699,0.060593,-0.142672,0.008855,0.023474,-0.111945,-0.098461,0.181863,-0.031353,0.063673,-0.053319,0.005251,-0.009056,-0.020453,-0.005844,0.332729,-0.007943,-0.053307,-0.224339,-0.018195,0.168056,-0.051761,-0.023802,0.015363,0.020567,0.01042,0.026064,-0.014622,-0.019581,0.004506,0.080928,-0.020557,0.000131
