0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
7.1e-05,-0.005505,-0.005519,-0.000419,3.4e-05,2.6e-05,6e-06,0.005594,4e-06,-3e-06,-0.000402,-0.000338,-0.006336,-0.000682,-0.006267,-0.01189,-0.012334,-0.02357,-0.029167,-0.03434,-0.039749,-0.039188,-0.039458,-0.033662,-0.023239,-0.023329,-0.012557,-0.001865,0.014445,0.025284,0.036672,0.053672,0.048529,0.055214,0.049986,0.039181,0.033998,0.02854,0.017105,0.01114,0.011398,0.006004,0.00546,0.005948,0.011462,0.005687,0.011157,0.005983,0.011994,0.011876,0.017472,0.012354,0.01796,0.017969,0.012186,0.012772,0.011577,0.006778,0.005786,-4.3e-05,0.000104,-0.005433,4.3e-05,4.4e-05,-0.000112,-0.00016,0.00533,0.005953,0.005767,-0.000644,-0.000135,-0.000223,-9.2e-05,0.006165,7.1e-05,0.000237,0.00101,0.000448,-0.005109,-9.5e-05,-0.0001,-0.000146,0.000507,0.005406,-0.000107,0.000405,0.000319,0.005719,0.005538,0.010773,0.011284,0.005656,0.005657,0.005635,0.000309,0.000342,-0.00503,7e-06,0.000154,-0.000226,0.000506,0.005352,6e-06,2e-06,3.2e-05,-2e-06,-8e-05,-0.000158,0.00047,0.000355,0.000792,0.005859,0.000263,0.000105,0.000359,0.000367,0.000512,5e-06,0.000176,0.000342,-0.000107,4.5e-05,6e-06,0.005381,0.005285,0.005307,0.000484,-0.000339,0.005592,0.005562,0.00554,0.005763,0.006028,0.000685,0.005983,-0.000133,-0.000158,0.005893,0.005239,-0.000134,-8e-06,7e-06,-0.005389,-0.005415,-9.2e-05,-7.5e-05,-3e-05,-0.000148,-0.000264,-0.000326,-0.000287,-0.000212,-7.8e-05,6.7e-05,-0.005364,-0.000143,-0.005611,-0.005573,-0.005689
-0.003216,-0.003701,-0.003428,0.004867,-0.001575,-0.001179,-0.000241,0.000136,-0.000803,2.8e-05,0.003949,0.000967,0.00473,0.00262,0.001074,0.001638,0.008172,0.010753,0.01174,0.010759,0.015156,0.011621,0.015074,0.004613,0.010579,0.008429,0.011607,0.013145,0.015957,0.020829,0.016365,0.012794,0.010975,0.002477,0.005522,0.00218,-0.002175,-0.005825,-0.004102,-0.000425,-0.006032,-0.009641,-0.002456,-0.007531,-0.004863,-0.001318,0.001634,-0.002543,-0.005618,-0.003655,-0.003277,-0.008137,-0.007755,-0.00779,-0.005698,-0.011302,-0.000203,-0.00872,-0.000189,0.000448,-0.001346,-0.002438,-0.000535,-0.000527,0.001391,0.001964,0.003601,-0.00218,-4.6e-05,0.00767,0.00329,0.00431,0.002708,-0.003474,0.000738,-0.001223,-0.008731,-0.00374,-0.004063,0.001074,0.001136,0.001693,-0.004334,0.002112,0.001247,-0.003122,-0.002122,-8.2e-05,0.001921,0.005385,0.00076,0.001382,0.001107,0.001109,-0.001095,-0.001439,-0.002947,0.000936,-0.000559,0.002255,-0.004156,0.001603,-8.1e-05,-3.4e-05,-0.000341,2e-06,0.000821,0.001613,-0.003746,-0.00259,-0.005996,-0.00158,-0.0007,0.000827,-0.001718,-0.001803,-0.003243,0.000858,-0.000849,-0.002494,0.001026,-0.000469,-7.1e-05,0.000902,0.001856,0.001615,-0.003832,0.003332,-0.000365,-0.000113,3.4e-05,-0.002149,-0.004602,-0.005686,-0.004109,0.001216,0.001452,-0.003264,0.001989,0.001206,7.1e-05,-7.9e-05,-0.000628,-0.000383,0.000819,0.000671,0.000263,0.001334,0.002372,0.00292,0.00257,0.001901,0.000692,-0.0006,-0.00071,0.001294,0.001568,0.001243,0.00237
-0.001576,-0.001433,-0.001302,-0.00425,-0.000779,-0.000583,-0.000119,-0.000316,-0.000407,1e-05,-0.004703,-0.006183,-0.010595,-0.012034,-0.01244,-0.01177,-0.015132,-0.013008,-0.012092,-0.00548,-0.002826,0.002029,-0.002869,-0.001915,-0.012926,-0.014018,-0.019798,-0.026395,-0.032709,-0.037547,-0.033988,-0.030416,-0.02434,-0.009347,-0.000566,0.005074,0.009758,0.008149,0.003211,-0.001062,-0.004158,-0.005785,-0.00855,-0.004658,-0.003584,-0.001174,9.4e-05,0.004933,0.009573,0.01068,0.010481,0.014953,0.014773,0.014766,0.016339,0.020047,0.012569,0.015119,0.006228,0.000237,-0.000722,-0.000908,-0.000287,-0.000283,0.000745,0.00105,0.001523,0.005161,0.006295,0.004062,0.008431,0.008937,0.008072,0.011141,0.00703,0.006021,0.008822,0.004733,0.004956,0.000548,0.000577,0.00086,0.004438,0.000692,0.000632,0.005049,0.005554,0.0062,0.0072,0.008532,0.012795,0.013454,0.013283,0.013248,0.012523,0.012352,0.011974,0.006939,0.006234,0.001055,0.004547,0.000396,-3.9e-05,-1.7e-05,-0.00016,-0.0,0.000382,0.000752,0.004741,0.005283,0.010189,0.01188,0.012624,0.013298,0.012126,0.012078,0.011425,0.006808,0.006047,0.005322,0.000451,-0.000207,-3.1e-05,6.4e-05,0.000482,0.000377,0.00473,0.001459,0.005912,0.00602,0.006079,0.005132,0.004076,0.003934,0.004294,0.000519,0.000624,0.004662,0.000532,0.000516,2.8e-05,-3.8e-05,4.9e-05,0.000156,0.000353,0.000288,0.000113,0.000573,0.001017,0.001251,0.0011,0.000812,0.000296,-0.000255,1.4e-05,0.000554,0.000989,0.00085,0.001329
-0.000529,-0.258893,0.489414,0.041199,-0.005712,0.543225,-0.0121,0.043643,0.50568,-0.420679,-0.08637,-0.389414,0.731593,0.03923,-0.3723,-0.330077,-0.121769,0.027316,0.95398,0.767522,0.022537,0.008312,-0.06497,0.049139,0.096596,1.134388,0.237311,-0.194972,-0.08472,-0.306218,0.192062,-0.572939,-0.520784,0.065111,0.525073,0.340818,0.465517,0.381194,0.285593,0.477314,-0.025974,-0.001138,0.034792,0.000615,0.002536,0.000353,0.004348,-0.04951,-0.067208,-0.064815,0.260075,0.131994,-0.108491,-0.108747,-0.102581,-0.468721,-0.079089,-0.1054,-0.040354,-0.02185,-0.005793,-0.099975,0.000258,0.015,-0.000787,0.002376,0.004498,-0.037378,-0.281854,0.017218,-0.018622,-0.031979,-0.046411,-3.653781,-0.040653,-0.04927,0.264239,0.113578,-0.024017,-0.01331,-0.000138,0.002212,-0.036425,0.004196,7.8e-05,-0.036507,-0.022995,-0.069518,-0.023302,-0.40751,-0.076443,-0.078787,-0.066918,-0.046757,-0.042173,0.056027,-0.07291,-0.043459,0.066795,-0.001553,-0.034407,0.004183,-0.010466,-0.00051,4.9e-05,5.2e-05,3.8e-05,3.7e-05,-0.036494,-0.034465,-0.070971,-0.08095,-0.068938,-0.07612,0.185418,-0.080619,-0.077337,-0.04915,-0.034625,-0.034377,-0.003283,-0.00448,-0.000576,0.002126,0.002117,0.026718,-0.04418,-9.4e-05,-0.032382,-0.032387,0.177064,-0.034492,-0.034411,-0.036429,-0.034387,2.1e-05,0.00203,-0.021893,0.005772,0.000448,-3.8e-05,-2.7e-05,-0.002067,-0.002068,-0.004321,-0.000787,-7.2e-05,3.3e-05,1.6e-05,0.002024,1.8e-05,-0.0,5e-06,-1.1e-05,-0.002046,-0.007755,-0.009436,-0.003478,-0.001998
0.14019,0.481528,0.547573,-0.131987,0.011474,0.680373,0.019129,0.020934,1.087146,0.411099,0.502913,0.402405,2.516323,-0.122193,0.437137,0.433919,0.084344,0.113755,0.801352,1.043284,0.133956,0.113314,0.232851,-0.040279,0.051005,0.811105,0.078254,0.473857,0.312896,0.590099,2.604411,0.983633,0.24682,-0.041708,-0.709181,-0.531014,-0.679024,-0.585944,-1.296303,-0.619431,-0.083794,0.021548,0.005984,0.002467,-0.012468,0.002677,-0.030319,0.012197,-0.023407,-0.042392,-0.298474,0.547366,-0.048625,-0.026363,-0.034944,-0.190453,0.074626,-0.000435,0.084043,0.005612,0.006321,-0.032191,0.000706,-0.019325,0.001594,-0.015959,-0.031973,-0.004955,0.236215,-0.029093,-0.033609,-0.022979,0.092924,-1.899248,-0.003083,-0.000832,-0.346755,-0.152214,-0.009396,0.012315,0.000464,-0.016427,0.010116,-0.031731,2.4e-05,0.010064,-0.015719,0.022223,-0.03031,0.338503,0.067141,0.067882,-0.028672,-0.053945,0.051417,-0.146802,0.003717,-0.000347,-0.115711,0.001664,-0.00664,-0.031187,0.00805,0.0006,2.8e-05,2e-05,2.3e-05,2e-06,0.009296,-0.006726,0.002508,0.081009,-0.013475,-0.020745,-0.266194,-0.002819,0.004887,0.007105,-0.00628,-0.006583,0.003283,0.004398,0.000725,-0.015147,-0.015191,-0.044931,0.016041,0.000161,-0.021917,-0.021939,-0.242144,-0.020269,-0.006602,0.008539,-0.006722,-8e-06,-0.015355,-0.017942,-0.018799,-0.000529,-3.9e-05,-1.8e-05,0.015188,0.015201,0.001187,0.000792,0.000125,1.3e-05,5e-06,-0.015334,1.5e-05,-4e-06,-1.3e-05,-1e-05,0.015208,-0.006278,0.008659,0.016696,0.01527
0.018587,0.169496,-0.339913,0.186839,-0.021952,-0.320398,0.028648,0.004494,1.827676,0.764831,0.681456,0.772516,-0.654664,0.59133,0.687227,0.51827,0.5016,0.146773,1.272094,1.369695,-0.125845,-0.145074,-0.033125,-0.009967,-0.117175,0.913259,0.041987,0.403236,0.429626,0.725047,-1.018759,-0.056626,-0.01376,0.11069,-0.227795,-0.15152,-0.34599,-0.31273,0.136789,-0.368201,0.192032,-0.013557,0.003488,0.007479,0.036282,0.006903,0.058706,0.018087,0.046979,0.069524,-0.228495,-0.331027,0.084638,0.064311,0.053834,-0.304906,-0.090313,-0.001131,-0.136914,-0.003491,0.004801,-0.132473,0.000416,-0.017328,0.001382,0.023707,0.052815,0.009257,0.240117,0.014873,0.021911,0.028692,-0.132029,-3.726524,0.010809,0.017348,-0.32736,-0.144497,-0.040257,0.008758,0.00052,0.023735,-0.018098,0.052841,7.8e-05,-0.018216,-0.000515,0.070512,0.028328,0.385729,-0.095794,-0.100029,0.039447,0.018426,-0.190861,-0.091055,-0.0175,0.008503,-0.077074,0.001227,0.005278,0.053176,0.004575,0.000468,6.5e-05,5.3e-05,4.8e-05,2.7e-05,-0.018724,0.005159,-0.013652,-0.125832,0.010262,0.039822,-0.205759,0.017067,-0.013907,0.014072,0.005528,0.005345,0.002208,0.002924,0.000568,0.029342,0.029309,0.006527,-0.014399,0.00018,0.034453,0.034434,-0.119593,0.035807,0.010111,-0.019171,0.01004,2.1e-05,0.024317,0.003179,0.026917,-0.000386,-5.9e-05,-4e-05,-0.029273,-0.029274,-0.000815,0.000528,9.2e-05,1.1e-05,1.5e-05,0.024309,-1.2e-05,7e-06,7e-06,1.1e-05,-0.029247,0.030042,0.000649,-0.028176,-0.029131
-0.011811,-0.011937,-0.006119,-0.006165,-0.000323,-0.006175,-0.006205,-0.000518,-0.00624,-0.000397,-0.000294,0.005508,-0.000336,0.005218,0.011179,0.017047,0.028922,0.040514,0.046305,0.05196,0.057237,0.062817,0.062036,0.061565,0.055121,0.049306,0.037238,0.00935,-0.018836,-0.036351,-0.064308,-0.092584,-0.104132,-0.122041,-0.139346,-0.145449,-0.145415,-0.133896,-0.122749,-0.116993,-0.094167,-0.07741,-0.066349,-0.066576,-0.062609,-0.053239,-0.041425,-0.03483,-0.027356,-0.014429,-0.01273,-0.005576,0.001388,0.007045,0.008066,0.007065,0.012568,0.011648,0.010807,0.01074,0.010477,0.011008,0.011414,0.005922,0.000824,0.000739,0.000711,0.007171,0.001396,0.00238,0.002485,0.002439,0.00284,0.009532,0.003384,0.002971,0.009367,0.009525,0.01474,0.009256,0.014667,0.014917,0.008658,0.00746,0.000897,0.000527,-0.000164,-0.000494,-0.006308,-0.006169,-0.00525,-0.005526,-0.005457,0.001605,-0.004112,0.001671,-0.003733,0.002359,0.002423,0.002098,0.00268,0.002768,0.002903,0.002536,0.002841,0.003055,0.002156,0.002547,0.002168,-0.003427,-0.003696,-0.004066,-0.003909,-0.003945,-0.003926,-0.009834,-0.004042,-0.004366,-0.003751,-0.004115,0.001594,0.001983,-0.00335,0.002443,0.001716,-0.000819,0.00978,-0.000687,-0.009717,-0.014298,-0.008225,-0.009192,-0.004102,-0.00461,0.000446,0.000306,0.000375,0.000628,0.000753,0.000611,0.000897,0.001236,0.001283,0.001024,0.000614,0.000772,0.00093,0.001225,0.001056,0.001016,0.006386,9.8e-05,-0.000408,-0.00029,-0.000169,0.005325,-0.00028,0.005103,-0.000209
0.018351,0.022201,0.018763,0.01573,0.015371,0.014633,0.013022,0.009028,0.003624,-0.001813,-0.001428,-0.002157,-0.002468,0.00189,-0.000194,-0.000115,0.001588,0.009073,0.009307,0.015175,0.02665,0.026682,0.039378,0.039561,0.042565,0.040297,0.04344,0.029344,0.023528,0.026871,0.01639,0.004319,0.001595,0.003381,-0.001115,-0.003047,-0.003242,-0.00586,-0.012116,-0.006689,-0.003648,-0.006245,-0.008036,-0.007911,-0.017161,-0.031992,-0.03264,-0.029729,-0.024708,-0.026506,-0.017549,-0.014772,-0.012678,-0.018184,-0.011406,-0.018084,-0.017208,-0.020323,-0.019833,-0.013257,-0.014256,-0.009045,-0.007715,-0.004861,-0.000585,-0.004404,-0.008026,-0.00743,-0.009056,-0.005453,-0.005046,-0.008716,-0.007198,-0.001921,-0.001537,-0.003004,0.004957,0.009206,0.005792,0.012176,0.006046,0.007184,0.006783,0.002292,-0.003469,-0.004964,-0.007774,-0.009122,-0.008054,-0.007472,-0.000199,-0.004885,-0.004618,0.002862,0.004249,0.00312,0.005714,0.005873,0.006139,0.0013,0.003652,0.004022,0.004607,-0.0004,0.000844,0.005311,-0.001892,-0.000273,-0.00538,-0.000479,-0.005172,-0.006718,-0.002539,-0.002748,0.000818,0.000703,0.003805,0.002458,0.008342,0.006858,0.006239,0.007765,0.009755,0.009588,0.006734,0.000307,-0.000229,-0.002737,0.000443,0.00519,0.006046,-0.001262,-0.00052,-0.002453,-0.001771,-0.002309,-0.002056,-0.001115,-0.000642,-0.004675,-0.0036,-0.002313,0.001378,0.000405,-0.004658,-0.000551,4.3e-05,0.004667,0.004014,0.003864,0.002441,-0.00313,-0.005049,-0.001102,-0.000643,-0.001595,-0.001067,-0.002451,-0.000804
-0.004197,-0.009214,-0.011128,-0.01264,-0.012974,-0.013127,-0.013916,-0.016127,-0.011786,-0.007871,-0.007684,-0.008271,-0.008245,-0.013163,-0.014448,-0.014626,-0.014127,-0.017498,-0.017589,-0.021582,-0.029445,-0.029533,-0.036365,-0.036016,-0.040803,-0.041731,-0.046119,-0.046148,-0.048093,-0.052287,-0.050503,-0.043078,-0.037467,-0.029068,-0.017644,-0.005002,0.001667,0.01347,0.023065,0.019105,0.013227,0.011054,0.009577,0.009573,0.010488,0.015104,0.014705,0.016821,0.020482,0.02706,0.025749,0.02778,0.029265,0.033115,0.030084,0.033138,0.026211,0.024205,0.017087,0.006391,0.005759,0.001622,0.002486,0.004353,0.007129,0.012192,0.017381,0.01771,0.024193,0.026397,0.02662,0.031728,0.032559,0.028124,0.028379,0.027412,0.017179,0.012277,0.010147,0.006541,0.010133,0.010709,0.010565,0.008086,0.012314,0.011529,0.010068,0.00938,0.010116,0.010436,0.00715,0.01179,0.011927,0.008533,0.009397,0.00863,0.010095,0.009945,0.010054,0.014602,0.015701,0.015849,0.016061,0.020531,0.021041,0.016203,0.019691,0.020388,0.024898,0.020477,0.025196,0.024515,0.019524,0.019422,0.014144,0.01436,0.008614,0.008043,0.003714,0.003094,0.002542,0.003139,0.004222,0.003832,0.002671,-0.006534,-0.014005,-0.001097,0.014092,0.016269,0.016266,0.020037,0.013372,0.012632,0.005952,0.005747,0.005844,0.006198,0.006375,0.011476,0.011876,0.012356,0.007104,0.006743,0.011489,0.00639,0.006604,0.001679,0.001439,0.00138,0.000525,0.005449,0.004768,-0.000392,-0.00023,-0.000914,-0.000381,-0.00122,-0.00029
-0.089873,-0.047296,-0.044553,-0.229981,-0.304871,-0.248799,-0.398569,0.074743,-0.321896,3.959316,-0.035136,-0.518098,0.10264,4.86909,0.079008,-0.227257,-0.283795,-0.102016,1.297329,-0.090361,0.06452,0.04762,0.123971,0.273673,0.164172,0.277133,0.201299,-4.321939,0.297637,0.087996,0.244641,-2.093041,0.273794,-4.187199,0.476622,-3.925563,-0.469484,0.584285,0.325877,0.544343,0.06821,0.356735,0.988566,0.097117,0.316641,-0.07176,0.15364,0.124945,-0.079875,0.080381,0.213337,0.091486,-0.061988,-0.005116,-1.116358,0.222313,0.071964,-0.154274,-0.156055,0.502904,-0.074458,-0.04169,-0.040861,0.012362,0.230897,-0.034115,-0.110203,0.041123,0.01053,0.004309,-0.130036,-0.188811,-0.170697,-0.134676,-0.135975,-0.138118,-0.067119,-0.033285,-0.032247,0.001877,-0.148611,-0.215089,-0.023466,3.480189,-0.069003,-0.079241,-0.068885,-0.072614,-0.074624,-0.069415,-0.035539,-0.069874,-0.0698,-0.033679,-0.034626,-0.034132,-0.036221,-0.130496,-0.025138,-0.050226,-0.067872,-0.14867,-0.12643,-0.090556,-0.438903,-0.106435,-0.084917,-0.106463,-0.30357,-0.089305,-0.124083,-0.13305,-0.103588,-0.152027,-0.079309,-0.052134,0.345858,-0.028719,-0.078991,-0.220659,-0.260148,-0.171945,0.025527,0.005573,-0.490615,0.044068,1.349015,-0.006847,-0.071166,-0.085057,-0.068057,-0.104641,0.016181,0.072424,-0.032572,-0.531538,-0.031181,-0.019673,-0.03447,-0.030673,-0.068364,-0.076232,0.111734,0.0071,-0.065947,0.086487,-0.041239,0.001151,0.001267,0.001222,0.00219,-0.034856,-0.034883,2.3e-05,1.2e-05,0.001012,4e-06,-0.000153,1.3e-05
