0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
-0.000821,-0.00041,-0.000413,-2e-06,-0.000402,-0.007188,-0.007182,-0.013948,-0.027396,-0.034248,-0.028046,-0.03482,-0.035147,-0.035341,-0.035476,-0.022613,-0.016158,-0.009545,0.010952,0.032633,0.046567,0.047146,0.047361,0.040969,0.020985,0.014941,0.007995,0.001955,-0.00404,0.002618,0.00883,0.0029,0.002477,0.007386,0.007352,0.000788,0.001197,0.006928,0.006929,0.006537,0.006543,0.006131,0.006116,0.006524,0.006507,0.006929,0.006507,0.0065,-9.1e-05,0.006373,0.006243,0.01228,0.006253,0.000269,0.000333,2.3e-05,2.9e-05,2.2e-05,6e-06,0.006433,-1.6e-05,0.000474,6.1e-05,0.000101,0.000115,9.2e-05,4.1e-05,9.5e-05,0.006238,0.006236,0.006117,0.006136,6.1e-05,0.006145,0.006175,0.00619,-0.000427,-2e-06,-1e-06,-4e-06,-6e-06,1e-06,-4e-06,3.5e-05,5.6e-05,4.1e-05,2e-06
0.007114,0.002324,0.001152,-0.003955,0.005584,0.011572,0.010405,0.012626,0.018243,0.020396,0.012239,0.015115,0.011952,0.009505,-0.009246,-0.023472,-0.021443,-0.0267,-0.023912,-0.007493,0.003716,0.020399,0.026896,0.025836,0.029703,0.018319,0.028855,0.023851,0.014254,0.009455,0.00875,-0.003327,0.001011,0.007612,0.000509,-0.002807,-0.008662,-0.005032,-0.007097,-0.00511,-0.005394,0.002408,0.004361,-0.000727,0.000698,-0.005297,-0.001086,-0.000677,0.00642,0.006279,0.011668,0.012942,0.007567,0.003024,-7.9e-05,-0.001429,-0.001545,-0.001085,-0.000261,-0.001658,0.00065,-0.006053,-0.002561,-0.004136,-0.004768,-0.003829,-0.001667,-0.00387,-0.006218,-0.005524,-0.000574,-0.001104,-0.002197,-0.001172,-0.002092,-0.002474,0.003658,9.3e-05,6.1e-05,0.000155,0.000158,-2.4e-05,0.000144,-0.001144,-0.001857,-0.00139,-7.8e-05
-0.010996,-0.006291,-0.007052,-0.00257,-0.004176,-0.007606,-0.008355,-0.01422,-0.025201,-0.031088,-0.036935,-0.042481,-0.044742,-0.04655,-0.044244,-0.040037,-0.039385,-0.03637,-0.027908,-0.008217,-0.000337,0.012646,0.025626,0.033246,0.036839,0.044355,0.043434,0.04786,0.04879,0.052156,0.050897,0.05087,0.045611,0.026392,0.022156,0.013202,0.017232,0.011473,0.010291,0.004035,0.003876,0.000931,0.002044,0.006534,0.007343,0.011328,0.00632,0.006553,0.003599,0.010413,0.013328,0.013539,0.010952,0.008888,0.007215,-0.000768,-0.000829,-0.000584,-0.000142,0.005944,0.000345,0.004009,-0.001381,-0.002231,-0.00258,-0.002075,-0.000905,-0.002108,-0.003822,-0.003461,-0.000755,-0.001047,-0.001213,-0.001088,-0.001597,-0.00181,-0.005331,5.2e-05,3.3e-05,8.6e-05,8.8e-05,-1.3e-05,8e-05,-0.000634,-0.001029,-0.000772,-4.4e-05
-0.197086,-0.174394,-0.293344,0.000847,0.037267,-0.275539,0.070696,-0.148437,-3.851238,-0.651244,-1.335375,-3.926913,-0.524954,-0.404454,-0.313873,-1.222933,0.027928,-1.072595,0.350857,-0.703604,0.54158,-0.116688,-1.463376,-0.119868,-0.08257,0.036297,-0.066915,-0.004261,-0.018606,-0.073332,-0.131394,-0.075192,-0.168006,-0.106925,-0.103753,-0.070609,-0.115286,-0.071165,0.177042,-0.031213,-0.036651,0.001914,0.003784,-0.032628,-0.030837,-0.069049,-0.0326,-0.032598,-0.001492,0.227343,0.18355,-0.047726,-0.034219,-0.034566,-0.034526,-0.001695,5.8e-05,-0.009159,-0.00375,-0.032598,6.3e-05,-0.036373,-0.001052,-0.001752,0.12454,0.418753,-0.000376,-0.002055,0.01148,-0.000151,0.18444,0.000514,-0.000276,0.001994,0.000228,0.421306,0.036337,-6.7e-05,-0.00403,-0.000592,-1.5e-05,1.4e-05,3e-06,0.000121,-0.001783,-0.001779,5e-06
0.708984,0.367083,0.50502,0.009378,-0.006968,-0.208984,-0.004884,-0.588311,-2.731117,-1.595685,-1.031011,-1.946466,0.737181,0.409243,0.441244,-0.710545,-0.160297,-0.591546,0.296454,-1.059904,-0.354051,-0.367109,-0.875643,0.361732,0.170653,0.727323,0.21528,0.084823,0.041827,-0.043705,-0.097995,-0.302906,-0.061093,-0.038503,-0.02345,-0.009345,0.030947,-0.005023,-0.60642,-0.082986,-0.000548,-0.015153,-0.029003,-0.0191,-0.032872,-0.009412,-0.019171,-0.019201,-0.006738,-0.634437,-0.54002,0.038491,-0.025469,-0.003993,-0.004134,0.013405,-3e-06,0.058041,0.008946,-0.019219,0.0,0.009147,0.01461,0.01337,0.042899,0.114004,-9.7e-05,0.013305,0.000217,-0.001971,-0.427146,-0.012434,0.000385,-0.015227,-0.001863,0.085171,-0.008931,-1.7e-05,0.00773,0.001171,9e-06,6e-06,1e-06,0.0002,0.013361,0.013365,-9e-06
-0.073784,-0.014754,0.060296,-0.028063,0.013403,-0.276043,0.006395,0.651144,-2.811109,1.964803,-0.147013,-2.412377,0.983893,0.743282,0.585892,-0.646017,0.061887,-1.256022,-1.329325,-1.928852,-1.163993,-0.484304,-0.939226,-0.481664,-0.25767,-1.03348,-0.585444,-0.877125,-1.015669,-0.819426,-0.530899,-0.598887,-0.181427,0.108435,0.050916,0.015839,-0.022745,0.019494,-0.323434,0.194059,0.013265,0.029257,0.054461,0.03586,0.061158,0.017181,0.035825,0.035822,0.029014,-0.272928,-0.187278,-0.023327,0.065131,0.006676,0.006597,-0.025416,4.2e-05,-0.178698,0.003445,0.035882,3.3e-05,-0.018983,-0.027222,-0.025464,0.050438,0.229331,-0.00023,-0.025608,0.010004,0.003499,-0.195566,0.030647,0.000158,0.029231,0.003753,0.287198,0.019009,-5.2e-05,0.003989,0.00062,4.7e-05,-1.8e-05,9e-06,-0.000275,-0.025462,-0.025474,1.3e-05
-0.039972,-0.039465,-0.039527,-0.032959,-0.026893,-0.027119,-0.026947,-0.020898,-0.014581,-0.00126,-0.007581,-0.000994,-0.006985,-0.013431,-0.01964,-0.01945,-0.02591,-0.03277,-0.032841,-0.066601,-0.086369,-0.07425,-0.055529,-0.055855,-0.043505,-0.058018,-0.085092,-0.063599,-0.046794,-0.057141,-0.049247,-0.040002,-0.031554,-0.031276,-0.012157,0.001044,0.007115,0.018718,0.029119,0.034316,0.03326,0.025653,0.032566,0.026255,0.019621,0.013286,0.001077,0.000934,-0.005817,-0.005267,-0.005284,-0.011735,-0.011521,-0.005114,-0.005227,-0.011434,0.001389,-0.004909,0.001179,0.007289,-0.005172,0.001131,0.000895,0.000608,0.000408,0.000398,0.000354,-2e-06,-1.8e-05,0.000132,0.000291,-0.006072,-0.006076,-0.005955,0.000362,-0.006143,8.7e-05,0.000513,0.00047,0.006471,0.006061,-0.000132,-4.1e-05,1.2e-05,0.000104,-8.9e-05,-0.000217
0.012889,0.007091,0.007815,0.005532,0.012202,0.016923,0.015183,0.026174,0.030636,0.02259,0.019221,0.015115,0.004219,0.0032,-0.003449,-0.011991,-0.018483,-0.01363,-0.022756,-0.01358,-0.025947,-0.049203,-0.032843,-0.030485,-0.042262,-0.040149,-0.026793,-0.017761,0.016527,0.03906,0.033324,0.038619,0.03904,0.036384,0.025098,0.023505,0.016516,0.008293,-0.006185,-0.008913,-0.015347,-0.014388,-0.007135,-0.005791,-0.00705,-0.006041,-0.000358,-0.001501,-0.003942,0.000339,6.7e-05,-0.00019,0.001198,0.000916,4.2e-05,0.005716,0.005847,0.006452,-5.8e-05,-0.001883,-0.004365,-0.000374,-0.002124,0.000168,-0.001327,-0.001417,0.002623,1.8e-05,-0.000115,0.000956,0.002112,-0.002514,-0.002535,-0.00167,-0.001721,-0.002994,-0.003654,-0.000682,-0.000995,0.001089,-0.006146,-0.005255,-0.000273,-0.00423,-0.003573,-0.009258,-0.005819
-0.021181,-0.025118,-0.032607,-0.034583,-0.030329,-0.027031,-0.02022,-0.020719,-0.025765,-0.023963,-0.026019,-0.029193,-0.028804,-0.029339,-0.026017,-0.02449,-0.021111,-0.025652,-0.024851,-0.025078,-0.01776,-0.012297,-0.026098,-0.024516,-0.027112,-0.026026,-0.005221,0.002624,0.015596,0.035594,0.047871,0.059823,0.066834,0.06272,0.061391,0.058682,0.060364,0.053843,0.043039,0.032904,0.028499,0.013495,0.010332,0.011318,0.010611,0.011414,0.015398,0.014642,0.013192,0.015932,0.015719,0.015681,0.016522,0.016157,0.015592,0.011516,0.011252,0.011715,0.01523,0.013943,0.020346,0.014961,0.013907,0.007663,0.006785,0.006729,0.001529,1.2e-05,-6.7e-05,0.000556,0.001231,0.006244,0.006232,0.006735,0.006544,0.00597,0.005429,0.007139,0.00695,0.000459,0.003837,0.004513,-0.000157,0.005104,0.005481,0.009759,0.004204
-0.527141,-0.822739,-0.276295,0.072399,0.069315,-0.381003,-0.329205,-0.806882,-0.474643,-0.382139,-0.399947,-0.280152,-0.279154,-1.65575,-0.308341,-1.39583,-4.824665,-0.052328,0.153673,-4.988369,-0.009858,-5.376391,0.019821,0.014752,-0.01371,0.106248,0.208219,0.006354,-0.216226,-0.00032,-0.085768,-0.101019,-0.140566,-0.098721,-0.036478,-0.019925,-0.058297,-0.019919,0.002392,-0.002983,0.015815,0.004534,0.082914,0.180652,0.105579,0.009183,-0.076859,0.10641,-0.082479,-0.069939,-0.0696,-0.0781,0.071236,0.080506,-0.078409,0.07854,-0.04998,-0.038229,-0.072797,-0.071152,-0.10323,0.166072,-1.291974,-0.040699,-0.028275,-0.034364,0.00635,0.0001,0.039533,0.115797,0.000695,-0.035457,-0.035639,-0.0354,-0.021854,-0.041716,-0.045808,-0.398357,0.128574,-0.009742,-0.042802,0.005257,-0.013748,-0.037838,-0.044149,-0.080255,-0.040786
