0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0.01651,0.014968,0.020568,0.014185,0.015312,0.009872,0.00302,0.007765,0.015643,0.02567,0.020509,0.018621,0.02301,0.023717,0.017389,0.030054,0.024268,0.028943,0.03481,0.035886,0.036173,0.03577,0.025618,0.026554,0.022166,0.023508,0.014954,0.014933,0.01022,0.004568,-0.000726,-0.006604,-0.006509,-0.017699,-0.011752,-0.012099,-0.013023,-0.007639,-0.006788,-0.000998,-0.001409,-0.001023,-0.001342,0.00073,7.5e-05,0.000612,0.004941,0.004652,0.004298,0.003692,0.003652,0.008874,0.004255,0.009114,0.009152,0.003712,0.00898,0.00447,0.004603,0.000323,0.000249,0.000211,-1.1e-05,-3e-06,0.00048,0.001793,0.000563,0.000385,0.006501,0.006169,0.005085,-0.000123,0.005094,0.006532,0.001147,0.000994,0.005797,0.000852,0.000989,0.001014,1e-06,-0.005099,-0.00012,-0.000788,-0.000954,0.000283,-0.000837,-0.000411,0.000263,0.000639,0.000261,-1.5e-05,-1.2e-05,1.6e-05,0.000191,7e-06,-7e-06,-0.000203
-0.026551,-0.014961,-0.009537,-0.00916,-0.016221,-0.021897,-0.018713,-0.007485,0.025079,0.04247,0.071129,0.078236,0.085009,0.078292,0.074951,0.06778,0.063229,0.064469,0.05867,0.046682,0.042524,0.039542,0.029767,0.024189,0.016339,0.009375,-0.004296,-0.004431,-0.009703,-0.010218,-0.011712,-0.0096,-0.008162,-0.005381,-0.006166,-0.00326,0.001569,0.002423,-0.000357,-0.001009,0.001879,0.000564,0.003117,-0.005449,-0.001742,-0.003577,0.002056,0.003043,0.004236,0.006262,0.006339,0.007351,0.004252,0.006439,0.006278,0.005942,0.006717,0.003394,0.002956,-0.001053,-0.000815,-0.000688,3.3e-05,1.1e-05,-0.001565,-0.007362,-0.001844,-0.001263,-0.004687,-0.003595,0.001458,0.000399,0.001425,-0.004725,-0.005235,-0.004746,-0.002334,-0.004281,-0.004716,-0.004793,-5e-06,-0.001469,0.000379,0.00252,0.003047,-0.002451,0.002676,0.001312,-0.000845,-0.002052,-0.000838,4.9e-05,3.8e-05,-5e-05,-0.000613,-2e-05,2.3e-05,0.000661
-0.025936,-0.018744,-0.008141,-0.00735,-0.004409,-0.007814,-0.012962,-0.013798,-0.015988,-0.012903,-0.016447,-0.019235,-0.022756,-0.019528,-0.020943,-0.01169,-0.006651,0.00085,0.010852,0.024407,0.028666,0.033253,0.034816,0.038247,0.040626,0.043218,0.049922,0.049745,0.053904,0.053815,0.053328,0.047891,0.041897,0.030557,0.029942,0.024666,0.020168,0.020258,0.019067,0.018571,0.01334,0.01282,0.007473,0.010525,0.005629,0.004943,0.000606,0.000974,0.001418,0.002164,0.002185,0.002409,0.001409,0.002069,0.002006,0.00202,0.002163,0.001091,0.000933,-0.000384,-0.000296,-0.000249,1.4e-05,8e-06,-0.000563,0.003568,-0.000668,-0.000459,0.0044,0.004797,0.000394,0.000142,0.000379,0.004393,0.004344,0.004525,0.005281,0.004708,0.004555,0.004529,-2e-06,-0.000404,0.000137,0.000913,0.001099,0.005376,0.000964,0.000471,-0.000302,-0.000734,-0.0003,1.8e-05,1.4e-05,-1.8e-05,-0.000217,-7e-06,9e-06,0.000239
0.576646,0.228279,0.062677,-0.870831,-0.095252,-0.422347,0.002565,-0.00222,0.15341,0.206037,-0.141202,-0.226899,0.794817,-0.469668,-0.41986,-0.284594,-0.067353,-0.085438,0.16672,0.036388,0.040856,-0.084409,-0.100513,-0.114614,-0.119202,-0.084046,0.004702,0.295468,0.222289,0.169749,0.375003,-0.014168,0.086942,-0.120212,-0.121534,-0.118589,0.019758,0.243047,-0.120171,-0.104994,-0.06461,0.077143,0.03704,-0.079628,-0.037431,-0.035363,0.002114,0.012554,-0.325083,0.016624,0.015095,0.008759,0.002174,0.006042,0.004211,0.009615,0.006839,2.6e-05,-0.009785,0.000211,-0.000601,-1.3e-05,-0.00945,-0.000424,-0.001947,-0.023628,2.2e-05,0.00647,-0.040686,-0.033302,0.002065,2.3e-05,0.001312,-0.040524,-0.041454,-0.044519,0.018708,-0.036591,0.147877,-0.044458,-0.000206,-0.002022,1.1e-05,0.00193,0.002211,-0.033271,0.001966,9.5e-05,7.3e-05,-0.001824,-0.010475,-0.000335,-4e-06,2.5e-05,1.2e-05,1.3e-05,8e-06,4e-06
-0.824139,-0.26689,-0.682744,-0.633961,-0.164587,0.486011,0.04934,-0.011641,-0.074278,-0.14983,0.486362,0.801933,2.91127,1.213356,1.366465,0.039746,0.532567,0.2632,-0.203383,-0.077965,-0.21748,-0.025297,-0.093558,-0.023813,-0.035487,-0.216243,-0.398532,-0.795768,-0.731511,-0.761733,-1.013009,-0.469398,-0.496594,-0.088907,-0.088748,-0.047367,-0.192705,-0.513101,0.001958,-0.028262,-0.037274,-0.224347,-0.111464,0.004851,0.005192,0.002333,-0.015197,-0.028534,0.435307,-0.04486,-0.042839,-0.047744,-0.015268,-0.044147,-0.030365,-0.034503,-0.045014,-0.018291,0.066275,-0.00197,0.00092,0.000146,0.011234,0.000611,0.013877,-0.079911,1.6e-05,-0.000832,0.007257,-0.013274,-0.015208,1.4e-05,-0.016233,-0.007383,0.009583,0.012841,-0.085315,0.002879,-0.246922,0.013407,0.000298,0.015219,-4e-06,-0.013617,-0.01321,-0.012013,-0.013597,3.4e-05,-2e-06,0.013637,0.013281,0.000485,6.9e-05,-3e-06,-2.2e-05,-4e-06,1.2e-05,1.3e-05
-0.446563,-0.255215,-0.758192,-1.449934,0.017671,0.464726,-0.102498,0.198269,0.167992,0.291401,0.665798,0.619269,-1.049343,0.551498,0.390503,0.750976,0.198016,0.592291,0.245065,0.052579,0.172137,0.094455,0.140507,-0.084786,-0.196537,-0.110472,-0.378642,-0.680129,-0.679476,-0.452935,-0.657044,-0.34311,-0.334953,-0.126523,-0.12155,-0.070726,-0.138692,-0.299776,-0.009994,0.011847,0.030426,-0.117768,-0.058954,-0.012056,-0.020852,-0.022466,0.029319,0.022051,0.29808,0.045923,0.047079,0.081921,0.029292,0.083962,0.058631,0.05247,0.083409,0.031967,-0.118834,-0.002257,0.000589,0.00014,0.005829,0.000409,-0.025144,0.12587,1.7e-05,-0.034086,-0.014799,0.006469,0.02926,1e-06,0.030069,0.012086,-0.018434,-0.017165,-0.037159,-0.021855,-0.168643,-0.016348,0.000214,-0.029217,3.9e-05,0.025331,0.02501,0.002433,0.025396,0.000157,0.000104,-0.025265,0.007206,0.000338,8.2e-05,4.5e-05,3.4e-05,1.7e-05,1.6e-05,1e-05
-0.009696,-0.013909,-0.017318,-0.015593,-0.018641,-0.020689,-0.013086,-0.012736,-0.007794,-0.002548,0.002412,-0.00281,-0.015114,-0.009993,-0.016915,-0.027973,-0.026924,-0.042993,-0.047237,-0.045808,-0.050868,-0.044213,-0.043369,-0.032538,-0.026974,-0.021454,-0.012114,-0.012809,-0.007425,-0.002883,0.002817,0.003174,0.008026,0.007734,0.00145,-0.004625,-0.005072,-0.005312,-0.011109,-0.012148,-0.012769,-0.017286,-0.021427,-0.020478,-0.021455,-0.021834,-0.017365,-0.017383,-0.016402,-0.015122,-0.009708,-0.003635,0.001492,0.000977,0.000988,0.00683,0.000753,0.005556,0.004861,0.005488,0.005186,0.010975,0.00664,0.006394,0.005902,0.005765,0.006236,0.005647,0.000245,0.000486,0.000409,0.000218,0.000113,0.005304,6e-06,-2e-06,1e-05,-0.000434,-0.000387,-0.000365,-0.000171,-0.000377,-0.000534,0.004759,-0.001068,0.004211,-0.001205,-0.001212,0.004356,0.004781,0.000527,0.000514,0.000582,-7.1e-05,-4e-06,-0.004768,-0.004371,0.000971
-0.043444,-0.037925,-0.028572,-0.02085,-0.010224,0.014684,0.02334,0.031281,0.036508,0.036153,0.04547,0.055825,0.058348,0.054226,0.043387,0.036481,0.036538,0.02952,0.021021,0.014394,0.01363,0.007737,0.005903,-0.001475,-0.003486,-0.00519,-0.016422,-0.018413,-0.01673,-0.02102,-0.018571,-0.014352,-0.014147,-0.008313,-0.008933,-0.006227,-0.004159,-0.001482,0.002297,-0.000514,-0.002104,0.001898,0.003502,0.009322,0.003491,0.002541,-0.004625,-0.007884,-0.002146,0.000979,-0.000647,0.002624,0.000337,-0.000906,-0.000884,0.001884,0.001831,0.002087,-0.002894,0.00192,-0.002175,-0.002729,0.004778,0.004194,0.002982,0.002648,0.003845,-0.000914,0.000615,0.001224,0.001036,0.000557,0.000288,-0.001771,1.4e-05,-1.2e-05,2.4e-05,-0.001095,-0.000977,-0.000919,-0.00043,-0.00095,-0.001346,-0.00316,-0.002687,-0.004557,-0.003045,-0.003068,-0.004236,-0.003171,0.00133,0.001304,0.001475,-0.000181,-1.6e-05,0.003183,0.004189,0.002462
-0.021428,-0.011916,2.9e-05,0.004007,0.017018,0.015629,0.012643,0.002071,-0.017102,-0.024605,-0.048464,-0.056815,-0.061619,-0.063581,-0.054434,-0.036293,-0.029105,-0.004141,0.019512,0.036801,0.043403,0.053835,0.059544,0.062298,0.060938,0.059668,0.060961,0.06014,0.053853,0.051989,0.046022,0.041092,0.034185,0.023111,0.023165,0.018011,0.012147,0.006493,0.001628,0.000588,-7e-06,0.001875,0.009547,0.005067,0.009573,0.009231,0.01286,0.018357,0.013813,0.014983,0.013979,0.008073,0.006808,0.006349,0.006355,0.00025,0.000655,-0.00635,-0.001472,-0.006408,-0.001224,-0.001834,-0.00537,-0.005576,-0.006007,-0.006122,-0.005689,-0.000754,0.000215,0.000435,0.00037,0.000199,0.000104,-0.001051,4e-06,-7e-06,6e-06,-0.000393,-0.000349,-0.00033,-0.000154,-0.000343,-0.000482,-0.001554,-0.000969,-0.002061,-0.001105,-0.001119,-0.001956,-0.001569,0.000486,0.000477,0.000539,-6.4e-05,-7e-06,0.001569,0.001937,0.000895
0.35469,0.167849,-1.273988,0.126891,-3.920344,-3.738651,0.060281,1.040596,1.781123,-0.006805,-0.623651,-0.577728,0.057322,1.126711,0.987234,0.245879,0.265756,0.223112,0.21448,0.314719,0.300193,0.202136,0.5557,0.001237,-0.266339,3.824333,0.040554,-0.063155,3.870664,-0.122017,-0.127148,-0.176681,-0.023679,-0.139196,3.853247,-0.309319,-0.279474,1.041206,-0.12345,-0.145897,-0.002799,-0.116987,-1.509971,-0.001847,-0.108507,-0.059024,-0.142474,-0.266762,-0.0678,-0.063303,-0.067778,0.04807,0.005823,-0.036745,-0.036406,0.003648,0.001514,0.034814,0.000973,0.036607,-1.363816,-0.007512,0.026034,0.023375,0.034835,0.034851,0.036279,-0.000341,-0.00047,0.081593,-0.000695,-0.000111,-0.003767,0.000899,-3e-06,5e-06,-1.5e-05,-5e-06,3e-06,-0.001423,-2.9e-05,-0.001228,-0.002926,-0.00276,-0.0015,-0.000459,0.144251,0.14342,0.028364,0.178164,-0.004127,0.00915,-0.002747,-0.000126,-6.1e-05,-0.001033,-0.003335,-0.003157
