0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
-0.013858,-0.019578,-0.015481,-0.005426,-0.000642,0.000943,0.007072,0.007849,0.012792,0.023946,0.019084,0.019848,0.026089,0.025607,0.025657,0.019054,0.02299,0.022769,0.023565,0.019955,0.016404,0.017392,0.00801,0.007725,0.012087,0.006183,0.011771,0.005304,0.005283,0.005637,0.005343,0.005395,0.006698,0.000363,0.001243,0.001263,0.006223,0.006197,0.001002,0.007113,0.00729,0.006442,0.001245,0.005194,-9e-06,0.000109,0.000264,9.6e-05,0.000277,-0.005195,0.000311,0.000767,0.000925,0.001228
0.014659,0.013539,0.023853,0.032274,0.037474,0.026474,0.022955,0.017775,0.019877,0.018295,0.012419,0.007242,0.002136,0.003373,0.002671,0.007524,0.014438,0.014777,0.009223,0.00113,-0.006562,-0.010366,-0.014949,-0.012474,-0.006865,-0.003924,-0.00417,0.000758,0.000836,-0.00043,0.000636,0.000461,-0.005606,-0.001302,-0.005864,-0.005942,-0.003876,-0.003775,-0.005013,-0.008421,-0.009021,-0.004577,-0.005842,0.001295,3e-05,-0.000385,-0.000921,-0.000334,-0.000966,-0.001322,-0.001094,-0.002683,-0.003235,-0.004296
-0.019101,-0.012367,-0.014215,-0.010621,-0.008343,0.006224,0.01063,0.014649,0.021702,0.026553,0.030398,0.034405,0.038103,0.038494,0.038122,0.033882,0.029926,0.029954,0.033859,0.030853,0.028175,0.026809,0.01932,0.014043,0.009683,0.004669,0.004428,0.000108,0.000138,-0.000321,6.9e-05,7e-06,0.004077,-0.00048,0.004144,0.004117,0.004719,0.00476,0.004466,0.009383,0.009174,0.004485,0.00418,0.000316,8e-06,-0.000143,-0.000338,-0.000122,-0.000355,-0.00033,-0.000404,-0.000987,-0.001192,-0.00159
-0.022424,-0.168872,-0.393591,-1.081132,-0.960036,-0.055926,-0.588278,0.191343,-0.105689,0.027671,-0.120035,-0.452466,-0.168549,0.209472,-0.131823,0.095098,-0.144581,-0.151636,-0.234095,0.815479,-0.116174,-0.176219,-0.14697,-0.025591,-0.050503,-0.024124,-0.031925,0.001747,-0.079056,0.002764,-0.26333,0.007844,-0.033037,0.043359,-0.03609,-0.03555,-0.01854,0.041849,-0.000682,-0.060272,-0.069084,-0.033592,0.183761,0.000422,-0.00024,-0.00019,0.012353,-7.8e-05,-0.001869,-0.002079,0.009039,-0.002404,-0.001947,-0.003321
-0.498014,-0.262519,0.498643,0.907371,1.044831,3.083208,0.72158,2.676385,0.387249,-0.033238,0.205361,-0.118765,0.008126,0.471392,-0.062729,-0.329069,-0.0308,0.056739,0.554702,1.90932,0.085374,0.188243,0.143692,-0.062711,-0.041923,-0.099717,-0.027746,-0.015191,0.120127,-0.016941,0.455558,-0.02976,-0.013303,-0.12757,0.003713,0.002512,-0.028307,-0.132927,-0.046777,-0.095121,-0.010869,-0.01314,-0.382755,-0.012294,5.7e-05,6e-06,-0.092126,5e-06,0.013357,0.015196,-0.007557,0.014363,0.012826,0.006019
0.034895,-0.074032,0.280885,0.526178,0.929373,-0.651244,0.450996,-1.546822,-0.686713,-0.970463,-0.556117,-0.760651,-0.212347,-0.940267,-0.248389,-0.443843,0.048854,-0.131807,-1.061402,-2.050689,-0.385125,-0.355613,-0.390524,-0.300153,0.007918,0.186013,0.035811,0.029041,0.108902,0.027995,0.318638,0.018733,0.006435,0.124056,-0.021637,-0.022478,0.00124,-0.061416,-0.047697,0.164931,-0.016345,0.006306,-0.252016,0.031017,-0.000123,-0.00011,0.175743,-5.5e-05,-0.025528,-0.029304,-0.001253,-0.024852,-0.025746,0.004407
-0.007386,-0.006156,0.001033,-0.00238,-0.000463,-0.009403,-0.015107,-0.02083,-0.018606,-0.029866,-0.031484,-0.038034,-0.033857,-0.035928,-0.030749,-0.024167,-0.018739,-0.012971,-0.008246,-0.005022,-0.004708,-0.004594,-0.006083,-0.000929,-0.005653,-0.005979,-0.006577,-0.012315,-0.006501,-0.005023,-0.004134,-0.004352,-0.005169,-0.005339,-0.006098,-0.005724,-0.004669,-0.004371,-0.005211,-0.010629,-0.004544,-0.010179,-0.004205,-0.003928,-0.003479,-0.003694,-0.004569,0.000748,0.000508,0.005613,0.004669,0.005724,0.001044,0.000588
0.020505,0.028424,0.031673,0.038046,0.044933,0.049054,0.035928,0.029665,0.032546,0.023688,0.007215,0.001635,-0.0082,-0.018265,-0.020774,-0.012671,-0.011237,-0.008703,-0.009155,-0.013672,-0.006233,-0.002624,-0.003479,-0.002534,0.004296,0.003405,-0.001511,-0.003971,-0.00454,-0.000556,0.001818,0.001239,-0.000937,-0.004679,-0.006684,-0.002398,0.000374,0.001142,-0.001061,0.000609,0.000663,-0.001533,-0.001785,-0.001092,-0.00326,-0.003819,-0.00276,-0.004644,-0.005259,-0.004372,-0.006802,0.00248,0.005987,0.001512
-0.039354,-0.042077,-0.040122,-0.028811,-0.024762,-0.00753,0.013609,0.024313,0.032471,0.048326,0.059963,0.064003,0.065617,0.067674,0.066372,0.056419,0.050103,0.0442,0.036996,0.02812,0.017844,0.012642,0.005594,-0.001039,-0.004617,-0.004988,-0.000307,0.005711,0.005164,0.006825,0.007808,0.007567,0.006668,0.011867,0.011055,0.006081,0.007219,0.007533,0.006642,0.007658,0.007347,0.013534,0.013086,0.013357,0.019204,0.018983,0.012701,0.011605,0.01137,0.004643,0.00371,-0.006131,-0.004409,0.000576
0.064034,-1.379295,0.030041,-0.046721,-4.506366,0.172263,-4.385205,-0.072927,-0.194907,-0.055538,-4.176352,-4.302556,-3.013555,0.406115,0.242972,-0.176772,-0.37984,-0.381074,-0.389721,-0.222217,-0.091919,-0.066918,-0.062644,-1.312225,-0.00594,0.032422,-0.014175,-0.02915,-0.039277,-0.033096,-1.430131,-0.359077,-0.03089,-0.067233,-0.06753,-0.034684,-0.036845,-0.0474,1.386608,-0.03894,-0.04084,-0.073237,-0.065168,-1.33159,-0.10719,-0.092154,0.004391,0.179769,0.176849,0.124044,0.176683,0.02538,0.024454,-0.008441
-0.657674,-0.932223,-0.661023,-0.277244,0.725948,0.566942,1.186343,0.330421,0.236758,0.309843,1.734153,1.152503,-0.33663,0.174311,-0.180894,-0.060924,-0.246193,-0.598199,-0.703195,-0.265437,-0.032851,0.043065,-0.147296,0.04075,-0.067311,0.008098,-0.020801,0.06677,0.02244,0.023343,1.466337,0.854273,0.027051,0.042213,0.042565,0.035004,0.015168,0.093604,-1.418879,0.042629,0.006832,0.053642,0.04077,0.178883,0.136193,-0.033502,0.218878,0.625779,0.624038,0.368842,0.503832,-0.054959,-0.055609,0.081961
-0.582706,0.201118,-0.784252,-0.874629,2.073398,-0.921182,2.445611,-0.4929,-0.254013,0.086683,3.610011,3.471494,5.472949,1.087819,0.90777,0.671579,0.673075,0.431285,0.216744,0.212917,0.158047,-0.033525,0.087027,1.019257,-0.069413,-0.040333,-0.047193,-0.065681,-0.050817,-0.018335,-1.897382,-0.461976,-0.039844,-0.033194,-0.033423,-0.044479,-0.02177,-0.204081,1.825019,-0.077299,-0.025137,-0.062096,-0.030788,1.082662,-0.201677,0.157742,0.044015,0.262778,0.259952,0.205909,0.230203,0.036668,0.031509,-0.181214
