0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
-0.016664,-0.016291,0.003914,-0.002066,-0.00885,-0.008869,0.005052,0.018844,0.027012,0.04139,0.042517,0.043262,0.049604,0.036882,0.036438,0.023425,0.00319,0.001867,-0.005349,-0.012451,-0.019014,-0.012675,-0.012593,-0.006273,0.006746,0.006771,0.019387,0.026207,0.026287,0.032398,0.045824,0.04653,0.046577,0.046478,0.0387,0.038117,0.037255,0.024457,0.018378,0.019107,0.020653,0.023187,0.024143,0.020565,0.013329,0.01328,0.012275,-0.002301,-0.006869,-0.015514,-0.026087,-0.042362,-0.048731,-0.061567,-0.071586,-0.069148,-0.074849,-0.065857,-0.044554,-0.04369,-0.04289,-0.01747,-0.010659,-0.00431,0.008734,0.0083,0.014172,0.012892,0.012457,0.012456,0.006204,0.006192,0.006591,0.006098,0.006057,0.006455,0.000177,0.006378,0.006841,0.000205,0.006424,0.006104,0.006172,1e-06,7e-06,-1e-05,-1.2e-05,0.0,4.6e-05,-1.9e-05,1.8e-05,3.3e-05,0.000474,5.2e-05,4.4e-05,4.3e-05,3.9e-05,1.5e-05,1.8e-05,1.9e-05,-0.0
0.052868,0.047411,0.039923,0.038498,0.04254,0.040886,0.030006,0.018182,0.000965,-0.020297,-0.029749,-0.039029,-0.035671,-0.034711,-0.030497,-0.032533,-0.022937,-0.009156,0.000621,0.007708,0.007757,0.006438,0.003152,-0.000146,-0.00856,-0.009938,-0.010314,-0.014931,-0.016167,-0.014097,-0.018824,-0.021532,-0.019637,-0.0138,0.000819,0.00597,0.013737,0.012005,0.007825,0.001499,-0.01018,-0.029882,-0.0372,-0.059058,-0.052781,-0.052068,-0.043765,-0.033745,0.000525,0.015999,0.047723,0.0743,0.074969,0.078719,0.059517,0.042267,0.037941,0.017163,-0.000101,-0.008045,-0.012804,-0.004807,-0.00397,-0.003015,-0.009876,-0.007797,-0.004122,0.007662,0.008581,0.005572,0.004176,0.004151,0.000797,0.008495,0.009436,0.005686,0.007555,0.007274,0.000618,0.004661,0.003006,0.00241,2.8e-05,-0.000172,-0.000246,0.00029,0.000392,-2.1e-05,-0.00159,0.00068,-0.0006,-0.001154,-0.005364,-0.001774,-0.0015,-0.001444,-0.00131,-0.000476,-0.000576,-0.000625,-3.1e-05
-0.049407,-0.045149,-0.035516,-0.02783,-0.032339,-0.033359,-0.018043,-0.003652,0.023114,0.046234,0.063101,0.072232,0.074111,0.075685,0.070689,0.062509,0.047056,0.032771,0.024046,0.013535,0.006308,0.004992,0.002916,0.000383,0.001832,0.000964,-0.000237,0.004035,0.003236,-0.003705,-7.2e-05,0.005865,0.00706,0.010879,0.005178,0.000682,-0.002117,-0.002189,-0.004333,-0.000642,0.01518,0.033764,0.036881,0.047086,0.036249,0.036833,0.034506,0.018377,-0.02317,-0.036424,-0.054688,-0.075318,-0.073938,-0.077468,-0.064907,-0.052562,-0.047007,-0.022386,0.003519,0.013771,0.026185,0.029579,0.037302,0.037356,0.039532,0.033047,0.027177,0.011504,0.004386,0.002503,0.002101,0.00208,0.007605,0.004725,0.005269,0.010513,0.012038,0.011383,0.014887,0.0102,0.008766,0.000945,-0.00044,-0.000105,-0.000145,0.000166,0.000227,-1.2e-05,-0.000927,0.000396,-0.00035,-0.000676,0.004334,-0.001038,-0.000879,-0.000847,-0.000769,-0.000281,-0.000338,-0.000366,-1.8e-05
-4.043562,-3.927872,-3.986845,-1.74953,-1.64269,-0.652638,-0.750988,-0.595052,-0.728119,0.069119,0.538404,0.199662,0.18492,0.070253,1.547499,1.508526,-0.000113,0.195613,0.134146,0.235617,-0.024547,-0.012379,-0.00125,-0.000975,-0.03548,0.088706,-0.032026,-0.054206,0.209124,0.012085,0.48026,0.208719,0.357494,-4.263114,-0.99362,-1.768454,0.366532,0.304782,-4.010106,-3.835634,0.283435,-3.810468,0.226507,1.435263,1.249696,-0.077712,0.138069,0.464694,0.407815,1.406045,-0.160983,-1.598833,-0.266323,0.008809,-0.11398,-0.131277,1.299177,-0.13473,-0.013431,0.073232,-0.112004,0.169807,0.220031,0.153758,-0.003502,-0.193153,-0.141141,-0.04096,0.006068,-0.006392,0.002151,-0.004179,0.204719,-0.005535,0.005546,-0.030652,-0.030935,-0.030521,-0.067779,-0.032748,-0.043119,-0.001461,0.002422,-0.003472,-0.000217,-0.008421,-0.000605,4.2e-05,-0.006377,0.000141,0.00012,9.2e-05,-0.036371,3.5e-05,3.4e-05,2e-05,-0.001783,2.2e-05,6e-06,8e-06,-3e-06
-2.95088,-2.636894,-1.042933,0.155823,0.201883,0.466896,0.59988,0.262148,1.69178,0.160013,-1.664816,-0.728579,-0.881122,-1.048605,-0.480071,-0.216245,-0.521473,-0.694139,-0.467988,-0.549462,0.061613,0.018917,0.017637,0.01566,0.009276,0.063106,-0.022262,-0.125193,-0.507406,-0.200464,-0.223851,-0.630635,-0.894558,-2.224483,-1.220572,-2.915277,-0.634812,-0.586867,-1.664624,-1.960724,0.352098,-1.143255,-0.347558,0.703113,1.248323,-0.170089,-0.658341,0.410902,0.338423,0.312408,1.4827,0.762848,1.875926,1.467726,1.370486,1.252387,1.581431,0.728914,-0.029194,-0.070177,-0.231755,-0.790545,-0.950397,-0.877615,-0.505059,0.00119,-0.029664,0.049002,-0.044478,0.052875,-0.01516,-0.018062,-0.474926,-0.02865,-0.042756,-0.033498,-0.032273,-0.042578,-0.022942,-0.018197,0.061891,-0.01006,-0.014367,0.005231,0.001383,0.078606,0.00113,0.000195,0.020787,0.000341,7.1e-05,2.3e-05,0.009267,1.2e-05,-0.0,2e-06,0.01374,1e-05,-7e-06,1e-05,-1e-05
-2.514356,-2.402088,-4.575566,-0.560543,-0.79386,0.201103,0.05083,-0.254081,-2.665939,-1.464191,0.394991,-1.197913,-1.375149,-0.574263,0.11067,0.047895,-0.388138,-0.446566,-0.297557,-0.336633,-0.045502,0.001021,-0.032188,-0.028671,-0.013899,0.051663,0.044355,0.22764,-0.226651,0.214892,-1.017518,-0.475782,-0.358223,-3.000256,-1.269456,0.840219,-0.086764,0.045809,-3.274927,-3.507184,-0.698989,-4.280474,-1.663245,-2.78968,-2.442982,-0.813359,-0.918168,-1.456645,-0.210355,0.58107,0.276842,2.782263,0.92839,1.123077,1.173628,0.806403,1.392785,0.491592,0.177491,0.169749,0.251262,-0.148914,-0.16113,-0.083424,-0.044536,0.055308,0.067621,-0.082409,0.083649,-0.089345,0.02929,0.060318,-0.237718,0.086997,0.079834,0.060889,0.056752,0.0538,0.042602,0.031654,-0.113253,0.031955,0.028437,-0.006518,-6.5e-05,-0.185628,0.000662,0.000171,-0.02217,1e-06,5.5e-05,7.7e-05,-0.01889,3.7e-05,3.3e-05,3.3e-05,-0.025243,-1e-05,1.9e-05,-1e-06,2.1e-05
-0.06147,-0.067767,-0.08676,-0.079657,-0.072577,-0.059319,-0.052307,-0.051947,-0.051703,-0.032347,-0.025451,-0.01864,0.001081,0.013321,0.013004,0.006933,-0.006117,0.000232,-0.00581,-0.011652,-0.011402,-0.017866,-0.011508,0.001342,0.001069,0.019864,0.038381,0.044658,0.051068,0.069868,0.075622,0.062507,0.055888,0.043069,0.030701,0.030817,0.024247,0.024118,0.029699,0.042256,0.061132,0.073395,0.079643,0.092709,0.101083,0.088933,0.084687,0.042417,-0.003944,-0.025016,-0.056503,-0.09625,-0.109365,-0.12739,-0.139525,-0.138872,-0.125739,-0.125521,-0.105867,-0.099489,-0.073817,-0.048404,-0.030035,-0.024114,-0.011766,0.013825,0.020134,0.019848,0.019681,0.012751,0.012737,0.006188,-0.006643,-0.013082,-0.012807,-0.012502,-0.012486,-0.005855,-0.005469,0.000926,0.001062,0.001617,0.00779,0.007702,0.007516,0.000294,-0.00027,-9.1e-05,0.000368,0.000491,0.000844,-0.005515,0.000613,-0.005291,-0.005035,-0.005037,-0.011488,-0.005364,-0.006068,-0.006127,-0.00602
0.028076,0.026592,0.023742,0.035972,0.033833,0.031293,0.031694,0.033688,0.011845,0.008266,0.025205,0.036559,0.051328,0.050228,0.043257,0.042394,0.012283,-0.007531,-0.009141,-0.018186,-0.025175,-0.034963,-0.039587,-0.030325,-0.018706,-0.01697,-0.015453,-0.00286,0.012962,0.025921,0.020537,0.023651,0.027059,0.0152,-0.0008,-0.000247,0.015407,0.023484,0.043954,0.048381,0.052766,0.052561,0.05157,0.044816,0.023483,0.017969,0.002875,-0.021966,-0.019619,-0.01148,-0.030701,-0.028255,-0.027441,-0.040738,-0.045343,-0.04313,-0.043772,-0.042076,-0.034111,-0.031041,-0.024304,-0.019418,-0.023149,-0.027371,-0.026894,-0.014821,-0.016022,-0.009228,-0.005961,-0.015077,-0.015384,-0.0118,-0.011019,-0.015458,-0.008021,-0.000698,-0.000658,0.005161,0.008054,0.002842,0.003913,0.008316,0.006375,0.005795,-0.000116,-0.011167,-0.015852,-0.014379,-0.006059,-0.000478,0.002326,0.002752,0.000419,0.008892,0.006292,0.01058,0.005194,0.003244,-0.002146,-0.002584,-0.001815
-0.017445,-0.00999,0.005099,-0.002737,-0.004768,-0.015665,-0.015584,-0.014063,0.002014,-0.001227,-0.013037,-0.020818,-0.034171,-0.043074,-0.040145,-0.032239,-0.006547,0.010392,0.017382,0.034863,0.045753,0.054615,0.059277,0.04994,0.034415,0.027455,0.01207,-0.003055,-0.015727,-0.03102,-0.035157,-0.04063,-0.045961,-0.046431,-0.04227,-0.042074,-0.046336,-0.048342,-0.065248,-0.070445,-0.067597,-0.068582,-0.069935,-0.06876,-0.064059,-0.060416,-0.040382,-0.016661,-0.000896,0.009299,0.029951,0.053071,0.063175,0.085514,0.097278,0.105373,0.103259,0.103047,0.099265,0.092797,0.080377,0.066954,0.05582,0.052755,0.045005,0.02922,0.028151,0.016967,0.01128,0.013237,0.013052,0.007751,0.008583,0.013674,0.010743,0.007698,0.007716,0.003531,0.005394,0.009668,0.010339,0.013104,0.011645,0.011248,0.015217,0.016187,0.013304,0.014235,0.011692,0.007427,0.009139,0.009541,0.007945,0.005553,0.011623,0.00651,0.011033,0.0097,0.006497,0.006241,0.00669
-1.638777,-0.034284,-1.612191,-4.707952,0.05333,1.506721,-0.068245,-0.003002,-0.502007,-0.26008,0.411793,0.212101,-0.144494,0.062321,0.05877,-0.327788,-4.868805,-0.355896,-1.851318,-1.366867,-1.172005,-1.334787,-1.273154,0.733851,1.503689,7.021863,-0.030746,-0.052268,4.874675,0.175843,-0.546139,-0.38256,-0.185704,-0.081403,-0.214092,-0.009507,0.24977,0.179041,0.501437,0.108815,-0.618499,-4.615266,-4.274669,-1.439388,-0.535971,-3.286687,-0.577398,-0.405699,-0.353808,-0.199504,-2.341972,0.715894,0.811183,0.537592,0.881782,1.097391,0.998814,0.40984,0.071681,-0.318607,-0.273128,0.023509,1.529611,0.05551,-0.025308,5.077908,0.021642,0.141055,0.061941,-0.089001,0.082279,0.199442,0.02181,0.086378,0.453355,0.019043,-0.031374,0.005803,0.109349,-0.03505,-0.033871,-0.136391,0.164531,-0.009417,-0.024044,1.434566,0.135805,-0.070162,-0.074304,-0.050926,-0.033488,0.063613,-0.035095,-0.003088,-0.033569,0.009922,-0.037132,-0.029143,-0.021824,-0.012775,-0.056214
