0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
0.000859,0.00133,0.002437,-0.003748,-0.003463,-0.002818,-0.004435,-0.003956,-0.004435,-0.005217,-0.011595,-0.011238,-0.012718,-0.013066,-0.013233,-0.014475,-0.014436,-0.014086,-0.014722,-0.007883,-0.007055,-0.004814,0.002778,-0.002201,0.002711,0.002447,0.003581,0.00315,0.002705,0.001534,0.000859,-0.006337,-0.005609,-0.012804,-0.014646,-0.014916,-0.013987,-0.013935,-0.020668,-0.020593,-0.021448,-0.02082,-0.01372,-0.020331,-0.00755,-0.013651,-0.007275,-0.006578,-0.00731,-0.006601,-0.006796,-0.006866,-0.013683,-0.013819,-0.01457,-0.020597,-0.013661,-0.020319,-0.020636,-0.02072,-0.020618,-0.020607,-0.014388,-0.013741,-0.020694,-0.020621,-0.013591,-0.007443,-0.014399,-0.014331,-0.00689,-0.007432,-0.01419,-0.014064,-0.006526,-0.013515,-0.013636,-0.013638,-0.006286,-0.013805,-0.013816,-0.013815,-0.006908,-0.006863,-0.006216,-0.013187,-0.006327,-0.006303,-0.006993,-0.00035,-0.000214,-0.000222,-0.000276,-0.000408,-0.007324,-0.00052,-0.006797,-0.000446,-0.001107,-0.00057,-0.000532,-0.000244,-0.000799,-0.000939,-0.007874,-0.007636,-0.007654,-0.007695,-0.0143,-0.007851,0.004945,-0.002624,-0.002046,0.00528,-0.00693,-0.006437,-0.006821,-0.006822,-0.006471,-0.005859,-0.005771,-0.006084,-0.005539,0.013511,0.012317,0.013359,0.013621,0.006382,0.020229,0.020305,0.01335,0.006307,0.006905,0.006759,0.013838,-6.1e-05,0.000627,0.006868,0.006396,0.006271,0.006504,0.005494,0.005943,-0.000889,-0.000957,-0.001072,-0.001077,-0.00165,-0.001081,-0.001264,-0.001855,-0.001224,0.005871,-0.000878,0.006061,-0.000549,-0.000552,-0.0005,-0.00034,-0.000244,0.006386,0.006414
0.000241,-0.00143,-0.005364,-0.007933,-0.0091,-0.013078,-0.005781,-0.009247,-0.007574,-0.004834,-0.007235,-0.0103,-0.003274,-0.002037,-0.001444,0.004845,0.004724,0.00339,0.007367,0.007954,0.004567,-0.007427,-0.011308,-0.021144,-0.009752,-0.00867,-0.01475,-0.01298,-0.01114,-0.004919,-0.002146,-0.001931,-0.006374,-0.006227,0.002909,0.004142,-0.001158,-0.001339,-0.003001,-0.003318,0.002041,-0.002139,-0.002157,-0.004442,0.003371,-0.002471,0.002018,-0.002501,0.002177,-0.00243,-0.001435,-0.001063,-0.00238,-0.001655,0.003275,-0.003139,-0.002492,-0.004777,-0.00292,-0.002377,-0.002988,-0.003054,0.002571,-0.002007,-0.002416,-0.002914,-0.003074,0.003204,0.002904,0.002452,-0.000787,0.003251,0.001407,0.000342,-0.003807,-0.003941,-0.003033,-0.003046,-0.005832,-0.001655,-0.001566,-0.001566,-0.000768,-0.001252,-0.006582,-0.00677,-0.005541,-0.005815,2.7e-05,0.00372,0.002303,0.002375,0.002964,0.004402,0.003958,0.004435,-0.000176,0.004891,0.010549,0.006302,0.005919,0.002823,0.007286,0.008942,0.007857,0.007035,0.005454,0.006085,0.00509,0.008142,0.017259,0.023841,0.018872,0.014619,0.001676,-0.002239,0.002447,0.002613,-0.001675,-0.007192,-0.008379,-0.006917,-0.011625,0.000887,0.009001,-0.000685,-0.002009,0.001469,0.000309,0.000678,0.000288,0.002036,-0.002612,-0.001552,-0.002398,-0.002191,-0.007785,-0.001009,0.003628,0.00477,0.003541,0.011742,0.008358,0.007328,0.007877,0.008881,0.008903,0.013271,0.008946,0.010547,0.015101,0.010184,0.008754,0.007724,0.006865,0.00478,0.004791,0.004332,0.002921,0.002085,0.003672,0.003355
-0.015883,-0.01696,-0.019545,-0.020658,-0.021537,-0.016102,-0.019497,-0.013726,-0.012627,-0.010804,-0.011764,-0.005657,-0.00907,-0.008223,-0.007815,-0.011721,-0.011808,-0.012738,-0.018244,-0.018559,-0.020947,-0.012844,-0.008041,-0.006075,-0.015487,-0.01475,-0.010884,-0.009684,-0.008384,-0.012259,-0.010192,-0.009222,-0.004041,-0.003112,-0.004698,-0.003759,0.000761,0.000615,0.000138,-0.00011,-0.00465,0.000759,-5.3e-05,-0.001014,-0.005203,-0.000315,-0.006237,-0.001117,-0.006125,-0.001068,-0.000313,-3.1e-05,-0.000268,0.000281,-0.004537,-0.000106,-0.000371,-0.001369,2.6e-05,0.000422,-4.7e-05,-0.000114,-0.00514,-5.8e-05,0.000332,-5.9e-05,-0.000894,-0.005404,-0.004938,-0.005284,0.000117,-0.005377,-0.006095,-0.006902,-0.00218,-0.001607,-0.000924,-0.000934,0.004936,0.000105,0.00017,0.000167,9.6e-05,-0.000275,0.004242,0.004761,0.005029,0.004813,0.000681,0.002814,0.001735,0.001781,0.002222,0.003298,0.003599,0.00347,0.009014,0.003622,-0.000675,0.004633,0.004331,0.002055,-0.003106,-0.00191,-0.001954,-0.002686,-0.003699,-0.003254,-0.003485,-0.010263,-0.013334,-0.016259,-0.011477,-0.00679,0.001795,0.007313,0.010635,0.010718,0.007685,0.012077,0.011243,0.004007,0.008974,-0.000547,-0.011252,-0.009833,-0.010922,-0.016209,-0.009841,-0.009734,-0.017663,-0.02433,-0.019419,-0.018548,-0.020067,-0.027214,-0.023024,-0.018623,-0.015063,-0.014194,-0.006552,-0.008633,-0.002656,-0.00289,-0.00246,-0.001676,-0.00166,-0.006839,-0.001633,-0.000405,-0.005427,-0.000701,0.005999,0.005867,0.004524,0.0036,0.003592,0.003244,0.002178,0.001551,0.002076,0.001834
0.060441,0.060834,0.065138,0.063751,0.064777,-0.353494,0.066942,0.031754,0.221715,0.026338,0.02573,-0.006133,0.029809,0.030814,0.017881,0.070833,0.057773,0.015842,0.021661,-0.248931,0.045446,0.038645,0.000772,-0.045405,0.035519,0.677065,0.018646,-0.005204,-0.030683,0.038576,0.03283,0.031752,-0.003493,-0.005494,0.031123,0.032433,-0.004171,-0.004183,-0.006241,-0.006229,2.862083,-0.005448,-0.004348,0.183549,0.029624,-0.118152,0.041945,-0.023275,0.01913,-0.011251,-0.011489,-0.002123,-0.004128,-0.004158,0.043391,-0.011465,-0.007181,-0.007801,0.003555,-0.006161,-0.006188,-0.006216,0.031683,-0.004165,-0.006245,-0.006212,-0.005973,-0.03361,-0.024947,0.025584,-0.023474,-0.83357,0.675502,-0.077441,-0.012393,0.163712,0.088902,-0.008385,-3.566032,-0.037958,-0.006889,-0.004481,-0.006645,0.182374,0.012704,0.075085,-0.837996,0.166351,-0.021724,0.128231,0.117803,0.179499,0.089029,0.046402,-0.184907,-2.330824,-0.573811,0.093364,0.121843,0.067921,0.120255,-0.01862,-0.276513,-0.205417,-1.01391,0.136151,-0.668847,-0.489857,0.232659,0.071018,-2.52855,0.148829,0.079082,0.086075,0.015224,-0.039751,-0.037939,-0.039852,-0.03605,-0.074537,-0.078221,-0.048568,-0.08101,-0.035041,0.771121,0.930884,0.051164,-0.443565,1.564835,0.250139,2.290415,-0.697294,-0.021169,2.939273,0.270547,0.301989,0.276251,0.018101,-1.529821,-0.142791,-0.55899,4.36955,4.425086,0.059397,0.043411,-1.461444,0.072427,-0.009541,0.057294,0.068872,0.079382,0.055385,0.02038,0.005035,0.005539,0.001713,0.001736,0.001734,-1e-06,2e-06,0.005509,-1.435826
0.014764,0.025464,-0.043604,0.044624,0.045505,0.655407,0.042187,0.040059,0.187934,0.020935,0.037146,0.050707,0.040284,0.030001,0.054772,0.021346,0.046318,0.119463,0.118545,0.622474,0.122673,0.032536,0.015831,0.056623,0.034163,0.478416,-0.048743,0.030704,0.071715,0.010349,0.019696,0.024476,0.026065,0.041283,0.028692,0.01767,0.030405,0.030386,0.045624,0.045622,0.108679,0.045078,0.030419,0.196117,-0.051323,0.261444,0.012756,0.117185,0.144814,0.090067,0.090825,0.015204,0.030416,0.018422,0.036048,0.04186,0.028249,0.056426,-0.030235,0.04561,0.045498,0.045615,0.026636,0.030422,0.045615,0.045639,0.029262,0.336294,0.186771,0.084423,0.114731,0.496918,0.537889,0.13271,0.091683,0.167019,-0.266337,0.055224,1.337167,0.043274,0.02223,0.02266,0.022492,-0.574924,-0.144833,-0.348082,-0.118836,-0.688975,-0.102242,-0.472928,-0.376077,-0.728061,-0.271591,-0.176477,-0.321519,1.512901,-0.146393,-0.425026,-0.431898,-0.710016,-0.948157,-0.652028,-0.261657,-0.325236,1.448127,-0.589526,1.111482,1.313254,-0.896495,-0.071826,-0.935564,-0.034293,0.034967,-0.060509,-0.060772,0.015178,0.004497,-0.014968,-0.002075,0.013762,0.008385,0.034352,0.022437,0.067422,-2.014843,-1.052511,0.461363,1.916392,-0.767839,1.377955,-0.698266,1.321451,1.062998,-1.045629,1.171476,1.439078,1.434092,1.616798,0.361618,1.132622,0.259228,-0.396038,-0.800206,-0.041207,0.153114,-1.438321,-0.221141,0.328822,-0.14242,-0.224203,-0.076971,-0.122349,-0.127343,-0.009692,-0.040774,-0.01282,-0.012808,-0.012808,-2e-06,-1e-06,-0.026338,-1.419096
-0.002286,-0.030088,0.157539,-0.061946,-0.062604,0.128835,-0.063651,-0.087173,-0.161002,-0.029741,-0.059686,-0.112297,-0.061903,-0.035019,-0.022439,-0.014211,-0.001567,0.028466,0.234923,0.251747,0.056479,-0.089941,-0.055972,-0.157868,-0.060636,-0.254725,0.094978,-0.079546,-0.031092,-0.034539,-0.031076,-0.033416,-0.056233,-0.085356,-0.035839,-0.009199,-0.058572,-0.058672,-0.08785,-0.087834,4.675298,-0.087507,-0.058838,-0.204102,0.187586,0.037555,-0.041239,-0.203558,-0.380349,-0.213204,-0.212936,-0.029263,-0.058524,-0.031006,-0.043965,-0.084312,-0.056491,-0.114162,0.095871,-0.087748,-0.087911,-0.087817,-0.036842,-0.058526,-0.087875,-0.087847,-0.057348,0.093381,-0.175458,-0.229497,-0.205325,-1.595866,-0.658206,-0.328271,-0.211073,-0.22308,-0.195219,-0.075237,-4.088936,-0.076803,-0.048529,-0.048554,-0.016092,-0.277599,-0.114147,-0.252496,-1.766785,-0.591081,-0.413034,-0.437837,-0.603867,-0.808567,-0.537818,-0.45843,-1.031971,-5.136827,-2.161647,-0.571346,-0.554231,-0.869039,-0.397917,-0.588877,-1.648548,-1.430809,-4.814159,0.15457,-5.036563,-4.787637,0.04829,0.100383,0.39295,0.1095,0.334,0.083986,0.103139,-0.01655,0.004998,0.007014,-0.031959,-0.046394,-0.033486,-0.041876,-0.058027,0.095428,5.151862,5.042086,1.41863,0.086853,4.483164,1.278852,4.664131,0.25224,0.207072,4.198972,0.799708,0.592108,1.012052,0.724719,2.590055,0.762482,1.387515,4.125749,4.017459,0.893148,0.822731,2.567673,0.382009,0.652289,0.389098,0.41935,0.262153,0.217153,0.254309,0.021139,0.080641,0.025741,0.025729,0.025734,0.0,-0.0,0.052675,1.922787
0.00783,0.014593,0.008043,0.014889,0.015181,0.008582,0.015218,0.008436,0.008435,0.008139,0.007825,0.007842,0.00777,0.007558,0.000827,0.00733,0.007107,0.000301,0.000142,7.7e-05,-0.006522,-0.006488,0.00022,0.00048,0.000603,0.000597,0.000404,0.000205,0.000197,0.000212,9e-05,-6e-06,-2e-06,5.5e-05,1.4e-05,7.7e-05,0.000142,0.000142,0.006723,0.000163,0.006662,0.000195,0.000136,0.006794,0.000308,0.006873,0.000261,0.000314,0.000281,0.000336,0.000387,0.000426,0.000231,0.000156,0.006716,0.000234,0.000231,0.000223,0.000241,0.000133,0.000102,0.006491,8.5e-05,5.2e-05,0.000128,0.006699,0.006678,0.000252,0.006716,0.000223,0.000198,0.006661,-3e-06,2.1e-05,-2e-06,-6e-06,4e-06,-9e-06,3e-06,7e-06,3.1e-05,3e-06,1.9e-05,-1e-06,-6.7e-05,2e-06,3.4e-05,0.006631,1.7e-05,-4e-06,1.1e-05,-0.0,-0.006515,2e-06,2.6e-05,2e-06,3e-06,-1e-06,7e-06,1e-06,1e-06,-3e-06,5.3e-05,-0.0,2e-06,-1e-06,-0.0,-5.2e-05,5e-06,-1.9e-05,-1e-06,6.7e-05,4.1e-05,0.006511,4.4e-05,9.7e-05,0.006613,0.00653,0.006595,0.006599,0.006509,0.006448,3.9e-05,-0.000128,-0.006778,-0.019314,-0.025451,-0.032165,-0.032951,-0.033281,-0.0274,-0.028034,-0.021677,-0.015244,-0.009162,-0.015323,-0.008352,-0.00163,-0.001462,-0.001225,0.005788,0.006102,0.006169,0.006045,-0.000469,0.005961,0.012399,0.012602,0.006518,0.012827,0.012671,0.005863,0.005723,-0.00099,-0.001193,0.004867,-0.001848,-0.008449,-0.014208,-0.020612,-0.027077,-0.019779
0.005856,0.005142,0.003027,0.003156,0.005452,0.007237,0.006313,0.011395,0.00697,0.009751,0.007734,0.008096,0.003043,0.006301,0.001675,0.000122,0.00306,0.002384,0.001134,0.000607,0.00137,0.001611,0.001707,0.003724,0.004701,0.00466,0.003181,0.001624,0.001557,0.001679,0.000715,-4.8e-05,-2.8e-05,0.000445,0.000109,0.00061,0.001135,0.001133,0.000514,0.001306,6e-05,0.001567,0.005845,0.001186,0.002498,0.00189,0.002128,0.002595,0.002327,0.002786,0.0032,0.00352,0.001919,0.006065,0.000873,0.001949,0.001927,0.001882,0.002043,0.001131,0.000872,0.003958,0.000726,0.000441,0.001084,0.000944,0.005666,0.002207,0.001187,0.001969,0.001758,0.000805,0.004889,0.000197,-1.5e-05,-3.7e-05,-8e-06,-0.00012,3e-06,5.3e-05,0.000279,2.6e-05,0.000175,-1.4e-05,-0.000642,-5e-06,0.000287,0.000597,0.000147,-3.1e-05,0.0001,-1.5e-05,0.000452,2e-06,0.000234,-9e-06,-2e-06,-1.3e-05,5.1e-05,-2e-06,-7e-06,-3.4e-05,0.000328,-2e-06,9e-06,8e-06,-3e-06,0.004446,-1e-06,-0.000191,8e-06,0.000638,0.000386,-0.000467,0.000377,0.000866,0.000481,-0.000262,0.000352,0.000413,-0.000443,0.004007,0.000376,0.003796,0.007819,0.012943,0.011532,0.004779,-0.006229,-0.003782,-0.008111,-0.007117,-0.007829,-0.014026,-0.016096,-0.012678,-0.010649,-0.001636,-0.004889,-0.003636,-0.001644,0.000249,0.005033,0.008584,0.009944,0.008123,0.010611,0.011938,0.015488,0.013577,0.00807,0.007435,0.010605,0.006245,-0.004153,-0.013178,-0.013005,-0.007255,0.009308,0.011582,0.018098,0.021012
0.003637,0.00304,0.009923,0.009836,0.011235,0.012462,0.011678,0.006853,0.012131,0.005757,0.004496,0.00468,0.009603,0.003568,0.008915,0.007821,0.001568,0.001397,0.000661,0.000353,0.000975,0.001117,0.001002,0.002177,0.002737,0.002708,0.001843,0.000937,0.000896,0.000966,0.000414,-3e-05,-1.8e-05,0.000257,6.2e-05,0.000352,0.000653,0.000651,0.000118,0.000753,-0.000145,0.000897,-0.004503,0.000501,0.001424,0.000898,0.001216,0.001481,0.001325,0.001581,0.001815,0.001993,0.001085,-0.004388,0.000308,0.001096,0.001082,0.001056,0.001145,0.000631,0.000486,-0.005761,0.000405,0.000245,0.000605,0.000337,-0.004808,0.00123,0.000469,0.001092,0.000974,0.000255,-0.005053,0.00011,-1e-05,-1.9e-05,-7e-06,-6.9e-05,0.0,2.5e-05,0.000153,1.1e-05,9.7e-05,-8e-06,-0.00036,-5e-06,0.000156,0.000136,8e-05,-1.7e-05,5.2e-05,-1e-05,0.000438,-0.0,0.000128,-7e-06,-2e-06,-8e-06,2.7e-05,1e-06,-3e-06,-1.9e-05,0.00013,-2e-06,5e-06,4e-06,-4e-06,-0.005296,-3e-06,-0.000107,6e-06,0.000356,0.000215,-0.000452,0.000205,0.000479,7.1e-05,-0.000341,-4e-06,3e-05,-0.000443,-0.005737,0.000205,-0.005651,-0.010975,-0.007746,-0.000594,0.003604,0.00527,-0.001125,-0.003736,-0.011014,-0.01168,-0.007506,-0.009108,-0.007054,-0.006064,-0.016775,-0.010833,-0.01013,-0.009089,-0.007961,-0.013048,-0.018839,-0.017863,-0.01912,-0.025712,-0.024892,-0.02254,-0.023829,-0.019241,-0.019481,-0.025563,-0.020165,-0.010747,-0.00848,-0.008316,-0.012604,-0.018135,-0.016366,-0.020096,-0.018294
-0.017149,0.008783,-0.039423,-0.017994,0.10973,-0.035257,0.107777,-0.011553,0.176188,0.004501,-0.007717,0.01125,-0.045458,-0.003031,0.019802,0.136539,-2.195369,0.000874,9.3e-05,0.000122,0.000454,-0.000923,5e-05,0.001396,0.005468,0.002154,0.003573,9.1e-05,0.001375,0.001359,0.005134,0.004998,0.000686,0.009242,0.002621,6.1e-05,1.7e-05,9e-06,0.004319,0.000447,0.006209,0.00144,0.037283,0.002325,-0.739698,0.004281,-0.006206,0.001373,0.001046,0.001232,0.001508,0.004786,0.001509,0.01478,0.002607,0.000488,0.001298,0.000198,0.001272,-0.00309,-0.000413,0.036852,-0.013492,0.000963,0.00399,0.002402,0.040261,0.001764,0.002951,0.001341,3.4e-05,0.001704,0.022333,0.000137,2.7e-05,2.6e-05,3.3e-05,1.6e-05,0.002435,4.6e-05,5e-06,-2e-06,6e-06,0.001534,4.4e-05,1.3e-05,1.7e-05,0.00226,0.000112,0.000127,9e-06,2.1e-05,-0.000979,0.000641,8e-06,1.2e-05,1.5e-05,2e-06,8e-06,2.1e-05,1.9e-05,1e-06,-2.244468,0.000162,1.3e-05,-1.5e-05,1.2e-05,0.03593,1.9e-05,-2e-06,-1.2e-05,5.8e-05,6e-05,0.001161,0.000216,0.000185,0.00111,0.001136,-0.010872,-0.010084,-0.002047,0.034357,-0.008351,0.014617,0.013836,0.028107,-0.358192,-0.848591,-0.330233,-0.991522,-0.503836,-0.206988,0.08893,-1.708032,-3.846168,0.005902,0.021012,0.03392,-0.22976,1.602092,0.059955,-0.217635,-1.390671,0.190157,-0.420996,0.657889,0.614153,0.408904,-1.808719,-1.928048,0.096839,-0.514972,-1.661037,-1.798006,-1.109687,0.179453,0.360389,0.512346,1.303827,2.032948,-0.291585,1.394233
