0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
-0.01556,-0.028508,-0.02823,-0.021456,-0.030955,-0.038712,-0.03153,-0.030981,-0.030494,-0.031002,-0.022745,-0.014446,-0.014333,-0.014247,-0.021019,-0.013609,-0.013628,-0.014275,-0.01432,-0.014874,-0.022586,-0.030237,-0.022726,-0.015159,-2e-06,-3e-06,0.007578,-1e-06,-0.008059,-0.008076,-0.007622,-0.007171,-0.007159,1.5e-05,-0.007573,0.000479,0.000477,2.5e-05,0.000472,-0.007114,0.00049,0.000961,0.001362,0.000933,-0.007488,-0.007865,-0.015336,-0.022393,-0.014481,-0.007324,-0.007232,-0.007062,0.000259,-0.007182,-0.007169,0.007487,0.000463,9.3e-05,0.007387,-0.000279,-0.007121,0.000633,0.000954,0.00109,0.000644,0.000281,-0.000141,-0.007568,0.00023,0.000182,0.00017,-0.000206,-0.007631,-0.023135,-0.007795,-0.00755,-0.014278,0.000532,6.5e-05,-0.007456,-0.01479,-0.014604,7e-06,0.000257,0.000172,0.000404,0.007608,-6.8e-05,0.007513,0.000627,0.008017,0.000999,0.007975,0.000201,-0.007152,0.000141,0.00014,-0.006791,-0.006923,-0.006589,0.000756,0.000669,0.000604,-0.007111,-0.015863,-0.008717,-0.009103,-0.001523,-0.00062,-0.000924,0.006926,-4.8e-05,0.007419,-6.4e-05,-0.000134,0.007265,-0.000213,-0.000324,-0.000458,0.007334,0.007321,0.007277,0.007368,0.007486,0.000422,-0.007268,-0.007178,-0.014736,-0.007474,-0.000231,-0.000125,-0.000254,-0.007738,-0.015275,-0.00786,0.000219,0.015475,0.007551,-0.001127,-0.007873,0.007922,0.008747,-0.000557,-0.001036,-0.000386,0.016246,0.023932,0.008078,-0.001054,-0.000446,0.008221,0.016537,0.015528,0.006419,0.006074,-0.008714,-0.000188,0.007343,-3.7e-05,-0.000242,-0.008135,-0.008492,-0.015952,-0.016332,-0.023777,-0.02374,-0.023595,-0.030776,-0.030886,-0.031251
0.001689,-0.016529,-0.019672,-0.012819,0.003601,0.006423,0.012223,0.009273,0.007117,0.013445,0.006497,-0.003641,-0.007059,-0.008692,-0.019745,-0.021153,-0.021008,-0.015353,-0.017492,-0.011695,-0.007595,-0.006825,-0.002412,-0.000269,9.1e-05,-0.001242,-0.001088,-0.001621,0.00094,-0.000144,-0.005013,-0.00758,-0.00527,0.00176,0.002893,-0.002011,-0.002034,0.00313,-0.002608,-0.002163,-0.001151,-0.007262,-0.012827,-0.005906,0.009159,0.016453,0.016489,0.010792,0.00046,0.007819,0.009778,0.011713,0.010012,0.009449,0.009993,0.006403,-0.002685,0.004414,0.004654,0.010576,0.009506,0.003919,-0.005186,-0.017887,-0.01347,-0.00753,-0.005787,-0.006915,-0.012271,-0.014604,-0.014455,-0.008065,-0.006285,0.013123,0.023248,0.016834,0.001615,-0.00145,0.001735,-0.001922,0.0004,0.004497,0.014004,0.006305,0.004164,-0.004408,-0.008396,-0.001322,0.003473,0.000925,0.0022,-0.004071,0.001775,0.006013,0.005114,0.004135,0.004009,-0.001348,-0.004427,-0.011193,-0.010221,-0.012315,-0.013877,-0.022187,-0.010998,-0.002076,0.003017,0.006711,-0.000275,0.006228,0.002312,-0.001067,-0.000359,-0.001343,-0.002869,-0.003869,-0.004616,-0.007012,-0.009859,-0.016701,-0.01786,-0.019308,-0.019009,-0.015665,-0.00455,0.007482,0.01005,0.008539,0.001675,-0.004719,-0.001953,0.008279,0.008642,0.008352,0.005663,-0.007759,-0.004503,0.000303,0.015066,0.005345,-0.004779,-0.013402,0.0141,0.016911,0.004722,-0.013546,-0.010117,-6.1e-05,0.018029,0.00353,-0.011554,-0.021312,-0.002404,0.019344,0.025851,0.014706,-0.005947,-0.004841,-0.001561,0.008976,0.01548,0.021754,0.020023,0.0237,0.021412,0.02094,0.021817,0.023752,0.0317,0.05314
-0.037421,-0.025217,-0.018848,-0.011757,-0.012902,-0.008389,-0.002705,0.004243,0.012014,0.008826,0.010187,0.00804,0.004156,0.00231,0.000884,-0.001653,-0.001491,-0.005574,-0.008173,-0.012018,-0.00646,-0.004799,-0.00043,0.001303,0.000126,-0.00147,-0.002085,-0.001929,-0.008806,-0.01013,-0.005235,0.002439,0.00522,0.002135,0.004255,0.008347,0.008315,0.003741,0.007607,0.008882,0.00932,0.012662,0.016819,0.014319,0.011446,0.009256,0.009882,0.014461,0.012322,0.009494,0.0116,0.013453,0.011028,0.010983,0.011503,0.006309,0.007185,0.004737,0.004311,0.00124,0.010711,0.014094,0.014434,0.010968,0.005651,0.001933,-0.006081,-0.006663,-0.002998,-0.005619,-0.005432,-0.008687,-0.00615,-0.004118,0.005507,0.008665,0.013063,0.008475,0.001838,-0.001423,0.001643,0.005966,0.004768,0.006577,0.004331,0.005313,0.000571,-0.001393,0.003016,0.010859,0.011542,0.015485,0.011034,0.006131,0.005795,0.004194,0.004054,0.008966,0.005926,0.00878,0.009174,0.007077,0.005513,-0.002311,-0.019884,-0.021323,-0.026013,-0.02284,-0.010284,-0.013425,-0.008157,-0.001139,-0.000977,-0.001435,-0.003066,-0.004736,-0.00495,-0.007551,-0.010687,-0.008616,-0.010026,-0.011822,-0.011664,-0.007983,0.00526,0.009114,0.011955,0.010814,0.002496,-0.005251,-0.002203,-0.001114,-7.8e-05,0.000191,-0.003398,0.001688,0.00409,-0.000276,-0.014155,-0.003756,0.004389,0.015397,-0.00495,-0.012102,-0.005042,0.014603,0.017724,0.009497,-0.0109,-0.006341,0.007146,0.016257,0.006291,-0.010156,-0.013181,-0.013867,-0.006511,-0.00596,-0.001732,-0.000383,-0.002806,-0.006147,-0.007411,-0.013575,-0.015448,-0.015972,-0.015092,-0.012421,-0.013952,-0.021152
1.629495,1.681516,3.956172,-0.215018,2.880528,-0.276452,-0.260147,0.740561,3.806753,-0.563921,-0.367446,-0.141713,4.318929,4.593059,1.388672,0.579745,4.717546,1.649242,1.46866,4.398993,0.3186,0.2325,1.305962,0.303821,0.063215,0.000408,0.025281,-0.004201,0.045768,-0.053246,0.617065,0.31803,-0.006897,0.033557,0.367375,-0.023973,-0.034695,0.075505,-0.050554,-0.037317,-0.033458,3.992721,0.408815,-0.034416,0.181696,0.023734,0.034934,0.008833,0.082635,-0.336108,-3.755782,-4.983687,-3.500081,-3.74942,-0.023494,-2.52058,-0.209437,-3.429179,-1.960045,-0.604852,-0.227365,-0.569018,-0.292449,-2.007177,-1.861646,-1.881823,0.201792,-0.007307,0.063249,3.376845,0.620361,2.50827,0.295107,-1.969733,-0.867019,2.232805,2.568566,0.07437,0.267313,3.252897,-0.669517,-0.605821,-0.33216,-1.017613,0.010052,-0.05102,0.298065,-0.652641,0.049369,0.295976,0.023678,0.374734,-0.008459,-0.016388,0.00489,-0.3562,0.018634,-0.03279,2.444028,-0.079823,0.009775,0.107214,0.912773,0.119518,0.75311,0.064891,-0.009163,-0.107085,-0.293906,0.031764,-0.089323,0.010388,0.000329,-0.002495,0.011332,-0.000497,0.071959,-0.00579,0.116226,0.324318,0.361499,1.159706,-0.056065,1.2689,0.328908,-0.131896,-1.277057,0.012478,0.000786,-0.001666,-1.266922,-1.21586,0.041223,-0.377403,0.035066,-0.031583,-0.037085,0.007836,0.105685,-0.325963,-0.015368,-0.106546,0.052571,-0.133418,-0.022921,0.021964,-0.041112,-0.748573,-0.155495,-0.47049,0.341752,-0.025861,-0.678358,-1.324264,-2.930606,-0.633349,-0.574746,-0.949663,-1.468077,-3.598442,-0.247102,-0.193132,-1.441145,-0.502588,-0.844491,-0.231696,-1.778843,-0.542908,-0.650592,-0.354876
3.049323,3.065076,4.53452,0.90732,3.018014,1.612595,1.693287,1.824852,2.628513,1.098965,0.904142,0.558144,2.064077,1.56334,0.410082,-0.280518,0.785601,-0.432212,0.21027,1.120913,-0.634723,-0.270465,0.256778,-0.634545,-0.206816,-0.08548,-0.12976,0.094599,0.000294,-0.166984,-0.301196,0.158378,0.03291,-0.007988,0.119164,-0.018595,-0.008365,-0.137029,0.014995,0.010073,-0.019833,1.592214,-0.022464,-0.070371,-0.30533,-0.167968,-0.175292,-0.16423,-0.021221,-0.243576,-1.822351,-3.828718,-1.955683,-2.120677,-1.074223,-2.75313,-1.853769,-4.795961,-2.617083,-0.910869,-0.382645,-0.864967,-0.024811,-1.170901,-1.634251,-1.557858,-0.186607,0.029377,-0.058475,0.732758,-0.824226,1.811494,0.557789,-0.383204,1.316544,2.127201,1.91612,0.365852,0.205448,2.236598,1.229389,0.727802,0.548018,-2.125341,-0.114184,-0.070166,-0.437889,-2.466791,-0.470245,-0.446161,-0.161837,-0.511177,-0.060349,0.003075,-0.007039,0.366587,-0.027645,0.008882,1.889922,0.136614,-0.065476,-0.054958,0.321799,-0.147511,0.490582,0.035133,0.140292,0.163256,0.372412,0.041953,0.106479,-0.01762,-0.018097,-0.005602,-0.013014,-0.003501,0.053077,0.025068,-0.099617,-0.367978,0.600074,2.017158,0.12551,2.00008,-0.331356,-0.178337,-1.980374,-0.091755,0.019404,0.014156,-1.985493,-1.996768,-0.002173,-0.643089,0.005365,0.010593,-0.015093,-0.021539,-0.015581,0.399978,-0.022213,0.000701,-0.030907,0.24485,0.078969,0.169492,-0.120298,-2.618909,0.252671,0.521639,0.55237,0.088533,-0.803174,-2.09853,-1.505037,0.743065,0.616691,0.463631,-0.172018,-1.669134,0.127834,0.127425,-0.034698,0.393159,-0.064818,0.21301,-2.463587,-0.328627,-1.487619,-2.587637
0.593497,0.131438,3.047958,-1.19813,3.004946,-0.682918,-0.584054,0.208959,2.852057,0.060114,0.080256,0.119424,2.961502,2.584304,0.539813,0.032719,2.870049,0.997536,1.122908,3.830551,-0.114635,0.137543,1.030251,-0.027849,0.265038,0.153915,0.195858,-0.172418,-0.046178,0.134988,0.167295,0.278467,-0.020945,0.050829,0.31016,-0.000855,0.002843,-0.056182,0.017087,-0.023593,0.030212,3.407859,0.118938,-0.051318,-0.164996,0.269543,0.238523,0.346498,0.146746,-0.145023,-3.730366,-2.235432,-3.666145,-4.065176,-0.689995,-4.511953,-1.589738,-3.299307,-4.567245,-0.783987,-0.04438,-1.33024,-0.607856,-5.366466,-5.227861,-4.988645,-0.140755,-0.046531,-0.141194,4.531197,0.055909,0.712319,2.046973,3.252807,1.07593,5.415279,5.255082,0.344556,0.223891,3.865662,0.796886,0.197406,-0.024408,1.345909,0.18368,0.164987,-0.014368,1.254022,0.26151,-0.009674,0.167395,-0.092767,0.03145,0.031207,0.017738,0.268342,0.018932,-0.024771,4.52073,-0.228616,-0.091165,0.004939,1.174046,-0.282757,1.483314,-0.068224,0.023278,0.315448,0.235863,0.047761,0.133759,-0.002977,0.029935,0.002539,-0.004458,0.004436,0.099626,-0.048199,-0.159666,-0.301886,-0.371875,-1.544972,-0.232607,-1.796904,-0.4335,0.162277,1.496259,0.164184,-0.032158,-0.025104,1.446763,1.462502,0.008348,0.45559,-0.012062,-0.043772,0.050253,0.026503,0.06644,0.226596,0.002525,0.000709,0.074781,0.219203,0.04726,-0.14475,0.032953,1.384809,0.249498,0.348362,-0.349663,0.021536,-1.423003,1.044598,-4.156867,0.487376,0.316902,0.260901,-0.73483,-3.64187,0.187808,0.121679,-0.916721,0.474594,1.16616,0.591445,1.535491,0.333141,-0.735473,2.150625
0.01582,0.015784,0.015827,0.008343,0.008424,0.008442,0.00829,0.000737,0.000361,0.000349,0.000102,-0.00017,-0.000217,-0.000173,0.007333,0.007459,0.00746,0.014929,0.022308,0.01484,0.022308,0.022232,0.029525,0.014854,0.014945,0.014954,0.014743,0.007477,0.014706,0.014902,0.014671,0.014424,0.0144,0.014414,0.022012,0.021947,0.01451,0.0295,0.029144,0.02946,0.02174,0.014746,0.007383,4e-06,-3.7e-05,2e-05,0.007275,0.014566,0.021638,0.021452,0.021099,0.021537,0.021246,0.021095,0.021535,0.014295,0.014498,0.006935,2e-05,-3.1e-05,0.007234,0.007242,0.007076,0.014463,0.014602,0.014542,0.028846,0.029387,0.028947,0.021733,0.022235,0.022195,0.021743,0.00033,-0.006851,-0.007376,-0.013842,8.1e-05,0.007407,0.007846,0.007844,0.007754,0.007563,7e-05,0.014423,0.014627,0.007555,0.022068,0.037408,0.037327,0.021906,0.014393,0.007112,0.007751,-0.000225,-0.007361,0.000159,-0.006999,0.000254,0.008239,0.000395,0.000454,0.001099,0.008292,0.001669,0.008107,0.008243,0.007689,-4e-06,-5.4e-05,0.000561,0.000201,0.006672,-0.000475,0.000619,-0.000109,2.3e-05,0.00028,-0.000188,0.000302,0.007763,0.007372,0.007112,0.000186,0.00029,5.5e-05,-0.007271,-2e-06,-4.5e-05,0.000189,0.000319,0.00735,0.007101,0.007283,0.007309,-0.007441,-0.007348,-0.007238,-0.007312,0.000256,0.000376,0.000168,-9.7e-05,-2e-05,-0.007507,-4.4e-05,-0.007204,6e-06,5.1e-05,-7.9e-05,9e-06,-0.007195,-0.015692,-0.02977,-0.036148,-0.043839,-0.05881,-0.059235,-0.059956,-0.052865,-0.037939,-0.037902,-0.031061,-0.031314,-0.038202,-0.038087,-0.037649,-0.030246,-0.030291,-0.030762
0.001578,0.002168,-0.003811,-0.004397,-0.010043,-0.017323,-0.020433,-0.02355,-0.015563,-0.016388,-0.013103,-0.003286,0.003359,0.004195,0.005417,0.00039,0.000247,0.000952,-0.000526,-0.00135,-0.001846,-0.004385,-0.001159,-0.004302,0.000458,0.001865,0.007336,0.002351,0.008106,0.001852,0.007097,0.011942,0.010857,0.011204,0.007228,0.008312,0.008308,0.005463,0.010618,0.003499,0.008635,0.001568,0.000318,-8.2e-05,0.000778,-0.000379,0.002409,0.004225,0.00906,0.010752,0.015231,0.007311,0.010212,0.010376,0.003754,0.002765,0.000296,0.003842,-0.000248,0.000333,0.000689,0.0006,0.002289,0.001515,-2.2e-05,0.000647,0.003477,-0.00248,0.002605,0.001819,-0.003403,-0.003049,0.001885,-0.002329,-0.005126,0.000219,-0.007725,-0.00061,-0.000466,-0.003533,-0.003398,-0.002706,-0.001299,-0.000321,0.002299,0.0009,-0.001124,0.00078,-0.003982,-0.003214,0.002297,0.002753,0.001848,-0.003654,0.001211,-0.000508,-0.000877,-0.002496,-0.001412,-0.006315,-0.002163,-0.00249,-0.008033,-0.006973,-0.013129,-0.005352,-0.006054,-0.000974,2.2e-05,0.000292,-0.005038,-0.003122,0.004493,0.002564,-0.005387,0.000575,-0.000642,-0.00152,0.001017,-0.003655,-0.005435,-0.003392,-4e-05,-0.003134,-0.001567,-0.000299,-0.001247,1.4e-05,0.000235,-0.001007,-0.001686,0.000858,0.002152,0.001201,0.001069,-0.000375,-0.000848,-0.001435,-0.001041,-0.001363,-0.002002,-0.000889,0.000521,0.000107,-1.7e-05,0.000231,-0.001643,-4e-05,-0.00027,0.000418,-5.2e-05,-0.001687,0.007754,0.004782,-0.001587,0.002414,0.0016,0.003877,0.008453,0.011704,0.011838,0.011332,0.018537,0.021957,0.014949,0.013524,0.006485,0.005895,0.005962,0.013026
0.021523,0.021993,0.025587,0.025037,0.028972,0.031284,0.028056,0.025091,0.013604,0.012771,0.006297,-0.003364,-0.006422,-0.005563,-0.004522,0.000176,2.3e-05,0.000505,-0.001273,-0.001892,-0.002693,-0.005357,-0.012294,-0.005083,-0.000155,0.001297,-0.002953,0.002103,-0.002185,0.001223,-0.003261,-0.008163,-0.009302,-0.008948,-0.003562,-0.002486,-0.002118,0.003966,-0.000679,0.001787,-0.002357,0.000664,-0.000152,-9.4e-05,0.000792,-0.000388,0.001993,0.003367,0.007763,0.009388,0.004117,0.005794,0.00862,0.018293,0.021292,0.011182,0.008742,0.003173,-0.000254,0.000319,0.000126,3.6e-05,0.001669,0.000356,-0.001138,-0.000506,0.001057,0.004734,0.000113,-9.8e-05,0.004317,0.004645,-0.000118,-0.002285,0.005198,0.000863,0.003308,-0.000588,-0.001089,-0.004102,-0.003994,-0.003323,-0.001949,-0.000327,0.000918,-0.000469,-0.001801,-0.00133,0.00208,0.00279,2.4e-05,0.001203,0.001058,0.005245,0.001195,0.000255,-0.000872,-0.001722,-0.001406,0.00261,-0.002164,-0.002496,0.001649,0.001985,0.006234,0.003553,0.002839,-0.001788,1.6e-05,0.000294,0.004662,0.0066,0.003739,0.00258,0.004311,0.000576,-0.00059,-0.001528,0.001023,0.006052,0.013195,0.01521,0.008844,0.006552,-0.001563,-0.000299,-0.000458,1.3e-05,0.000235,-0.000999,-0.00168,6.4e-05,0.001352,0.000401,0.000265,0.000417,-4.8e-05,-0.000636,-0.000247,-0.001353,-0.001992,-0.000886,0.00052,0.000111,0.00077,0.000235,-0.000858,-3.7e-05,-0.000266,0.000412,-5.6e-05,-0.000903,-0.010095,-0.021253,-0.02694,-0.041909,-0.041738,-0.039626,-0.035275,-0.032856,-0.034252,-0.034904,-0.038057,-0.03448,-0.031535,-0.033195,-0.031,-0.032471,-0.032538,-0.03516
0.012067,-0.119725,-0.041675,0.047703,0.107344,0.13349,-0.029107,-0.056711,0.11774,0.896468,-0.101648,-0.003788,0.043043,-0.249672,0.042389,1.159958,-0.092359,0.004769,-0.005668,-0.323703,-0.964765,0.288213,0.020128,-0.020787,0.09426,-0.000727,0.042433,0.004145,0.022921,-0.01388,0.039619,-0.281745,0.098574,-0.896308,-0.316242,0.036488,0.259412,0.007034,0.038454,0.006904,0.056034,-1.089825,0.003325,0.000375,0.001193,0.000132,-0.366727,-0.002839,0.005435,-0.054151,-0.316852,-6e-06,0.192671,0.162722,0.137624,0.054948,-0.049385,0.023578,0.002379,0.00125,0.004482,0.004829,0.002769,-1.223497,0.005982,0.014153,-0.010694,-0.054502,0.046916,0.083094,-0.014422,-0.038108,0.007075,1.4e-05,-0.128313,0.018388,-0.034126,-0.001307,0.000867,-0.000292,-0.006902,-0.000932,0.000314,-1.392761,-0.01505,0.005007,0.04335,0.039909,-0.143598,0.057875,0.173885,0.009358,0.059972,0.18882,0.00723,0.003958,0.00096,0.005694,0.007572,0.114229,-0.005214,0.034573,0.084257,2.098027,0.125966,0.053481,-0.044386,-0.008006,0.006252,0.172483,-0.03765,-0.03517,0.000689,0.001259,0.204138,-0.009002,2.018895,-0.001459,-0.003839,0.105457,-0.081959,-0.072276,-0.022433,0.561783,0.000155,0.012155,-0.006173,0.000204,0.000301,0.000215,0.000185,0.000992,-0.002991,0.001711,0.001133,-0.000932,-0.150635,0.00708,-0.003019,-0.00011,-0.001023,-2.9e-05,0.000114,-0.024053,0.005631,-0.000736,-0.001082,0.008953,0.000206,0.000149,0.006461,0.005472,-0.044898,-0.95763,-1.466827,-2.295913,-1.278013,-1.414665,-0.050723,-0.455678,-0.22524,-0.515825,-0.267883,-0.563045,-0.45585,-0.281364,-0.308621,-0.106828,-0.255675,-0.084552
