0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146
-0.006964,-0.006905,-0.013071,-0.01894,-0.01911,-0.012157,-0.019913,-0.013328,-0.020707,-0.020606,-0.021632,-0.028891,-0.029233,-0.028954,-0.036467,-0.029196,-0.037038,-0.036891,-0.036183,-0.036869,-0.029597,-0.029022,-0.029024,-0.028994,-0.021739,-0.029001,-0.021757,-0.021787,-0.021811,-0.014556,-0.014564,-0.00728,-0.007271,-0.007257,-0.007246,-0.007238,-0.007222,-0.007208,-0.006764,-0.007166,-0.013952,-0.014327,-0.006674,-0.006228,-0.006235,-0.005861,-0.006251,-0.005888,0.000925,-0.006275,-0.006684,-0.006682,0.000487,-0.006702,0.00045,0.000478,-0.006312,-0.006699,-0.006698,-0.007051,-0.00706,-0.007076,-0.007035,-0.007051,-0.007074,-0.007099,-0.00711,-0.007117,1.7e-05,5e-06,2.6e-05,3.9e-05,7.4e-05,0.000104,0.000106,0.000136,-0.007008,-0.006987,-0.006634,-0.007012,-0.007044,-0.013813,-0.006688,-0.014063,-0.014023,-0.006615,-0.006923,-0.014001,-0.006914,-0.006923,-0.006918,-0.006885,-0.006907,-0.006912,0.000142,0.00011,0.000132,-0.006965,-0.006951,-0.006984,-0.007011,-0.007051,1.7e-05,7e-05,-0.00705,-0.007033,4.2e-05,8.7e-05,5.9e-05,2.4e-05,4.6e-05,4e-06,1.6e-05,-2e-06,-2e-06,3e-06,-3.1e-05,1e-06,1e-06,-1e-06,0.0,-0.0,-5e-06,0.0,-2.5e-05,-9e-06,-2.9e-05,-4.4e-05,-9.8e-05,-0.000152,0.006828,0.013798,0.013534,0.027554,0.027459,0.027189,0.034288,0.034023,0.026917,0.026944,0.020246,0.013634,0.013741,0.01414,-0.000115,0.007003,0.007021
0.000587,-0.0002,-0.007624,-0.01703,-0.016727,-0.016018,-0.013616,-0.009806,-0.009722,-0.011736,-0.004186,-0.00483,-0.002004,-0.003878,-0.001709,-0.000944,0.003771,0.002352,-0.004022,0.002648,0.00343,-0.002171,-0.002138,-0.003013,-0.002957,-0.003716,-0.004117,-0.004269,-0.00456,-0.003424,-0.000652,0.00242,0.003351,0.003443,0.003315,0.003674,0.003642,0.003797,-0.001687,0.004634,-0.000506,0.005546,0.000945,-0.003218,-0.003592,-0.010178,-0.004483,-0.011179,-0.005215,-0.005655,-0.00087,-0.001189,-0.00161,-0.002083,-0.002962,-0.001986,-0.007593,-0.002258,-0.002284,0.003674,0.003499,0.002506,0.003357,0.002777,0.001941,0.001193,0.000778,0.000599,0.000399,0.000139,0.000585,0.000822,0.001603,0.002253,0.002335,0.002934,0.002456,0.002828,-0.002445,0.002079,0.001394,-0.003742,-0.00358,0.002567,0.003106,-0.002574,0.002626,0.002822,0.002538,0.002289,0.002236,0.002644,0.002244,0.002099,0.001784,0.001371,0.001608,0.00127,0.001409,0.000994,0.000669,0.000189,0.000197,0.000798,0.000185,0.000362,0.000464,0.000959,0.000656,0.00027,0.000523,5.1e-05,0.000173,-1.8e-05,-1.6e-05,3.7e-05,-0.000327,2e-06,1e-06,1e-06,1.6e-05,2e-06,-5.3e-05,4e-06,-0.000271,-0.0001,-0.000318,-0.000477,-0.001056,-0.001635,-0.002643,-0.003941,0.001231,-0.000729,-0.00266,0.002168,0.001722,0.006898,0.005666,0.005461,0.000215,-0.002475,-0.000102,-0.00529,-0.00395,-0.005663,-0.005398
-0.035585,-0.036645,-0.033788,-0.032808,-0.032814,-0.033489,-0.040314,-0.03789,-0.03705,-0.029689,-0.021715,-0.011391,-0.008344,-0.000335,0.002935,0.002778,-0.001333,-0.003008,9.3e-05,-0.002848,-0.002934,0.000949,0.000945,-8.6e-05,-0.000872,-0.00096,-0.002224,-0.002439,-0.002805,-0.0023,0.00074,0.003406,0.004425,0.004504,0.004341,0.004725,0.004669,0.004816,0.008895,0.005686,0.01078,0.00724,0.011621,0.017073,0.016619,0.019526,0.015617,0.018444,0.014183,0.01433,0.009468,0.009127,0.008077,0.008192,0.00669,0.007673,0.012272,0.007983,0.007948,0.004275,0.00409,0.00309,0.003923,0.003342,0.0025,0.001752,0.001338,0.001155,0.000403,0.000141,0.000581,0.000813,0.001582,0.002219,0.0023,0.002884,0.002956,0.003317,0.007655,0.00257,0.001896,0.006899,0.006525,0.003523,0.004032,0.007473,0.003036,0.003712,0.002934,0.002683,0.002624,0.003005,0.002616,0.002473,0.001704,0.00131,0.001532,0.001668,0.001797,0.0014,0.001091,0.000634,0.000191,0.00076,0.000624,0.000792,0.00044,0.000907,0.000621,0.000256,0.000493,5e-05,0.000165,-1.5e-05,-1.3e-05,3.7e-05,-0.000305,5e-06,5e-06,3e-06,1.5e-05,2e-06,-5e-05,6e-06,-0.000254,-9.4e-05,-0.000299,-0.000448,-0.000996,-0.001544,-0.002945,-0.004641,-0.009102,-0.01195,-0.013899,-0.018804,-0.019808,-0.0244,-0.025227,-0.025508,-0.020731,-0.013326,-0.010979,-0.006582,-0.004046,-0.00642,-0.00616
0.65248,3.689672,3.573788,0.169217,3.138767,-0.091857,-0.326974,1.227842,-0.122001,0.943115,0.064946,4.235602,0.123049,1.266843,-0.017324,-0.00415,-0.326752,-0.120986,5.315415,0.015462,0.077045,-0.049004,-0.257639,-0.109151,-0.20347,-0.070701,0.206506,0.000232,1.622969,-0.125324,1.576009,0.041118,-0.001687,0.004249,-0.20993,0.09008,0.034753,0.141485,0.036112,-0.020532,0.04634,-0.205527,-0.01808,0.016208,0.118984,0.013651,0.046747,0.105067,0.197423,0.153895,-1.205449,-0.025228,0.038781,0.21065,0.115561,0.095783,0.257615,0.154449,0.295758,0.150999,-0.769894,0.023769,-0.046941,0.069466,0.170017,0.226282,-0.012442,0.011486,0.005043,-0.318248,-0.011478,0.020594,0.064397,0.088517,0.008821,-0.011236,0.037487,0.022648,-0.005445,-0.181096,0.012964,0.180625,-1.798135,0.075872,-0.009047,-0.045356,-0.01203,-0.075405,0.023443,0.003456,-0.008782,0.285163,-0.010524,-0.003008,-0.005724,0.000977,-0.000437,-0.012113,-0.000102,-0.002194,0.028697,-0.000634,0.042058,0.001221,-0.004256,-0.002143,0.004356,0.031869,-0.006865,0.07376,-0.001212,0.000138,0.000125,8.8e-05,0.000822,0.013578,-0.000693,0.000145,-0.011161,-0.003123,0.000484,-0.01136,-0.002093,0.00012,0.000102,9.1e-05,5.1e-05,0.000528,2.7e-05,-0.001646,-0.003976,-0.163501,-0.175844,-0.018218,-0.341888,-0.345953,-0.372779,-0.308671,-0.199509,1.508579,-0.236658,-0.523163,0.034564,-0.012531,-0.203076,-0.233249,-0.01008
2.288706,3.941445,4.481545,0.804389,2.43509,0.629543,0.80241,0.636362,0.486056,1.344603,0.38775,1.455691,0.307259,0.595751,0.188797,0.055985,0.582281,0.408889,3.056773,0.332382,0.394983,0.640629,0.675108,0.3526,0.666795,0.274057,0.774505,0.630636,1.301006,0.45499,0.190849,-0.001561,-0.001205,-0.015866,-0.600205,-0.576088,-0.101239,-0.358162,-0.140564,0.025588,-0.31634,-0.835079,-0.121158,-0.406837,-0.806682,-0.483469,-0.556963,-0.898252,-0.923484,-0.70812,-2.16546,-0.193838,-0.357214,-0.744446,-0.445991,-0.488318,-0.882165,-0.751171,-0.807014,-0.448982,-0.885786,-0.125825,-0.126039,-0.603881,-0.281598,-0.58206,0.018406,-0.100901,0.004831,-0.957936,0.016777,-0.036598,-0.115573,-0.168449,-0.102596,0.001317,-0.069939,-0.054484,-0.138319,-0.14331,-0.105272,-0.330099,-1.72517,-0.111549,-0.070279,0.023722,0.021102,0.014814,-0.044735,-0.131928,0.016134,-0.451635,0.017117,0.009677,-0.002992,0.001855,-0.011947,0.029337,-0.014573,0.016749,-0.049692,0.018518,-0.083511,-0.01324,0.018398,0.015843,0.003853,-0.080571,0.008061,-0.132674,0.001917,0.000155,0.000114,6.7e-05,0.006572,-0.036115,0.001291,0.000143,0.008621,0.004038,0.000524,0.011309,0.002853,0.000164,8.5e-05,7.8e-05,5.1e-05,0.000455,2.9e-05,0.015225,-0.003754,0.286855,0.351727,-0.005962,0.580104,0.600715,0.544644,0.412853,0.312302,2.029553,0.465049,0.329677,-0.000635,0.040433,0.303735,0.161898,0.063197
-0.738196,3.485471,2.749146,-0.394101,3.204141,-0.766253,-0.188366,0.84458,-0.126795,0.759807,-0.600626,2.722593,-0.370007,0.528917,-0.304506,-0.119262,0.280018,-0.105639,0.980338,-0.395235,-0.277599,-0.499588,0.067309,-0.146642,-0.183064,-0.195739,-0.919686,-0.485636,-0.297249,-0.034337,0.288553,0.007741,-0.005985,-0.015157,0.658375,-0.340954,-0.088533,-0.51045,-0.388085,-0.163163,-0.430093,0.196551,-0.083938,-0.073107,-0.344449,-0.175868,0.076029,-0.116054,-0.110199,-0.245925,1.643488,0.300947,0.24248,-0.041413,-0.090177,0.15117,-0.130428,0.003694,-0.074863,0.160836,-1.277429,0.102697,0.208343,-0.165682,-0.217934,-0.094669,0.001152,0.165282,-0.002139,0.232329,0.004444,-0.038946,-0.088832,-0.079297,0.19267,0.019063,-0.105521,-0.066876,0.101715,0.088478,0.107933,-0.269946,1.154438,-0.167736,0.126142,-0.031163,-0.007568,-0.170906,-0.054666,0.144029,-0.005135,-0.241797,-0.007572,-0.003944,0.016139,0.001036,0.008282,-0.032066,-0.028803,-0.028116,-0.07972,-0.029443,-0.060204,0.025109,-0.028121,-0.028375,-0.001722,-0.026646,0.000495,-0.085698,0.000815,0.000515,0.000426,0.000288,-0.00118,-0.036456,0.000773,0.000495,-0.007008,0.000777,0.000277,-0.003061,0.000752,0.000477,0.00032,0.000257,0.000172,-0.000146,7.2e-05,-0.024349,0.007172,0.232342,0.296126,0.377264,0.463041,0.804877,0.740905,0.656018,0.577695,-0.770784,0.416627,-0.120306,0.084684,0.053569,0.174492,0.395169,0.062373
0.000198,0.000246,0.000295,0.007536,0.000309,0.007565,0.007589,0.007581,0.007579,0.007556,0.007398,0.007419,0.007395,0.014551,0.007267,0.007253,0.007264,0.014532,0.014507,0.007309,0.007287,0.00726,0.007267,0.007231,0.007227,0.007219,0.007229,0.007231,0.00723,0.014449,0.007228,0.014446,0.0072,0.007199,0.007202,0.014451,0.007203,0.00722,0.007229,0.00724,0.01448,0.014483,0.014478,0.014481,0.014491,0.014517,0.014536,0.01457,0.00733,0.014604,0.01461,0.014599,0.014613,0.007326,0.014616,0.014623,0.014927,0.014922,0.014643,0.01469,0.014683,0.022041,0.022076,0.014771,0.01482,0.022319,0.015204,0.015224,0.022207,0.022609,0.015247,0.014917,0.022563,0.015152,0.014668,0.007335,0.007814,0.007787,0.007352,0.007357,0.000435,0.000394,-8.4e-05,-5.4e-05,-6.5e-05,0.007358,1e-06,0.007362,-2.9e-05,0.007313,0.007336,0.007809,0.007357,0.007354,0.007297,0.007297,0.007331,0.00735,-6e-05,0.007355,0.007397,-0.0,-0.0,-0.0,-1.3e-05,0.0,1e-06,-2e-06,0.0,9e-06,0.0,0.007376,1.2e-05,-2e-06,3.7e-05,6e-05,0.000188,0.000215,0.000136,0.000139,4.3e-05,7.4e-05,5e-05,0.000129,0.000578,2.5e-05,2e-05,0.000108,-0.007788,-0.007819,-0.007862,-0.015268,-0.022646,-0.023005,-0.038267,-0.038329,-0.037942,-0.038105,-0.038404,-0.037847,-0.030499,-0.030462,-0.022387,-0.029392,-0.022199,-0.01435,-0.014325
0.002396,0.002986,0.003613,0.002853,0.00386,0.003392,0.003852,0.003938,0.004012,0.003911,0.008256,0.0024,0.002114,0.000833,0.00033,0.000145,0.000338,0.00083,0.000483,0.001293,0.000985,0.00056,0.000708,2.7e-05,-8.1e-05,-0.000304,-3.7e-05,-2.5e-05,-1.3e-05,-0.000339,-0.000103,-0.000547,-0.001151,-0.001347,-0.001376,-0.000884,-0.001641,-0.001047,-0.000669,-7.7e-05,-8e-05,0.000255,-0.000224,-0.000995,-0.002174,-0.00383,-0.004604,-0.004505,-0.004688,-0.003688,-0.002558,-0.001007,-0.001397,-0.001427,-0.000633,-0.000557,-0.006148,-0.005753,-0.0005,-0.001418,-0.001084,-0.001463,-0.001661,-0.00198,-0.002438,-0.002166,-0.007381,-0.007414,-0.001354,-0.006591,-0.006602,-0.001692,-0.004956,-0.004646,0.001563,0.000766,-0.005126,-0.004805,0.000654,0.000642,-0.005377,-0.004962,0.000823,0.000525,0.000635,0.000635,-3.3e-05,0.000611,0.000248,0.001077,0.000823,-0.004694,0.000685,0.000701,0.001229,0.001217,0.000922,0.000745,0.00063,0.000715,0.000363,6e-06,5e-06,3e-06,0.000107,-7e-06,-2e-06,2e-06,1e-06,-6.4e-05,0.0,0.000576,-0.000101,1.2e-05,-0.000322,-0.000507,-0.001537,-0.001748,-0.001123,-0.001141,-0.000347,-0.0006,-0.00041,-0.001055,-0.006121,-0.000212,-0.000156,-0.00089,0.004027,0.004292,0.004676,0.00432,0.003756,0.0087,0.014198,0.018656,0.012568,0.017148,0.022863,0.01633,0.017863,0.018803,0.006769,0.001332,0.004568,-0.004527,-0.005409
0.002376,0.002961,0.003574,0.002681,0.003803,0.003198,0.003633,0.003701,0.003761,0.003646,-0.001685,0.002154,0.001869,0.000456,0.000133,-4.9e-05,0.000132,0.000415,7.4e-05,0.001039,0.000738,0.000322,0.000465,-0.000239,-0.000307,-0.000525,-0.000272,-0.000266,-0.00026,-0.000816,-0.000353,-0.001035,-0.001373,-0.001565,-0.001601,-0.001395,-0.001873,-0.0013,-0.000942,-0.000374,-0.000673,-0.000363,-0.000836,-0.001601,-0.002766,-0.004403,-0.005178,-0.005113,-0.004976,-0.004357,-0.003266,-0.001747,-0.002149,-0.001807,-0.00141,-0.001354,0.002726,0.003111,-0.001342,-0.002279,-0.001959,-0.002802,-0.003034,-0.002919,-0.00341,-0.003601,0.001279,0.001228,-0.002925,0.001485,0.001981,-0.002835,0.003065,0.003914,0.000452,0.000194,0.003972,0.0043,7.3e-05,6.1e-05,0.00431,0.004738,0.000843,0.000539,0.000652,5.6e-05,-3.8e-05,2.7e-05,0.00025,0.000491,0.000225,0.004391,7.7e-05,9e-05,0.000631,0.000615,0.000312,0.000131,0.000642,9.5e-05,-0.000261,4e-06,3e-06,1e-06,0.000107,-9e-06,-3e-06,-1e-06,-4e-06,-6.8e-05,-2e-06,-5.5e-05,-0.000108,8e-06,-0.000336,-0.000524,-0.001581,-0.001797,-0.001155,-0.001175,-0.000358,-0.000619,-0.000424,-0.001089,0.003546,-0.000221,-0.000162,-0.000921,-0.005053,-0.00478,-0.004379,-0.004102,-0.004053,-0.008844,-0.011879,-0.017198,-0.013738,-0.018937,-0.023023,-0.019933,-0.018921,-0.018012,-0.011292,-0.006668,-0.003811,0.006025,0.005097
0.000669,0.003718,0.000867,-0.007871,-0.015606,0.301295,0.035093,0.001995,-0.197814,-0.004964,0.028834,0.074226,-0.009104,-0.002389,0.010604,-0.00079,0.000283,0.023717,-0.001355,0.004452,-0.007288,-0.007445,0.041928,-2.153402,-0.007358,-0.000303,0.001159,-0.007087,0.00107,-0.008286,-0.209879,0.002175,0.095896,0.00025,0.058003,-0.004985,-0.736117,0.001014,-0.008641,0.042,-0.001281,-7.3e-05,-0.007608,0.007779,0.086689,0.063339,0.115313,0.230418,-0.00912,-0.006434,0.064144,0.130635,-0.009595,0.098548,0.294744,0.023218,0.047478,0.067469,0.016705,0.047504,-0.00837,-0.002115,0.04381,0.004027,0.280011,0.558703,0.043854,-0.040261,0.003077,-0.023951,0.140792,0.142868,-0.020625,-0.039695,-0.004413,0.01968,-0.010137,0.133352,-0.005911,-0.003734,-0.032654,-0.045294,-0.007856,-0.008043,-0.007455,-0.006218,-3e-06,-0.009067,0.058833,0.056843,-0.002217,0.155628,0.133843,0.021078,0.205612,-0.005934,0.035679,0.171316,0.007167,-0.004059,-0.001996,0.002241,-0.004687,-4.4e-05,0.169233,-0.005915,0.006758,-0.006275,-0.001715,1e-06,-0.001568,0.000909,-1.1e-05,0.135893,-0.001291,-0.000178,-0.001647,0.005918,-0.000111,-4e-06,4e-06,2.3e-05,-9.2e-05,-0.005562,-0.037576,-0.000268,1e-06,-2.5e-05,0.034692,0.041559,-0.074081,-0.21605,-0.198453,-0.63607,-1.185663,0.689099,1.496336,-0.665594,1.395244,-0.921063,-0.886331,-0.685718,-0.412797,-0.180461,0.911862,-0.123848,-0.67796
