0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178
-0.014434,-0.022231,-0.015875,-0.021833,-0.014949,-0.015034,-0.008005,-0.014657,-0.014557,-0.013786,-0.012795,-0.012978,-0.019885,-0.026972,-0.027118,-0.027809,-0.027723,-0.02755,-0.027414,-0.028415,-0.021005,-0.014306,-0.013734,-0.013721,-0.007176,-0.007144,-0.006545,-0.006588,-0.00662,-0.007271,-0.013194,-0.006662,-0.00668,-0.000171,-0.00667,-0.00016,-0.00012,-9.1e-05,-0.000102,0.006389,-0.000144,-0.000184,-0.000208,-0.000286,-0.000335,-0.000311,-0.000304,-0.000267,0.006249,-0.00653,8e-06,8.7e-05,0.000104,-2e-05,-0.006535,-9.6e-05,-8.7e-05,-7.3e-05,-4.9e-05,-8.5e-05,-0.000122,-0.000139,-0.000183,-0.000256,-0.000213,-0.000179,-0.000119,-0.006487,-0.006414,-0.006451,-0.006487,-3.3e-05,-0.006473,-0.006489,-6e-06,-0.006411,-0.006444,-0.006439,-6.8e-05,-7.3e-05,-0.006476,-0.006496,-0.007011,-0.006475,-0.006986,-0.006433,-0.006921,-0.000505,2e-06,-1.4e-05,-1.9e-05,-8.8e-05,-0.000116,-0.000134,-9.3e-05,-7e-05,-4.2e-05,-2.8e-05,1e-06,-4.2e-05,-0.006432,-0.006435,-7.5e-05,-0.005898,-0.006388,-0.006382,-0.00645,-0.006431,-0.006426,-5e-05,-0.006336,-0.006334,-0.006332,-0.006346,-1e-05,-0.006367,-2.1e-05,0.000427,0.006312,-1.8e-05,-4e-05,-5.5e-05,-0.006407,-0.006856,-0.00639,-0.013094,-0.013041,-0.012587,-0.013003,-0.012584,-0.012584,-0.012579,-0.006287,-0.005907,-3e-06,-1e-06,0.006294,0.000397,0.000398,8e-06,0.000402,-0.006281,-0.006282,-0.006281,1e-06,-0.006275,1.2e-05,1.7e-05,2.1e-05,2.2e-05,1.8e-05,1.4e-05,5e-06,-0.00626,0.00036,0.006629,0.012908,0.013311,0.025556,0.025585,0.018917,0.012643,0.012656,0.006342,2.3e-05,1.2e-05,1.5e-05,-2e-06,0.006303,0.012617,0.00631,0.012644,0.012638,0.00636,0.00649,-0.000175,-0.001084,-0.007788,-0.00776
0.008119,0.015229,0.017756,0.012218,0.011148,0.011737,0.009523,0.00896,0.008216,0.002394,-0.005067,-0.003689,-0.002317,0.000532,0.002482,0.008859,0.009095,0.008493,0.007559,0.016962,0.009932,0.009445,0.00462,0.004743,0.005521,0.00512,-0.000609,8.9e-05,0.000549,0.00746,0.000729,0.001545,0.001934,0.002977,0.001937,0.002806,0.002132,0.001583,0.00178,0.002694,0.002498,0.003196,0.003574,0.004917,0.005776,0.005358,0.005232,0.004571,0.004193,0.000677,-0.000147,-0.001551,-0.001817,0.000344,0.000757,0.001674,0.001521,0.001295,0.000861,0.001555,0.002222,0.002577,0.003436,0.004804,0.004032,0.003404,0.002259,0.00078,-0.000603,0.000136,0.000849,0.000664,0.000715,0.001098,0.000104,-0.000505,0.000236,0.000112,0.001576,0.001707,0.001177,0.001857,0.007617,0.001533,0.007418,0.000849,0.006096,0.005787,-2.8e-05,0.000419,0.000572,0.002638,0.003448,0.003892,0.002693,0.002016,0.001169,0.000799,-7e-05,0.000839,0.001757,0.001909,0.002243,-0.004782,0.000741,0.00069,0.003351,0.002866,0.003086,0.00199,-0.000462,-0.000613,-0.000861,-0.000355,0.000468,0.001216,0.001136,-0.003973,0.001441,0.000809,0.002186,0.003134,0.004514,0.011101,0.005048,0.009008,0.006812,-0.000624,0.004927,-0.000489,8.6e-05,0.000546,0.000506,-0.006015,-1.1e-05,-2.9e-05,0.000456,-0.004491,-0.004235,0.001963,-0.003764,0.001139,0.000652,0.000529,0.000261,0.00082,0.0012,0.001633,0.002109,0.002255,0.001746,0.001312,0.00055,0.000556,-0.006495,-0.006715,-0.006792,-0.013735,-0.007102,-0.006724,-0.00242,-0.002531,-0.002519,-0.001834,-0.001833,-0.001029,-0.001281,-4.6e-05,0.001762,0.001971,0.000845,0.000413,0.000668,-0.001531,-0.006181,-0.005756,0.00366,0.004165,0.001909
-0.03415,-0.036397,-0.035195,-0.03035,-0.023518,-0.023057,-0.017071,-0.016808,-0.017412,-0.013639,-0.002682,-0.001566,0.000251,0.003388,0.004822,0.001415,0.001539,0.000991,0.000212,-0.009174,-0.006994,-0.008014,-0.003467,-0.003372,-0.003372,-0.003693,0.000152,0.00069,0.001049,-0.001847,0.001801,0.001826,0.00213,0.002344,0.002121,0.0022,0.001667,0.001235,0.001389,0.001508,0.001943,0.002483,0.002769,0.003798,0.004446,0.004115,0.004005,0.003487,0.002617,0.001092,-0.00011,-0.001179,-0.001383,0.000261,0.001153,0.001274,0.001156,0.000985,0.000656,0.001184,0.001686,0.001951,0.002596,0.003614,0.003024,0.002546,0.001689,0.00114,0.00011,0.000659,0.001187,0.000498,0.001087,0.001371,8.2e-05,0.00018,0.000728,0.000633,0.001171,0.001269,0.001415,0.001918,-0.001899,0.001673,-0.002051,0.001166,-0.003025,-0.003781,-1.7e-05,0.000306,0.00042,0.001932,0.002518,0.002838,0.001958,0.001463,0.000848,0.00058,-4.8e-05,0.000598,0.001799,0.001908,0.001625,0.005043,0.00106,0.001022,0.002932,0.002579,0.00273,0.001428,0.000183,7.5e-05,-0.000103,0.000258,0.000342,0.001375,0.000811,0.005096,0.000517,0.000574,0.001555,0.002228,0.003699,0.000441,0.004054,-0.000552,-0.002095,0.00055,-0.003416,0.000636,0.001033,0.001349,0.000841,0.004124,-4e-06,-1.8e-05,-0.000159,0.004699,0.004878,0.001359,0.00521,0.001265,0.000928,0.000844,0.000189,0.001045,0.000834,0.00113,0.001455,0.001556,0.001202,0.000904,0.000381,0.000856,0.003327,0.002705,0.002179,0.005191,0.000988,0.001238,-0.003155,-0.00276,-0.002754,-0.001785,-0.001284,-0.000723,-0.000897,-3.8e-05,0.000732,0.000376,8.3e-05,-0.000724,-0.000552,-0.00159,-0.004854,-0.011977,-0.021156,-0.028302,-0.030061
3.424881,3.377387,0.092518,3.728337,-1.952855,0.034833,0.0597,0.057358,0.035728,0.034415,0.000349,-0.003561,0.020809,4.32564,1.285389,0.418296,0.412077,-0.023608,-0.100783,0.089541,0.042964,-0.020371,-0.102799,0.108336,0.008734,0.032754,1.451863,0.003944,0.063992,0.049203,1.439958,-0.098045,-0.00184,-0.016143,-0.001592,0.002447,0.000335,-0.004106,0.000527,0.002715,0.002063,-0.011967,-0.040392,-0.013654,0.004175,0.002098,0.017541,0.005107,0.004493,0.002367,-0.000416,0.013417,-0.001978,8e-06,0.012397,0.001623,-4.9e-05,0.002366,0.002053,0.00027,0.000214,0.000229,0.004898,0.004235,0.004486,0.00217,5.9e-05,-0.002025,-0.002037,-0.002024,-0.061136,0.000346,0.011275,-0.00203,0.017625,0.005405,0.015057,0.076334,0.033509,-0.146943,-1.556492,-0.008771,0.052474,0.011742,0.0366,0.000847,0.027238,0.049986,0.015321,-0.041993,0.00295,0.002818,0.002964,-0.015411,0.002248,-6.6e-05,-7.2e-05,-4.5e-05,-0.00214,-1.426148,0.013037,0.011454,0.013183,-0.022354,-0.143984,0.0111,0.020207,0.009648,-0.005308,0.036744,0.009106,0.028154,0.06321,0.117885,-0.005219,0.022087,-0.000493,-0.040333,0.12247,0.00297,0.017249,0.010873,0.014381,-0.006714,-0.042038,0.101392,0.034496,-0.06946,0.075304,0.008678,-0.003507,-0.003292,-0.002693,-0.038784,-0.002328,-0.007388,0.001831,-0.054766,-0.032132,-0.0123,-0.036682,-0.002449,-0.002007,-0.001979,0.367126,-0.000445,0.009101,0.001027,0.003566,0.001857,-2.8e-05,0.002473,8.4e-05,0.000666,-0.038397,-0.034447,-0.032383,-0.056967,0.009443,0.143203,-0.104458,0.010503,0.014788,0.036865,-0.002025,-0.103508,0.0003,-0.155979,-0.130314,-0.14587,-0.081544,-0.017056,-0.144714,-0.236085,-0.114948,-0.084376,0.062726,0.072733,-0.024831
-0.069705,0.301388,1.612379,-0.217936,-0.158428,0.649748,0.296767,0.285784,0.369289,0.171319,-0.004292,0.023949,-0.129967,-2.036215,-0.442743,-0.110245,-0.085809,0.340039,0.821342,0.405063,0.389055,0.618572,0.962299,0.299127,0.139445,-0.01918,-0.583819,-0.022539,-0.631083,-0.10367,-0.583532,-0.55866,0.030011,0.130049,0.003725,-0.024925,-0.004336,0.016307,-0.007721,-0.025793,-0.016226,0.07245,0.340593,0.09612,-0.033822,-0.016243,-0.124126,-0.013098,-0.030766,0.024154,0.007868,-0.109846,0.01596,2.9e-05,-0.095995,-0.012581,6e-05,0.002202,0.001898,0.000257,0.000191,0.000206,-0.013337,-0.024776,-0.013883,-0.015776,1.9e-05,0.015189,0.015195,0.015209,0.43454,-0.00271,-0.094855,0.01519,-0.109749,-0.084728,-0.069276,-0.508493,-0.261151,-0.074569,-1.262654,0.138179,-0.108814,-0.093193,-0.011451,0.017381,0.072523,-0.122883,-0.121429,0.280946,-0.013928,-0.015652,-0.019772,0.113653,-0.010995,-0.000212,4e-06,2e-05,0.013395,-2.079893,-0.089367,-0.094388,-0.110425,-0.076493,-0.23039,-0.087161,-0.114508,-0.081925,0.021535,-0.232737,-0.100057,0.015606,-0.320081,-0.477965,0.021806,-0.09286,0.002116,0.008836,-0.529587,-0.085368,-0.105043,-0.090967,-0.108591,-0.051215,-0.039006,-0.051292,0.020737,0.291269,0.011821,-0.082028,0.031383,0.031601,0.015139,0.027145,0.005688,0.014156,-0.014491,0.083196,0.001028,0.109875,-0.014311,0.016565,0.015382,0.0152,-0.041944,-0.000804,-0.049449,0.002914,-0.015039,-0.015814,0.0,-0.015343,8.8e-05,0.017457,0.027891,-0.003241,-0.018461,-0.101379,0.016195,-0.025753,0.280563,-0.130867,-0.095043,0.034903,0.015572,0.331466,0.009634,0.506396,0.423387,0.556763,0.333959,0.104702,0.451869,0.863252,0.466043,0.578096,0.235501,0.355374,0.746308
3.692393,3.879087,0.034242,2.794293,1.335377,-0.352142,-0.318014,-0.093754,0.200578,0.014265,-0.082474,-0.062988,0.035458,2.731604,0.853841,0.207569,0.257327,0.125219,0.449196,-0.092215,-0.01631,0.153503,0.367205,0.00704,0.080635,-0.02724,0.839054,-0.052464,-0.474013,0.190906,0.818409,-0.115414,-0.019505,0.122983,-0.03793,0.017221,-0.003149,0.00932,-0.005675,0.02142,0.023826,0.085276,0.235779,0.099552,0.046559,0.023836,0.18671,0.020336,0.052722,-0.027789,0.005285,0.165228,-0.023917,-1.9e-05,0.170831,0.026327,4.2e-05,-0.002777,-0.002388,-0.000317,-0.000239,-0.000244,0.02067,0.015363,0.020909,0.023721,-1.1e-05,-0.029236,-0.029229,-0.029249,0.258175,-0.001889,0.13587,-0.029238,-0.076018,-0.081608,-0.058345,-0.388572,-0.371613,-0.033734,1.613269,-0.164893,0.179504,0.136356,0.012887,-0.031885,0.035556,0.181804,0.158113,0.188021,-0.008514,0.022725,0.021066,0.113258,-0.006907,-0.000228,-5.9e-05,-5.7e-05,0.006889,1.399082,0.135189,0.135679,0.16497,-0.118288,0.305245,0.138506,-0.08307,0.140396,0.000373,0.07883,0.129298,0.00614,-0.013704,-0.353897,0.009867,-0.104261,0.001359,0.012612,-0.293947,0.177108,0.162398,0.170066,0.159053,0.054222,0.035413,0.126186,-0.042617,0.113742,-0.008067,0.106305,-0.059937,-0.060124,-0.029507,-0.046923,0.002825,0.005142,0.029635,0.068219,-0.022939,-0.165351,-0.005845,-0.028382,-0.029033,-0.029172,0.340453,-0.005254,-0.037381,-0.000416,0.023939,0.023792,-3.1e-05,0.023315,-0.0001,-0.031546,-0.041283,0.011812,0.041037,0.173209,0.052477,0.109023,0.492469,0.202854,0.213818,-0.031922,-0.023857,0.219004,0.01002,0.337477,0.325032,0.223228,0.027253,-0.078866,0.386932,0.389942,0.085632,-0.163285,-0.069412,-0.071683,0.199081
0.000899,-0.005852,0.001001,0.00094,0.000985,0.001128,-0.005502,0.001324,0.001428,0.00118,0.000937,0.000942,0.000732,0.000745,0.000579,0.000661,0.000414,0.000342,0.000308,0.000392,-0.006216,0.000607,0.000453,0.000208,0.00017,-1.3e-05,0.00665,0.006651,0.006784,0.006886,0.013675,0.01374,0.020344,0.013658,0.020455,0.020481,0.020279,0.026911,0.026923,0.020302,0.020157,0.026672,0.019985,0.019903,0.013174,0.019677,0.019697,0.019695,0.01967,0.019746,0.019742,0.019758,0.013198,0.013166,0.013197,0.006641,0.013164,0.013168,0.006505,0.006487,0.00645,0.006556,0.006615,0.000135,0.006388,0.006337,0.006358,0.012893,0.012962,0.006638,0.006704,0.006702,0.006705,0.006532,0.00652,0.000152,0.000153,0.000172,0.00018,3.1e-05,0.00656,2e-06,-2e-06,-5e-06,1e-06,0.00653,0.0,0.006531,0.006532,0.006357,0.006522,0.006523,0.00652,0.006516,0.01286,0.006514,0.006329,0.006329,0.00634,0.013115,0.006559,0.006347,0.006556,0.006564,0.006581,0.006816,0.00657,0.006555,0.006554,0.000233,0.007063,0.007085,0.000517,0.000252,0.00024,-2.7e-05,0.006564,0.006835,0.013226,0.006635,0.006571,0.006545,0.006488,0.006467,0.006457,0.006529,0.006602,0.006345,0.006606,0.006907,0.006862,0.006868,-6e-06,0.000294,0.00031,0.006928,0.006655,0.006655,0.006955,0.006676,0.013247,0.013225,0.01323,0.013229,0.006616,0.006638,0.000322,0.000347,0.000371,0.000353,-3e-06,0.006623,-0.0,0.0,1.2e-05,-0.006611,-0.01356,-0.026781,-0.033415,-0.039985,-0.033288,-0.026382,-0.019779,-0.013463,-0.000187,-0.000441,-0.000226,-0.007127,-0.013951,-0.020252,-0.026974,-0.027082,-0.033565,-0.03354,-0.027381,-0.020864,-0.027502,-0.02095,-0.014416
0.010279,0.011502,0.006519,0.006131,0.006286,0.007396,0.013511,0.013145,0.013836,0.007772,0.0104,0.010412,0.009203,0.013708,0.012584,0.012881,0.007076,0.006625,0.006406,0.002579,-0.000806,0.004,0.002975,0.001368,0.00112,-8.8e-05,-0.000654,-0.000634,0.004659,0.009818,0.014801,0.015502,0.014927,0.006346,0.007216,0.007866,0.006737,0.011738,0.012235,0.012902,0.007664,0.007102,0.001803,-0.00391,-0.000104,-0.006401,-0.000957,-0.006615,-0.001443,-0.0005,-0.000503,0.006201,0.006851,0.006828,0.007918,0.008393,0.00813,0.009018,0.014461,0.014381,0.014071,0.009209,0.002783,-0.004743,-0.002805,-0.004552,-0.004232,-0.004229,-0.002725,-0.006136,-0.003964,-0.004033,-0.003947,0.000501,-0.000175,-0.005395,-0.005292,-0.004297,-0.004007,0.001729,0.001444,0.000159,-9.1e-05,-0.000238,8e-06,2.4e-05,-2e-06,2.3e-05,2.8e-05,0.005089,-0.000548,-0.000617,-0.001146,-0.001592,0.002521,-0.003658,0.001006,0.000608,0.000183,-0.002972,-0.001288,0.005083,0.00023,-0.001678,-0.003639,-0.008308,-5.1e-05,0.001396,0.001262,-0.005325,-0.01211,-0.013324,-0.013831,-0.006663,-0.005684,0.001538,0.002581,-0.00451,-0.000871,-0.001296,0.001793,0.002855,0.004929,0.005281,0.005439,0.002221,-0.000563,0.004329,-0.000477,-0.006083,-0.004903,-0.005027,4.5e-05,-0.005625,-0.006079,-0.006346,-0.001226,-0.00108,-0.006408,-0.001342,0.000188,0.000737,0.000721,0.000741,0.000363,-8.9e-05,-0.005262,-0.005739,-0.006239,-0.005896,2.5e-05,0.000381,8e-06,2e-06,-0.000217,-0.000583,0.004372,0.003429,0.0038,0.002606,-3.3e-05,-0.009355,-0.00945,-0.001271,0.001381,0.009775,0.006215,0.015317,0.023118,0.016911,0.019766,0.021049,0.017413,0.016045,0.019656,0.017958,0.024544,0.031452,0.029846
-0.000784,0.000185,0.004838,0.004541,0.004588,0.005425,0.001558,0.001197,0.001661,0.00558,-0.000902,-0.0009,-0.001729,-0.006791,-0.007587,-0.007412,-0.003233,-0.003547,-0.003702,0.001816,0.007736,0.002807,0.002081,0.000954,0.000781,-6.3e-05,-0.000554,-0.000542,-0.00503,-0.009604,-0.014388,-0.013882,-0.014384,-0.003959,-0.003467,-0.003038,-0.003838,-0.008629,-0.00829,-0.007743,-0.003246,-0.003782,0.000765,0.004886,-0.000407,0.003171,-0.001168,0.003001,-0.00152,-0.000889,-0.00091,-0.004382,-0.003757,-0.003775,-0.003036,-0.002522,-0.002901,-0.002299,-0.006405,-0.006455,-0.006658,-0.001974,0.001659,0.004754,-0.002085,-0.003269,-0.00306,-0.003284,-0.00228,0.003595,0.005064,0.005021,0.005079,0.000111,-0.000343,0.004331,0.004403,0.00508,0.005277,0.001163,0.000751,0.000104,-6.3e-05,-0.000164,4e-06,-0.000207,-5e-06,-0.000211,-0.000206,-0.004775,-0.000599,-0.000648,-0.001008,-0.00131,-0.006748,-0.002718,-0.007554,-0.007835,-0.008134,-0.002574,-0.001135,-0.004789,-9.1e-05,-0.001406,-0.00276,0.002058,-0.000294,0.000704,0.000613,0.004373,0.007501,0.006668,0.006578,0.003469,0.004151,0.001064,0.001528,0.004704,-0.00113,-0.001173,0.000969,0.001704,0.003134,0.003366,0.003469,0.001255,-0.000658,-0.005362,-0.000603,0.003608,0.004417,0.004336,2.4e-05,0.0042,0.003894,0.003436,-0.001128,-0.001024,0.00339,-0.001215,-0.000447,-7.6e-05,-9e-05,-7.9e-05,-4.9e-05,-0.000359,0.004462,0.004137,0.003793,0.004029,1.7e-05,-2.9e-05,2e-06,-0.0,-0.00015,-0.000107,-0.004496,-0.004573,-0.004051,-0.004614,-0.006746,-0.005419,-0.005774,-0.008508,-0.007175,-0.009435,-0.003778,-0.005265,-0.007672,-0.003686,-0.009525,-0.016726,-0.018975,-0.01992,-0.033748,-0.03516,-0.038364,-0.041665,-0.042924
0.03932,0.040362,0.005157,0.001316,-2.020604,0.002626,0.038632,0.033451,0.040086,0.005375,-1.99804,-2.007661,-0.642704,0.066231,-0.75826,-2.054975,-0.010231,0.043995,0.035652,-0.000154,-0.035749,0.000775,0.000808,-2.7e-05,0.000832,0.000431,0.003687,0.004713,0.039463,0.043487,0.075089,0.120716,-0.060529,0.037627,-0.941506,0.042852,-0.007131,0.081174,0.07921,-1.80751,0.041473,0.045507,0.012838,0.06093,0.052288,0.007887,0.010186,-0.026573,-0.004495,0.218106,-0.661188,0.043493,0.044344,-0.155081,0.045353,0.028731,-0.632469,0.027266,-0.097457,0.046022,0.061776,-0.109601,0.012635,-0.03625,0.004461,-0.007874,0.077319,-0.012174,0.080382,-0.045607,0.043579,0.090843,-0.046109,-0.010521,0.122801,-0.050163,-0.051017,-0.043877,-0.029616,-0.009836,0.012654,-0.00011,0.003732,0.000849,0.000304,0.001456,0.088752,5.9e-05,0.203677,0.026878,-0.001083,-0.008559,0.121014,0.02521,0.192357,-0.140611,0.135504,-0.657169,0.198505,-2.123989,0.070915,0.147699,0.037333,0.138607,0.073354,0.180364,0.070735,0.060055,0.027866,0.117933,-0.072762,0.05898,0.005211,0.003839,-0.039091,-0.009689,0.211642,0.011216,0.096338,-0.011262,0.001984,0.002344,0.003008,0.008515,0.003757,0.009126,0.154419,0.034792,0.000945,0.288457,-0.038797,-0.016432,-0.005437,-0.043281,0.010641,0.033818,0.846367,0.023574,0.019235,0.044149,0.14974,-0.004533,0.068756,0.003038,0.001107,0.001088,-0.04072,-0.036344,-0.041226,-0.036681,0.005729,0.0235,-0.003474,-1.5e-05,0.001705,-0.122473,0.090152,-0.228458,-0.681936,-0.162247,-0.171679,-0.389636,-0.021278,0.794701,-0.034634,-0.231856,-0.373512,-0.379653,-0.273927,1.383709,-0.593117,1.159646,-0.336137,-0.604138,0.659988,-0.733695,-0.394066,-0.453143,-0.450934
