0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
-0.00655,-0.006733,-0.00693,-0.007292,-0.014961,-0.021344,-0.021599,-0.015121,-0.014487,-0.015523,-0.01459,-0.007993,-0.014107,-0.007239,-0.007155,-0.006719,-0.006538,-2.3e-05,-0.005758,-0.00045,-0.006217,-0.006197,-0.006195,-0.013476,-0.006895,-0.007005,-0.007143,-0.013614,-0.013626,-0.007027,-0.007001,-0.007079,-0.000444,-0.000304,-0.000195,-2.5e-05,0.006492,0.007391,0.006518,0.007312,0.000115,0.006633,0.000106,0.006564,5.5e-05,-2.2e-05,-0.000762,3.6e-05,0.00642,-2.7e-05,0.006482,1e-06,0.006488,0.0,3e-06,-7.9e-05,-0.000136,-0.000218,0.006264,-0.000154,-0.000685,-0.00718,-0.006876
-0.001443,-0.000642,0.000248,0.001923,0.006837,0.00489,0.006319,0.00812,0.00427,0.010648,0.005292,0.00622,0.003154,0.002601,0.002203,-4.5e-05,-0.000984,0.000115,-0.005977,0.002377,-0.003565,-0.003668,-0.003669,0.00023,0.001012,0.001652,0.002498,0.00134,0.001463,0.002025,0.001935,0.002442,0.002631,0.001804,0.001164,0.000149,0.000959,-0.00497,0.000817,-0.004466,-0.000679,0.000151,-0.000621,0.000583,-0.00032,0.000133,0.005057,-0.000207,0.001429,0.000157,0.001067,-0.0,0.001036,9e-06,4e-06,0.000449,0.000768,0.001228,0.002266,0.00086,0.004574,0.003658,0.001979
-0.000316,0.00033,0.001042,0.002373,-0.001391,-0.002145,-0.00105,-0.000422,0.004948,0.001488,0.005653,0.005594,0.003939,0.002751,0.002436,0.000705,-1.5e-05,9e-05,0.004478,0.00182,0.006322,0.006244,0.006239,0.001621,0.001492,0.001974,0.002604,0.002424,0.002511,0.002224,0.002143,0.002517,0.001965,0.001346,0.000866,0.000114,3e-05,0.003837,-8e-05,0.004207,-0.000509,-0.000579,-0.000465,-0.000256,-0.000241,9.5e-05,-0.00446,-0.00016,0.00037,0.000114,9.8e-05,-1e-06,7.6e-05,5e-06,3e-06,0.000334,0.00057,0.000911,0.000988,0.000635,-0.00481,-0.004795,-0.006034
0.139266,0.077185,0.040961,0.011725,0.062285,0.046997,-2.118024,0.053694,0.016678,0.05582,0.005131,0.002805,-0.002051,0.00109,0.002457,-0.001211,-0.001769,0.014217,-0.039986,-0.591496,-0.029417,-0.033004,-0.039816,0.163181,0.001723,0.0015,-0.000896,-0.00564,0.013583,-0.001885,0.002803,0.00449,0.002059,0.000615,-0.00236,-0.000335,0.002036,-0.034209,0.002046,-0.034195,-0.003364,-0.202706,0.006574,0.006436,0.005353,0.002442,0.036209,-0.136626,0.004192,-0.040539,0.009615,9.5e-05,0.001982,-5.5e-05,-0.018201,0.004266,-0.038085,-0.075563,0.524166,-0.211312,-0.131603,-0.141202,0.042598
-0.585897,-0.301056,-0.23466,-0.183833,-0.170102,-0.054056,-1.454021,-0.087286,-0.098708,-0.10244,0.004444,-0.01368,0.015714,0.001226,0.002205,0.015846,0.015447,-0.08866,0.027632,-0.814538,-0.015448,-0.069783,0.015453,-0.399216,0.021543,0.011679,0.012639,0.036607,-0.075028,0.015361,0.018238,0.003449,-0.014512,0.000384,0.005336,0.000773,-0.015185,-0.008941,-0.015197,-0.008979,-0.00213,0.482757,-0.015977,-0.028394,-0.010115,-0.005697,-0.00621,0.34032,-0.016471,0.105189,-0.031939,-0.00043,-0.015225,2.5e-05,0.049302,-0.008892,0.017536,0.165962,0.820077,0.471803,0.295424,0.245091,-0.011316
0.062339,0.006381,0.316146,0.354901,0.336188,0.103599,1.132801,0.154849,0.16006,0.179364,-0.01173,0.019694,-0.033849,-0.005302,-0.005926,-0.029779,-0.029481,0.172052,-0.04694,0.132275,-0.043857,0.15739,-0.020038,-0.281911,-0.029852,-0.005341,-0.005199,-0.028818,0.138886,-0.029072,-0.031243,-0.006319,0.024679,-0.00049,0.002547,0.000349,0.029237,0.008802,0.029237,0.008774,0.001401,0.323048,-0.007158,0.023547,-0.002915,-0.003011,0.020336,0.200825,0.032179,0.066129,0.021106,-0.000439,0.029051,-0.000113,0.032969,-0.001546,0.251407,0.148738,0.142824,0.525664,0.413623,0.613181,-0.019361
3.7e-05,-5e-06,2e-06,5e-06,0.000358,2e-06,5e-06,0.006718,0.006364,6e-06,0.006361,0.000351,0.00671,0.006752,0.006475,0.01276,0.012961,0.01288,0.006604,0.006831,0.006802,0.006748,0.000497,0.006629,0.000396,-0.005522,0.000582,0.000643,-0.005468,0.000695,0.000632,0.000428,0.000613,0.000251,0.000478,0.000112,0.000372,-2.3e-05,-0.000112,-1e-05,-0.000106,-0.000832,-0.001296,-0.001439,-0.001541,-0.001579,-0.001693,-0.001729,-0.007932,-0.001424,-0.001331,-0.000931,-0.000895,0.006144,0.012511,0.024588,0.024062,0.029412,0.02803,0.020813,0.019396,0.006155,-0.000663
0.000131,-2.1e-05,-9e-06,-5e-06,0.005023,-6e-06,-3e-06,0.003799,-0.001227,1e-06,-0.001221,0.005036,0.003837,0.004018,-0.000773,-0.002228,-0.001447,-0.005529,-0.004011,-0.003107,-0.003197,-0.003396,-0.001801,-0.003861,-0.002208,0.004505,-0.001473,-0.00123,0.004665,0.002773,0.002516,-0.002086,0.002435,-0.002783,0.001904,-0.003331,0.001478,-7.7e-05,-0.000432,-3.2e-05,-0.000409,-0.003263,-0.005077,-0.005653,-0.006044,-0.005997,-0.006631,-0.006759,-0.004844,-0.00555,-0.005165,0.00017,0.000306,0.009149,0.015399,0.014002,0.015755,0.013892,0.011522,0.008999,0.002195,0.00652,0.006156
8.3e-05,-1.4e-05,-7e-06,-5e-06,-0.004739,-5e-06,-5e-06,-0.005561,-0.000828,-7e-06,-0.000828,-0.004729,-0.005537,-0.005427,-0.000557,-0.00153,-0.00105,0.004254,0.005266,0.005825,0.005767,0.005645,0.006706,0.005363,0.006458,0.002825,0.006903,0.007047,0.002913,0.001672,0.001516,0.00652,0.001463,0.006099,0.00114,0.00577,0.000881,-4.3e-05,-0.000255,-1.5e-05,-0.00024,-0.001949,-0.003039,-0.003406,-0.003652,-0.003648,-0.00404,-0.004134,-0.002893,-0.00342,-0.00319,-0.007765,-0.007685,-0.018004,-0.029915,-0.038789,-0.045609,-0.05475,-0.064389,-0.066149,-0.071216,-0.076961,-0.078061
4e-06,1e-06,-3e-06,2e-06,0.034994,-4e-06,1.4e-05,0.035991,0.001,4e-06,0.001002,0.035024,0.035993,0.036431,0.001052,0.001997,-0.005026,-0.0333,-0.029669,-0.029448,-0.030598,0.950503,-0.034302,0.02393,-0.03447,-0.000128,-0.034216,-0.030803,0.00048,0.004208,3.7e-05,-0.034083,0.001056,-0.035165,0.001079,-0.042731,0.001087,-1.8e-05,-1.8e-05,-1.1e-05,-0.000783,0.013492,0.008283,0.046724,0.09513,3.744067,0.140905,0.102594,0.105863,-0.462577,-0.022381,0.120184,0.038462,0.184622,0.379999,0.358059,4.794594,0.386949,-0.826202,-0.773977,0.304821,-0.037576,0.312553
