0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.002596,0.002852,0.003143,0.004076,0.003346,0.009439,0.002032,0.000773,0.001658,-0.004827,0.000599,0.0016,0.001968,0.002064,0.008183,0.00165,0.006809,0.006814,0.000261,0.006704,-0.000203,-0.001732,-0.001631,-0.002705,-0.001986,-0.001391,0.006275,0.007381,0.013937,0.014173,0.014106,0.014409,0.012527,0.011968,0.010695,0.004335,0.004612,-0.002054,-0.002667,-0.002433,-0.001821,0.004451,0.004877,0.005712,0.005691,0.013071,0.012115,0.013695,0.01196,0.01162,0.011911
-0.009519,-0.010447,-0.011519,-0.016465,-0.012349,-0.009295,-0.00739,-0.002796,-0.007582,-0.009172,-0.002187,-0.007412,-0.008762,-0.009127,-0.006075,-0.007588,0.000696,0.000542,-0.00077,0.000938,0.000708,0.007783,0.007664,0.012837,0.010313,0.008165,0.004007,-0.001506,-4e-05,-0.000822,-0.000499,-0.003127,0.004946,0.006801,0.010891,0.008697,0.007759,0.006952,0.00873,0.008243,0.00588,0.008082,0.006587,0.003879,0.004169,0.000648,0.005451,-0.0013,0.00586,0.006928,0.005944
-0.00733,-0.008068,-0.008974,-0.004546,-0.009661,-0.008272,-0.00593,-0.002254,0.002392,0.001997,-0.00177,0.002525,0.001435,0.001128,0.0027,0.002377,-0.000384,-0.000477,-0.000691,-0.000152,0.000584,-0.002218,-0.002418,-0.006657,-0.008706,-0.010442,-0.006195,-0.002147,-0.001883,-0.002536,-0.002298,0.004116,0.002168,0.003696,0.007042,0.00616,0.005386,0.005436,0.007053,0.006463,0.00471,0.005542,0.004327,0.002176,0.002288,0.007115,0.002497,0.005563,0.002796,0.003643,0.00284
0.118354,1.22414,0.156482,-0.014645,4.617149,-0.011428,1.415808,0.461391,-0.056632,-0.119181,0.346591,0.277372,1.336222,-0.105867,-0.120927,-0.0932,4.872924,-0.037509,4.912697,0.025972,0.023248,1.464213,5.085043,0.094476,1.532017,-0.066825,-0.044331,-0.090925,-0.070118,-0.00547,-0.039682,-0.061885,-0.003097,-0.007193,-0.146495,-0.01904,-0.156514,-5.589358,0.007059,-5.419123,-0.96429,-0.115995,-0.977833,0.048965,-5.467853,-0.102879,-1.535904,-2.29792,-0.330214,-5.118531,-0.179248
0.747189,0.210805,0.574312,0.104842,-1.668395,0.022137,1.849879,0.774284,0.189802,0.50961,0.275549,0.539247,-0.212324,0.608478,0.48523,0.225453,-1.438134,0.108148,-1.492348,0.477792,0.388508,0.109969,-0.709546,0.645069,0.260283,0.61121,0.49108,0.402354,0.326811,0.285595,0.173385,0.462537,0.07968,-0.091759,-0.535175,0.025482,0.098114,0.088905,-0.023774,0.497418,-1.803148,-0.861053,-1.974875,-0.582345,-0.715098,-0.89223,-0.403808,-2.565706,-1.579948,-1.782485,-1.603923
0.034998,0.976472,-0.140611,-0.247831,2.41671,-0.039287,-1.382636,-0.153971,0.05435,0.259505,0.49105,0.522825,0.516615,0.356131,0.328124,0.083009,2.024982,0.097686,1.789485,0.36871,0.293216,0.520629,1.430702,0.349347,0.773004,0.38171,0.334442,0.287462,0.277205,-0.093072,0.151343,0.345982,0.387894,0.126418,0.81968,-0.043124,-0.1483,-0.01966,0.043055,-0.816455,1.985898,0.580081,1.634646,-0.583934,-0.989518,-0.494183,-0.908109,0.641836,-0.595323,-2.215779,-0.167255
-0.010957,-0.011283,-0.010323,-0.003236,-0.009822,-0.002982,-0.002935,-0.00357,0.003272,0.002854,0.002095,0.001073,0.000978,-0.006526,-0.013851,-0.007557,-0.008271,-0.015231,-0.008367,-0.008029,-0.007472,-0.000423,-6.8e-05,0.000755,0.007331,0.007238,0.00105,0.000585,-4e-05,2.4e-05,-0.007359,-0.008367,-0.002564,-0.009264,-0.009894,-0.002918,-0.002662,0.004848,0.005774,-0.00116,0.006001,-0.000199,-0.007473,-0.007626,-0.001173,-0.006612,-0.006411,1e-05,0.000291,0.006414,0.006555
0.010558,0.005688,0.012385,0.012226,0.01372,0.012852,0.012926,0.007157,0.010299,0.009011,0.006635,-0.000286,0.00311,0.001455,0.000399,-0.001762,-0.007596,-0.011021,-0.011448,-0.010337,-0.008603,-0.008607,-0.007536,-0.00505,-0.006495,-0.006775,-0.000457,-0.001875,-0.003782,9.3e-05,-0.000919,-0.003936,-0.00768,-0.006518,-0.012003,-0.01234,-0.011577,-0.010456,-0.004055,-0.007146,-0.007105,-0.000586,-0.000963,-0.001409,-0.007175,0.001633,0.002224,2.6e-05,0.000828,-0.002223,-0.001804
0.008077,0.012801,0.00945,0.009436,0.010392,0.009802,0.009777,0.013744,0.007813,0.006783,0.004962,0.008152,0.002317,0.000958,4.5e-05,-0.001438,0.002577,0.00825,0.008073,0.008909,0.010214,0.010367,0.011172,0.013031,0.012086,0.011877,0.008034,0.006983,0.00558,7.2e-05,-0.000802,-0.003034,-0.005689,-0.004987,-0.000703,-0.000835,-0.000274,0.000726,-0.002915,0.003062,0.003261,-0.000449,-0.000906,-0.001249,0.003044,0.001076,0.001528,2.7e-05,0.000626,-0.001519,-0.001199
-0.091906,-0.029914,0.003424,0.002645,-0.000124,-0.197706,0.003217,-0.033081,0.00155,0.001433,0.001469,-0.033651,-0.004738,-0.110097,-0.184407,-0.258263,-0.017125,-0.020022,-0.075166,-0.061169,0.119798,-0.071543,-0.071048,-0.07195,-0.066406,-0.074014,-0.044764,-0.024822,-0.03854,0.003137,-0.029066,0.064217,0.003445,-0.011134,0.61976,-0.034104,-0.036334,-0.037708,1.969786,0.033036,-0.026203,0.008341,-0.244219,-0.113951,-0.096943,-0.044021,0.015126,0.36818,-1.859483,0.144193,0.339096
