0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
0.00135,0.002284,0.001424,0.001333,0.001439,0.00111,0.000269,0.001144,0.001919,0.00214,0.002421,0.001687,0.002622,0.002065,0.008457,0.007636,0.001697,0.008062,0.006854,0.00758,0.00649,-0.000246,0.000778,0.001688,0.001639,0.001409,0.002322,0.002568,-0.004551,0.001327,0.007981,0.000204,-0.001051,0.005545,-0.001357,0.004553,0.005794,0.005908,0.006208,0.006368,0.007357,0.007462,0.007298,0.007054,0.006146,0.006406,0.013134,0.006352,0.013335,0.006813,0.000247,0.000217,0.007621,0.006627,0.006484,0.006108,0.005926,-5.9e-05,0.006539,-7.1e-05,-0.000274,-0.000959,0.006696,-0.000285,-0.001079,-0.000904,-0.000833,0.006421,0.006709,0.005691,-0.001118,0.005391,0.00692,0.00695,0.013432,0.006753,0.006392,0.006163,-4.2e-05,0.006565,0.000711,0.000842,4.4e-05,-0.000178,-0.000882,0.005046,5e-06,-0.007049,-9.3e-05,-0.000218,-0.001305,-0.001227,-0.000128,5e-05
-0.007424,-0.012903,-0.007768,-0.007326,-0.007793,-0.006263,-0.001248,-0.006421,-0.011151,-0.012157,-0.013443,-0.008913,-0.014353,-0.010609,-0.00824,-0.003251,-0.008862,-0.006281,0.000343,-0.004098,0.001963,0.001065,-0.004704,-0.009956,-0.00974,-0.008757,-0.014031,-0.015118,-0.013226,-0.007134,-0.005675,-0.000934,0.005894,0.00757,0.00723,0.013126,0.006407,0.005913,0.00468,0.00391,-0.001594,-0.002016,-0.001274,-0.000225,0.004906,0.00244,0.003635,0.002624,0.002769,0.000806,-0.000975,-0.000846,-0.003823,0.001542,0.002095,0.003532,0.004106,-0.001287,0.000304,-0.001276,-0.000566,0.003585,-0.000393,-0.000576,0.004034,0.003379,0.003186,0.002131,0.001034,0.006422,0.005722,0.007484,0.000293,0.000136,0.002062,0.000926,0.002219,0.003017,0.000125,0.001579,-0.004166,-0.004616,-0.000167,0.000591,0.003073,0.008535,-2.8e-05,0.00012,0.000321,0.000759,0.004552,0.004293,-0.001209,-0.001853
0.003158,0.007601,0.002916,0.003209,0.002893,0.003922,-0.000848,0.003818,0.00879,0.008111,0.007242,0.002131,0.006621,0.000955,0.001886,-0.002931,0.002119,0.003205,-0.000469,0.004718,0.000656,0.000731,0.004999,0.009627,0.009753,0.010476,0.0151,0.014361,0.008104,0.00334,0.003643,-0.00066,-0.004195,-0.003739,-0.003268,-0.008168,-0.004543,-0.004885,-0.005805,-0.006283,-0.001826,-0.00213,-0.001621,-0.000886,-0.005602,0.00098,0.000976,0.001105,0.000342,-0.000178,-0.000688,-0.000595,0.00489,0.000338,0.000725,0.001735,0.002136,0.007398,0.007763,0.007408,0.007899,0.002497,0.007283,0.007791,0.002789,0.002327,0.002175,0.000749,-1.6e-05,-0.004557,-0.004323,-0.003838,-0.000529,-0.000595,1.6e-05,-0.000103,0.000794,0.001332,6.7e-05,0.000345,0.00537,0.005061,-0.000128,0.000396,0.002104,-0.003128,-2.2e-05,0.000805,0.000218,0.000518,0.003099,0.002952,0.007391,0.006947
1.980118,-0.077013,-0.04255,0.159771,-0.041021,-0.041529,-0.006145,-0.045592,2.022804,0.102976,0.582082,0.138383,0.096969,-0.087025,-0.115656,-0.044468,-0.030026,0.942041,-0.198365,-0.115936,0.004063,0.286585,2.016888,-0.089244,5.883962,0.612049,1.695534,0.356402,0.39264,-0.149079,-0.17479,-0.148295,1.222021,-0.088054,-0.07537,0.012153,-0.00582,-0.022907,4.811123,0.026528,-0.047581,0.001096,-0.12628,0.40009,0.414224,0.382625,4.968348,-0.11654,5.033116,1.512193,-0.026034,-0.033327,-0.059033,-0.001755,-0.002793,-0.004419,-0.10776,-0.031544,-1.614444,-0.166142,-0.252897,0.004708,0.032326,-5.631155,-0.427165,0.038271,-5.393965,-1.531265,-0.125353,-0.290978,-0.045681,-0.076077,-1.174053,-4.896596,-4.906399,-0.148271,-1.45283,-0.185197,-0.076907,-0.215698,-0.317632,-1.611645,-1.331928,-0.095815,-2.061574,-0.316005,-0.021621,-0.009946,0.036513,0.03893,0.074909,-2.985262,0.01814,-0.016753
1.240236,0.000789,0.009718,0.121153,0.010422,-0.001639,-0.003688,0.007439,1.184084,0.128696,0.472665,0.253821,0.235622,0.157077,0.284009,0.444643,1.014398,0.181677,0.784449,0.295185,0.41487,0.17973,1.194303,0.376287,-1.57526,0.270552,1.100564,1.129041,0.762127,0.565184,0.88552,1.33765,0.314989,1.310471,0.993271,0.978603,0.848393,0.297107,-2.080225,0.4679,0.274184,0.828276,0.76113,0.700005,0.623612,0.536977,-1.604643,1.058474,-1.759534,0.106645,0.897497,0.294236,0.047166,-0.105218,0.180424,-0.040224,-1.092544,-0.008053,0.35525,-0.524087,-1.449565,-0.56204,-0.922187,-0.12794,-0.673442,-0.486995,0.251527,-0.653977,-0.890344,-0.701221,-0.259601,-0.775634,-1.339978,1.535536,0.970626,-0.357112,0.16964,-0.718204,-1.116456,-0.884872,-1.30752,-1.187558,-0.904321,-1.260409,-1.413737,-0.928815,-0.744083,-0.591763,-0.856208,-0.670675,-1.069102,0.941914,-0.511674,-0.747041
-1.439918,-0.041012,-0.045229,-0.160386,-0.046188,-0.018306,0.00436,-0.04294,-1.519566,-0.189593,-0.724692,-0.568105,-0.388288,-0.021531,0.099585,0.146304,-0.014916,1.041986,0.113509,-0.101969,0.090399,0.183552,-1.722994,-0.165974,0.467904,-0.60343,-1.837148,-0.348249,-0.820639,-0.026018,0.150953,0.336708,0.469821,0.157248,0.017511,0.030534,0.184338,-0.052905,1.097644,0.46374,0.104781,0.35465,0.282331,0.433988,0.382627,0.334715,0.091714,0.216245,-0.192728,0.086421,0.139068,0.099642,0.043868,0.201514,0.103277,0.048481,2.817281,-0.002833,0.051694,-0.188449,2.396023,-0.186579,-0.323662,1.810964,-0.532845,-0.609825,-0.748179,-1.377735,-0.99233,0.0595,-0.671404,-0.600399,1.782738,-2.085362,-2.651013,-0.392298,-1.002043,-0.207246,-0.629143,-0.276399,-0.510315,-1.428931,-1.334447,-0.265394,1.885553,-0.051886,0.326099,0.346628,0.31803,0.389283,0.257791,-3.902529,0.636809,0.226832
0.009374,0.00943,0.009268,0.008933,0.002254,0.002004,0.008682,0.002023,0.008899,0.008959,0.002019,0.001762,0.008283,0.007975,0.007822,0.000905,0.000781,0.007319,0.000332,8.3e-05,0.006537,7.3e-05,0.000822,0.001123,0.001431,0.001465,-0.005265,0.001411,0.001321,0.001126,0.001005,0.000293,-0.000157,-9.2e-05,-0.000371,-0.000373,-7.7e-05,0.000102,-0.006534,0.00018,0.000189,-0.006474,-0.006504,-0.006457,-0.006401,-0.006404,-0.006427,-3.9e-05,-0.006695,-0.006517,-0.006616,-0.007225,-0.007147,-0.007402,-0.007533,-0.007605,-0.007639,-0.000868,-0.007213,-0.000393,-0.000206,-0.000189,-0.000229,0.006399,0.006358,-0.000302,0.006469,-8.2e-05,0.00646,0.006629,-0.000167,-8.4e-05,-2.9e-05,-0.000127,-6.4e-05,-0.000267,-0.000285,-0.000213,-0.000164,-0.000285,-0.000352,0.006465,-0.000266,-5.9e-05,1.1e-05,2.8e-05,7.8e-05,5.8e-05,5.8e-05,6.2e-05,6.4e-05,-4.2e-05,-0.000161,-0.000238
0.011208,0.011722,0.011065,0.009635,0.011316,0.010132,0.008792,0.010314,0.005986,0.006367,0.002125,0.000857,-0.000965,-0.002491,-0.007408,-0.007659,-0.012509,-0.009992,-0.01072,-0.012071,-0.014298,-0.003731,0.004534,0.006165,0.007846,0.008031,0.008568,0.00773,0.007259,0.001982,0.001328,-0.002564,-0.009232,-0.009795,-0.014625,-0.010425,-0.004596,-0.003623,-0.002662,0.000996,0.001029,0.001841,0.001666,0.001897,0.002195,0.002156,0.002043,-0.004346,-0.003495,-0.00347,-0.003954,-0.006103,-0.005658,-0.006872,-0.003365,-0.003667,-0.003774,-0.004217,0.002454,-0.001904,-0.000999,-0.000917,-0.001113,0.001755,0.001555,0.002621,-0.002039,0.003688,-0.002097,-0.001272,0.003277,0.003684,0.003956,-0.000632,-0.000309,0.002805,-0.001409,0.003054,0.003292,0.002706,0.002368,-0.002117,-0.001324,-0.000303,0.00415,0.004245,0.004476,0.004374,0.004371,0.004381,0.004393,0.003866,-0.000826,0.002919
0.007658,0.008007,0.007516,0.006475,0.007622,0.006771,0.005775,0.006819,0.012019,0.012237,0.017662,0.016796,0.01551,0.014508,0.019468,0.019412,0.024443,0.01784,0.017508,0.016671,0.015176,0.005742,0.00282,0.00383,0.00485,0.004938,0.005378,0.004713,0.004402,0.009179,0.008778,0.006435,0.01042,0.010212,0.015178,0.009717,0.00523,0.005817,0.006533,0.000604,0.000626,0.001247,0.001141,0.001277,0.001456,0.001431,0.001362,0.005391,0.006032,0.006173,0.005883,0.004466,0.004739,0.004002,-0.001894,-0.002084,-0.002161,-0.002554,-0.006419,-0.001158,-0.000609,-0.000559,-0.00068,-0.007089,-0.007213,-0.006449,-0.00137,-0.005793,-0.001407,-0.0009,-0.006044,-0.005792,-0.005622,-0.000389,-0.00019,-0.00633,-0.000866,-0.006179,-0.006033,-0.006393,-0.006602,-0.001424,-0.000823,-0.000187,-0.005498,-0.005438,-0.005293,-0.005356,-0.005355,-0.005349,-0.00534,-0.005667,-0.000512,-0.006255
-2.437959,0.010351,0.004945,-0.00166,-0.071092,0.00408,0.004587,0.054605,-0.040164,-0.030247,-0.06717,-0.067517,-0.065263,-0.013801,-0.07392,0.144781,-0.153406,-0.130796,-0.114024,-0.034507,-0.078091,0.174336,0.001496,0.001622,0.002011,0.005438,0.005351,-0.020444,-0.111449,-0.033498,-0.034213,-0.03589,-0.066155,-1.505111,-0.11583,-0.049944,-0.040317,-0.036274,-0.037007,3.3e-05,-0.003602,-0.001047,-0.007603,-0.000606,0.000704,0.000749,-0.000961,-0.035911,-0.0434,-1.45801,-1.456885,0.8238,-0.03729,-0.038634,-0.005543,-0.009034,-0.002706,-0.001728,0.034998,-0.001636,4.3e-05,4.7e-05,4.1e-05,0.036944,0.036943,0.035948,0.001001,0.035936,0.001026,0.001003,0.034227,0.03592,0.037036,4.7e-05,-0.011121,0.034401,0.000276,0.036104,0.035976,0.034322,0.036204,0.001166,4.3e-05,3.7e-05,0.035904,0.035886,0.035924,0.031505,0.041553,0.036575,0.037958,0.037605,-0.01429,0.036299
