0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0.038747,0.038809,0.026514,0.02604,0.019128,0.012419,0.01266,0.006612,0.006483,0.00658,0.000735,0.006827,0.006795,0.007426,0.007295,0.012618,0.007053,0.006221,-7.4e-05,0.005904,0.005953,6e-06,-7.5e-05,-4.1e-05,-7.3e-05,-0.00014,0.00599,-2.7e-05,3e-06,0.006078,0.006089,0.006644,0.005917,0.005972,0.000497,0.00716,0.006429,0.007148,0.006381,-0.000262,0.005907,1.1e-05,0.006206,0.000187,0.00633,0.000909,0.00022,0.000213,0.000443,0.000633,0.006652,0.006529,0.00021,-0.00023,-0.00645,-0.006459,-0.006339,-0.000852,-9.1e-05,-1e-06,-0.006759,-0.000612,-0.006692,-0.007349,-0.000679,-0.000753,3e-06,6e-06,-0.000624,-0.000683,-0.006808,-0.006762,-0.006023,-0.006652,0.005459,0.006182,0.005535,0.00016,0.006095,0.012156,0.012793,0.012814,0.012783,0.01281,0.006058,0.012083,0.000144,0.005196,8e-06,-8.1e-05,0.005947,0.006161,0.006175,0.006051,0.012077,0.012076
-0.012103,-0.015782,-0.016099,-0.012049,-0.004947,-0.000743,-0.004143,-0.00588,-0.006241,-0.007376,-0.009569,-0.009964,-0.009284,-0.015043,-0.013011,-0.004951,-0.009536,-0.001192,0.000881,0.002568,0.001983,-5.8e-05,0.000887,0.000502,0.000816,0.001671,0.001491,0.000344,-3e-05,0.000476,0.000341,-0.004328,0.002254,0.001635,-0.003995,-0.008378,-0.001934,-0.008185,-0.001439,0.002605,0.002223,-0.00014,-0.000673,-0.001843,-0.001805,-0.008502,-0.002083,-0.002744,-0.004192,-0.006012,-0.004975,-0.003189,-0.001933,0.00222,0.002492,0.00262,0.001548,0.007266,0.000845,1e-05,0.004862,0.00506,0.004292,0.009885,0.00584,0.006514,2.1e-05,-1.8e-05,0.005253,0.005875,0.005866,0.005429,-0.000998,0.0044,0.005734,-0.000654,0.004844,-0.001651,0.000287,0.000718,-0.004522,-0.004402,-0.004126,-0.004233,0.000703,0.001706,-0.001247,0.007641,-4e-05,0.00069,0.001599,-0.000282,-0.000369,0.000764,0.001644,0.001578
0.049107,0.046242,0.039439,0.034672,0.024947,0.013326,0.011105,0.003072,-0.004571,-0.005325,-0.006307,-0.007115,-0.006714,-0.00308,-0.001749,-0.004397,0.000573,-0.001341,0.000593,0.001222,0.000825,-4.1e-05,0.000602,0.00034,0.000561,0.001133,0.000488,0.000229,-2.3e-05,-0.000201,-0.000294,0.004116,0.000997,0.000578,0.004866,0.008958,0.005736,0.009097,0.006071,0.001742,0.000963,-0.0001,-0.000984,-0.001251,-0.001757,0.002018,-0.001421,-0.00168,-0.002856,-0.004107,-0.00374,-0.002737,-0.001336,0.001517,0.002249,0.002334,0.001596,-0.002686,0.000571,6e-06,-0.003782,-0.004181,-0.004164,-0.007967,-0.003638,-0.003174,9e-06,-1.6e-05,-0.004026,-0.003592,-0.00306,-0.00336,-0.000146,-0.004053,-0.004197,-0.000971,-0.004809,-0.000945,-0.000344,-0.000585,0.003411,0.003485,0.003675,0.003598,-7.4e-05,7.3e-05,-0.000863,-0.00291,-3.3e-05,0.000481,0.000545,-0.000748,-0.000808,-3.4e-05,1.8e-05,-3.8e-05
-4.645255,-0.013452,-0.127334,-0.007009,-0.041475,0.050412,-0.096297,-0.044597,0.300717,0.086375,0.513263,0.496698,-0.026671,-0.041328,-0.015725,-0.021251,-0.040121,-0.018988,-0.028954,-0.040199,-0.149842,-0.113687,-0.038394,0.090842,1.460843,0.010087,-0.052782,-0.122287,-0.155226,0.001079,0.004211,-0.037718,0.020884,0.019323,-0.021865,-0.070777,-0.033493,-0.06799,-0.034976,-0.000513,0.01942,-0.015661,0.023719,-0.193213,-0.231313,5.097026,-0.190543,5.190475,0.300063,-0.218055,5.333613,-0.179427,-0.067619,0.032603,-0.00154,-0.032334,-0.049423,-0.080799,-0.154041,-0.099074,-0.003618,-0.039834,-0.063567,-0.019185,-0.036141,-0.053221,-0.083902,-0.034897,0.002971,0.035613,0.205765,0.006731,-0.000783,0.259622,0.722229,0.681409,0.153237,-5.367081,0.549924,0.433566,0.287325,-0.053165,-0.417155,-0.000272,0.054509,0.006725,0.036974,0.148394,0.064278,-1.550457,0.130967,0.165865,0.19845,0.093884,0.166801,0.377867
-1.740502,-0.432916,-0.124728,-0.328463,-0.080425,-0.200029,0.101047,0.015138,0.633867,0.194782,0.292498,0.285323,0.149448,0.028692,0.071775,0.108299,0.005417,0.110557,0.150314,0.072184,0.373804,0.2972,0.102293,0.149365,0.238865,-0.040524,0.530644,0.396462,0.426708,-0.023827,-0.0093,-0.010708,0.03113,0.028972,-0.12756,-0.015822,-0.023811,0.013726,-0.013161,-0.00488,0.032526,0.017869,0.08421,0.673915,0.889498,0.429306,0.726067,0.661912,0.768956,1.031591,0.483169,0.747418,0.312065,-0.03665,-0.025429,0.207207,0.17153,0.677126,0.673039,0.552473,0.079204,0.349522,0.493344,0.418783,0.380484,0.849853,0.463819,0.140539,0.179793,-0.02195,-0.248552,0.121208,-0.020055,-0.503943,-1.537565,-1.589193,-0.69566,-1.016451,-1.570036,-2.293301,-2.254025,-0.257551,-0.911836,-0.316959,-0.322615,-0.052814,-0.248914,-0.621831,-0.438062,-0.832147,-0.691653,-0.948271,-0.895557,-0.552135,-0.785895,-1.345122
-3.164503,-0.610405,-0.452431,-0.589745,-0.442055,-0.302804,-0.072923,0.025804,-0.621256,-0.191371,-1.167741,-1.12734,-0.160548,-0.028973,-0.077522,-0.136903,-0.00514,-0.146119,-0.131595,0.139408,0.329724,0.229496,0.077745,0.154407,0.815538,0.008782,0.507638,0.29268,0.32722,0.03099,0.021365,0.011794,-0.025099,-0.021226,0.170915,0.02017,0.0364,-0.01813,0.042556,0.032881,-0.021294,0.022733,-0.121868,0.279363,0.391609,1.089946,0.044924,0.973623,0.115317,0.243312,0.248429,0.092565,-0.016789,0.008842,-0.032297,0.392032,0.084984,0.556074,0.491782,0.402762,0.044348,0.281636,0.346531,0.320708,0.080481,0.383887,0.090278,-0.150857,0.148194,-0.00111,0.907411,0.069573,-0.04242,0.707697,2.243154,2.181714,-0.626923,0.662626,1.996368,1.544448,1.316829,-0.315674,-0.253931,0.149275,-0.2034,0.126775,0.016524,-0.117257,0.158777,-0.045777,0.014174,-0.223175,-0.148097,0.130151,0.221954,0.053297
-0.006061,0.001255,0.001796,0.008118,0.007994,0.008157,0.007966,0.007553,0.000878,0.001409,-0.004359,-0.003585,-0.003083,-0.008901,-0.009242,-0.009482,-0.003438,-0.002691,-0.002706,0.003064,0.002523,0.001842,0.000137,-0.00034,-0.001064,-0.001963,-0.007377,-0.006901,-0.006337,-0.005467,-0.005316,-0.010676,-0.010663,-0.00438,-0.005065,0.001254,0.001013,0.006941,0.006866,0.00101,0.006882,0.006342,0.000249,0.000822,-0.005073,0.001162,0.006796,0.000351,0.00081,0.000294,0.000639,0.000795,0.000487,0.006252,0.005692,0.005418,0.005153,0.004987,0.004685,-0.000238,0.005503,0.005111,-0.000788,-0.000869,0.004908,0.004758,0.004234,0.010065,0.009872,0.004095,0.009547,0.003177,0.009311,0.002844,0.002919,-0.003354,-0.003668,-0.003665,-0.003463,-0.003577,-0.00346,-0.002495,-0.002373,-0.002077,0.004357,0.004872,0.005151,0.017939,0.012539,0.012664,0.013001,0.013278,0.013142,0.013609,0.007231,0.001126
0.001207,0.005176,0.003754,0.003638,0.003261,0.007776,0.00706,0.005401,0.000105,0.006117,0.008337,0.011612,0.009969,0.011646,0.006371,0.001517,0.000786,0.003851,0.003722,0.002043,-0.00383,-0.00666,-0.017474,-0.019493,-0.018956,-0.022829,-0.015907,-0.010205,-0.00781,-0.000501,0.000126,0.007196,0.007157,0.011034,0.004559,0.008628,0.007641,0.006644,0.009987,0.014842,0.013707,0.004355,-0.002607,-0.000239,-0.002852,-0.002424,-0.004427,-0.009338,-0.003847,-0.009573,-0.00455,-0.000297,-0.001554,-0.003029,-0.009007,-0.006548,-0.007703,-0.008461,-0.013408,-0.004639,-0.006344,-0.011693,-0.010657,-0.011027,-0.012695,-0.01338,-0.015749,-0.013748,-0.014697,-0.005581,-0.009136,-0.013646,-0.014304,-0.015447,-0.015208,-0.015161,-0.016602,-0.016498,-0.011774,-0.012221,-0.015438,-0.007322,-0.006769,-0.0093,-0.013189,-0.007099,-0.006339,-0.00671,-0.001857,-0.001279,0.00028,0.001692,-0.002773,0.003613,8.8e-05,0.001789
0.000851,0.003478,0.010193,0.010053,0.009746,0.00504,0.00455,0.003445,0.007631,0.003944,0.005415,0.007473,0.013854,0.014938,0.018984,0.023308,0.02273,0.024466,0.02426,0.023046,0.026862,0.025176,0.026293,0.02519,0.018338,0.016246,0.013048,0.008978,0.010344,0.007154,0.007507,0.004284,0.004254,-0.001012,0.002662,-0.002492,-0.003038,-0.003728,-0.009108,-0.01349,-0.014239,-0.004956,0.00576,0.007053,0.012955,0.013028,0.011781,0.016455,0.012247,0.016356,0.011875,0.006974,0.006312,0.005367,0.009375,0.003539,0.002944,0.002552,0.007121,0.00473,0.003675,0.008045,0.00877,0.00859,0.007559,0.007209,0.005975,-0.00037,-0.000882,-0.010404,-0.012523,-0.007539,-0.008123,-0.00867,-0.008624,-0.0085,-0.009423,-0.009485,-0.014303,-0.014693,-0.009165,-0.011993,-0.011695,-0.005656,-0.000518,-0.004458,-0.003966,-0.004448,-0.001357,-0.001005,-4.1e-05,0.000829,0.005749,0.001986,0.007584,0.00872
0.089376,0.021149,-0.029249,-0.02258,-0.032957,0.007446,0.02158,-0.48543,-0.468697,-0.019935,-0.002376,-0.000228,-0.040972,-0.090209,0.042388,0.090439,0.095953,-0.018132,-0.021914,0.192614,0.080114,0.256013,0.34488,0.230269,0.176301,0.303863,0.001063,0.25975,0.084654,0.216179,0.043123,-1.029168,0.002823,0.008005,-0.008904,0.034357,-0.275314,-0.220712,-0.176655,-0.136993,0.035373,0.048871,-0.03516,-0.039967,0.0072,-0.077054,0.135505,0.1026,-0.626539,0.308951,0.047171,0.400521,0.004945,0.333342,0.108086,-0.048821,0.091174,0.190095,0.022195,0.06855,0.089555,0.420779,-0.054084,0.317706,0.059661,0.121182,0.062158,-0.013441,-0.019795,0.340149,0.045827,0.348466,0.354949,0.352954,-0.01479,0.198219,0.718217,0.234948,0.233667,0.019503,-0.00442,0.028734,0.03116,0.727073,-0.009438,0.266502,2.449064,0.000162,0.067717,-0.189396,0.400741,0.39094,0.675827,-0.100772,-0.009709,-0.007366
