0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-0.014533,-0.014322,-0.01455,-0.007713,-0.001476,0.012158,0.012015,0.011999,0.026826,0.034303,0.035822,0.051165,0.046196,0.024053,0.032356,0.017434,0.009815,0.002548,0.002309,0.00125,0.008545,0.008896,0.016318,0.024933,0.017217,0.017167,0.022999,0.014128,0.021078,0.012443,-0.009463
0.04311,0.041322,0.044498,0.039945,0.041165,0.029441,0.015225,0.009583,-0.006339,-0.012396,-0.025263,-0.02856,-0.045142,-0.039193,-0.042844,-0.03932,-0.034522,-0.032377,-0.027402,-0.013403,-0.005041,-0.006163,-0.001991,-0.010032,-0.009881,-0.00987,0.005913,0.015637,0.020859,0.027376,0.018881
0.048686,0.045075,0.037097,0.021178,0.002349,-0.019987,-0.03393,-0.039589,-0.047711,-0.055542,-0.050762,-0.046554,-0.035132,-0.037646,-0.033008,-0.028004,-0.021955,-0.00777,-0.001529,0.005202,0.014874,0.024569,0.028669,0.039368,0.040415,0.040127,0.025519,0.016499,0.010879,-0.001763,0.001883
-0.996807,-1.073735,-1.029309,-0.772268,-0.848541,-1.025342,-0.885991,-0.639941,-0.52579,-0.939478,0.184188,0.129295,0.01822,0.202694,-4.928398,0.1061,-0.390858,-5.439016,-5.430164,-1.653676,0.047037,0.006045,-0.317137,0.033073,0.013101,0.056397,-1.184936,-1.333965,-4.431365,-1.450029,-1.189906
0.811922,2.816945,1.674227,1.269832,1.565133,1.815609,1.724565,1.412647,1.248049,1.691525,0.321703,0.060886,0.037045,-0.633185,-2.519452,-1.071591,-0.853212,-1.522179,-1.616124,-0.391155,-0.822879,-1.078744,-2.019985,-2.423768,-2.599703,-2.759163,-2.503555,-3.283008,-2.823616,-2.084654,-1.159015
1.260809,-0.657182,0.333424,0.393653,0.335857,0.72598,0.54122,0.21818,-0.152861,-3.350107,-1.539824,-1.667284,-1.950441,-2.279687,-1.563205,-2.130486,-1.42973,-0.951586,-1.055166,-1.309836,-0.504551,-0.633448,-1.103702,-1.333631,-1.261727,-0.914421,-0.87813,2.473026,-1.644936,1.405934,0.758371
0.014024,0.007035,-0.000308,-0.007537,-0.007296,-0.014628,-0.014213,-0.021644,-0.013125,-0.012667,-0.004736,-0.004843,-0.005498,0.008899,0.008698,0.008099,0.008042,0.008198,0.000674,0.00067,-0.007,0.000369,0.000169,-7.1e-05,0.007219,-0.000415,0.007014,0.00699,0.007029,-0.000277,0.007342
-0.036146,-0.008837,-0.010911,-0.017034,-0.013766,-0.021163,-0.022047,-0.011724,-0.009415,-0.004829,0.002962,0.007607,0.013027,0.015738,0.012428,0.012042,0.011801,0.001884,0.002125,0.002143,0.006287,0.010585,0.014076,0.01114,0.008839,0.006927,0.000244,0.006062,0.006527,0.002512,0.004354
-0.01405,-0.012097,-0.003197,0.011935,0.016404,0.029766,0.040065,0.042311,0.05617,0.061249,0.058833,0.053071,0.03702,0.01825,0.014422,0.003296,0.002966,0.012498,0.012862,0.012832,0.0072,0.001547,-0.004887,-0.008168,-0.010858,-0.012895,-0.010204,-0.014026,-0.013516,-0.007556,-0.005587
-0.067123,0.105852,0.562768,-0.09992,0.015916,0.249301,0.199234,0.209779,0.101267,0.048137,0.044202,1.361792,4.907513,4.853983,-0.018456,0.038248,0.065639,-0.02348,0.001935,-0.041874,-0.000286,0.036923,-0.391222,0.072021,-0.182649,0.01047,0.04996,-0.09817,0.089219,0.041607,-0.093863
-0.452214,-0.398914,0.805242,-0.411798,-0.045354,0.956193,0.993097,1.231967,0.837974,0.724187,0.584603,-0.537095,-1.929785,-2.102026,0.024295,-0.059251,0.14652,0.121332,0.208573,-0.015362,-0.001799,-0.028639,0.071875,-0.054471,-0.598025,-0.070601,0.131105,-0.408972,-0.014446,0.009937,0.032495
0.706272,0.862838,-1.604757,0.573204,0.622698,0.743202,0.553826,0.481485,0.503119,0.497587,0.23265,-0.42462,-1.240371,-1.584535,-0.078115,0.095638,-0.038772,-0.075955,-0.063699,0.033702,-0.005969,0.044566,0.157843,0.018976,-0.299982,-0.251342,-0.155284,-0.193002,0.046519,0.002891,0.088903
