0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0.010078,0.008891,0.00139,0.001448,0.001491,0.000272,0.007866,0.007773,0.007668,0.007615,0.014627,0.015253,0.01452,0.006901,0.006259,0.00562,-0.002541,-0.002439,-0.010557,-0.010462,-0.002858,-0.002871,-0.002331,0.005705,0.006251,-0.000843,-0.000386,-0.000526,0.000179,0.000142,-0.000541,0.000161,0.000666,0.000517,0.001058,0.00098,0.001635,-0.005126,-0.00508,-0.005494,0.002381,0.001799,0.001236,0.000742,1.3e-05
-0.020577,-0.010114,-0.012943,-0.013566,-0.014046,-0.003563,-0.001198,4e-05,0.001317,0.002045,0.00857,0.003261,0.009349,0.007607,0.01272,0.01767,0.0206,0.019586,0.022359,0.02156,0.022629,0.022869,0.018671,0.016308,0.012016,0.007398,0.004012,0.005396,-0.000478,-0.000115,0.005497,-0.000318,-0.004167,-0.002697,-0.006934,-0.006191,-0.011569,-0.018809,-0.019414,-0.016518,-0.019535,-0.015037,-0.010295,-0.006606,-0.000169
0.017226,0.00827,0.005755,0.004953,0.004328,-0.004633,-0.002727,-0.001122,0.00053,0.001498,-0.002528,0.001836,-0.001553,-0.002615,-0.007248,-0.012084,-0.018314,-0.019626,-0.026082,-0.027147,-0.02698,-0.026672,-0.020853,-0.013802,-0.008083,-0.001575,0.005331,0.007137,0.010731,0.01117,0.007177,0.010845,0.017037,0.018861,0.024477,0.025359,0.02949,0.032447,0.031647,0.024275,0.019471,0.01415,0.0091,0.002788,-0.000207
-0.169345,0.194706,0.109691,1.355499,-0.087467,0.509659,-0.098227,-0.124307,-0.211175,4.626035,-0.275637,-0.291983,-0.110228,-0.275545,-0.188161,-0.527313,-0.058562,0.020352,-0.000258,-0.167393,-0.202067,0.119114,0.12292,-0.341299,0.096228,0.057023,-0.026533,0.004497,-0.034857,-0.034421,0.037901,-0.026,0.116008,0.06291,0.015716,0.154875,0.170817,0.165489,-0.062366,0.202023,0.393341,-4.183189,0.282902,-4.282617,0.120302
0.203249,-0.190366,-0.201487,0.404202,0.138545,0.319135,0.609215,0.346978,0.567545,1.443402,0.80018,0.959172,0.487108,-0.080971,0.818425,-1.019005,-0.337742,0.378494,0.457174,0.964327,0.308132,0.202783,-0.005062,-0.261711,-0.160002,-0.146529,-0.022236,-0.034759,-0.007493,-0.005126,-0.710755,-0.104609,-0.509123,-0.426199,-0.199258,-0.677618,-0.834204,-0.836393,-1.404338,-1.084276,-1.274685,-2.165783,-0.896959,-1.586744,-0.600454
-0.398921,-0.307036,-0.493755,0.572704,-0.212407,-0.133098,0.230027,0.030376,0.17378,2.722488,0.387666,0.242918,-0.025204,0.592913,0.151115,1.961243,0.697212,0.298175,0.595071,0.667194,1.379993,0.192022,0.301675,0.122292,0.218645,0.198387,0.264488,0.046054,0.00454,0.002262,0.681687,0.169778,-0.10348,-0.008381,-0.201185,-0.206741,-0.345924,-0.40867,-0.945521,-0.61703,-0.49789,-3.164771,-0.153412,-2.987272,0.011184
0.000163,-0.00755,0.000131,-0.007604,-0.007419,-0.007296,-0.007228,-0.007217,-0.007194,-0.007246,-0.007208,-0.007459,-0.007475,5.1e-05,-4.8e-05,2.4e-05,-3.2e-05,9.3e-05,0.00012,-3.7e-05,-0.007664,9.4e-05,-1.9e-05,-8e-06,-4.9e-05,-4e-05,-2.2e-05,-0.007688,-1.1e-05,-0.007572,-4.2e-05,-0.007744,-0.007864,-0.008049,-0.008354,-0.0085,-0.008714,-0.008925,-0.00888,-0.016547,-0.008481,-0.015902,-0.007809,-0.007576,-0.007446
0.003236,0.004095,0.010575,0.010698,0.006078,0.008088,0.008965,0.008977,0.008908,0.007525,0.000603,0.003435,-0.004102,-0.006133,-0.000691,-0.006551,-0.000456,-0.005499,-0.005093,-0.000556,0.000109,-0.005516,-0.000283,-0.000117,-0.000751,-0.00064,-0.000362,-0.000239,-0.000169,-0.005382,-0.00066,-0.001053,-0.002778,-0.005339,-0.009418,-0.011229,-0.020037,-0.015299,-0.020577,-0.017678,-0.007677,-0.002324,-0.005592,0.003023,-0.001563
0.004072,0.005363,0.00215,0.002513,0.007756,0.01018,0.011177,0.011152,0.010975,0.009237,0.011688,0.004291,0.00604,0.003443,-0.000813,0.00294,-0.000542,0.004188,0.004671,-0.000663,0.00031,0.004169,-0.000334,-0.000137,-0.000893,-0.00076,-0.000429,-0.000106,-0.000199,0.004507,-0.000782,-0.001081,-0.003142,-0.006229,-0.011207,-0.013457,-0.013498,-0.018888,-0.014565,-0.011013,-0.00972,-0.00279,0.004175,0.003984,0.009326
-0.106567,-0.063096,0.049235,0.048734,0.000319,0.00093,0.001085,0.000341,0.001229,0.00048,-0.035174,-0.00105,-0.035914,-0.030248,-3.5e-05,-0.03649,-1.5e-05,-0.035694,-0.035676,-1e-05,0.001615,-0.039163,4e-05,6.7e-05,-0.000743,4.2e-05,2.8e-05,-0.000976,6e-06,-0.036653,8e-06,-0.000987,-0.003017,-0.029134,-0.006492,0.473005,-0.036529,-0.02819,-0.120778,0.310588,0.001499,-0.003535,-0.038151,0.003708,-0.033126
