0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0.01006,0.009669,0.009163,0.007995,0.008082,0.006911,-0.0,0.006885,0.006214,0.006082,0.006638,-0.000249,-0.000116,-0.000676,-0.000608,0.006451,-0.001121,-0.000402,-0.001136,0.00574,0.006275,-0.000606,-0.000857,0.007292,0.006603,0.006609,0.00683,0.006947,0.007068,0.000383,0.000637,0.000763,0.000858,-0.00586,-0.006579,0.00092,0.000878,-7.7e-05,-0.000196,-0.000463,-0.000686,-0.001395,-0.00067,-0.00062,-0.00815,-0.000433,-0.007108,0.000564,-0.006457,-0.000265,-0.000514,0.006144,0.006031,-0.001054,0.006403,0.005547,0.005445,0.005995,0.005919,0.005932,0.012764,0.013512,0.006962,0.006273,0.000387,-0.000159,0.000592,-0.00016,0.000616,-0.000272,0.006388,0.006122,-0.000882,0.006599,0.000834
-0.02718,-0.024028,-0.019406,-0.008927,-0.009884,0.000325,-2.2e-05,0.000688,0.006572,0.007924,0.003252,0.002633,0.001173,0.00567,0.004988,0.004545,0.009131,0.002785,0.009241,0.009666,0.005417,0.005012,0.007497,-0.002566,0.003135,0.002881,0.000741,-0.000358,-0.001573,-0.003568,-0.005919,-0.007054,-0.007928,-0.0102,-0.004573,-0.008635,-0.008326,-0.000195,0.000941,0.003521,0.005684,0.011486,0.005517,0.005047,0.009303,0.003219,0.000208,-0.005538,-0.005301,0.001513,0.004047,0.007384,0.008472,0.00938,0.005581,0.012592,0.013403,0.008812,0.009176,0.008899,0.009289,0.003035,-0.000122,0.005149,-0.002838,0.001858,-0.004614,0.001155,-0.004177,0.002063,0.004356,0.006137,0.007144,0.002348,-0.006148
0.02883,0.022734,0.017915,0.009287,0.008441,-0.00046,-3e-05,-0.000139,-0.003895,-0.002693,0.002133,0.002329,0.001035,-0.003944,-0.004542,-0.005698,-0.009822,-0.006496,-0.009715,-0.01009,-0.004903,-0.004503,-0.002275,0.005917,0.002032,0.001802,-0.000109,-0.001095,-0.002177,-0.003198,-0.00532,-0.006352,-0.007177,-0.008503,-0.012507,-0.007952,-0.007716,-0.009368,-0.008316,-0.005911,-0.003879,-0.007641,-0.004031,-0.004468,-0.008856,-0.006176,-0.008199,-0.005225,-0.004207,-0.007812,-0.005414,-0.00305,-0.002017,-0.000345,0.004462,0.001848,0.002597,0.007425,0.007711,0.00743,0.006936,0.010208,0.008104,0.003883,0.006417,0.001623,0.004818,0.00105,0.005248,0.001866,0.003194,0.004708,0.006364,0.010197,0.012336
-0.160286,-0.162738,-0.112275,-0.071978,-0.047927,0.012675,-0.002064,0.412092,0.222988,-0.11186,-0.223272,-0.309553,0.160311,0.180593,1.290766,5.118876,1.44886,-0.165146,-0.002471,0.009708,0.035914,0.026676,0.073171,1.54324,1.557617,-0.063737,-0.019882,-0.008462,-0.561873,-0.016183,-0.000165,-0.003489,-0.004132,-0.005889,0.51765,-0.004875,0.004423,0.03409,0.034704,0.03432,0.027195,0.07327,0.0371,0.029077,0.071977,0.03228,0.032621,-0.001965,0.010214,0.034514,0.034506,0.039499,0.038238,0.039086,-0.008468,0.042075,0.014682,0.005821,0.0065,0.004466,0.00657,-0.028466,0.055338,-0.361439,-0.943241,-4.752409,-0.345176,0.198028,-5.304521,-0.272308,-5.035356,-1.511107,-0.235599,-1.080193,0.227477
-0.109712,0.178899,0.025722,-0.014324,0.043562,-0.122699,-0.001875,0.150406,0.922353,0.474386,0.878736,1.092571,1.247906,1.458383,1.835056,2.314936,1.928174,1.151754,0.395898,0.591339,-0.004108,0.076325,0.063736,0.925807,1.097342,0.604084,0.170923,0.067384,1.696918,0.124394,-0.016457,0.02073,0.029078,0.043469,0.152766,0.046854,-0.037429,0.008588,0.004609,0.006921,0.059823,-0.032256,-0.027537,0.037157,-0.019539,0.010972,0.02112,0.015917,-0.078911,0.006946,0.006931,-0.039555,-0.034612,-0.042364,0.049954,-0.056531,0.143523,-0.045499,-0.047413,-0.031034,-0.046196,-0.051103,-0.544841,-0.851046,-2.717602,-3.845824,-1.164531,-1.208925,-2.576634,-1.347787,-3.304618,-3.490797,-2.275632,-2.363259,-1.190457
-0.38216,-0.275955,-0.014744,0.018595,-0.061753,0.200807,0.001994,0.340721,-0.362067,0.374914,0.660255,0.505088,0.503017,0.603342,0.773401,1.139646,0.125327,0.865606,0.66668,0.472023,0.061982,0.075589,0.103807,0.356911,0.469455,0.470125,0.153974,0.087504,-2.119322,0.051307,-0.039885,-0.051743,-0.046616,-0.073082,-0.115458,-0.037619,-0.092037,-0.003903,-0.000781,-0.004885,0.064662,0.028501,0.00677,0.015449,-0.002564,-0.002073,-0.035,-0.023931,0.111848,-0.005036,-0.004999,0.037832,0.041299,0.027197,0.102494,0.059199,-0.014456,0.06979,0.076663,0.052641,0.081837,0.083062,-0.332003,-0.369047,1.608739,1.527776,-0.435261,-0.603515,-1.182062,-0.603051,-0.560113,2.070968,0.948747,-0.162396,0.599484
-0.000177,-0.007396,-8.5e-05,-0.000111,2.6e-05,0.0001,-0.006869,-0.006816,0.000438,-0.006655,-0.006657,-0.00657,-0.006524,-0.006557,-0.006513,-0.006564,0.000491,-0.006643,0.000331,0.000204,0.000118,4.6e-05,-0.007108,2.5e-05,4.3e-05,4.8e-05,0.000153,0.000111,0.000159,0.000237,0.000272,0.007404,0.000349,0.000341,0.007349,0.000315,0.00741,0.0074,0.007358,0.000202,0.00014,4.7e-05,2.5e-05,5.8e-05,3.4e-05,3e-05,4.2e-05,0.007128,0.007081,0.000104,3.2e-05,1.4e-05,-0.00712,-0.007072,-0.014162,-0.007211,-0.014247,-0.00723,-0.014331,-0.014389,-0.014382,-0.007347,-0.007391,-0.007451,-0.007558,-0.007627,-0.007653,-0.007677,-0.007627,-0.007588,-0.007558,-0.007482,-0.007528,-0.007523,-0.007492
0.011334,0.011748,0.005581,0.012328,0.007562,0.00887,0.005823,0.006624,0.007567,0.001982,0.001756,-0.003726,-0.003145,0.002837,-0.00312,0.002446,0.001051,-0.005323,-0.001348,-0.003247,-0.004539,0.000738,0.000405,0.000372,0.000622,0.000695,-0.00408,0.00161,0.002296,0.003425,0.003945,0.004189,-0.001199,0.004989,0.003777,0.004646,0.004874,0.004902,0.004363,0.003114,-0.004236,-0.005647,-0.005968,-0.00552,0.000571,0.000532,0.000696,-0.00568,0.000106,-0.004931,0.000538,0.000276,-0.000566,-0.00622,-0.006114,-0.001672,-0.007003,-0.001777,-0.001594,-0.002221,-0.00193,-0.002744,-0.003139,-0.003703,-0.00475,-0.005304,-0.005486,-0.005575,-0.004853,-0.004349,-0.003903,-0.002972,-0.003288,-0.003178,-0.002767
-0.007992,-0.007377,-0.004074,-0.006979,-0.002088,-0.000786,0.005968,0.006745,0.007453,0.011647,0.011384,0.01553,0.016047,0.012312,0.016009,0.011869,0.010352,0.013842,0.008066,0.00628,0.00507,0.000689,0.000536,0.000351,0.000584,0.000649,0.005499,0.001501,0.002135,0.003176,0.003648,0.00371,0.008134,0.004576,0.003294,0.00424,0.004268,0.004276,0.003782,0.002807,0.005317,0.004048,0.00376,0.004164,0.000513,0.000479,0.000623,0.00385,-8.1e-05,0.004695,0.00048,0.000249,-0.000334,0.003722,0.00398,-0.001335,0.003168,-0.001436,-0.001134,-0.001709,-0.001461,-0.002344,-0.002718,-0.003239,-0.004215,-0.004742,-0.004925,-0.005036,-0.004391,-0.003933,-0.003535,-0.002676,-0.002984,-0.002888,-0.002514
-0.252494,-0.081081,-0.239621,-0.05104,-0.151615,-0.004622,-0.301211,-0.232779,0.016966,-0.036732,-0.051669,0.009826,0.158551,-0.050375,1.229422,-0.030549,0.07952,-0.085746,-0.051364,-0.046958,-0.038389,0.000892,-0.004699,0.005579,0.000322,0.00549,-0.030232,0.000119,0.000858,0.000824,-0.004634,0.196364,-0.048565,-0.008609,0.001916,0.004047,0.015398,0.001209,0.032584,0.147229,-0.048437,-0.035742,-0.035321,0.254587,0.072877,0.048216,0.133127,0.137328,-0.013463,-0.007317,0.195898,-0.00142,-0.000736,-0.039358,-0.041975,-0.004276,0.108615,-0.00425,-0.00435,-0.004029,-0.003638,-0.08195,-0.200861,0.005766,-0.004609,0.040841,0.003059,0.006872,0.140136,-0.005997,0.082574,-0.005191,0.004409,1.44496,-0.093753
