0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0.008702,0.000442,0.008352,0.008481,0.016308,0.016417,0.015993,0.024558,0.024053,0.024819,0.024774,0.024105,0.016801,0.016015,0.007978,2.6e-05,-4e-06,-0.008502,-0.007851,-0.007821,-0.007725,-0.016233,-0.008338,-0.016237,-0.015649,-0.015613,-0.008245,-0.008161,-0.000133,-0.000118,-0.000664,0.007953,0.007358,0.016025,0.007424,0.007395,0.007345,-0.001397,-0.002162,-0.001581,-0.009764,-0.001215,-0.008632,-0.008664,-0.000709,-0.00879,-0.008824,-0.008802,-0.008249,-0.000275,-0.000296,-0.000273,-0.000237,-0.000207,-0.000197,-0.000157,-0.000127,0.000473,0.000505,0.000468,0.000472,0.000461,0.000434,0.000475,0.000461,-0.007934,0.000551,-1.5e-05,-6e-06,0.000573,0.000607,0.000569,0.009113,0.009137,0.000592,-7e-06,-4.3e-05,-3.2e-05,-7.3e-05,0.008447,0.007856,0.007764,0.015546,0.015378,0.015251,0.015052,0.007025,0.015357,0.015318,0.006808,0.006813,0.007483,-0.00015,-0.000613,-0.00051,0.008017,0.008159,0.016012,0.008291,0.016082,0.015396,0.015453,0.016194
-0.006426,-0.003024,-0.005921,-0.008604,-0.008718,-0.01013,-0.00633,-0.012904,-0.007434,-0.013642,-0.011027,-0.00368,-0.008886,-0.001134,-0.000125,-0.000248,8.9e-05,0.004196,-0.001462,-0.002279,-0.003565,0.001038,0.001914,0.000885,-0.004497,-0.005063,5.5e-05,-0.001534,-0.002348,-0.002561,0.002056,-0.003127,0.002385,-0.002865,0.002134,0.002765,0.003786,0.009879,0.017495,0.012617,0.014264,0.010884,0.004956,0.005509,0.007116,0.007886,0.008602,0.008577,0.00416,0.004881,0.005274,0.004807,0.004216,0.00364,0.003457,0.002739,0.002192,-0.003389,-0.00394,-0.003379,-0.003403,-0.003336,-0.002937,-0.003565,-0.003424,-0.000556,-0.004846,0.0001,-3.1e-05,-0.005318,-0.006056,-0.005305,-0.010416,-0.010689,-0.005638,1.5e-05,0.000794,0.000578,0.001321,-0.003081,0.002308,0.003809,0.006663,0.008653,0.010105,0.011885,0.012156,0.008536,0.008499,0.012969,0.012349,0.006341,0.003709,0.007012,0.005761,-0.000576,-0.00222,-0.002807,-0.003652,-0.00342,0.002263,0.001733,-0.004267
0.013162,0.007309,0.002615,-0.000835,-0.002012,-0.003898,-0.010349,-0.008674,-0.013121,-0.010122,-0.006829,-0.008623,-0.00292,-0.004054,-0.001446,-0.000358,0.000112,-0.004673,-0.000751,-0.00159,-0.003341,-0.007806,-0.007834,-0.008064,-0.003796,-0.004594,-0.010489,-0.012751,-0.015158,-0.015514,-0.021009,-0.017771,-0.021969,-0.018889,-0.022653,-0.021803,-0.02042,-0.022437,-0.023451,-0.018374,-0.014535,-0.00849,-0.003653,-0.002815,-0.001694,0.000771,0.001844,0.001774,0.007524,0.00732,0.007863,0.007129,0.006236,0.005355,0.005067,0.004004,0.003198,0.007235,0.006423,0.007231,0.007194,0.007285,0.007851,0.00694,0.007135,0.000401,0.005098,0.000145,-4.2e-05,0.004414,0.003352,0.004432,0.007948,0.007552,0.003949,1.7e-05,0.001136,0.000826,0.001887,0.0064,0.002085,0.004207,0.007007,0.009746,0.011733,0.014075,0.015506,0.020807,0.02065,0.016127,0.015126,0.01852,0.01614,0.00907,0.007427,0.009285,0.00716,0.005216,0.005306,0.004393,0.000464,-0.000224,0.003251
0.132233,0.543968,0.060874,0.005337,0.215628,0.703944,-0.27499,4.979516,0.007836,-0.245379,-0.162421,-0.110438,0.012446,-0.113909,-0.089474,-0.044356,-0.090399,-0.031553,-0.140617,5.398409,5.472747,-0.005898,0.422379,-0.012793,-0.124212,-0.050913,-0.12027,-0.058585,-0.035264,-0.026367,0.015631,0.004378,0.037624,0.007881,0.029227,0.041172,0.163571,0.040878,0.096402,0.068462,0.082266,0.290873,0.032369,0.017604,0.037607,0.035681,0.051399,0.024643,0.002969,0.249525,0.000218,0.763631,0.031192,0.257748,0.028486,0.051863,0.039489,0.05565,-0.012892,0.120867,0.100523,0.180553,0.210092,0.175544,0.267454,0.232693,0.224986,0.334824,0.342176,0.233785,0.277685,0.284548,0.023434,0.096414,0.060051,0.031982,0.103828,0.000946,0.087806,0.177605,0.025775,0.165029,0.406858,0.187932,0.167272,-0.929725,-0.024303,0.057551,0.305708,0.32806,0.08211,0.163055,0.275267,-0.010969,0.389518,0.094339,-0.041613,1.015265,-0.041727,-0.035581,1.113515,0.000699,-0.028218
-0.106077,0.058767,0.252022,0.458853,0.82315,2.303205,1.055465,0.715953,0.715668,1.088275,0.612471,0.589958,0.511365,0.776921,0.698736,0.291702,0.514432,0.400501,0.817639,0.401504,0.004993,0.244619,0.774629,0.286294,0.893548,0.314128,2.126109,0.734189,0.603457,0.46638,0.402601,0.214023,0.276125,0.254883,0.373938,0.188412,0.510741,0.691542,0.356621,0.290009,0.163776,-0.031482,-0.007982,0.118667,-0.009882,-0.007708,-0.036166,0.093057,-0.017852,-0.476757,-0.023471,-1.395226,-0.150064,-0.561809,-0.29085,-0.437637,-0.392904,-0.685886,-0.31999,-0.930324,-0.833292,-1.165809,-1.421548,-1.148094,-1.595485,-1.02138,-1.134935,-1.326471,-1.181698,-1.015959,-1.018123,-0.951739,-0.393579,-0.498649,-0.345394,-0.153518,-0.315072,-0.035009,-0.205754,-0.431102,-0.248993,-0.509861,-0.850083,-0.470404,-0.441515,-2.488239,-1.207331,-0.319759,-0.651617,-0.538275,-0.194526,-0.345495,-0.466051,-0.021627,-0.544998,-0.206723,-0.005305,1.903568,-0.01858,-0.02788,1.679308,-0.038306,-0.016772
-0.326182,-1.175758,-0.573192,-0.714351,-1.164056,-2.639647,-0.496167,1.265061,-0.654903,-0.137051,-0.06384,-0.057653,0.105209,0.18817,0.232998,0.174516,0.300642,0.22004,0.437551,0.855547,0.510619,0.054475,0.442275,0.082201,0.419213,0.08056,-1.990713,0.130339,0.286767,0.008315,-0.035672,0.098736,0.158441,0.159731,0.195388,0.14257,0.297277,0.426582,0.06464,-0.002985,-0.084239,0.820041,-0.029573,-0.191653,0.020609,0.01203,0.058655,-0.148319,0.023525,0.791718,0.039159,2.279091,0.239987,0.942824,0.076924,-0.011127,-0.016079,-0.199608,0.24392,-0.151648,-0.092289,-0.309518,-0.427259,-0.285803,-0.300084,-0.221756,0.21984,0.090321,-0.045001,0.26716,0.032598,0.079217,0.20635,0.145256,0.226618,0.135906,0.067836,-0.026926,-0.098304,-0.220963,0.09421,0.066305,-0.184299,0.081204,0.126507,1.462285,0.599311,0.197996,-0.017815,-0.194224,0.009707,-0.103765,-0.205139,0.048816,-0.289771,-0.079999,0.007261,-1.916919,0.034763,0.047483,-1.489875,0.067262,0.034433
-0.007481,0.000223,0.000374,0.000353,0.000428,0.000501,0.000731,0.000695,0.000623,0.000796,0.000775,0.000713,0.000645,0.000395,0.00041,0.000427,0.000464,0.000395,0.007851,0.00773,0.007856,0.007932,0.007925,0.008143,0.008238,0.00828,0.008318,0.008184,0.008036,0.007983,0.000293,0.000204,0.000283,-0.007346,0.000421,0.000436,0.000447,0.000412,0.007804,5.3e-05,-7.9e-05,-0.000146,-0.000186,-0.000211,-0.000365,-0.000542,0.007025,-0.000843,-0.000975,0.006719,-0.001146,0.006636,-0.001131,-0.001112,0.006673,-0.001232,-0.001241,-0.001241,0.006775,-0.001132,-0.00105,-0.000995,0.00709,0.007078,0.007068,0.007112,0.007188,0.007194,0.007376,0.007402,0.00744,0.007445,-0.000564,-0.000399,-0.000307,-6.7e-05,1.2e-05,-1.4e-05,-0.008218,-0.008281,-0.000148,-0.000174,-0.000107,5.1e-05,3.6e-05,6.2e-05,0.008172,0.000123,6.4e-05,0.008227,0.008249,0.008218,0.008303,0.008267,0.008353,0.00852,0.016692,0.008675,0.0087,0.008592,0.008551,0.008475,0.008412
0.001517,0.001353,0.002278,-0.002745,-0.002276,-0.006701,-0.005258,-0.010321,-0.015632,-0.009616,-0.009701,-0.01006,-0.010474,-0.016946,-0.011953,-0.011854,-0.006715,-0.007173,-0.013847,-0.014719,-0.008956,-0.008478,-0.008537,-0.007021,-0.006303,-0.005992,-0.005639,-0.006593,-0.012825,-0.013252,-0.007927,-0.008629,-0.008044,-0.007311,-0.006989,-0.001719,-0.001633,-0.001902,-0.004408,-0.004688,-0.00056,-0.006241,-0.00654,-0.006743,-0.007945,-0.009297,-0.010774,-0.016838,-0.017913,-0.018769,-0.024506,-0.019876,-0.019396,-0.013933,-0.014912,-0.01492,-0.015,-0.009716,-0.014683,-0.014032,-0.013406,-0.007677,-0.012638,-0.012799,-0.013036,-0.012908,-0.012548,-0.007281,-0.011434,-0.011439,-0.005783,-0.005881,-0.004683,-0.003322,-0.002558,-0.000569,9.9e-05,0.005379,-0.000296,-0.000805,-0.001232,-0.001419,-0.000889,0.000418,0.000281,0.000506,-0.000108,-0.00448,0.000538,0.000419,0.000624,0.000384,0.001174,0.000915,0.001675,-0.002365,0.003714,-0.000597,-0.000231,0.004806,-0.001411,-0.002155,-0.002765
0.001853,0.001837,0.00309,0.007885,0.008513,0.014103,0.015999,0.02069,0.025072,0.021529,0.021352,0.020824,0.020266,0.023147,0.018306,0.018419,0.013767,0.013165,0.015986,0.014878,0.01102,0.011606,0.011526,0.01339,0.014246,0.014612,0.015006,0.013804,0.017071,0.016541,0.012089,0.011232,0.011939,0.012767,0.01319,0.008717,0.008804,0.008468,0.005526,0.005155,-0.000663,0.003318,0.002962,0.00272,0.001287,-0.000336,-0.002073,0.001377,3.6e-05,-0.000989,0.002808,-0.002495,-0.001992,-0.006316,-0.007584,-0.007748,-0.007901,-0.012479,-0.007649,-0.006962,-0.006192,-0.010147,-0.005249,-0.005498,-0.00589,-0.005798,-0.005383,-0.00991,-0.003961,-0.00402,-0.007992,-0.008174,-0.006579,-0.004685,-0.003612,-0.000802,0.000139,-0.004325,-0.000469,-0.001187,-0.001739,-0.002006,-0.001262,0.000594,0.0004,0.000715,-0.000113,0.005601,0.000755,0.000617,0.000898,0.000551,0.001658,0.001282,0.002313,0.008543,0.005137,0.010946,0.011428,0.006577,0.009715,0.008682,0.007826
0.002925,-0.002252,0.003932,-0.218941,-0.027261,-0.062929,-0.069839,-0.099855,-0.003812,0.281157,-0.108323,-0.107746,-0.114994,-0.147161,-0.105516,-0.066441,-0.019974,-0.017298,0.102459,-0.073875,0.538994,0.060614,0.012025,0.107864,-0.046111,-0.0747,0.066053,0.105406,-0.018621,-0.111473,0.042745,-0.071255,-0.065796,-0.07165,-0.065692,-0.030229,-0.03514,-0.030111,-0.002612,0.140184,0.045511,-0.035166,-0.015976,0.141091,0.04943,-0.035197,0.067487,0.440907,-0.000113,-0.034752,-0.106768,0.125946,3.471873,-0.0483,-0.052082,-0.036597,0.012105,-0.001603,-0.041482,0.189794,-0.222034,-0.00181,-0.040899,-0.042089,-0.013155,-0.049327,-0.03629,-0.047474,-0.217774,0.045096,0.116652,-0.012259,-0.001199,-0.008954,0.0061,-0.046613,0.007592,-0.009837,-0.047091,-0.048118,-0.177739,0.003605,-0.010396,0.00771,0.006315,0.004976,-0.00409,0.043975,-0.636759,-0.008138,-0.184143,0.007577,-0.006437,0.127163,-1.712525,-0.096445,-0.023525,0.01374,0.294509,0.015945,0.174943,0.121691,0.281945
